,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,3294.657,3152.4631,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0046,3386.8696,3420.0562,3464.2976,3521.9382,3586.1743,3648.9209,3714.7561,3778.8401,3850.4023,3921.8862,3996.8557,4071.8101,4147.8765,4251.8652,4359.3384,4466.9531,4581.1318,4694.2524,4812.8848,4933.9004,5057.8662,5183.9385,5311.813,5443.6147,5576.3975,5712.5151,5853.3218,5996.2285,6143.6885,6294.3779,6449.0713,6607.6611,6771.4082,6938.0156,7109.5112,7284.8623,7464.6313,7648.6118,7837.6758,8031.9106,8224.5049,8434.9072,8643.3535,8856.502,9076.4541,9300.8008,9531.4834,9766.5879,10008.1846,10254.7051,10507.9062,10767.7285
2 O.energy own use & tra,3294.657,3152.4631,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0046,3386.8696,3420.0562,3464.2976,3521.9382,3586.1743,3648.9209,3714.7561,3778.8401,3850.4023,3921.8862,3996.8557,4071.8101,4147.8765,4251.8652,4359.3384,4466.9531,4581.1318,4694.2524,4812.8848,4933.9004,5057.8662,5183.9385,5311.813,5443.6147,5576.3975,5712.5151,5853.3218,5996.2285,6143.6885,6294.3779,6449.0713,6607.6611,6771.4082,6938.0156,7109.5112,7284.8623,7464.6313,7648.6118,7837.6758,8031.9106,8224.5049,8434.9072,8643.3535,8856.502,9076.4541,9300.8008,9531.4834,9766.5879,10008.1846,10254.7051,10507.9062,10767.7285
3 Hydrogen production,3294.657,3152.4631,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0046,3386.8696,3420.0562,3464.2976,3521.9382,3586.1743,3648.9209,3714.7561,3778.8401,3850.4023,3921.8862,3996.8557,4071.8101,4147.8765,4251.8652,4359.3384,4466.9531,4581.1318,4694.2524,4812.8848,4933.9004,5057.8662,5183.9385,5311.813,5443.6147,5576.3975,5712.5151,5853.3218,5996.2285,6143.6885,6294.3779,6449.0713,6607.6611,6771.4082,6938.0156,7109.5112,7284.8623,7464.6313,7648.6118,7837.6758,8031.9106,8224.5049,8434.9072,8643.3535,8856.502,9076.4541,9300.8008,9531.4834,9766.5879,10008.1846,10254.7051,10507.9062,10767.7285
4 Iron & steel,3294.657,3152.4631,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0046,3386.8696,3420.0562,3464.2976,3521.9382,3586.1743,3648.9209,3714.7561,3778.8401,3850.4023,3921.8862,3996.8557,4071.8101,4147.8765,4251.8652,4359.3384,4466.9531,4581.1318,4694.2524,4812.8848,4933.9004,5057.8662,5183.9385,5311.813,5443.6147,5576.3975,5712.5151,5853.3218,5996.2285,6143.6885,6294.3779,6449.0713,6607.6611,6771.4082,6938.0156,7109.5112,7284.8623,7464.6313,7648.6118,7837.6758,8031.9106,8224.5049,8434.9072,8643.3535,8856.502,9076.4541,9300.8008,9531.4834,9766.5879,10008.1846,10254.7051,10507.9062,10767.7285
5 Non-ferrous metals,3294.657,3152.4631,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0046,3386.8696,3420.0562,3464.2976,3521.9382,3586.1743,3648.9209,3714.7561,3778.8401,3850.4023,3921.8862,3996.8557,4071.8101,4147.8765,4251.8652,4359.3384,4466.9531,4581.1318,4694.2524,4812.8848,4933.9004,5057.8662,5183.9385,5311.813,5443.6147,5576.3975,5712.5151,5853.3218,5996.2285,6143.6885,6294.3779,6449.0713,6607.6611,6771.4082,6938.0156,7109.5112,7284.8623,7464.6313,7648.6118,7837.6758,8031.9106,8224.5049,8434.9072,8643.3535,8856.502,9076.4541,9300.8008,9531.4834,9766.5879,10008.1846,10254.7051,10507.9062,10767.7285
6 Chemicals,3294.657,3152.4631,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0046,3386.8696,3420.0562,3464.2976,3521.9382,3586.1743,3648.9209,3714.7561,3778.8401,3850.4023,3921.8862,3996.8557,4071.8101,4147.8765,4251.8652,4359.3384,4466.9531,4581.1318,4694.2524,4812.8848,4933.9004,5057.8662,5183.9385,5311.813,5443.6147,5576.3975,5712.5151,5853.3218,5996.2285,6143.6885,6294.3779,6449.0713,6607.6611,6771.4082,6938.0156,7109.5112,7284.8623,7464.6313,7648.6118,7837.6758,8031.9106,8224.5049,8434.9072,8643.3535,8856.502,9076.4541,9300.8008,9531.4834,9766.5879,10008.1846,10254.7051,10507.9062,10767.7285
7 Non-metallics nes,3294.657,3152.4631,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0046,3386.8696,3420.0562,3464.2976,3521.9382,3586.1743,3648.9209,3714.7561,3778.8401,3850.4023,3921.8862,3996.8557,4071.8101,4147.8765,4251.8652,4359.3384,4466.9531,4581.1318,4694.2524,4812.8848,4933.9004,5057.8662,5183.9385,5311.813,5443.6147,5576.3975,5712.5151,5853.3218,5996.2285,6143.6885,6294.3779,6449.0713,6607.6611,6771.4082,6938.0156,7109.5112,7284.8623,7464.6313,7648.6118,7837.6758,8031.9106,8224.5049,8434.9072,8643.3535,8856.502,9076.4541,9300.8008,9531.4834,9766.5879,10008.1846,10254.7051,10507.9062,10767.7285
8 Ore-extra.(non-energy),3294.657,3152.4631,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0046,3386.8696,3420.0562,3464.2976,3521.9382,3586.1743,3648.9209,3714.7561,3778.8401,3850.4023,3921.8862,3996.8557,4071.8101,4147.8765,4251.8652,4359.3384,4466.9531,4581.1318,4694.2524,4812.8848,4933.9004,5057.8662,5183.9385,5311.813,5443.6147,5576.3975,5712.5151,5853.3218,5996.2285,6143.6885,6294.3779,6449.0713,6607.6611,6771.4082,6938.0156,7109.5112,7284.8623,7464.6313,7648.6118,7837.6758,8031.9106,8224.5049,8434.9072,8643.3535,8856.502,9076.4541,9300.8008,9531.4834,9766.5879,10008.1846,10254.7051,10507.9062,10767.7285
"9 Food, drink & tob.",3294.657,3152.4631,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0046,3386.8696,3420.0562,3464.2976,3521.9382,3586.1743,3648.9209,3714.7561,3778.8401,3850.4023,3921.8862,3996.8557,4071.8101,4147.8765,4251.8652,4359.3384,4466.9531,4581.1318,4694.2524,4812.8848,4933.9004,5057.8662,5183.9385,5311.813,5443.6147,5576.3975,5712.5151,5853.3218,5996.2285,6143.6885,6294.3779,6449.0713,6607.6611,6771.4082,6938.0156,7109.5112,7284.8623,7464.6313,7648.6118,7837.6758,8031.9106,8224.5049,8434.9072,8643.3535,8856.502,9076.4541,9300.8008,9531.4834,9766.5879,10008.1846,10254.7051,10507.9062,10767.7285
"10 Tex., cloth. & footw.",3294.657,3152.4631,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0049,3354.0046,3386.8696,3420.0562,3464.2976,3521.9382,3586.1743,3648.9209,3714.7561,3778.8401,3850.4023,3921.8862,3996.8557,4071.8101,4147.8765,4251.8652,4359.3384,4466.9531,4581.1318,4694.2524,4812.8848,4933.9004,5057.8662,5183.9385,5311.813,5443.6147,5576.3975,5712.5151,5853.3218,5996.2285,6143.6885,6294.3779,6449.0713,6607.6611,6771.4082,6938.0156,7109.5112,7284.8623,7464.6313,7648.6118,7837.6758,8031.9106,8224.5049,8434.9072,8643.3535,8856.502,9076.4541,9300.8008,9531.4834,9766.5879,10008.1846,10254.7051,10507.9062,10767.7285
