Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Power own use & trans.,844.7627,870.0101,806.4767,791.877,716.2024,616.087,632.7854,644.9062,686.7119,731.989,643.6384,643.6384,660.8071,691.4021,722.0687,747.8954,770.6439,790.0624,805.7934,821.114,836.6668,852.3107,873.4703,895.0565,917.2726,939.9902,963.326,987.3589,1011.864,1037.1616,1062.9893,1089.5358,1116.3152,1144.3696,1172.663,1201.6935,1231.5238,1262.2922,1293.4783,1322.4297,1354.5665
2 O.energy own use & tra,844.7627,870.0101,806.4767,791.877,716.2024,616.087,632.7854,644.9062,686.7119,731.989,643.6384,643.6384,660.8071,691.4021,722.0687,747.8954,770.6439,790.0624,805.7934,821.114,836.6668,852.3107,873.4703,895.0565,917.2726,939.9902,963.326,987.3589,1011.864,1037.1616,1062.9893,1089.5358,1116.3152,1144.3696,1172.663,1201.6935,1231.5238,1262.2922,1293.4783,1322.4297,1354.5665
3 Hydrogen production,844.7627,870.0101,806.4767,791.877,716.2024,616.087,632.7854,644.9062,686.7119,731.989,643.6384,643.6384,660.8071,691.4021,722.0687,747.8954,770.6439,790.0624,805.7934,821.114,836.6668,852.3107,873.4703,895.0565,917.2726,939.9902,963.326,987.3589,1011.864,1037.1616,1062.9893,1089.5358,1116.3152,1144.3696,1172.663,1201.6935,1231.5238,1262.2922,1293.4783,1322.4297,1354.5665
4 Iron & steel,844.7627,870.0101,806.4767,791.877,716.2024,616.087,632.7854,644.9062,686.7119,731.989,643.6384,643.6384,660.8071,691.4021,722.0687,747.8954,770.6439,790.0624,805.7934,821.114,836.6668,852.3107,873.4703,895.0565,917.2726,939.9902,963.326,987.3589,1011.864,1037.1616,1062.9893,1089.5358,1116.3152,1144.3696,1172.663,1201.6935,1231.5238,1262.2922,1293.4783,1322.4297,1354.5665
5 Non-ferrous metals,844.7627,870.0101,806.4767,791.877,716.2024,616.087,632.7854,644.9062,686.7119,731.989,643.6384,643.6384,660.8071,691.4021,722.0687,747.8954,770.6439,790.0624,805.7934,821.114,836.6668,852.3107,873.4703,895.0565,917.2726,939.9902,963.326,987.3589,1011.864,1037.1616,1062.9893,1089.5358,1116.3152,1144.3696,1172.663,1201.6935,1231.5238,1262.2922,1293.4783,1322.4297,1354.5665
6 Chemicals,844.7627,870.0101,806.4767,791.877,716.2024,616.087,632.7854,644.9062,686.7119,731.989,643.6384,643.6384,660.8071,691.4021,722.0687,747.8954,770.6439,790.0624,805.7934,821.114,836.6668,852.3107,873.4703,895.0565,917.2726,939.9902,963.326,987.3589,1011.864,1037.1616,1062.9893,1089.5358,1116.3152,1144.3696,1172.663,1201.6935,1231.5238,1262.2922,1293.4783,1322.4297,1354.5665
7 Non-metallics nes,844.7627,870.0101,806.4767,791.877,716.2024,616.087,632.7854,644.9062,686.7119,731.989,643.6384,643.6384,660.8071,691.4021,722.0687,747.8954,770.6439,790.0624,805.7934,821.114,836.6668,852.3107,873.4703,895.0565,917.2726,939.9902,963.326,987.3589,1011.864,1037.1616,1062.9893,1089.5358,1116.3152,1144.3696,1172.663,1201.6935,1231.5238,1262.2922,1293.4783,1322.4297,1354.5665
8 Ore-extra.(non-energy),844.7627,870.0101,806.4767,791.877,716.2024,616.087,632.7854,644.9062,686.7119,731.989,643.6384,643.6384,660.8071,691.4021,722.0687,747.8954,770.6439,790.0624,805.7934,821.114,836.6668,852.3107,873.4703,895.0565,917.2726,939.9902,963.326,987.3589,1011.864,1037.1616,1062.9893,1089.5358,1116.3152,1144.3696,1172.663,1201.6935,1231.5238,1262.2922,1293.4783,1322.4297,1354.5665
"9 Food, drink & tob.",844.7627,870.0101,806.4767,791.877,716.2024,616.087,632.7854,644.9062,686.7119,731.989,643.6384,643.6384,660.8071,691.4021,722.0687,747.8954,770.6439,790.0624,805.7934,821.114,836.6668,852.3107,873.4703,895.0565,917.2726,939.9902,963.326,987.3589,1011.864,1037.1616,1062.9893,1089.5358,1116.3152,1144.3696,1172.663,1201.6935,1231.5238,1262.2922,1293.4783,1322.4297,1354.5665
"10 Tex., cloth. & footw.",844.7627,870.0101,806.4767,791.877,716.2024,616.087,632.7854,644.9062,686.7119,731.989,643.6384,643.6384,660.8071,691.4021,722.0687,747.8954,770.6439,790.0624,805.7934,821.114,836.6668,852.3107,873.4703,895.0565,917.2726,939.9902,963.326,987.3589,1011.864,1037.1616,1062.9893,1089.5358,1116.3152,1144.3696,1172.663,1201.6935,1231.5238,1262.2922,1293.4783,1322.4297,1354.5665
