Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Power own use & trans.,296.8263,348.801,425.9968,419.3475,394.8888,432.1343,395.9795,343.9997,411.8439,332.6537,273.8781,292.9333,601.6006,446.6136,310.5812,448.3798,455.3152,463.0721,471.0392,479.2383,487.7105,497.754,507.9919,518.3651,528.9677,539.7714,550.8977,562.2537,573.9026,585.8481,598.1292,610.6857,623.4923,636.7005,650.1349,663.9679,678.0732,692.4916,707.3201,722.4319,737.9485
2 O.energy own use & tra,296.8263,351.8803,427.9325,420.6449,396.1736,434.7623,398.6164,346.786,419.8575,345.2704,283.211,317.1926,641.2994,494.4349,359.5393,498.501,506.6266,515.6012,524.8142,534.288,544.0645,555.4424,567.0455,578.8156,590.8472,603.1129,615.735,628.6212,641.8358,655.3829,669.3025,683.5354,698.0568,713.0193,728.2484,743.9173,759.9008,776.2404,793.0343,810.1566,827.7299
3 Hydrogen production,296.8263,340.0752,422.3228,416.9956,392.2864,428.6134,393.7389,341.1885,404.7464,321.4786,265.6116,271.4459,566.4379,404.265,267.2254,403.9933,409.8743,416.5525,423.4157,430.4855,437.8023,446.6636,455.6921,464.828,474.1646,483.6732,493.4745,503.4748,513.7369,524.2637,535.0933,546.1649,557.4524,569.1066,580.9512,593.1579,605.5995,618.316,631.4035,644.7343,658.4291
4 Iron & steel,338.3448,392.6294,483.4945,476.6667,448.6445,490.5776,450.0933,390.5185,415.8038,370.0791,336.7919,347.4422,748.9966,536.6455,354.3076,434.4004,441.0096,448.4473,456.0882,463.9547,472.0885,481.8151,491.7281,501.7667,512.0267,522.479,533.2474,544.2366,555.511,567.074,578.9649,591.1223,603.5195,616.3114,629.3182,642.7157,656.3745,670.3359,684.6986,699.3327,714.3618
5 Non-ferrous metals,338.3448,399.2709,486.3002,478.5353,450.6557,493.3609,451.8629,392.7355,421.5965,379.1996,343.5386,364.979,777.6945,571.2118,389.6958,470.6295,478.0992,486.4171,494.9589,503.7469,512.8237,523.5149,534.4149,545.4633,556.7564,568.2657,580.1155,592.2109,604.6171,617.338,630.4135,643.7826,657.4196,671.4797,685.7839,700.5087,715.5252,730.8755,746.6591,762.7466,779.2625
6 Chemicals,338.3448,400.4702,486.7728,478.8775,451.0234,493.7905,452.1419,393.2558,422.0348,379.8892,344.0487,366.3051,779.8645,573.8256,392.3717,473.369,480.9037,489.2883,497.8982,506.7559,515.9039,526.6682,537.6428,548.7675,560.1388,571.728,583.6595,595.8386,608.3304,621.1388,634.3038,647.7646,661.4954,675.6514,690.0536,704.8788,719.998,735.4534,751.3443,767.5417,784.17
7 Non-metallics nes,338.3448,397.4907,485.8358,477.9537,450.2676,492.7274,451.4315,392.2097,420.3414,377.2232,342.0766,361.1788,771.4757,563.7213,382.0272,462.7787,470.0619,478.1891,486.5356,495.124,503.9964,514.4786,525.1647,535.9943,547.0635,558.3438,569.9592,581.8149,593.9759,606.4458,619.2646,632.3712,645.7395,659.5248,673.5479,687.985,702.7073,717.7567,733.2323,749.0049,765.1986
8 Ore-extra.(non-energy),338.3448,387.6432,481.3951,475.3227,447.1574,488.5656,448.813,388.9121,411.7481,363.6933,332.0682,335.1637,728.9036,512.4437,329.5304,409.0343,415.0411,421.8623,428.8727,436.0939,443.5675,452.6186,461.8405,471.1721,480.7088,490.4211,500.4324,510.647,521.129,531.8812,542.9428,554.2517,565.781,577.6849,589.7833,602.2515,614.9597,627.9486,641.3165,654.933,668.9211
"9 Food, drink & tob.",338.3448,387.6432,481.3951,475.3227,447.1574,488.5656,448.813,388.9121,411.7481,363.6933,332.0682,335.1637,728.9036,512.4437,329.5304,409.0343,415.0411,421.8623,428.8727,436.0939,443.5675,452.6186,461.8405,471.1721,480.7088,490.4211,500.4324,510.647,521.129,531.8812,542.9428,554.2517,565.781,577.6849,589.7833,602.2515,614.9597,627.9486,641.3165,654.933,668.9211
"10 Tex., cloth. & footw.",338.3448,387.6432,481.3951,475.3227,447.1574,488.5656,448.813,388.9121,411.7481,363.6933,332.0682,335.1637,728.9036,512.4437,329.5304,409.0343,415.0411,421.8623,428.8727,436.0939,443.5675,452.6186,461.8405,471.1721,480.7088,490.4211,500.4324,510.647,521.129,531.8812,542.9428,554.2517,565.781,577.6849,589.7833,602.2515,614.9597,627.9486,641.3165,654.933,668.9211
11 Paper & pulp,338.3448,404.5862,488.1053,479.209,451.381,494.167,452.1135,393.6827,423.2437,381.7938,345.4576,369.9671,785.8572,581.0438,399.7615,480.9344,488.6489,497.2173,506.0152,515.0654,524.4103,535.376,546.5567,557.8923,569.4793,581.2892,593.4465,605.8567,618.5848,631.635,645.0474,658.7612,672.7509,687.1718,701.845,716.9472,732.35,748.0953,764.283,780.784,797.7228
12 Engineering etc,338.3448,387.6432,481.3951,475.3227,447.1574,488.5656,448.813,388.9121,411.7481,363.6933,332.0682,335.1637,728.9036,512.4437,329.5304,409.0343,415.0411,421.8623,428.8727,436.0939,443.5675,452.6186,461.8405,471.1721,480.7088,490.4211,500.4324,510.647,521.129,531.8812,542.9428,554.2517,565.781,577.6849,589.7833,602.2515,614.9597,627.9486,641.3165,654.933,668.9211
13 Other industry,338.3448,401.0027,487.0947,479.6331,452.0036,494.9855,453.0011,394.0507,425.059,384.6514,347.5715,375.4618,794.8489,591.8741,410.8494,492.2858,500.2698,509.114,518.1942,527.5331,537.1735,548.4414,559.9314,571.5834,583.4941,595.6351,608.1313,620.8881,633.9708,647.3837,661.1673,675.2609,689.6389,704.4572,719.5368,735.0549,750.8831,767.0637,783.6965,800.6529,818.0575
14 Construction,338.3448,387.6432,481.3951,475.3227,447.1574,488.5656,448.813,388.9121,411.7481,363.6933,332.0682,335.1637,728.9036,512.4437,329.5304,409.0343,415.0411,421.8623,428.8727,436.0939,443.5675,452.6186,461.8405,471.1721,480.7088,490.4211,500.4324,510.647,521.129,531.8812,542.9428,554.2517,565.781,577.6849,589.7833,602.2515,614.9597,627.9486,641.3165,654.933,668.9211
15 Rail transport,778.1423,857.5488,948.0316,964.9717,943.3427,915.367,871.8701,899.701,904.1293,887.1828,870.8551,879.1383,1844.3972,1313.7429,865.3281,898.954,910.7963,924.2438,938.0641,952.3002,967.0337,984.8773,1003.0576,1021.4542,1040.2548,1059.4019,1079.1382,1099.2756,1119.9399,1141.1371,1162.9441,1185.2386,1207.9678,1231.4353,1255.2864,1279.8665,1304.9197,1330.5261,1356.8799,1383.7236,1411.3
16 Road transport,778.1423,857.5488,948.0316,964.9717,943.3427,915.367,871.8701,899.701,904.1293,887.1828,870.8551,879.1383,1844.3972,1313.7429,865.3281,898.954,910.7963,924.2438,938.0641,952.3002,967.0337,984.8773,1003.0576,1021.4542,1040.2548,1059.4019,1079.1382,1099.2756,1119.9399,1141.1371,1162.9441,1185.2386,1207.9678,1231.4353,1255.2864,1279.8665,1304.9197,1330.5261,1356.8799,1383.7236,1411.3
17 Domestic aviation,778.1423,857.5488,957.4451,971.1787,949.816,923.8505,877.1912,905.8724,920.4525,912.8855,889.8681,928.5593,1925.2716,1411.1552,965.0566,1001.0524,1015.3196,1031.248,1047.6068,1064.4401,1081.8308,1102.3931,1123.3549,1144.5972,1166.3092,1188.4348,1211.2188,1234.4736,1258.3275,1282.7878,1307.9331,1333.6426,1359.8655,1386.907,1414.4143,1442.7346,1471.6143,1501.135,1531.4928,1562.4324,1594.199
18 Other transp. serv.,778.1423,857.5488,948.0316,964.9717,943.3427,915.367,871.8701,899.701,904.1293,887.1828,870.8551,879.1383,1844.3972,1313.7429,865.3281,898.954,910.7963,924.2438,938.0641,952.3002,967.0337,984.8773,1003.0576,1021.4542,1040.2548,1059.4019,1079.1382,1099.2756,1119.9399,1141.1371,1162.9441,1185.2386,1207.9678,1231.4353,1255.2864,1279.8665,1304.9197,1330.5261,1356.8799,1383.7236,1411.3
19 Households,778.1423,857.5488,948.0316,964.9717,943.3427,915.367,871.8701,899.701,904.1293,887.1828,870.8551,879.1383,1844.3972,1313.7429,865.3281,898.954,910.7963,924.2438,938.0641,952.3002,967.0337,984.8773,1003.0576,1021.4542,1040.2548,1059.4019,1079.1382,1099.2756,1119.9399,1141.1371,1162.9441,1185.2386,1207.9678,1231.4353,1255.2864,1279.8665,1304.9197,1330.5261,1356.8799,1383.7236,1411.3
"20 Agriculture, forestry",778.1423,857.5488,948.0316,964.9717,943.3427,915.367,871.8701,899.701,904.1293,887.1828,870.8551,879.1383,1844.3972,1313.7429,865.3281,898.954,910.7963,924.2438,938.0641,952.3002,967.0337,984.8773,1003.0576,1021.4542,1040.2548,1059.4019,1079.1382,1099.2756,1119.9399,1141.1371,1162.9441,1185.2386,1207.9678,1231.4353,1255.2864,1279.8665,1304.9197,1330.5261,1356.8799,1383.7236,1411.3
