,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,816.8395,724.5795,562.9489,562.9489,562.9489,562.9489,562.9489,562.9489,750.8849,470.5311,294.7975,304.1378,313.8692,323.6838,333.8185,344.2629,354.9496,365.9929,377.3235,388.9457,400.9215,416.1071,431.7014,447.8951,464.6604,482.0324,499.9856,518.6025,537.8698,557.8696,578.5375,599.9117,622.0955,645.0919,668.9354,693.5933,719.1633,745.6757,773.0767,801.4626,830.8976,861.3838,892.9447,925.6462,960.1155,994.6607,1030.9231,1068.5277,1107.5336,1147.9108,1189.7529,1233.1119,1278.0074,1324.5277,1372.8118,1422.6588,1474.3932,1527.9407,1583.5522,1640.9792,1700.5649
2 O.energy own use & tra,816.8395,724.5795,562.9489,562.9489,562.9489,562.9489,562.9489,562.9489,750.8849,470.5311,294.7975,304.1378,313.8692,323.6838,333.8185,344.2629,354.9496,365.9929,377.3235,388.9457,400.9215,416.1071,431.7014,447.8951,464.6604,482.0324,499.9856,518.6025,537.8698,557.8696,578.5375,599.9117,622.0955,645.0919,668.9354,693.5933,719.1633,745.6757,773.0767,801.4626,830.8976,861.3838,892.9447,925.6462,960.1155,994.6607,1030.9231,1068.5277,1107.5336,1147.9108,1189.7529,1233.1119,1278.0074,1324.5277,1372.8118,1422.6588,1474.3932,1527.9407,1583.5522,1640.9792,1700.5649
3 Hydrogen production,266.287,240.2179,196.3153,196.3153,196.3153,196.3153,196.3153,196.3153,261.8535,164.0867,102.8037,106.061,109.4545,112.8771,116.4114,120.0536,123.7804,127.6315,131.5827,135.6357,139.812,145.1076,150.5458,156.1929,162.0394,168.0975,174.3583,180.8505,187.5695,194.544,201.7514,209.2052,216.9413,224.9607,233.2756,241.8744,250.7914,260.037,269.5924,279.4913,289.7561,300.3875,311.3936,322.7974,334.8178,346.8647,359.5103,372.6241,386.2264,400.307,414.8985,430.019,445.6752,461.898,478.736,496.119,514.1601,532.8336,552.2268,572.2531,593.0322
4 Iron & steel,266.287,240.2179,196.3153,196.3153,196.3153,196.3153,196.3153,196.3153,261.8535,164.0867,102.8037,106.061,109.4545,112.8771,116.4114,120.0536,123.7804,127.6315,131.5827,135.6357,139.812,145.1076,150.5458,156.1929,162.0394,168.0975,174.3583,180.8505,187.5695,194.544,201.7514,209.2052,216.9413,224.9607,233.2756,241.8744,250.7914,260.037,269.5924,279.4913,289.7561,300.3875,311.3936,322.7974,334.8178,346.8647,359.5103,372.6241,386.2264,400.307,414.8985,430.019,445.6752,461.898,478.736,496.119,514.1601,532.8336,552.2268,572.2531,593.0322
5 Non-ferrous metals,266.287,240.2179,196.3153,196.3153,196.3153,196.3153,196.3153,196.3153,261.8535,164.0867,102.8037,106.061,109.4545,112.8771,116.4114,120.0536,123.7804,127.6315,131.5827,135.6357,139.812,145.1076,150.5458,156.1929,162.0394,168.0975,174.3583,180.8505,187.5695,194.544,201.7514,209.2052,216.9413,224.9607,233.2756,241.8744,250.7914,260.037,269.5924,279.4913,289.7561,300.3875,311.3936,322.7974,334.8178,346.8647,359.5103,372.6241,386.2264,400.307,414.8985,430.019,445.6752,461.898,478.736,496.119,514.1601,532.8336,552.2268,572.2531,593.0322
6 Chemicals,266.287,240.2179,196.3153,196.3153,196.3153,196.3153,196.3153,196.3153,261.8535,164.0867,102.8037,106.061,109.4545,112.8771,116.4114,120.0536,123.7804,127.6315,131.5827,135.6357,139.812,145.1076,150.5458,156.1929,162.0394,168.0975,174.3583,180.8505,187.5695,194.544,201.7514,209.2052,216.9413,224.9607,233.2756,241.8744,250.7914,260.037,269.5924,279.4913,289.7561,300.3875,311.3936,322.7974,334.8178,346.8647,359.5103,372.6241,386.2264,400.307,414.8985,430.019,445.6752,461.898,478.736,496.119,514.1601,532.8336,552.2268,572.2531,593.0322
7 Non-metallics nes,266.287,240.2179,196.3153,196.3153,196.3153,196.3153,196.3153,196.3153,261.8535,164.0867,102.8037,106.061,109.4545,112.8771,116.4114,120.0536,123.7804,127.6315,131.5827,135.6357,139.812,145.1076,150.5458,156.1929,162.0394,168.0975,174.3583,180.8505,187.5695,194.544,201.7514,209.2052,216.9413,224.9607,233.2756,241.8744,250.7914,260.037,269.5924,279.4913,289.7561,300.3875,311.3936,322.7974,334.8178,346.8647,359.5103,372.6241,386.2264,400.307,414.8985,430.019,445.6752,461.898,478.736,496.119,514.1601,532.8336,552.2268,572.2531,593.0322
8 Ore-extra.(non-energy),266.287,240.2179,196.3153,196.3153,196.3153,196.3153,196.3153,196.3153,261.8535,164.0867,102.8037,106.061,109.4545,112.8771,116.4114,120.0536,123.7804,127.6315,131.5827,135.6357,139.812,145.1076,150.5458,156.1929,162.0394,168.0975,174.3583,180.8505,187.5695,194.544,201.7514,209.2052,216.9413,224.9607,233.2756,241.8744,250.7914,260.037,269.5924,279.4913,289.7561,300.3875,311.3936,322.7974,334.8178,346.8647,359.5103,372.6241,386.2264,400.307,414.8985,430.019,445.6752,461.898,478.736,496.119,514.1601,532.8336,552.2268,572.2531,593.0322
"9 Food, drink & tob.",266.287,240.2179,196.3153,196.3153,196.3153,196.3153,196.3153,196.3153,261.8535,164.0867,102.8037,106.061,109.4545,112.8771,116.4114,120.0536,123.7804,127.6315,131.5827,135.6357,139.812,145.1076,150.5458,156.1929,162.0394,168.0975,174.3583,180.8505,187.5695,194.544,201.7514,209.2052,216.9413,224.9607,233.2756,241.8744,250.7914,260.037,269.5924,279.4913,289.7561,300.3875,311.3936,322.7974,334.8178,346.8647,359.5103,372.6241,386.2264,400.307,414.8985,430.019,445.6752,461.898,478.736,496.119,514.1601,532.8336,552.2268,572.2531,593.0322
"10 Tex., cloth. & footw.",266.287,240.2179,196.3153,196.3153,196.3153,196.3153,196.3153,196.3153,261.8535,164.0867,102.8037,106.061,109.4545,112.8771,116.4114,120.0536,123.7804,127.6315,131.5827,135.6357,139.812,145.1076,150.5458,156.1929,162.0394,168.0975,174.3583,180.8505,187.5695,194.544,201.7514,209.2052,216.9413,224.9607,233.2756,241.8744,250.7914,260.037,269.5924,279.4913,289.7561,300.3875,311.3936,322.7974,334.8178,346.8647,359.5103,372.6241,386.2264,400.307,414.8985,430.019,445.6752,461.898,478.736,496.119,514.1601,532.8336,552.2268,572.2531,593.0322
