Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,359.0318,422.7971,383.7419,407.6345,367.0574,341.2429,289.9586,273.8981,309.2177,326.2707,283.7566,346.7131,778.6192,604.004,365.2989,370.7214,376.28,381.9536,387.6138,393.4787,399.496,411.1608,422.9637,434.9359,447.064,459.3638,471.8316,484.4792,497.3133,510.161,523.3466,540.485,557.6797,575.0846,592.8204,610.64,628.6277,647.0481,665.5018,684.2261,703.1875,721.2,739.781,758.591,778.1243,798.0475,818.5666,839.4861,860.9922,883.0837,905.7395,928.8726,952.7517,977.2635,1002.3495,1027.9839,1054.4977,1081.4927,1109.3306,1137.8126,1166.9536
2 O.energy own use & tra,359.0318,419.53,379.5695,405.3425,364.9849,337.4912,287.8908,271.4024,303.8686,317.8492,277.527,330.5203,752.1207,573.2422,345.3301,350.6328,356.0782,361.6393,367.2069,372.9602,378.8593,389.7022,400.6831,411.8331,423.1389,434.6165,446.2619,458.0872,470.099,482.1494,494.5127,510.2373,526.0369,542.0468,558.3688,574.7933,591.3922,608.3927,625.4575,642.7867,660.3531,677.1573,694.4804,712.0386,730.2454,748.8235,767.9475,787.4533,807.496,828.0804,849.1857,870.7432,892.9783,915.7963,939.151,963.0231,987.6873,1012.8142,1038.7091,1065.2047,1092.3156
3 Hydrogen production,359.0318,381.2458,366.2466,396.4349,354.6649,324.4766,279.2891,260.5116,275.42,273.0559,244.3922,244.3922,611.1775,409.5382,239.0756,243.749,248.5982,253.5631,258.6339,263.791,269.0608,275.5316,282.1404,288.9183,295.8521,302.9576,310.231,317.6842,325.3239,333.1347,341.1259,349.3319,357.7122,366.3028,375.1063,384.1115,393.3243,402.773,412.4517,422.3616,432.5087,442.8874,453.5198,464.4206,475.5724,486.9962,498.701,510.6881,522.9472,535.5162,548.3741,561.5519,575.0428,588.8517,602.9986,617.4972,632.3242,647.5146,663.0756,679.0053,695.3185
4 Iron & steel,439.732,508.4904,466.0638,496.7419,446.7761,414.1761,352.735,332.4538,371.1243,387.6459,338.6891,401.6456,838.5931,661.2224,420.1663,463.3122,469.6865,476.1958,482.7108,489.4448,496.3497,509.1044,522.0204,535.1339,548.4296,561.9258,575.6183,589.5208,603.6413,617.8042,632.3354,650.8557,669.4615,688.3132,707.5315,726.8676,746.4067,766.4183,786.502,806.8951,827.5654,847.3257,867.6974,888.3433,909.7545,931.6016,954.092,977.0302,1000.601,1024.8093,1049.6306,1074.9832,1101.1343,1127.9718,1155.4404,1183.5166,1212.5275,1242.0808,1272.5393,1303.7043,1335.5929
5 Non-ferrous metals,439.732,468.5457,449.4857,486.154,434.9458,398.5885,342.8076,319.9832,339.4801,337.8209,301.8322,305.8426,681.8174,479.1291,301.976,344.4218,350.133,355.9791,361.9415,368.0123,374.2173,382.1088,390.1615,398.4119,406.8444,415.4774,424.3066,433.346,442.6033,452.0504,461.7184,471.8754,482.2286,492.8275,503.6827,514.766,526.0894,537.7009,549.5687,561.7091,574.1267,586.7396,599.6692,612.9097,626.4736,640.3627,654.6004,669.1754,684.0882,699.3806,715.0283,731.0596,747.4844,764.3008,781.5272,799.177,817.2457,835.7463,854.7101,874.1224,894.0002
6 Chemicals,439.732,466.9391,448.5685,485.5423,434.3836,397.4098,342.0655,319.0673,337.3266,334.4311,299.3247,299.3247,671.1514,466.7406,293.935,336.3333,341.9993,347.8004,353.7252,359.7509,365.9081,373.4688,381.1907,389.1102,397.2118,405.5139,414.0123,422.7209,431.6473,440.7735,450.1107,459.6987,469.4905,479.5279,489.8141,500.3359,511.1003,522.1404,533.4492,545.0282,556.8843,569.0109,581.4342,594.1709,607.2009,620.5486,634.2249,648.2308,662.5546,677.2405,692.264,707.6612,723.4243,739.5588,756.0884,773.0289,790.3531,808.1018,826.2836,844.8963,863.957
7 Non-metallics nes,439.732,500.4017,462.4713,494.0527,444.0741,410.48,350.4567,329.5602,363.9674,376.375,330.3517,379.974,803.1289,620.0312,393.4305,436.418,442.6423,449.0016,455.3917,461.9756,468.7222,480.3768,492.1927,504.2061,516.4016,528.7977,541.3901,554.1926,567.213,580.3091,593.7402,610.3687,627.1077,644.0924,661.4189,678.8881,696.5688,714.6803,732.9054,751.4317,770.2352,788.3786,807.0669,826.0375,845.6737,865.7206,886.3442,907.3905,929.0027,951.1942,973.9404,997.1843,1021.1354,1045.7059,1070.8577,1096.5753,1123.111,1150.1641,1178.0225,1206.5288,1235.7004
8 Ore-extra.(non-energy),439.732,466.9391,448.5685,485.5423,434.3836,397.4098,342.0655,319.0673,337.3266,334.4311,299.3247,299.3247,671.1514,466.7406,293.935,336.3333,341.9993,347.8004,353.7252,359.7509,365.9081,373.4688,381.1907,389.1102,397.2118,405.5139,414.0123,422.7209,431.6473,440.7735,450.1107,459.6987,469.4905,479.5279,489.8141,500.3359,511.1003,522.1404,533.4492,545.0282,556.8843,569.0109,581.4342,594.1709,607.2009,620.5486,634.2249,648.2308,662.5546,677.2405,692.264,707.6612,723.4243,739.5588,756.0884,773.0289,790.3531,808.1018,826.2836,844.8963,863.957
"9 Food, drink & tob.",439.732,466.9391,448.5685,485.5423,434.3836,397.4098,342.0655,319.0673,337.3266,334.4311,299.3247,299.3247,671.1514,466.7406,293.935,336.3333,341.9993,347.8004,353.7252,359.7509,365.9081,373.4688,381.1907,389.1102,397.2118,405.5139,414.0123,422.7209,431.6473,440.7735,450.1107,459.6987,469.4905,479.5279,489.8141,500.3359,511.1003,522.1404,533.4492,545.0282,556.8843,569.0109,581.4342,594.1709,607.2009,620.5486,634.2249,648.2308,662.5546,677.2405,692.264,707.6612,723.4243,739.5588,756.0884,773.0289,790.3531,808.1018,826.2836,844.8963,863.957
"10 Tex., cloth. & footw.",439.732,466.9391,448.5685,485.5423,434.3836,397.4098,342.0655,319.0673,337.3266,334.4311,299.3247,299.3247,671.1514,466.7406,293.935,336.3333,341.9993,347.8004,353.7252,359.7509,365.9081,373.4688,381.1907,389.1102,397.2118,405.5139,414.0123,422.7209,431.6473,440.7735,450.1107,459.6987,469.4905,479.5279,489.8141,500.3359,511.1003,522.1404,533.4492,545.0282,556.8843,569.0109,581.4342,594.1709,607.2009,620.5486,634.2249,648.2308,662.5546,677.2405,692.264,707.6612,723.4243,739.5588,756.0884,773.0289,790.3531,808.1018,826.2836,844.8963,863.957
