Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Power own use & trans.,359.0318,389.9716,369.9206,398.7868,357.2673,327.9975,281.5297,263.3228,282.5175,284.231,252.6587,265.8796,646.3439,451.8859,282.4989,288.4072,293.815,299.8421,306.0313,312.3991,318.976,326.724,334.625,342.6332,350.8186,359.1604,367.7488,376.5151,385.5066,394.7259,404.2023,413.8912,423.7744,433.964,444.3304,455.0015,465.884,477.0082,488.4464,500.1047,512.0734
2 O.energy own use & tra,359.0318,391.6825,370.3315,399.1007,357.5765,328.3008,281.6998,263.675,283.227,285.3485,253.4854,268.0283,649.8601,456.1261,286.8407,292.853,298.3673,304.5033,310.804,317.2858,323.9794,331.8472,339.8688,348.0007,356.3129,364.7847,373.5063,382.409,391.5401,400.9025,410.5253,420.3641,430.4007,440.7474,451.2746,462.1103,473.1613,484.458,496.0727,507.9117,520.0652
3 Hydrogen production,359.0318,381.2458,366.2466,396.4349,354.6649,324.4766,279.2891,260.5116,275.42,273.0559,244.3922,244.3922,611.1811,409.5376,239.1445,244.0233,248.3779,253.3274,258.414,263.6537,269.0765,275.644,282.3353,289.1063,296.026,303.0732,310.3373,317.749,325.3547,333.1565,341.1827,349.3883,357.754,366.3914,375.17,384.2167,393.4378,402.8625,412.5622,422.4422,432.5919
4 Iron & steel,463.0439,551.3757,544.563,582.3454,484.8279,495.2231,412.7328,435.5184,498.9443,428.8984,372.387,391.274,767.7179,581.7787,417.4146,549.3849,557.3749,566.2854,575.4359,584.8506,594.5754,606.0427,617.7335,629.5826,641.6942,654.0372,666.7459,679.718,693.0236,706.6668,720.691,735.0298,749.656,764.7365,780.0785,795.8719,811.9783,828.4424,845.3717,862.6268,880.3417
5 Non-ferrous metals,463.0439,538.9103,539.3145,578.9855,481.1101,490.1932,409.532,431.5024,488.805,412.934,360.5777,360.5777,717.4854,521.2742,355.4714,485.9698,492.4536,499.8231,507.3969,515.1985,523.2728,533.0516,543.0146,553.0963,563.3995,573.8924,584.7084,595.7441,607.0685,618.685,630.6358,642.8534,655.3096,668.1702,681.2412,694.7115,708.4412,722.4742,736.9165,751.6274,766.7399
6 Chemicals,463.0439,552.1373,544.2419,582.5247,485.0031,495.5945,412.9819,435.9019,501.9982,433.7069,375.944,400.5197,782.8479,600.0026,436.0718,568.4856,576.9292,586.3038,595.9292,605.8298,616.0517,628.0276,640.2388,652.6203,665.2765,678.1768,691.4556,705.011,718.9133,733.1669,747.8157,762.7933,778.0731,793.8223,809.8483,826.3414,843.1636,860.36,878.0385,896.0598,914.5585
7 Non-metallics nes,463.0439,551.1207,544.3425,582.3539,485.0183,495.6115,412.9962,435.7426,499.002,428.9894,372.4543,391.4489,768.0042,582.1235,417.7676,549.7465,557.7449,566.6642,575.8237,585.2477,594.9818,606.4587,618.1593,630.0186,642.1404,654.494,667.2135,680.1967,693.5135,707.1683,721.2043,735.5552,750.1938,765.2869,780.6418,796.4485,812.5684,829.0464,845.9899,863.2595,880.9892
8 Ore-extra.(non-energy),463.0439,538.9103,539.3145,578.9855,481.1101,490.1932,409.532,431.5024,488.805,412.934,360.5777,360.5777,717.4854,521.2742,355.4714,485.9698,492.4536,499.8231,507.3969,515.1985,523.2728,533.0516,543.0146,553.0963,563.3995,573.8924,584.7084,595.7441,607.0685,618.685,630.6358,642.8534,655.3096,668.1702,681.2412,694.7115,708.4412,722.4742,736.9165,751.6274,766.7399
"9 Food, drink & tob.",463.0439,538.9103,539.3145,578.9855,481.1101,490.1932,409.532,431.5024,488.805,412.934,360.5777,360.5777,717.4854,521.2742,355.4714,485.9698,492.4536,499.8231,507.3969,515.1985,523.2728,533.0516,543.0146,553.0963,563.3995,573.8924,584.7084,595.7441,607.0685,618.685,630.6358,642.8534,655.3096,668.1702,681.2412,694.7115,708.4412,722.4742,736.9165,751.6274,766.7399
"10 Tex., cloth. & footw.",463.0439,538.9103,539.3145,578.9855,481.1101,490.1932,409.532,431.5024,488.805,412.934,360.5777,360.5777,717.4854,521.2742,355.4714,485.9698,492.4536,499.8231,507.3969,515.1985,523.2728,533.0516,543.0146,553.0963,563.3995,573.8924,584.7084,595.7441,607.0685,618.685,630.6358,642.8534,655.3096,668.1702,681.2412,694.7115,708.4412,722.4742,736.9165,751.6274,766.7399
