,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,203.118,261.7932,285.2985,280.2619,283.0453,286.425,289.6723,294.2449,391.7975,262.8996,186.4309,193.1405,200.0493,207.2055,214.5061,222.163,230.0168,238.1823,246.639,255.3398,264.473,274.3149,284.6374,295.3854,306.5904,318.2777,330.4084,343.0287,356.1423,369.774,383.8827,398.5865,413.8889,429.8337,446.3985,463.6848,481.812,500.6071,520.3338,540.7998,562.2057,575.6633,589.6578,604.203,619.5781,635.0118,651.2467,668.1019,685.615,703.7685,722.5988,742.1222,762.3544,783.3287,805.0988,827.5896,850.9362,875.1052,900.2188,926.1625,953.0842
2 O.energy own use & tra,203.118,256.381,280.7047,277.0251,278.5656,281.8884,282.7415,285.4051,382.3079,252.0992,173.3976,179.3918,185.6485,192.1597,198.8736,205.9492,213.2765,220.9537,228.9467,237.2022,245.8507,255.4021,265.3681,275.7142,286.4807,297.6866,309.3171,321.4136,333.9912,347.087,360.671,374.8339,389.5727,404.9124,420.8234,437.3834,454.6826,472.5965,491.3326,510.7482,531.0128,544.7273,558.9283,573.6484,589.1719,604.7263,621.0636,638.0079,655.5889,673.792,692.6605,712.2172,732.4706,753.4615,775.2523,797.7523,821.1079,845.2859,870.3999,896.3367,923.2521
3 Hydrogen production,361.412,407.6065,458.4645,458.4645,458.4645,458.4645,458.4645,458.4645,600.9524,392.1255,261.5141,267.8389,274.3538,281.0466,287.9811,295.1151,302.4229,309.9839,317.7456,325.6977,333.8978,344.3599,355.1757,366.3637,377.9862,390.0009,402.4567,415.3455,428.6909,442.5503,456.8771,471.74,487.134,503.0978,519.658,536.7904,554.5627,572.9985,592.0583,611.8101,632.2994,653.5281,675.51,698.2952,722.324,746.4008,771.6895,797.9177,825.1313,853.308,882.5146,912.7864,944.1368,976.6288,1010.3589,1045.1868,1081.339,1118.7642,1157.6382,1197.7858,1239.4482
4 Iron & steel,361.412,432.1264,475.8935,470.857,473.6404,477.0201,480.2673,484.84,632.8282,430.6947,308.1682,317.21,326.6409,336.4483,346.5638,357.2101,368.229,379.7662,391.7692,404.1613,417.1329,431.5713,446.6283,462.2564,478.5178,495.4365,512.9951,531.2517,550.2301,569.9875,590.4774,611.8348,634.0546,657.1755,681.158,706.1102,732.1664,759.1509,787.356,816.5844,847.0805,868.3092,890.2911,913.0763,937.1051,961.1819,986.4706,1012.6988,1039.9124,1068.0891,1097.2957,1127.5674,1158.9178,1191.4099,1225.14,1259.9678,1296.1201,1333.5452,1372.4192,1412.5669,1454.2292
5 Non-ferrous metals,361.412,440.4893,480.5815,474.4731,479.9049,482.5002,487.734,494.1136,643.6055,443.7349,323.9419,333.9024,344.3191,355.1796,366.3705,378.2045,390.478,403.3596,416.7966,430.6899,445.2747,461.0574,477.5484,494.6777,512.5076,531.0842,550.3681,570.4396,591.3224,613.074,635.6477,659.2008,683.7284,709.2693,735.7611,763.3573,792.2141,822.089,853.3862,885.8185,919.698,940.9266,962.9086,985.6937,1009.7225,1033.7993,1059.088,1085.3163,1112.5299,1140.7065,1169.9131,1200.1849,1231.5353,1264.0273,1297.7574,1332.5853,1368.7375,1406.1627,1445.0367,1485.1843,1526.8468
6 Chemicals,361.412,433.5161,477.7244,472.9995,475.6885,478.9295,483.8025,489.3449,637.4949,436.3412,314.9983,324.438,334.2957,344.5591,355.1403,366.3008,377.863,389.9823,402.6063,415.6484,429.3185,444.339,460.0169,476.295,493.2357,510.8723,529.1779,548.2204,568.0234,588.6443,610.0365,632.3447,655.5637,679.7325,704.8015,730.8987,758.1675,786.4036,815.9476,846.5633,878.5244,899.7532,921.735,944.5203,968.5491,992.6259,1017.9146,1044.1427,1071.3563,1099.5331,1128.7396,1159.0114,1190.3618,1222.8538,1256.584,1291.4117,1327.564,1364.9891,1403.8632,1444.0107,1485.6732
7 Non-metallics nes,361.412,433.2959,478.0447,474.4312,477.0958,481.3489,484.7855,491.4154,640.0449,439.4268,318.7306,328.3877,338.4786,348.9913,359.8269,371.2684,383.1275,395.5649,408.5282,421.9255,435.9773,451.3159,467.3331,483.9665,501.2782,519.3071,538.021,557.4929,577.7466,598.8393,620.7245,643.5522,667.3174,692.0588,717.7216,744.4443,772.3759,801.2958,831.5714,862.9453,895.7069,916.9357,938.9175,961.7028,985.7316,1009.8083,1035.097,1061.3252,1088.5388,1116.7156,1145.9221,1176.1938,1207.5443,1240.0363,1273.7665,1308.5942,1344.7465,1382.1716,1421.0457,1461.1932,1502.8557
8 Ore-extra.(non-energy),361.412,407.6065,458.4645,458.4645,458.4645,458.4645,458.4645,458.4645,600.9524,392.1255,261.5141,267.8389,274.3538,281.0466,287.9811,295.1151,302.4229,309.9839,317.7456,325.6977,333.8978,344.3599,355.1757,366.3637,377.9862,390.0009,402.4567,415.3455,428.6909,442.5503,456.8771,471.74,487.134,503.0978,519.658,536.7904,554.5627,572.9985,592.0583,611.8101,632.2994,653.5281,675.51,698.2952,722.324,746.4008,771.6895,797.9177,825.1313,853.308,882.5146,912.7864,944.1368,976.6288,1010.3589,1045.1868,1081.339,1118.7642,1157.6382,1197.7858,1239.4482
"9 Food, drink & tob.",361.412,407.6065,458.4645,458.4645,458.4645,458.4645,458.4645,458.4645,600.9524,392.1255,261.5141,267.8389,274.3538,281.0466,287.9811,295.1151,302.4229,309.9839,317.7456,325.6977,333.8978,344.3599,355.1757,366.3637,377.9862,390.0009,402.4567,415.3455,428.6909,442.5503,456.8771,471.74,487.134,503.0978,519.658,536.7904,554.5627,572.9985,592.0583,611.8101,632.2994,653.5281,675.51,698.2952,722.324,746.4008,771.6895,797.9177,825.1313,853.308,882.5146,912.7864,944.1368,976.6288,1010.3589,1045.1868,1081.339,1118.7642,1157.6382,1197.7858,1239.4482
"10 Tex., cloth. & footw.",361.412,407.6065,458.4645,458.4645,458.4645,458.4645,458.4645,458.4645,600.9524,392.1255,261.5141,267.8389,274.3538,281.0466,287.9811,295.1151,302.4229,309.9839,317.7456,325.6977,333.8978,344.3599,355.1757,366.3637,377.9862,390.0009,402.4567,415.3455,428.6909,442.5503,456.8771,471.74,487.134,503.0978,519.658,536.7904,554.5627,572.9985,592.0583,611.8101,632.2994,653.5281,675.51,698.2952,722.324,746.4008,771.6895,797.9177,825.1313,853.308,882.5146,912.7864,944.1368,976.6288,1010.3589,1045.1868,1081.339,1118.7642,1157.6382,1197.7858,1239.4482
