Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Power own use & trans.,195.3929,175.0679,141.1202,188.608,207.5031,156.1862,149.8559,198.3003,168.7431,193.4753,193.4753,193.4753,484.168,324.3587,189.3163,123.2657,125.4734,127.9764,130.5488,133.1987,135.9411,139.2624,142.6464,146.0706,149.57,153.1339,156.8076,160.5558,164.4022,168.3477,172.4067,176.5564,180.7872,185.1552,189.5948,194.17,198.8332,203.5995,208.5048,213.5013,218.6342
2 O.energy own use & tra,195.3929,175.0679,141.1202,188.608,207.5031,156.1862,149.8559,198.3003,168.7431,193.4753,193.4753,193.4753,484.168,324.3587,189.3163,123.2657,125.4734,127.9764,130.5488,133.1987,135.9411,139.2624,142.6464,146.0706,149.57,153.1339,156.8076,160.5558,164.4022,168.3477,172.4067,176.5564,180.7872,185.1552,189.5948,194.17,198.8332,203.5995,208.5048,213.5013,218.6342
3 Hydrogen production,195.3929,175.0679,141.1202,188.608,207.5031,156.1862,149.8559,198.3003,168.7431,193.4753,193.4753,193.4753,484.168,324.3587,189.3163,123.2657,125.4734,127.9764,130.5488,133.1987,135.9411,139.2624,142.6464,146.0706,149.57,153.1339,156.8076,160.5558,164.4022,168.3477,172.4067,176.5564,180.7872,185.1552,189.5948,194.17,198.8332,203.5995,208.5048,213.5013,218.6342
4 Iron & steel,163.4204,148.0047,121.1377,163.8914,176.9088,125.4292,132.8145,178.4393,173.2586,158.2761,126.9326,126.9326,402.0328,250.7955,122.9967,77.5867,79.9821,82.698,85.4893,88.3645,91.3402,94.9441,98.6159,102.3314,106.1285,109.9956,113.9817,118.0488,122.2224,126.5035,130.9078,135.4106,140.0011,144.7408,149.558,154.5224,159.5823,164.754,170.0766,175.4981,181.0677
5 Non-ferrous metals,163.4204,148.0047,121.1377,163.8914,176.9088,125.4292,132.8145,178.4393,173.2586,158.2761,126.9326,126.9326,402.0328,250.7955,122.9967,77.5867,79.9821,82.698,85.4893,88.3645,91.3402,94.9441,98.6159,102.3314,106.1285,109.9956,113.9817,118.0488,122.2224,126.5035,130.9078,135.4106,140.0011,144.7408,149.558,154.5224,159.5823,164.754,170.0766,175.4981,181.0677
6 Chemicals,163.4204,148.0047,121.1377,163.8914,176.9088,125.4292,132.8145,178.4393,173.2586,158.2761,126.9326,126.9326,402.0328,250.7955,122.9967,77.5867,79.9821,82.698,85.4893,88.3645,91.3402,94.9441,98.6159,102.3314,106.1285,109.9956,113.9817,118.0488,122.2224,126.5035,130.9078,135.4106,140.0011,144.7408,149.558,154.5224,159.5823,164.754,170.0766,175.4981,181.0677
7 Non-metallics nes,163.4204,148.0047,121.1377,163.8914,176.9088,125.4292,132.8145,178.4393,173.2586,158.2761,126.9326,126.9326,402.0328,250.7955,122.9967,77.5867,79.9821,82.698,85.4893,88.3645,91.3402,94.9441,98.6159,102.3314,106.1285,109.9956,113.9817,118.0488,122.2224,126.5035,130.9078,135.4106,140.0011,144.7408,149.558,154.5224,159.5823,164.754,170.0766,175.4981,181.0677
8 Ore-extra.(non-energy),163.4204,148.0047,121.1377,163.8914,176.9088,125.4292,132.8145,178.4393,173.2586,158.2761,126.9326,126.9326,402.0328,250.7955,122.9967,77.5867,79.9821,82.698,85.4893,88.3645,91.3402,94.9441,98.6159,102.3314,106.1285,109.9956,113.9817,118.0488,122.2224,126.5035,130.9078,135.4106,140.0011,144.7408,149.558,154.5224,159.5823,164.754,170.0766,175.4981,181.0677
"9 Food, drink & tob.",163.4204,148.0047,121.1377,163.8914,176.9088,125.4292,132.8145,178.4393,173.2586,158.2761,126.9326,126.9326,402.0328,250.7955,122.9967,77.5867,79.9821,82.698,85.4893,88.3645,91.3402,94.9441,98.6159,102.3314,106.1285,109.9956,113.9817,118.0488,122.2224,126.5035,130.9078,135.4106,140.0011,144.7408,149.558,154.5224,159.5823,164.754,170.0766,175.4981,181.0677
"10 Tex., cloth. & footw.",163.4204,148.0047,121.1377,163.8914,176.9088,125.4292,132.8145,178.4393,173.2586,158.2761,126.9326,126.9326,402.0328,250.7955,122.9967,77.5867,79.9821,82.698,85.4893,88.3645,91.3402,94.9441,98.6159,102.3314,106.1285,109.9956,113.9817,118.0488,122.2224,126.5035,130.9078,135.4106,140.0011,144.7408,149.558,154.5224,159.5823,164.754,170.0766,175.4981,181.0677
