,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,143.555,190.6848,204.7131,199.6766,202.4599,205.8397,209.0869,213.6596,281.0051,196.1491,147.1478,152.3054,157.652,163.1579,168.6817,174.4355,180.2504,186.1687,192.1549,198.1692,204.3257,210.5707,217.1773,224.2686,232.2308,240.6494,249.3064,258.2753,267.6431,277.3954,287.5443,298.1451,309.3195,320.6173,332.7961,345.1768,358.3596,371.7242,385.8862,400.5527,415.8558,424.609,433.7951,443.3919,453.3409,463.6374,474.2632,485.2132,496.4684,508.0079,519.6784,532.0557,544.2565,556.9362,570.1815,583.2101,596.9989,611.2589,625.9294,641.0771,656.6882
2 O.energy own use & tra,143.555,174.5481,193.1368,191.7787,192.8028,194.2884,195.1602,196.4517,261.0944,172.9681,119.3126,123.0874,127.0129,131.0852,135.2727,139.677,144.2391,149.0016,153.9488,159.0655,164.429,170.4448,176.7243,183.2595,190.0325,197.0928,204.4184,212.0292,219.9558,228.1947,236.7439,245.653,255.0323,264.4422,274.6498,284.9589,295.9371,307.041,318.7884,330.9851,343.7044,353.0153,362.6823,372.7386,383.1644,393.9874,405.2154,416.8621,428.9597,441.4836,454.3057,468.0081,481.7233,496.0942,511.2571,526.3773,542.2744,558.8162,575.9711,593.7682,612.2261
3 Hydrogen production,340.6515,363.1187,394.2523,394.2523,394.2523,394.2523,394.2523,394.2523,518.6827,336.3204,222.2613,227.804,233.4999,239.3408,245.3637,251.5724,257.9485,264.5276,271.278,278.2193,285.4071,294.5076,303.9388,313.7339,323.8577,334.3592,345.2444,356.503,368.197,380.319,392.8651,405.8851,419.6011,433.1282,448.0601,462.896,478.7277,494.6119,511.3406,528.723,546.7564,565.4897,584.9393,605.1725,626.1489,647.9243,670.5147,693.9474,718.2875,743.4852,769.2828,796.8516,824.4462,853.36,883.8674,914.2888,946.2731,979.5548,1014.0699,1049.8773,1087.0138
4 Iron & steel,340.6515,387.6386,411.6813,406.6448,409.4281,412.8079,416.0551,420.6278,550.5586,374.8896,268.9154,277.1752,285.7869,294.7426,303.9464,313.6674,323.7546,334.3099,345.3016,356.683,368.6423,381.719,395.3914,409.6266,424.3893,439.7948,455.7827,472.4092,489.7361,507.7562,526.4655,545.9799,566.5217,587.206,609.5601,632.2158,656.3313,680.7643,706.6383,733.4974,761.5375,780.2708,799.7204,819.9536,840.93,862.7054,885.2958,908.7286,933.0686,958.2663,984.0639,1011.6327,1039.2273,1068.1411,1098.6486,1129.0698,1161.0542,1194.3359,1228.851,1264.6584,1301.7949
5 Non-ferrous metals,340.6515,386.2776,410.6458,405.6813,408.0402,411.6364,414.7363,419.0584,548.8309,372.7991,266.3867,274.4993,282.9529,291.7398,300.7712,310.3018,320.1879,330.5277,341.2895,352.4302,364.1309,376.9921,390.4347,404.4293,418.9405,434.0801,449.7916,466.1271,483.1487,500.8491,519.2243,538.3868,558.5586,578.855,600.8068,623.0387,646.7052,670.6749,696.0532,722.3986,749.8964,768.6296,788.0792,808.3124,829.2888,851.0643,873.6547,897.0874,921.4274,946.6251,972.4227,999.9915,1027.5862,1056.5,1087.0074,1117.4287,1149.4131,1182.6948,1217.2098,1253.0173,1290.1538
6 Chemicals,340.6515,391.1239,413.0467,407.671,410.6489,412.7313,416.6897,422.0178,551.1292,375.58,269.7505,278.0589,286.7228,295.7343,304.995,314.7789,324.9326,335.559,346.6266,358.0875,370.1322,383.2801,397.0284,411.3431,426.1888,441.6821,457.7614,474.4839,491.9117,510.0374,528.8569,548.4876,569.1516,589.964,612.4509,635.2467,659.5104,684.0964,710.1342,737.1628,765.3821,784.1154,803.5649,823.7982,844.7745,866.55,889.1404,912.5731,936.9131,962.1108,987.9084,1015.4772,1043.0719,1071.9857,1102.4932,1132.9144,1164.8988,1198.1805,1232.6956,1268.5031,1305.6395
7 Non-metallics nes,340.6515,386.9591,411.1442,406.1813,408.8326,412.2099,415.3185,419.8813,549.5928,373.7209,267.5018,275.6792,284.2026,293.0639,302.1713,311.7859,321.7607,332.1955,343.0587,354.3055,366.1202,379.0765,392.6204,406.7211,421.3432,436.6,452.4334,468.8973,486.0535,503.8948,522.4174,541.735,562.0699,582.5375,604.6666,627.0854,650.95,675.1239,700.7208,727.2927,755.0297,773.7629,793.2125,813.4457,834.4221,856.1975,878.788,902.2207,926.5607,951.7584,977.556,1005.1248,1032.7195,1061.6332,1092.1406,1122.562,1154.5464,1187.828,1222.3431,1258.1505,1295.287
8 Ore-extra.(non-energy),340.6515,363.1187,394.2523,394.2523,394.2523,394.2523,394.2523,394.2523,518.6827,336.3204,222.2613,227.804,233.4999,239.3408,245.3637,251.5724,257.9485,264.5276,271.278,278.2193,285.4071,294.5076,303.9388,313.7339,323.8577,334.3592,345.2444,356.503,368.197,380.319,392.8651,405.8851,419.6011,433.1282,448.0601,462.896,478.7277,494.6119,511.3406,528.723,546.7564,565.4897,584.9393,605.1725,626.1489,647.9243,670.5147,693.9474,718.2875,743.4852,769.2828,796.8516,824.4462,853.36,883.8674,914.2888,946.2731,979.5548,1014.0699,1049.8773,1087.0138
"9 Food, drink & tob.",340.6515,363.1187,394.2523,394.2523,394.2523,394.2523,394.2523,394.2523,518.6827,336.3204,222.2613,227.804,233.4999,239.3408,245.3637,251.5724,257.9485,264.5276,271.278,278.2193,285.4071,294.5076,303.9388,313.7339,323.8577,334.3592,345.2444,356.503,368.197,380.319,392.8651,405.8851,419.6011,433.1282,448.0601,462.896,478.7277,494.6119,511.3406,528.723,546.7564,565.4897,584.9393,605.1725,626.1489,647.9243,670.5147,693.9474,718.2875,743.4852,769.2828,796.8516,824.4462,853.36,883.8674,914.2888,946.2731,979.5548,1014.0699,1049.8773,1087.0138
"10 Tex., cloth. & footw.",340.6515,363.1187,394.2523,394.2523,394.2523,394.2523,394.2523,394.2523,518.6827,336.3204,222.2613,227.804,233.4999,239.3408,245.3637,251.5724,257.9485,264.5276,271.278,278.2193,285.4071,294.5076,303.9388,313.7339,323.8577,334.3592,345.2444,356.503,368.197,380.319,392.8651,405.8851,419.6011,433.1282,448.0601,462.896,478.7277,494.6119,511.3406,528.723,546.7564,565.4897,584.9393,605.1725,626.1489,647.9243,670.5147,693.9474,718.2875,743.4852,769.2828,796.8516,824.4462,853.36,883.8674,914.2888,946.2731,979.5548,1014.0699,1049.8773,1087.0138
