Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Power own use & trans.,86.0365,94.7514,106.6803,106.3223,94.949,85.4329,77.196,96.9824,76.7661,87.8985,86.8759,86.1784,355.6684,207.5154,82.3228,151.4268,155.7958,160.7626,165.8672,171.1253,176.5672,183.1578,189.8727,196.6674,203.6115,210.6835,217.9732,225.411,233.0434,240.8725,248.9271,257.1615,265.5566,274.2244,283.0338,292.1125,301.366,310.8238,320.5576,330.4724,340.6577
2 O.energy own use & tra,86.0365,94.7514,106.6803,106.3223,94.949,85.4329,77.196,96.9824,76.7661,87.8985,86.8759,86.1784,355.6684,207.5154,82.3228,151.4268,155.7958,160.7626,165.8672,171.1253,176.5672,183.1578,189.8727,196.6674,203.6115,210.6835,217.9732,225.411,233.0434,240.8725,248.9271,257.1615,265.5566,274.2244,283.0338,292.1125,301.366,310.8238,320.5576,330.4724,340.6577
3 Hydrogen production,86.0365,94.7514,106.6803,106.3223,94.949,85.4329,77.196,96.9824,76.7661,87.8985,86.8759,86.1784,355.6684,207.5154,82.3228,151.4268,155.7958,160.7626,165.8672,171.1253,176.5672,183.1578,189.8727,196.6674,203.6115,210.6835,217.9732,225.411,233.0434,240.8725,248.9271,257.1615,265.5566,274.2244,283.0338,292.1125,301.366,310.8238,320.5576,330.4724,340.6577
4 Iron & steel,27.4732,25.3543,33.7701,34.8712,31.0142,31.2975,49.895,49.49,47.2243,49.8144,49.8144,49.8144,318.2828,170.6914,45.9734,85.9478,89.7847,94.1466,98.6293,103.247,108.026,113.8138,119.7108,125.678,131.7762,137.9868,144.3886,150.9204,157.6232,164.4987,171.5722,178.8036,186.1762,193.7882,201.5246,209.4974,217.6238,225.9296,234.4778,243.1848,252.1296
5 Non-ferrous metals,27.4732,25.3543,33.7701,34.8712,31.0142,31.2975,49.895,49.49,47.2243,49.8144,49.8144,49.8144,318.2828,170.6914,45.9734,85.9478,89.7847,94.1466,98.6293,103.247,108.026,113.8138,119.7108,125.678,131.7762,137.9868,144.3886,150.9204,157.6232,164.4987,171.5722,178.8036,186.1762,193.7882,201.5246,209.4974,217.6238,225.9296,234.4778,243.1848,252.1296
6 Chemicals,27.4732,25.3543,33.7701,34.8712,31.0142,31.2975,49.895,49.49,47.2243,49.8144,49.8144,49.8144,318.2828,170.6914,45.9734,85.9478,89.7847,94.1466,98.6293,103.247,108.026,113.8138,119.7108,125.678,131.7762,137.9868,144.3886,150.9204,157.6232,164.4987,171.5722,178.8036,186.1762,193.7882,201.5246,209.4974,217.6238,225.9296,234.4778,243.1848,252.1296
7 Non-metallics nes,27.4732,25.3543,33.7701,34.8712,31.0142,31.2975,49.895,49.49,47.2243,49.8144,49.8144,49.8144,318.2828,170.6914,45.9734,85.9478,89.7847,94.1466,98.6293,103.247,108.026,113.8138,119.7108,125.678,131.7762,137.9868,144.3886,150.9204,157.6232,164.4987,171.5722,178.8036,186.1762,193.7882,201.5246,209.4974,217.6238,225.9296,234.4778,243.1848,252.1296
8 Ore-extra.(non-energy),27.4732,25.3543,33.7701,34.8712,31.0142,31.2975,49.895,49.49,47.2243,49.8144,49.8144,49.8144,318.2828,170.6914,45.9734,85.9478,89.7847,94.1466,98.6293,103.247,108.026,113.8138,119.7108,125.678,131.7762,137.9868,144.3886,150.9204,157.6232,164.4987,171.5722,178.8036,186.1762,193.7882,201.5246,209.4974,217.6238,225.9296,234.4778,243.1848,252.1296
"9 Food, drink & tob.",27.4732,25.3543,33.7701,34.8712,31.0142,31.2975,49.895,49.49,47.2243,49.8144,49.8144,49.8144,318.2828,170.6914,45.9734,85.9478,89.7847,94.1466,98.6293,103.247,108.026,113.8138,119.7108,125.678,131.7762,137.9868,144.3886,150.9204,157.6232,164.4987,171.5722,178.8036,186.1762,193.7882,201.5246,209.4974,217.6238,225.9296,234.4778,243.1848,252.1296
"10 Tex., cloth. & footw.",27.4732,25.3543,33.7701,34.8712,31.0142,31.2975,49.895,49.49,47.2243,49.8144,49.8144,49.8144,318.2828,170.6914,45.9734,85.9478,89.7847,94.1466,98.6293,103.247,108.026,113.8138,119.7108,125.678,131.7762,137.9868,144.3886,150.9204,157.6232,164.4987,171.5722,178.8036,186.1762,193.7882,201.5246,209.4974,217.6238,225.9296,234.4778,243.1848,252.1296
11 Paper & pulp,27.4732,25.3543,33.7701,34.8712,31.0142,31.2975,49.895,49.49,47.2243,49.8144,49.8144,49.8144,318.2828,170.6914,45.9734,85.9478,89.7847,94.1466,98.6293,103.247,108.026,113.8138,119.7108,125.678,131.7762,137.9868,144.3886,150.9204,157.6232,164.4987,171.5722,178.8036,186.1762,193.7882,201.5246,209.4974,217.6238,225.9296,234.4778,243.1848,252.1296
12 Engineering etc,27.4732,25.3543,33.7701,34.8712,31.0142,31.2975,49.895,49.49,47.2243,49.8144,49.8144,49.8144,318.2828,170.6914,45.9734,85.9478,89.7847,94.1466,98.6293,103.247,108.026,113.8138,119.7108,125.678,131.7762,137.9868,144.3886,150.9204,157.6232,164.4987,171.5722,178.8036,186.1762,193.7882,201.5246,209.4974,217.6238,225.9296,234.4778,243.1848,252.1296
13 Other industry,27.4732,25.3543,33.7701,34.8712,31.0142,31.2975,49.895,49.49,47.2243,49.8144,49.8144,49.8144,318.2828,170.6914,45.9734,85.9478,89.7847,94.1466,98.6293,103.247,108.026,113.8138,119.7108,125.678,131.7762,137.9868,144.3886,150.9204,157.6232,164.4987,171.5722,178.8036,186.1762,193.7882,201.5246,209.4974,217.6238,225.9296,234.4778,243.1848,252.1296
14 Construction,27.4732,25.3543,33.7701,34.8712,31.0142,31.2975,49.895,49.49,47.2243,49.8144,49.8144,49.8144,318.2828,170.6914,45.9734,85.9478,89.7847,94.1466,98.6293,103.247,108.026,113.8138,119.7108,125.678,131.7762,137.9868,144.3886,150.9204,157.6232,164.4987,171.5722,178.8036,186.1762,193.7882,201.5246,209.4974,217.6238,225.9296,234.4778,243.1848,252.1296
15 Rail transport,68.6793,76.9902,88.1682,94.6644,86.5074,69.6397,66.6078,75.9598,70.2273,73.4457,67.1379,66.6053,390.3157,212.3548,61.9739,89.0401,93.2891,98.1194,103.0835,108.1971,113.4893,119.8987,126.4289,133.0369,139.79,146.6676,153.7568,160.99,168.4126,176.0264,183.8595,191.8675,200.0318,208.4612,217.0284,225.8574,234.8565,244.0542,253.5204,263.1625,273.0679
16 Road transport,68.6793,76.9902,88.1682,94.6644,86.5074,69.6397,66.6078,75.9598,70.2273,73.4457,67.1379,66.6053,390.3157,212.3548,61.9739,89.0401,93.2891,98.1194,103.0835,108.1971,113.4893,119.8987,126.4289,133.0369,139.79,146.6676,153.7568,160.99,168.4126,176.0264,183.8595,191.8675,200.0318,208.4612,217.0284,225.8574,234.8565,244.0542,253.5204,263.1625,273.0679
17 Domestic aviation,68.6793,76.9902,88.1682,94.6644,86.5074,69.6397,66.6078,75.9598,70.2273,73.4457,67.1379,66.6053,390.3157,212.3548,61.9739,89.0401,93.2891,98.1194,103.0835,108.1971,113.4893,119.8987,126.4289,133.0369,139.79,146.6676,153.7568,160.99,168.4126,176.0264,183.8595,191.8675,200.0318,208.4612,217.0284,225.8574,234.8565,244.0542,253.5204,263.1625,273.0679
18 Other transp. serv.,68.6793,76.9902,88.1682,94.6644,86.5074,69.6397,66.6078,75.9598,70.2273,73.4457,67.1379,66.6053,390.3157,212.3548,61.9739,89.0401,93.2891,98.1194,103.0835,108.1971,113.4893,119.8987,126.4289,133.0369,139.79,146.6676,153.7568,160.99,168.4126,176.0264,183.8595,191.8675,200.0318,208.4612,217.0284,225.8574,234.8565,244.0542,253.5204,263.1625,273.0679
19 Households,68.6793,76.9902,88.1682,94.6644,86.5074,69.6397,66.6078,75.9598,70.2273,73.4457,67.1379,66.6053,390.3157,212.3548,61.9739,89.0401,93.2891,98.1194,103.0835,108.1971,113.4893,119.8987,126.4289,133.0369,139.79,146.6676,153.7568,160.99,168.4126,176.0264,183.8595,191.8675,200.0318,208.4612,217.0284,225.8574,234.8565,244.0542,253.5204,263.1625,273.0679
"20 Agriculture, forestry",68.6793,76.9902,88.1682,94.6644,86.5074,69.6397,66.6078,75.9598,70.2273,73.4457,67.1379,66.6053,390.3157,212.3548,61.9739,89.0401,93.2891,98.1194,103.0835,108.1971,113.4893,119.8987,126.4289,133.0369,139.79,146.6676,153.7568,160.99,168.4126,176.0264,183.8595,191.8675,200.0318,208.4612,217.0284,225.8574,234.8565,244.0542,253.5204,263.1625,273.0679
21 Fishing,68.6793,76.9902,88.1682,94.6644,86.5074,69.6397,66.6078,75.9598,70.2273,73.4457,67.1379,66.6053,390.3157,212.3548,61.9739,89.0401,93.2891,98.1194,103.0835,108.1971,113.4893,119.8987,126.4289,133.0369,139.79,146.6676,153.7568,160.99,168.4126,176.0264,183.8595,191.8675,200.0318,208.4612,217.0284,225.8574,234.8565,244.0542,253.5204,263.1625,273.0679
22 Other final use,68.6793,76.9902,88.1682,94.6644,86.5074,69.6397,66.6078,75.9598,70.2273,73.4457,67.1379,66.6053,390.3157,212.3548,61.9739,89.0401,93.2891,98.1194,103.0835,108.1971,113.4893,119.8987,126.4289,133.0369,139.79,146.6676,153.7568,160.99,168.4126,176.0264,183.8595,191.8675,200.0318,208.4612,217.0284,225.8574,234.8565,244.0542,253.5204,263.1625,273.0679
23 Non-energy use,68.6793,76.9902,88.1682,94.6644,86.5074,69.6397,66.6078,75.9598,70.2273,73.4457,67.1379,66.6053,390.3157,212.3548,61.9739,89.0401,93.2891,98.1194,103.0835,108.1971,113.4893,119.8987,126.4289,133.0369,139.79,146.6676,153.7568,160.99,168.4126,176.0264,183.8595,191.8675,200.0318,208.4612,217.0284,225.8574,234.8565,244.0542,253.5204,263.1625,273.0679
24 Aviation bunkers,68.6793,76.9902,88.1682,94.6644,86.5074,69.6397,66.6078,75.9598,70.2273,73.4457,67.1379,66.6053,390.3157,212.3548,61.9739,89.0401,93.2891,98.1194,103.0835,108.1971,113.4893,119.8987,126.4289,133.0369,139.79,146.6676,153.7568,160.99,168.4126,176.0264,183.8595,191.8675,200.0318,208.4612,217.0284,225.8574,234.8565,244.0542,253.5204,263.1625,273.0679
25 Marine bunkers,68.6793,76.9902,88.1682,94.6644,86.5074,69.6397,66.6078,75.9598,70.2273,73.4457,67.1379,66.6053,390.3157,212.3548,61.9739,89.0401,93.2891,98.1194,103.0835,108.1971,113.4893,119.8987,126.4289,133.0369,139.79,146.6676,153.7568,160.99,168.4126,176.0264,183.8595,191.8675,200.0318,208.4612,217.0284,225.8574,234.8565,244.0542,253.5204,263.1625,273.0679
