Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Power own use & trans.,326.7788,396.5712,468.4786,466.1988,456.2943,364.0996,266.1005,301.8573,346.1639,319.0201,231.4991,296.7168,715.9435,506.4781,322.2395,398.9434,406.4473,414.8018,423.3807,432.2068,441.3222,452.0514,462.9901,474.0782,485.412,496.963,508.8553,520.9944,533.4451,546.2114,559.3334,572.75,586.4358,600.5455,614.9007,629.6773,644.7472,660.1519,675.991,692.1354,708.7095
2 O.energy own use & tra,326.7788,400.6491,469.9572,466.8128,457.5462,365.3786,266.6466,303.0451,349.4035,324.1208,235.2722,306.5242,731.9928,525.8155,342.0361,419.2098,427.1945,436.041,445.1233,454.4645,464.107,475.3755,486.866,498.5188,510.4302,522.5722,535.0691,547.8267,560.9102,574.324,588.1083,602.2025,616.5815,631.4004,646.481,661.9998,677.8288,694.0102,710.6438,727.601,745.0065
3 Hydrogen production,326.7788,384.1058,463.23,462.8389,452.5766,359.0697,262.8997,297.8413,336.0246,303.0557,219.6898,266.0205,665.711,445.9798,260.3021,335.5334,341.5309,348.344,355.3459,362.5586,370.0233,379.0637,388.2746,397.5951,407.1204,416.8212,426.8205,437.023,447.4925,458.232,469.2805,480.5757,492.0915,503.9812,516.0652,528.5186,541.2117,554.1852,567.5372,581.1374,595.1089
4 Iron & steel,393.0381,473.5721,533.3987,544.6384,565.1152,517.2004,400.3248,357.7012,374.2912,424.9345,347.6209,360.8418,848.1816,594.9734,375.9378,426.1931,433.6411,441.983,450.5513,459.3698,468.483,479.3027,490.3316,501.5052,512.9258,524.5625,536.5475,548.7796,561.3276,574.1954,587.4252,600.9517,614.7472,628.9766,643.4486,658.3511,673.5465,689.079,705.0541,721.3339,738.0502
5 Non-ferrous metals,393.0381,464.8463,529.7247,542.2865,562.5128,513.6795,398.0842,354.89,367.1937,413.7594,339.3544,339.3544,813.0189,552.6202,332.5776,381.8024,388.1962,395.4594,402.924,410.6133,418.5712,428.2089,438.0284,447.9648,458.1195,468.4612,479.1212,489.9978,501.1591,512.6082,524.3866,536.4282,548.7048,561.3802,574.2626,587.5388,601.0706,614.9012,629.1354,643.6343,658.529
6 Chemicals,393.0381,489.5036,539.5034,549.4868,571.7192,526.2026,406.1714,365.0803,389.5243,448.9195,365.3632,406.9598,923.6509,685.8754,469.0012,521.468,531.1788,541.836,552.773,564.015,575.6079,588.9646,602.5891,616.4183,630.5557,644.972,659.8007,674.9421,690.4666,706.3793,722.7242,739.4375,756.4932,774.0577,791.9417,810.3345,829.1005,848.2855,867.9971,888.0992,908.7255
7 Non-metallics nes,393.0381,479.7368,536.2164,546.5546,567.1132,520.0299,402.1681,359.9264,380.0652,434.0262,354.3463,378.3233,876.7891,629.4307,411.2144,462.308,470.6138,479.8333,489.2995,499.0366,509.0898,520.8712,532.8839,545.0642,557.5146,570.205,583.2679,596.6028,610.2791,624.301,638.7117,653.4462,668.4775,683.9711,699.7365,715.9619,732.5109,749.4279,766.8193,784.548,802.7465
8 Ore-extra.(non-energy),393.0381,464.8463,529.7247,542.2865,562.5128,513.6795,398.0842,354.89,367.1937,413.7594,339.3544,339.3544,813.0189,552.6202,332.5776,381.8024,388.1962,395.4594,402.924,410.6133,418.5712,428.2089,438.0284,447.9648,458.1195,468.4612,479.1212,489.9978,501.1591,512.6082,524.3866,536.4282,548.7048,561.3802,574.2626,587.5388,601.0706,614.9012,629.1354,643.6343,658.529
"9 Food, drink & tob.",393.0381,464.8463,529.7247,542.2865,562.5128,513.6795,398.0842,354.89,367.1937,413.7594,339.3544,339.3544,813.0189,552.6202,332.5776,381.8024,388.1962,395.4594,402.924,410.6133,418.5712,428.2089,438.0284,447.9648,458.1195,468.4612,479.1212,489.9978,501.1591,512.6082,524.3866,536.4282,548.7048,561.3802,574.2626,587.5388,601.0706,614.9012,629.1354,643.6343,658.529
"10 Tex., cloth. & footw.",393.0381,464.8463,529.7247,542.2865,562.5128,513.6795,398.0842,354.89,367.1937,413.7594,339.3544,339.3544,813.0189,552.6202,332.5776,381.8024,388.1962,395.4594,402.924,410.6133,418.5712,428.2089,438.0284,447.9648,458.1195,468.4612,479.1212,489.9978,501.1591,512.6082,524.3866,536.4282,548.7048,561.3802,574.2626,587.5388,601.0706,614.9012,629.1354,643.6343,658.529
11 Paper & pulp,393.0381,498.8931,542.0428,551.7999,573.1307,526.0697,405.3746,363.0341,392.3506,453.3688,368.6545,415.5149,937.6508,702.738,486.2648,539.1418,549.2724,560.359,571.7355,583.4271,595.48,609.3073,623.4132,637.735,652.3764,667.3083,682.6646,698.3457,714.4222,730.8998,747.8226,765.127,782.7875,800.9708,819.4877,838.5279,857.9563,877.8189,898.2236,919.0347,940.3864
12 Engineering etc,393.0381,464.8463,529.7247,542.2865,562.5128,513.6795,398.0842,354.89,367.1937,413.7594,339.3544,339.3544,813.0189,552.6202,332.5776,381.8024,388.1962,395.4594,402.924,410.6133,418.5712,428.2089,438.0284,447.9648,458.1195,468.4612,479.1212,489.9978,501.1591,512.6082,524.3866,536.4282,548.7048,561.3802,574.2626,587.5388,601.0706,614.9012,629.1354,643.6343,658.529
13 Other industry,393.0381,482.115,537.1789,547.1517,567.8378,520.9396,402.671,360.5037,381.0374,435.5573,355.4788,381.2671,881.6063,635.2331,417.1548,468.3895,476.8397,486.207,495.8244,505.7162,515.9277,527.871,540.0494,552.3992,565.023,577.8909,591.1353,604.6559,618.5221,632.7385,647.348,662.2858,677.5253,693.2318,709.215,725.6632,742.4401,759.5902,777.2202,795.1927,813.6409
14 Construction,393.0381,464.8463,529.7247,542.2865,562.5128,513.6795,398.0842,354.89,367.1937,413.7594,339.3544,339.3544,813.0189,552.6202,332.5776,381.8024,388.1962,395.4594,402.924,410.6133,418.5712,428.2089,438.0284,447.9648,458.1195,468.4612,479.1212,489.9978,501.1591,512.6082,524.3866,536.4282,548.7048,561.3802,574.2626,587.5388,601.0706,614.9012,629.1354,643.6343,658.529
