Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Power own use & trans.,83.0069,92.1115,102.933,102.4519,91.5079,81.7804,74.0003,95.0402,74.0802,84.5911,84.5911,84.5911,451.38,249.7365,79.3434,84.228,88.5702,93.5195,98.606,103.8455,109.2682,115.8355,122.5267,129.2974,136.2169,143.264,150.5279,157.9394,165.5449,173.3464,181.3725,189.5777,197.9433,206.5804,215.3588,224.4054,233.6261,243.0506,252.75,262.6298,272.7792
2 O.energy own use & tra,83.0069,92.1115,102.933,102.4519,91.5079,81.7804,74.0003,95.0402,74.0802,84.5911,84.5911,84.5911,451.38,249.7365,79.3434,84.228,88.5702,93.5195,98.606,103.8455,109.2682,115.8355,122.5267,129.2974,136.2169,143.264,150.5279,157.9394,165.5449,173.3464,181.3725,189.5777,197.9433,206.5804,215.3588,224.4054,233.6261,243.0506,252.75,262.6298,272.7792
3 Hydrogen production,83.0069,92.1115,102.933,102.4519,91.5079,81.7804,74.0003,95.0402,74.0802,84.5911,84.5911,84.5911,451.38,249.7365,79.3434,84.228,88.5702,93.5195,98.606,103.8455,109.2682,115.8355,122.5267,129.2974,136.2169,143.264,150.5279,157.9394,165.5449,173.3464,181.3725,189.5777,197.9433,206.5804,215.3588,224.4054,233.6261,243.0506,252.75,262.6298,272.7792
4 Iron & steel,91.0383,101.0238,112.8924,112.3647,100.3618,89.6931,81.1602,104.2359,81.2479,92.7757,92.7757,92.7757,464.606,260.191,87.4559,130.1115,135.1849,140.9678,146.911,153.033,159.3689,167.0423,174.8604,182.7715,190.8564,199.0903,207.5776,216.2374,225.1239,234.2393,243.6171,253.2043,262.9788,273.0706,283.3274,293.8977,304.6714,315.6832,327.0161,338.5598,350.4187
5 Non-ferrous metals,91.0383,101.0238,112.8924,112.3647,100.3618,89.6931,81.1602,104.2359,81.2479,92.7757,92.7757,92.7757,464.606,260.191,87.4559,130.1115,135.1849,140.9678,146.911,153.033,159.3689,167.0423,174.8604,182.7715,190.8564,199.0903,207.5776,216.2374,225.1239,234.2393,243.6171,253.2043,262.9788,273.0706,283.3274,293.8977,304.6714,315.6832,327.0161,338.5598,350.4187
6 Chemicals,91.0383,101.0238,112.8924,112.3647,100.3618,89.6931,81.1602,104.2359,81.2479,92.7757,92.7757,92.7757,464.606,260.191,87.4559,130.1115,135.1849,140.9678,146.911,153.033,159.3689,167.0423,174.8604,182.7715,190.8564,199.0903,207.5776,216.2374,225.1239,234.2393,243.6171,253.2043,262.9788,273.0706,283.3274,293.8977,304.6714,315.6832,327.0161,338.5598,350.4187
7 Non-metallics nes,91.0383,101.0238,112.8924,112.3647,100.3618,89.6931,81.1602,104.2359,81.2479,92.7757,92.7757,92.7757,464.606,260.191,87.4559,130.1115,135.1849,140.9678,146.911,153.033,159.3689,167.0423,174.8604,182.7715,190.8564,199.0903,207.5776,216.2374,225.1239,234.2393,243.6171,253.2043,262.9788,273.0706,283.3274,293.8977,304.6714,315.6832,327.0161,338.5598,350.4187
8 Ore-extra.(non-energy),91.0383,101.0238,112.8924,112.3647,100.3618,89.6931,81.1602,104.2359,81.2479,92.7757,92.7757,92.7757,464.606,260.191,87.4559,130.1115,135.1849,140.9678,146.911,153.033,159.3689,167.0423,174.8604,182.7715,190.8564,199.0903,207.5776,216.2374,225.1239,234.2393,243.6171,253.2043,262.9788,273.0706,283.3274,293.8977,304.6714,315.6832,327.0161,338.5598,350.4187
"9 Food, drink & tob.",91.0383,101.0238,112.8924,112.3647,100.3618,89.6931,81.1602,104.2359,81.2479,92.7757,92.7757,92.7757,464.606,260.191,87.4559,130.1115,135.1849,140.9678,146.911,153.033,159.3689,167.0423,174.8604,182.7715,190.8564,199.0903,207.5776,216.2374,225.1239,234.2393,243.6171,253.2043,262.9788,273.0706,283.3274,293.8977,304.6714,315.6832,327.0161,338.5598,350.4187
"10 Tex., cloth. & footw.",91.0383,101.0238,112.8924,112.3647,100.3618,89.6931,81.1602,104.2359,81.2479,92.7757,92.7757,92.7757,464.606,260.191,87.4559,130.1115,135.1849,140.9678,146.911,153.033,159.3689,167.0423,174.8604,182.7715,190.8564,199.0903,207.5776,216.2374,225.1239,234.2393,243.6171,253.2043,262.9788,273.0706,283.3274,293.8977,304.6714,315.6832,327.0161,338.5598,350.4187
