Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Power own use & trans.,160.34,187.3514,218.8615,216.2886,206.8855,175.3983,141.9538,162.16,153.3602,146.9975,128.561,126.7948,472.1599,282.2943,121.8536,195.5347,200.8712,206.9344,213.1657,219.5845,226.2276,234.273,242.4701,250.7648,259.2415,267.8746,276.7733,285.8529,295.1702,304.7275,314.5599,324.612,334.8602,345.4413,356.1953,367.2779,378.574,390.1195,402.002,414.1051,426.539
2 O.energy own use & tra,160.34,187.3514,218.8615,216.2886,206.8855,175.3983,141.9538,162.16,153.3602,146.9975,128.561,126.7948,472.1599,282.2943,121.8536,195.5347,200.8712,206.9344,213.1657,219.5845,226.2276,234.273,242.4701,250.7648,259.2415,267.8746,276.7733,285.8529,295.1702,304.7275,314.5599,324.612,334.8602,345.4413,356.1953,367.2779,378.574,390.1195,402.002,414.1051,426.539
3 Hydrogen production,160.34,187.3514,218.8615,216.2886,206.8855,175.3983,141.9538,162.16,153.3602,146.9975,128.561,126.7948,472.1599,282.2943,121.8536,195.5347,200.8712,206.9344,213.1657,219.5845,226.2276,234.273,242.4701,250.7648,259.2415,267.8746,276.7733,285.8529,295.1702,304.7275,314.5599,324.612,334.8602,345.4413,356.1953,367.2779,378.574,390.1195,402.002,414.1051,426.539
4 Iron & steel,81.5274,96.5963,103.1014,102.2928,99.3026,106.9314,98.775,103.3844,94.4569,106.9452,99.0677,99.0677,565.1737,308.9303,92.399,100.2341,105.7991,112.1219,118.6201,125.3137,132.2413,140.6313,149.1794,157.8293,166.6691,175.6719,184.9517,194.4201,204.1363,214.103,224.3564,234.8389,245.526,256.5602,267.7748,279.332,291.1118,303.1518,315.5431,328.1646,341.1309
5 Non-ferrous metals,81.5274,96.5963,103.1014,102.2928,99.3026,106.9314,98.775,103.3844,94.4569,106.9452,99.0677,99.0677,565.1737,308.9303,92.399,100.2341,105.7991,112.1219,118.6201,125.3137,132.2413,140.6313,149.1794,157.8293,166.6691,175.6719,184.9517,194.4201,204.1363,214.103,224.3564,234.8389,245.526,256.5602,267.7748,279.332,291.1118,303.1518,315.5431,328.1646,341.1309
6 Chemicals,81.5274,96.5963,103.1014,102.2928,99.3026,106.9314,98.775,103.3844,94.4569,106.9452,99.0677,99.0677,565.1737,308.9303,92.399,100.2341,105.7991,112.1219,118.6201,125.3137,132.2413,140.6313,149.1794,157.8293,166.6691,175.6719,184.9517,194.4201,204.1363,214.103,224.3564,234.8389,245.526,256.5602,267.7748,279.332,291.1118,303.1518,315.5431,328.1646,341.1309
7 Non-metallics nes,81.5274,96.5963,103.1014,102.2928,99.3026,106.9314,98.775,103.3844,94.4569,106.9452,99.0677,99.0677,565.1737,308.9303,92.399,100.2341,105.7991,112.1219,118.6201,125.3137,132.2413,140.6313,149.1794,157.8293,166.6691,175.6719,184.9517,194.4201,204.1363,214.103,224.3564,234.8389,245.526,256.5602,267.7748,279.332,291.1118,303.1518,315.5431,328.1646,341.1309
8 Ore-extra.(non-energy),81.5274,96.5963,103.1014,102.2928,99.3026,106.9314,98.775,103.3844,94.4569,106.9452,99.0677,99.0677,565.1737,308.9303,92.399,100.2341,105.7991,112.1219,118.6201,125.3137,132.2413,140.6313,149.1794,157.8293,166.6691,175.6719,184.9517,194.4201,204.1363,214.103,224.3564,234.8389,245.526,256.5602,267.7748,279.332,291.1118,303.1518,315.5431,328.1646,341.1309
"9 Food, drink & tob.",81.5274,96.5963,103.1014,102.2928,99.3026,106.9314,98.775,103.3844,94.4569,106.9452,99.0677,99.0677,565.1737,308.9303,92.399,100.2341,105.7991,112.1219,118.6201,125.3137,132.2413,140.6313,149.1794,157.8293,166.6691,175.6719,184.9517,194.4201,204.1363,214.103,224.3564,234.8389,245.526,256.5602,267.7748,279.332,291.1118,303.1518,315.5431,328.1646,341.1309
"10 Tex., cloth. & footw.",81.5274,96.5963,103.1014,102.2928,99.3026,106.9314,98.775,103.3844,94.4569,106.9452,99.0677,99.0677,565.1737,308.9303,92.399,100.2341,105.7991,112.1219,118.6201,125.3137,132.2413,140.6313,149.1794,157.8293,166.6691,175.6719,184.9517,194.4201,204.1363,214.103,224.3564,234.8389,245.526,256.5602,267.7748,279.332,291.1118,303.1518,315.5431,328.1646,341.1309
