,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,53.3411,47.3163,36.7616,36.7616,36.7616,36.7616,36.7616,36.7616,49.3841,30.874,19.2958,19.8581,20.437,21.0301,21.6417,22.2722,22.9194,23.5873,24.2725,24.9772,25.7068,26.6308,27.5883,28.5827,29.6106,30.6767,31.782,32.9251,34.1125,35.3433,36.6171,37.939,39.3316,40.7049,42.2209,43.7272,45.3346,46.9474,48.6459,50.4108,52.2418,54.1439,56.1187,58.1731,60.303,62.514,64.8077,67.187,69.6584,72.217,74.8363,77.6356,80.4375,83.3734,86.4711,89.5601,92.8077,96.1871,99.6917,103.3276,107.0985
2 O.energy own use & tra,53.3411,47.3163,36.7616,36.7616,36.7616,36.7616,36.7616,36.7616,49.3841,30.874,19.2958,19.8581,20.437,21.0301,21.6417,22.2722,22.9194,23.5873,24.2725,24.9772,25.7068,26.6308,27.5883,28.5827,29.6106,30.6767,31.782,32.9251,34.1125,35.3433,36.6171,37.939,39.3316,40.7049,42.2209,43.7272,45.3346,46.9474,48.6459,50.4108,52.2418,54.1439,56.1187,58.1731,60.303,62.514,64.8077,67.187,69.6584,72.217,74.8363,77.6356,80.4375,83.3734,86.4711,89.5601,92.8077,96.1871,99.6917,103.3276,107.0985
3 Hydrogen production,215.2408,194.169,158.6824,158.6824,158.6824,158.6824,158.6824,158.6824,213.168,133.2684,83.2907,85.7183,88.2168,90.777,93.417,96.1384,98.9322,101.8151,104.773,107.8147,110.9643,114.9525,119.0856,123.3782,127.8148,132.417,137.1878,142.1222,147.2474,152.5602,158.0589,163.7648,169.7757,175.7039,182.2478,188.7497,195.6882,202.6497,209.9814,217.5997,225.5033,233.7137,242.2381,251.106,260.2995,269.8434,279.7444,290.0147,300.6826,311.7266,323.033,335.1164,347.2109,359.8837,373.2549,386.5885,400.6071,415.1944,430.3222,446.0165,462.2935
4 Iron & steel,215.2408,194.169,158.6824,158.6824,158.6824,158.6824,158.6824,158.6824,213.168,133.2684,83.2907,85.7183,88.2168,90.777,93.417,96.1384,98.9322,101.8151,104.773,107.8147,110.9643,114.9525,119.0856,123.3782,127.8148,132.417,137.1878,142.1222,147.2474,152.5602,158.0589,163.7648,169.7757,175.7039,182.2478,188.7497,195.6882,202.6497,209.9814,217.5997,225.5033,233.7137,242.2381,251.106,260.2995,269.8434,279.7444,290.0147,300.6826,311.7266,323.033,335.1164,347.2109,359.8837,373.2549,386.5885,400.6071,415.1944,430.3222,446.0165,462.2935
5 Non-ferrous metals,215.2408,194.169,158.6824,158.6824,158.6824,158.6824,158.6824,158.6824,213.168,133.2684,83.2907,85.7183,88.2168,90.777,93.417,96.1384,98.9322,101.8151,104.773,107.8147,110.9643,114.9525,119.0856,123.3782,127.8148,132.417,137.1878,142.1222,147.2474,152.5602,158.0589,163.7648,169.7757,175.7039,182.2478,188.7497,195.6882,202.6497,209.9814,217.5997,225.5033,233.7137,242.2381,251.106,260.2995,269.8434,279.7444,290.0147,300.6826,311.7266,323.033,335.1164,347.2109,359.8837,373.2549,386.5885,400.6071,415.1944,430.3222,446.0165,462.2935
6 Chemicals,215.2408,194.169,158.6824,158.6824,158.6824,158.6824,158.6824,158.6824,213.168,133.2684,83.2907,85.7183,88.2168,90.777,93.417,96.1384,98.9322,101.8151,104.773,107.8147,110.9643,114.9525,119.0856,123.3782,127.8148,132.417,137.1878,142.1222,147.2474,152.5602,158.0589,163.7648,169.7757,175.7039,182.2478,188.7497,195.6882,202.6497,209.9814,217.5997,225.5033,233.7137,242.2381,251.106,260.2995,269.8434,279.7444,290.0147,300.6826,311.7266,323.033,335.1164,347.2109,359.8837,373.2549,386.5885,400.6071,415.1944,430.3222,446.0165,462.2935
7 Non-metallics nes,215.2408,194.169,158.6824,158.6824,158.6824,158.6824,158.6824,158.6824,213.168,133.2684,83.2907,85.7183,88.2168,90.777,93.417,96.1384,98.9322,101.8151,104.773,107.8147,110.9643,114.9525,119.0856,123.3782,127.8148,132.417,137.1878,142.1222,147.2474,152.5602,158.0589,163.7648,169.7757,175.7039,182.2478,188.7497,195.6882,202.6497,209.9814,217.5997,225.5033,233.7137,242.2381,251.106,260.2995,269.8434,279.7444,290.0147,300.6826,311.7266,323.033,335.1164,347.2109,359.8837,373.2549,386.5885,400.6071,415.1944,430.3222,446.0165,462.2935
8 Ore-extra.(non-energy),215.2408,194.169,158.6824,158.6824,158.6824,158.6824,158.6824,158.6824,213.168,133.2684,83.2907,85.7183,88.2168,90.777,93.417,96.1384,98.9322,101.8151,104.773,107.8147,110.9643,114.9525,119.0856,123.3782,127.8148,132.417,137.1878,142.1222,147.2474,152.5602,158.0589,163.7648,169.7757,175.7039,182.2478,188.7497,195.6882,202.6497,209.9814,217.5997,225.5033,233.7137,242.2381,251.106,260.2995,269.8434,279.7444,290.0147,300.6826,311.7266,323.033,335.1164,347.2109,359.8837,373.2549,386.5885,400.6071,415.1944,430.3222,446.0165,462.2935
"9 Food, drink & tob.",215.2408,194.169,158.6824,158.6824,158.6824,158.6824,158.6824,158.6824,213.168,133.2684,83.2907,85.7183,88.2168,90.777,93.417,96.1384,98.9322,101.8151,104.773,107.8147,110.9643,114.9525,119.0856,123.3782,127.8148,132.417,137.1878,142.1222,147.2474,152.5602,158.0589,163.7648,169.7757,175.7039,182.2478,188.7497,195.6882,202.6497,209.9814,217.5997,225.5033,233.7137,242.2381,251.106,260.2995,269.8434,279.7444,290.0147,300.6826,311.7266,323.033,335.1164,347.2109,359.8837,373.2549,386.5885,400.6071,415.1944,430.3222,446.0165,462.2935
"10 Tex., cloth. & footw.",215.2408,194.169,158.6824,158.6824,158.6824,158.6824,158.6824,158.6824,213.168,133.2684,83.2907,85.7183,88.2168,90.777,93.417,96.1384,98.9322,101.8151,104.773,107.8147,110.9643,114.9525,119.0856,123.3782,127.8148,132.417,137.1878,142.1222,147.2474,152.5602,158.0589,163.7648,169.7757,175.7039,182.2478,188.7497,195.6882,202.6497,209.9814,217.5997,225.5033,233.7137,242.2381,251.106,260.2995,269.8434,279.7444,290.0147,300.6826,311.7266,323.033,335.1164,347.2109,359.8837,373.2549,386.5885,400.6071,415.1944,430.3222,446.0165,462.2935
11 Paper & pulp,215.2408,194.169,158.6824,158.6824,158.6824,158.6824,158.6824,158.6824,213.168,133.2684,83.2907,85.7183,88.2168,90.777,93.417,96.1384,98.9322,101.8151,104.773,107.8147,110.9643,114.9525,119.0856,123.3782,127.8148,132.417,137.1878,142.1222,147.2474,152.5602,158.0589,163.7648,169.7757,175.7039,182.2478,188.7497,195.6882,202.6497,209.9814,217.5997,225.5033,233.7137,242.2381,251.106,260.2995,269.8434,279.7444,290.0147,300.6826,311.7266,323.033,335.1164,347.2109,359.8837,373.2549,386.5885,400.6071,415.1944,430.3222,446.0165,462.2935
12 Engineering etc,215.2408,194.169,158.6824,158.6824,158.6824,158.6824,158.6824,158.6824,213.168,133.2684,83.2907,85.7183,88.2168,90.777,93.417,96.1384,98.9322,101.8151,104.773,107.8147,110.9643,114.9525,119.0856,123.3782,127.8148,132.417,137.1878,142.1222,147.2474,152.5602,158.0589,163.7648,169.7757,175.7039,182.2478,188.7497,195.6882,202.6497,209.9814,217.5997,225.5033,233.7137,242.2381,251.106,260.2995,269.8434,279.7444,290.0147,300.6826,311.7266,323.033,335.1164,347.2109,359.8837,373.2549,386.5885,400.6071,415.1944,430.3222,446.0165,462.2935
