Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Power own use & trans.,160.7826,160.7826,173.4451,167.8024,112.9217,73.5051,73.5051,73.5051,73.5051,74.2341,74.2341,74.2341,442.7459,240.2459,69.8222,74.964,79.5258,84.813,90.1146,95.5999,101.2377,108.1431,115.0495,122.1582,129.4157,136.8008,144.4027,152.1523,160.0958,168.2354,176.5074,185.2657,194.092,203.1593,212.5212,221.9981,231.6797,241.6571,251.8175,262.1581,272.8606
2 O.energy own use & tra,160.7826,160.7826,173.4451,167.8024,112.9217,73.5051,73.5051,73.5051,73.5051,73.628,73.628,73.628,440.7072,238.9194,68.5212,73.4588,77.842,82.8486,87.9717,93.2529,98.7121,105.3368,112.0646,118.8927,125.8696,132.974,140.2953,147.7642,155.4271,163.2861,171.354,179.653,188.0966,196.8067,205.6839,214.8036,224.1025,233.6207,243.3984,253.3563,263.5995
3 Hydrogen production,160.7826,160.7826,173.4451,167.8024,112.9217,73.5051,73.5051,73.5051,73.5051,73.5051,73.5051,73.5051,440.2939,238.6505,68.2574,73.1536,77.5006,82.4503,87.5372,92.777,98.2,104.7678,111.4594,118.2306,125.1506,132.1981,139.4625,146.8746,154.4805,162.2826,170.3091,178.5151,186.8811,195.5188,204.2977,213.3449,222.5663,231.9913,241.6915,251.5718,261.7219
4 Iron & steel,280.252,280.252,464.8783,449.7545,361.1457,375.8664,353.6934,347.6219,385.1408,331.28,221.6792,221.6792,794.2898,479.5859,214.3474,190.9368,197.3599,204.7663,212.2459,219.9746,227.9343,237.6515,247.4229,257.4308,267.651,278.0534,288.7656,299.6886,310.8885,322.3686,334.0771,346.3488,358.7569,371.5224,384.643,397.9933,411.623,425.6357,439.9492,454.5201,469.5682
5 Non-ferrous metals,280.252,280.252,464.8783,449.7545,361.1457,375.8664,353.6934,347.6219,385.1408,330.9633,221.3625,221.3625,793.2246,478.8928,213.6676,190.1503,196.4801,203.7398,211.1261,218.7482,226.6146,236.1852,245.8633,255.7245,265.7981,276.0538,286.6194,297.3958,308.4491,319.7825,331.3844,343.4161,355.6243,368.2032,381.0704,394.2342,407.6639,421.4366,435.5502,449.9211,464.7293
6 Chemicals,280.252,280.252,464.8783,449.7545,361.1457,375.8664,353.6934,347.6219,385.1408,330.9624,221.3616,221.3616,793.2217,478.8908,213.6657,190.1482,196.4777,203.737,211.123,218.7448,226.6109,236.1811,245.8589,255.7198,265.793,276.0483,286.6135,297.3894,308.4423,319.7753,331.377,343.408,355.6156,368.194,381.0606,394.2238,407.653,421.425,435.5381,449.9084,464.7159
7 Non-metallics nes,280.252,280.252,464.8783,449.7545,361.1457,375.8664,353.6934,347.6219,385.1408,330.964,221.3632,221.3632,793.2268,478.8942,213.669,190.152,196.4819,203.7419,211.1284,218.7508,226.6173,236.1882,245.8665,255.7281,265.8019,276.058,286.6239,297.4005,308.4541,319.7878,331.39,343.4222,355.6308,368.21,381.0779,394.242,407.6721,421.4453,435.5594,449.9307,464.7393
8 Ore-extra.(non-energy),280.252,280.252,464.8783,449.7545,361.1457,375.8664,353.6934,347.6219,385.1408,330.551,220.9502,220.9502,791.8378,477.9903,212.7824,189.1263,195.3346,202.4034,209.6682,217.1514,224.8963,234.276,243.8326,253.5029,263.3856,273.4504,283.825,294.4105,305.2729,316.4153,327.8784,339.5977,351.5455,363.8814,376.4189,389.3397,402.5091,415.9694,429.8226,443.9332,458.429
"9 Food, drink & tob.",280.252,280.252,464.8783,449.7545,361.1457,375.8664,353.6934,347.6219,385.1408,330.551,220.9502,220.9502,791.8378,477.9903,212.7824,189.1263,195.3346,202.4034,209.6682,217.1514,224.8963,234.276,243.8326,253.5029,263.3856,273.4504,283.825,294.4105,305.2729,316.4153,327.8784,339.5977,351.5455,363.8814,376.4189,389.3397,402.5091,415.9694,429.8226,443.9332,458.429
"10 Tex., cloth. & footw.",280.252,280.252,464.8783,449.7545,361.1457,375.8664,353.6934,347.6219,385.1408,330.551,220.9502,220.9502,791.8378,477.9903,212.7824,189.1263,195.3346,202.4034,209.6682,217.1514,224.8963,234.276,243.8326,253.5029,263.3856,273.4504,283.825,294.4105,305.2729,316.4153,327.8784,339.5977,351.5455,363.8814,376.4189,389.3397,402.5091,415.9694,429.8226,443.9332,458.429
