Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,997.293,1066.637,1035.8689,1001.7433,1011.2072,1020.4454,1029.8483,1039.0885,1048.5927,1078.1694,1108.4592,1139.2961,1171.0049,1203.2013,1236.1199,1269.7405,1304.0704,1339.3553,1375.2964,1413.1196,1451.8981,1491.564,1532.0852,1573.4429,1615.9518,1659.2455,1703.4341,1748.6227,1794.8708,1854.6047,1917.3542,1983.0896,2052.5947,2125.353,2202.3447,2283.4053,2368.9299,2459.3765,2555.0486,2656.1035,2763.1562,2876.7852,2997.4478,3125.7397,3262.1726,3407.3726,3561.9314,3727.0122,3903.0356
2 O.energy own use & tra,790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,1000.1284,1068.7527,1039.1552,1005.674,1015.8057,1025.6882,1035.7532,1045.6377,1055.8097,1086.0718,1117.053,1148.5752,1180.9928,1213.8745,1247.4844,1281.7904,1316.8057,1352.7993,1389.4318,1428.0691,1467.6619,1508.1479,1549.4834,1591.6553,1635.002,1679.1157,1724.1187,1770.1215,1817.1897,1878.9856,1943.9906,2012.1746,2084.386,2160.0618,2240.2754,2324.8389,2414.1885,2508.8237,2609.0708,2715.1052,2827.6174,2947.1924,3074.363,3209.7666,3353.9731,3507.6611,3671.4756,3846.6965,4033.78
3 Hydrogen production,790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,968.9728,1045.5049,1003.0449,962.4833,965.2771,968.0793,970.8706,973.6747,976.5088,999.2399,1022.6257,1046.6169,1071.2461,1096.5968,1122.6112,1149.3862,1176.8706,1205.0758,1234.1128,1263.8031,1294.4487,1325.9233,1358.3116,1391.5365,1425.6786,1460.7809,1496.8367,1533.8925,1571.9492,1611.0878,1651.3112,1692.5895,1735.063,1778.6837,1823.4951,1869.5669,1916.8846,1965.4969,2015.473,2066.7947,2119.3164,2173.5581,2229.2166,2286.4778,2345.2683,2405.688,2467.8015,2531.6021,2597.1594
4 Iron & steel,790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,997.293,1066.637,1035.8689,1001.7433,1011.2072,1020.4454,1029.8483,1039.0885,1048.5927,1078.1694,1108.4592,1139.2961,1171.0049,1203.2013,1236.1199,1269.7405,1304.0704,1339.3553,1375.2964,1413.1196,1451.8981,1491.564,1532.0852,1573.4429,1615.9518,1659.2455,1703.4341,1748.6227,1794.8708,1854.6047,1917.3542,1983.0896,2052.5947,2125.353,2202.3447,2283.4053,2368.9299,2459.3765,2555.0486,2656.1035,2763.1562,2876.7852,2997.4478,3125.7397,3262.1726,3407.3726,3561.9314,3727.0122,3903.0356
5 Non-ferrous metals,790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,994.6705,1064.6802,1032.8293,998.1078,1006.954,1015.5963,1024.387,1033.0312,1041.9177,1070.8606,1100.5111,1130.714,1161.7673,1193.3297,1225.6089,1258.5957,1292.2917,1326.921,1362.2229,1399.293,1437.3182,1476.2257,1515.9937,1556.5984,1598.3325,1640.8677,1684.3032,1728.7386,1774.2283,1832.0551,1892.7188,1956.1893,2023.1912,2093.2515,2167.2634,2245.084,2327.0706,2413.6433,2505.084,2601.5337,2703.5366,2811.6665,2926.3096,3048.0242,3177.2673,3314.6167,3460.615,3616.3171,3782.1116
6 Chemicals,790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,994.6705,1064.6802,1032.8293,998.1078,1006.954,1015.5963,1024.387,1033.0312,1041.9177,1070.8606,1100.5111,1130.714,1161.7673,1193.3297,1225.6089,1258.5957,1292.2917,1326.921,1362.2229,1399.293,1437.3182,1476.2257,1515.9937,1556.5984,1598.3325,1640.8677,1684.3032,1728.7386,1774.2283,1832.0551,1892.7188,1956.1893,2023.1912,2093.2515,2167.2634,2245.084,2327.0706,2413.6433,2505.084,2601.5337,2703.5366,2811.6665,2926.3096,3048.0242,3177.2673,3314.6167,3460.615,3616.3171,3782.1116
7 Non-metallics nes,790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,994.6705,1064.6802,1032.8293,998.1078,1006.954,1015.5963,1024.387,1033.0312,1041.9177,1070.8606,1100.5111,1130.714,1161.7673,1193.3297,1225.6089,1258.5957,1292.2917,1326.921,1362.2229,1399.293,1437.3182,1476.2257,1515.9937,1556.5984,1598.3325,1640.8677,1684.3032,1728.7386,1774.2283,1832.0551,1892.7188,1956.1893,2023.1912,2093.2515,2167.2634,2245.084,2327.0706,2413.6433,2505.084,2601.5337,2703.5366,2811.6665,2926.3096,3048.0242,3177.2673,3314.6167,3460.615,3616.3171,3782.1116
8 Ore-extra.(non-energy),790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,968.9728,1045.5049,1003.0449,962.4833,965.2771,968.0793,970.8706,973.6747,976.5088,999.2399,1022.6257,1046.6169,1071.2461,1096.5968,1122.6112,1149.3862,1176.8706,1205.0758,1234.1128,1263.8031,1294.4487,1325.9233,1358.3116,1391.5365,1425.6786,1460.7809,1496.8367,1533.8925,1571.9492,1611.0878,1651.3112,1692.5895,1735.063,1778.6837,1823.4951,1869.5669,1916.8846,1965.4969,2015.473,2066.7947,2119.3164,2173.5581,2229.2166,2286.4778,2345.2683,2405.688,2467.8015,2531.6021,2597.1594
"9 Food, drink & tob.",790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,968.9728,1045.5049,1003.0449,962.4833,965.2771,968.0793,970.8706,973.6747,976.5088,999.2399,1022.6257,1046.6169,1071.2461,1096.5968,1122.6112,1149.3862,1176.8706,1205.0758,1234.1128,1263.8031,1294.4487,1325.9233,1358.3116,1391.5365,1425.6786,1460.7809,1496.8367,1533.8925,1571.9492,1611.0878,1651.3112,1692.5895,1735.063,1778.6837,1823.4951,1869.5669,1916.8846,1965.4969,2015.473,2066.7947,2119.3164,2173.5581,2229.2166,2286.4778,2345.2683,2405.688,2467.8015,2531.6021,2597.1594
"10 Tex., cloth. & footw.",790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,968.9728,1045.5049,1003.0449,962.4833,965.2771,968.0793,970.8706,973.6747,976.5088,999.2399,1022.6257,1046.6169,1071.2461,1096.5968,1122.6112,1149.3862,1176.8706,1205.0758,1234.1128,1263.8031,1294.4487,1325.9233,1358.3116,1391.5365,1425.6786,1460.7809,1496.8367,1533.8925,1571.9492,1611.0878,1651.3112,1692.5895,1735.063,1778.6837,1823.4951,1869.5669,1916.8846,1965.4969,2015.473,2066.7947,2119.3164,2173.5581,2229.2166,2286.4778,2345.2683,2405.688,2467.8015,2531.6021,2597.1594
