Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
2 O.energy own use & tra,713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
3 Hydrogen production,713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
4 Iron & steel,713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
5 Non-ferrous metals,713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
6 Chemicals,713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
7 Non-metallics nes,713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
8 Ore-extra.(non-energy),713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
"9 Food, drink & tob.",713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
"10 Tex., cloth. & footw.",713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
11 Paper & pulp,713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
12 Engineering etc,713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
13 Other industry,713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
14 Construction,713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
15 Rail transport,713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
16 Road transport,434.9335,429.4939,434.1786,421.1902,424.382,534.7729,417.9193,397.492,356.487,378.4119,361.3622,361.3622,636.0992,725.8765,676.5411,629.3668,632.8137,636.158,639.5755,643.0338,646.1216,672.5533,699.7643,727.7106,756.4067,785.9693,816.2693,847.4753,879.4241,912.2947,946.1505,980.9462,1016.7321,1053.4724,1091.2812,1130.0486,1169.8684,1210.926,1252.9734,1296.1575,1340.6294,1385.8904,1432.5093,1480.1514,1529.2952,1579.6897,1631.4229,1684.5859,1739.3115,1795.323,1853.0437,1912.1714,1972.8706,2035.2839,2099.3052,2165.1558,2232.7209,2302.0945,2373.4153,2446.6497,2521.9004
17 Domestic aviation,713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
18 Other transp. serv.,713.0013,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,875.6272,1150.3643,1240.1415,1190.8062,1143.6317,1147.0786,1150.423,1153.8405,1157.2988,1160.3866,1186.8182,1214.0293,1241.9756,1270.6716,1300.2343,1330.5343,1361.7402,1393.6891,1426.5597,1460.4154,1495.2112,1530.9971,1567.7373,1605.5463,1644.3136,1684.1334,1725.1909,1767.2384,1810.4225,1854.8943,1900.1553,1946.7742,1994.4163,2043.5601,2093.9546,2145.688,2198.8508,2253.5764,2309.5879,2367.3086,2426.4363,2487.1355,2549.5488,2613.5701,2679.4207,2746.9858,2816.3594,2887.6802,2960.9146,3036.1653
