,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,779.7745,993.2004,1076.0725,1069.6858,1073.2152,1077.5011,1081.6189,1087.4174,1387.5293,1264.8768,868.9994,919.7847,973.4318,1024.1058,1081.8759,1146.7793,1200.2799,1255.2775,1315.0586,1382.7333,1461.6949,1498.303,1541.6461,1591.6453,1648.1581,1711.1112,1783.8766,1861.7622,1944.8729,2032.5598,2125.4399,2228.3706,2338.2551,2454.7664,2578.0181,2708.7498,2851.7002,3003.6753,3163.4907,3332.272,3509.5122,3679.7202,3852.1375,4040.9817,4231.7002,4439.9707,4644.5654,4865.8276,5095.8423,5336.9995,5588.6216,5852.8364,6129.4507,6419.5894,6723.188,7040.7876,7372.5898,7718.979,8081.8384,8462.1357,8860.4902
2 O.energy own use & tra,779.7745,986.3372,1070.2472,1065.5812,1067.5347,1071.7483,1072.8301,1076.2076,1375.4956,1250.3165,851.3868,901.1464,953.6927,1003.191,1059.7601,1123.3376,1175.4373,1228.9337,1287.1136,1353.1122,1430.2726,1465.3795,1507.1215,1555.4445,1610.2061,1671.3079,1742.1469,1818.006,1898.9902,1984.4504,2075.0042,2175.4829,2282.7905,2396.5999,2517.0498,2644.8293,2784.6523,2933.4001,3089.7632,3254.967,3428.4297,3598.6377,3771.0547,3959.8989,4150.6172,4358.8877,4563.4824,4784.7446,5014.7593,5255.9165,5507.5386,5771.7534,6048.3677,6338.5063,6642.105,6959.7046,7291.5068,7637.896,8000.7554,8381.0537,8779.4082
3 Hydrogen production,779.7745,962.1071,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1347.1079,1215.9679,809.838,857.1779,907.1274,953.8517,1007.588,1068.0376,1116.8322,1166.7876,1221.1903,1283.2346,1356.1458,1387.7115,1425.6764,1470.0452,1520.6754,1577.4099,1643.7045,1714.7832,1790.7509,1870.9585,1956.0234,2050.7185,2151.9473,2259.3826,2373.2224,2494.0378,2626.4836,2767.6182,2915.8367,3072.6008,3237.1516,3407.3596,3579.7769,3768.6211,3959.3394,4167.6099,4372.2046,4593.4668,4823.4814,5064.6387,5316.2607,5580.4756,5857.0898,6147.2285,6450.8271,6768.4268,7100.229,7446.6182,7809.4775,8189.7754,8588.1299
4 Iron & steel,779.7745,993.2004,1076.0725,1069.6858,1073.2152,1077.5011,1081.6189,1087.4174,1387.5293,1264.8768,868.9994,919.7847,973.4318,1024.1058,1081.8759,1146.7793,1200.2799,1255.2776,1315.0586,1382.7333,1461.6949,1498.303,1541.6461,1591.6453,1648.1581,1711.1112,1783.8766,1861.7622,1944.8729,2032.5598,2125.4399,2228.3706,2338.2551,2454.7664,2578.0181,2708.7498,2851.7002,3003.6753,3163.4907,3332.272,3509.5122,3679.7202,3852.1375,4040.9817,4231.7002,4439.9707,4644.5654,4865.8276,5095.8423,5336.9995,5588.6216,5852.8364,6129.4507,6419.5894,6723.188,7040.7876,7372.5898,7718.979,8081.8384,8462.1357,8860.4902
5 Non-ferrous metals,779.7745,1003.8053,1082.0172,1074.2712,1081.1592,1084.4503,1091.0873,1099.1771,1401.1957,1281.413,889.0018,940.952,995.8493,1047.8588,1106.9926,1173.4019,1228.4937,1285.1959,1346.7954,1416.3738,1497.3812,1535.6938,1580.8555,1632.7583,1691.2599,1756.3157,1831.2687,1911.4558,1996.9816,2087.197,2182.7197,2288.4348,2401.2458,2520.8254,2647.2595,2781.344,2927.8457,3083.4863,3247.2227,3420.0669,3601.5974,3771.8054,3944.2227,4133.0669,4323.7852,4532.0557,4736.6504,4957.9126,5187.9272,5429.0845,5680.7065,5944.9214,6221.5356,6511.6743,6815.2729,7132.8726,7464.6748,7811.064,8173.9233,8554.2217,8952.5762
6 Chemicals,779.7745,994.9626,1078.3943,1072.4026,1075.8125,1079.9224,1086.1018,1093.13,1393.4469,1272.0371,877.6606,928.9503,983.1388,1034.3911,1092.7516,1158.3071,1212.4967,1268.2324,1328.8008,1397.2998,1477.1473,1514.4935,1558.624,1609.4475,1666.8215,1730.6851,1804.3977,1883.2799,1967.4364,2056.2183,2150.2427,2254.3789,2365.5305,2483.3704,2608.0002,2740.1836,2884.6719,3038.2341,3199.7473,3370.2881,3549.386,3719.594,3892.0112,4080.8555,4271.5737,4479.8442,4684.439,4905.7012,5135.7158,5376.873,5628.4951,5892.71,6169.3242,6459.4629,6763.0615,7080.6611,7412.4634,7758.8525,8121.7119,8502.0098,8900.3643
7 Non-metallics nes,779.7745,994.6835,1078.8004,1074.2181,1077.597,1082.9904,1087.3483,1095.7555,1396.6807,1275.9498,882.3935,933.9589,988.4431,1040.0114,1098.6946,1164.6064,1219.1725,1275.3116,1336.3103,1405.2598,1485.5913,1523.3408,1567.9016,1619.1755,1677.0201,1741.3812,1815.6115,1895.0382,1979.7661,2069.1462,2163.7959,2268.5911,2380.4351,2499.0012,2624.3838,2757.3606,2902.6892,3057.1187,3219.5596,3391.0618,3571.1748,3741.3828,3913.8,4102.644,4293.3623,4501.6328,4706.2275,4927.4897,5157.5044,5398.6616,5650.2837,5914.4985,6191.1128,6481.2515,6784.8501,7102.4497,7434.252,7780.6411,8143.5005,8523.7988,8922.1533
8 Ore-extra.(non-energy),779.7745,962.1071,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1347.1079,1215.9679,809.838,857.1779,907.1274,953.8517,1007.588,1068.0376,1116.8322,1166.7876,1221.1903,1283.2346,1356.1458,1387.7115,1425.6764,1470.0452,1520.6754,1577.4099,1643.7045,1714.7832,1790.7509,1870.9585,1956.0234,2050.7185,2151.9473,2259.3826,2373.2224,2494.0378,2626.4836,2767.6182,2915.8367,3072.6008,3237.1516,3407.3596,3579.7769,3768.6211,3959.3394,4167.6099,4372.2046,4593.4668,4823.4814,5064.6387,5316.2607,5580.4756,5857.0898,6147.2285,6450.8271,6768.4268,7100.229,7446.6182,7809.4775,8189.7754,8588.1299
"9 Food, drink & tob.",779.7745,962.1071,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1347.1079,1215.9679,809.838,857.1779,907.1274,953.8517,1007.588,1068.0376,1116.8322,1166.7876,1221.1903,1283.2346,1356.1458,1387.7115,1425.6764,1470.0452,1520.6754,1577.4099,1643.7045,1714.7832,1790.7509,1870.9585,1956.0234,2050.7185,2151.9473,2259.3826,2373.2224,2494.0378,2626.4836,2767.6182,2915.8367,3072.6008,3237.1516,3407.3596,3579.7769,3768.6211,3959.3394,4167.6099,4372.2046,4593.4668,4823.4814,5064.6387,5316.2607,5580.4756,5857.0898,6147.2285,6450.8271,6768.4268,7100.229,7446.6182,7809.4775,8189.7754,8588.1299
"10 Tex., cloth. & footw.",779.7745,962.1071,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1347.1079,1215.9679,809.838,857.1779,907.1274,953.8517,1007.588,1068.0376,1116.8322,1166.7876,1221.1903,1283.2346,1356.1458,1387.7115,1425.6764,1470.0452,1520.6754,1577.4099,1643.7045,1714.7832,1790.7509,1870.9585,1956.0234,2050.7185,2151.9473,2259.3826,2373.2224,2494.0378,2626.4836,2767.6182,2915.8367,3072.6008,3237.1516,3407.3596,3579.7769,3768.6211,3959.3394,4167.6099,4372.2046,4593.4668,4823.4814,5064.6387,5316.2607,5580.4756,5857.0898,6147.2285,6450.8271,6768.4268,7100.229,7446.6182,7809.4775,8189.7754,8588.1299
11 Paper & pulp,779.7745,991.8589,1076.3613,1069.5469,1071.7998,1076.3824,1082.3557,1088.6615,1385.4475,1262.358,865.9526,916.5604,970.0171,1020.4878,1078.05,1142.7241,1195.9824,1250.7203,1310.2244,1377.6091,1456.2592,1492.6074,1535.6736,1585.3828,1641.5927,1704.2256,1776.6577,1854.1927,1936.9355,2024.2373,2116.7151,2219.2214,2328.6602,2444.7041,2567.4712,2697.6921,2840.1016,2991.5183,3150.7366,3318.8989,3495.4858,3665.6938,3838.1108,4026.9551,4217.6733,4425.9438,4630.5386,4851.8008,5081.8154,5322.9727,5574.5947,5838.8096,6115.4238,6405.5625,6709.1611,7026.7607,7358.563,7704.9521,8067.8115,8448.1094,8846.4639
12 Engineering etc,779.7745,962.1071,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1347.1079,1215.9679,809.838,857.1779,907.1274,953.8517,1007.588,1068.0376,1116.8322,1166.7876,1221.1903,1283.2346,1356.1458,1387.7115,1425.6764,1470.0452,1520.6754,1577.4099,1643.7045,1714.7832,1790.7509,1870.9585,1956.0234,2050.7185,2151.9473,2259.3826,2373.2224,2494.0378,2626.4836,2767.6182,2915.8367,3072.6008,3237.1516,3407.3596,3579.7769,3768.6211,3959.3394,4167.6099,4372.2046,4593.4668,4823.4814,5064.6387,5316.2607,5580.4756,5857.0898,6147.2285,6450.8271,6768.4268,7100.229,7446.6182,7809.4775,8189.7754,8588.1299
13 Other industry,779.7745,989.3793,1075.2598,1069.9071,1072.7825,1077.3215,1079.7097,1086.1263,1385.8275,1262.8177,866.5087,917.1489,970.6404,1021.1482,1078.7483,1143.4642,1196.7667,1251.5521,1311.1067,1378.5444,1457.2513,1493.6471,1536.7638,1586.5259,1642.791,1705.4824,1777.9753,1855.5743,1938.3844,2025.7563,2118.3076,2220.8916,2330.4116,2446.5405,2569.3962,2699.7104,2842.2185,2993.7373,3153.0645,3321.3398,3498.0459,3668.2539,3840.6711,4029.5154,4220.2339,4428.5044,4633.0991,4854.3613,5084.376,5325.5332,5577.1553,5841.3701,6117.9844,6408.123,6711.7217,7029.3213,7361.1235,7707.5127,8070.3721,8450.6699,8849.0244
14 Construction,779.7745,962.1071,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1347.1079,1215.9679,809.838,857.1779,907.1274,953.8517,1007.588,1068.0376,1116.8322,1166.7876,1221.1903,1283.2346,1356.1458,1387.7115,1425.6764,1470.0452,1520.6754,1577.4099,1643.7045,1714.7832,1790.7509,1870.9585,1956.0234,2050.7185,2151.9473,2259.3826,2373.2224,2494.0378,2626.4836,2767.6182,2915.8367,3072.6008,3237.1516,3407.3596,3579.7769,3768.6211,3959.3394,4167.6099,4372.2046,4593.4668,4823.4814,5064.6387,5316.2607,5580.4756,5857.0898,6147.2285,6450.8271,6768.4268,7100.229,7446.6182,7809.4775,8189.7754,8588.1299
15 Rail transport,779.7745,962.1071,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1347.1079,1215.9679,809.838,857.1779,907.1274,953.8517,1007.588,1068.0376,1116.8322,1166.7876,1221.1903,1283.2346,1356.1458,1387.7115,1425.6764,1470.0452,1520.6754,1577.4099,1643.7045,1714.7832,1790.7509,1870.9585,1956.0234,2050.7185,2151.9473,2259.3826,2373.2224,2494.0378,2626.4836,2767.6182,2915.8367,3072.6008,3237.1516,3407.3596,3579.7769,3768.6211,3959.3394,4167.6099,4372.2046,4593.4668,4823.4814,5064.6387,5316.2607,5580.4756,5857.0898,6147.2285,6450.8271,6768.4268,7100.229,7446.6182,7809.4775,8189.7754,8588.1299
16 Road transport,1454.6775,1680.2383,1842.302,1842.302,1842.302,1842.302,1842.302,1842.302,2099.7141,1984.5563,1627.9216,1669.4922,1713.3542,1754.3843,1801.5718,1854.6543,1897.5022,1941.3696,1989.1421,2043.625,2107.6506,2135.3694,2168.7075,2207.6689,2252.1289,2301.9492,2360.1643,2422.5806,2489.29,2559.7229,2634.4209,2717.5752,2806.467,2900.8093,3000.7756,3106.8669,3223.1716,3347.106,3477.261,3614.9202,3759.417,3908.8816,4060.2864,4226.1162,4393.5918,4576.48,4756.1406,4950.4375,5152.4199,5364.187,5585.144,5817.1587,6060.062,6314.8413,6581.4399,6860.3335,7151.6992,7455.8735,7774.5112,8108.4614,8458.2686
17 Domestic aviation,779.7745,962.1071,1067.6252,1063.9263,1065.6195,1069.0531,1092.8644,1119.7131,1384.5986,1261.3309,864.7102,915.2457,968.6248,1019.0125,1076.49,1141.0706,1194.23,1248.8621,1308.2531,1375.5197,1454.0427,1490.285,1533.2383,1582.8292,1638.9155,1701.4178,1773.7141,1851.1062,1933.6991,2020.8436,2113.1572,2215.491,2324.7478,2440.6011,2563.1704,2693.1833,2835.3721,2986.561,3145.5359,3313.4458,3489.7661,3659.9741,3832.3914,4021.2356,4211.9541,4420.2246,4624.8193,4846.0815,5076.0962,5317.2534,5568.8755,5833.0903,6109.7046,6399.8433,6703.4419,7021.0415,7352.8438,7699.2329,8062.0923,8442.3896,8840.7441
18 Other transp. serv.,779.7745,962.1071,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1347.1079,1215.9679,809.838,857.1779,907.1274,953.8517,1007.588,1068.0376,1116.8322,1166.7876,1221.1903,1283.2346,1356.1458,1387.7115,1425.6764,1470.0452,1520.6754,1577.4099,1643.7045,1714.7832,1790.7509,1870.9585,1956.0234,2050.7185,2151.9473,2259.3826,2373.2224,2494.0378,2626.4836,2767.6182,2915.8367,3072.6008,3237.1516,3407.3596,3579.7769,3768.6211,3959.3394,4167.6099,4372.2046,4593.4668,4823.4814,5064.6387,5316.2607,5580.4756,5857.0898,6147.2285,6450.8271,6768.4268,7100.229,7446.6182,7809.4775,8189.7754,8588.1299
19 Households,973.051,1188.9032,1294.423,1294.423,1294.423,1294.423,1294.423,1294.423,1598.7603,1462.6095,1040.962,1090.1106,1141.9688,1190.4783,1246.2678,1309.027,1359.6859,1411.5502,1468.0315,1532.4464,1608.1433,1640.9153,1680.3306,1726.3948,1778.9595,1837.8617,1906.6893,1980.4838,2059.354,2142.6265,2230.9414,2329.2546,2434.3511,2545.8914,2664.0811,2789.5125,2927.0188,3073.5459,3227.4275,3390.1814,3561.0193,3737.7307,3916.7361,4112.7954,4310.8008,4527.0293,4739.4414,4969.1572,5207.9609,5458.332,5719.5684,5993.8779,6281.0615,6582.2861,6897.4844,7227.2192,7571.6992,7931.3232,8308.0469,8702.875,9116.4502
"20 Agriculture, forestry",779.7745,962.1071,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1053.9711,1347.1079,1215.9679,809.838,857.1779,907.1274,953.8517,1007.588,1068.0376,1116.8322,1166.7876,1221.1903,1283.2346,1356.1458,1387.7115,1425.6764,1470.0452,1520.6754,1577.4099,1643.7045,1714.7832,1790.7509,1870.9585,1956.0234,2050.7185,2151.9473,2259.3826,2373.2224,2494.0378,2626.4836,2767.6182,2915.8367,3072.6008,3237.1516,3407.3596,3579.7769,3768.6211,3959.3394,4167.6099,4372.2046,4593.4668,4823.4814,5064.6387,5316.2607,5580.4756,5857.0898,6147.2285,6450.8271,6768.4268,7100.229,7446.6182,7809.4775,8189.7754,8588.1299
