,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,753.1263,956.5019,1037.7748,1031.3881,1034.9176,1039.2034,1043.3212,1049.1196,1328.2039,1215.1888,849.1567,896.2805,946.3416,999.661,1056.1108,1116.2341,1180.0232,1248.0082,1320.1373,1396.6681,1478.0814,1540.2144,1605.1045,1672.8181,1743.6165,1817.6799,1895.0125,1975.8086,2060.2239,2148.4954,2240.6663,2336.9878,2437.5623,2542.7686,2652.9795,2767.4604,2887.384,3012.6204,3143.6431,3280.4824,3423.3975,3559.6045,3701.7446,3850.3364,4005.5261,4167.6382,4339.394,4511.7832,4700.5923,4889.0215,5095.2368,5300.6997,5522.9419,5753.1128,5993.0854,6243.8887,6505.647,6779.0356,7064.5396,7362.9473,7674.7441
2 O.energy own use & tra,753.1263,925.4086,1015.6733,1015.6733,1015.6733,1015.6733,1015.6733,1015.6733,1287.7826,1166.2799,789.9954,833.6736,880.0372,929.4069,981.8231,1037.4923,1096.5754,1159.5183,1226.2692,1297.1694,1372.5322,1429.623,1489.1348,1551.218,1616.1339,1683.9786,1754.8405,1828.8296,1906.1019,1986.894,2071.2498,2159.3357,2251.2544,2347.3848,2448.1838,2552.7485,2662.1675,2776.5632,2895.989,3020.8113,3151.0369,3287.2439,3429.3838,3577.9758,3733.1655,3895.2776,4067.0332,4239.4224,4428.2314,4616.6606,4822.876,5028.3389,5250.5811,5480.752,5720.7246,5971.5278,6233.2861,6506.6748,6792.1787,7090.5864,7402.3833
3 Hydrogen production,753.1263,925.4086,1015.6733,1015.6733,1015.6733,1015.6733,1015.6733,1015.6733,1287.7826,1166.2799,789.9954,833.6736,880.0372,929.4069,981.8231,1037.4923,1096.5754,1159.5183,1226.2692,1297.1694,1372.5322,1429.623,1489.1348,1551.218,1616.1339,1683.9786,1754.8405,1828.8296,1906.1019,1986.894,2071.2498,2159.3357,2251.2544,2347.3848,2448.1838,2552.7485,2662.1675,2776.5632,2895.989,3020.8113,3151.0369,3287.2439,3429.3838,3577.9758,3733.1655,3895.2776,4067.0332,4239.4224,4428.2314,4616.6606,4822.876,5028.3389,5250.5811,5480.752,5720.7246,5971.5278,6233.2861,6506.6748,6792.1787,7090.5864,7402.3833
4 Iron & steel,753.1263,956.5019,1037.7748,1031.3881,1034.9176,1039.2034,1043.3212,1049.1196,1328.2039,1215.1888,849.1567,896.2805,946.3416,999.661,1056.1108,1116.2341,1180.0232,1248.0082,1320.1373,1396.6681,1478.0814,1540.2144,1605.1045,1672.8181,1743.6165,1817.6799,1895.0125,1975.8086,2060.2239,2148.4954,2240.6663,2336.9878,2437.5623,2542.7686,2652.9795,2767.4604,2887.384,3012.6204,3143.6431,3280.4824,3423.3975,3559.6045,3701.7444,3850.3364,4005.5261,4167.6382,4339.394,4511.7832,4700.5923,4889.0215,5095.2368,5300.6997,5522.9419,5753.1128,5993.0854,6243.8887,6505.647,6779.0356,7064.5396,7362.9473,7674.7441
5 Non-ferrous metals,753.1263,925.4086,1015.6733,1015.6733,1015.6733,1015.6733,1015.6733,1015.6733,1287.7826,1166.2799,789.9954,833.6736,880.0372,929.4069,981.8231,1037.4923,1096.5754,1159.5183,1226.2692,1297.1694,1372.5322,1429.623,1489.1348,1551.218,1616.1339,1683.9786,1754.8405,1828.8296,1906.1019,1986.894,2071.2498,2159.3357,2251.2544,2347.3848,2448.1838,2552.7485,2662.1675,2776.5632,2895.989,3020.8113,3151.0369,3287.2439,3429.3838,3577.9758,3733.1655,3895.2776,4067.0332,4239.4224,4428.2314,4616.6606,4822.876,5028.3389,5250.5811,5480.752,5720.7246,5971.5278,6233.2861,6506.6748,6792.1787,7090.5864,7402.3833
6 Chemicals,753.1263,925.4086,1015.6733,1015.6733,1015.6733,1015.6733,1015.6733,1015.6733,1287.7826,1166.2799,789.9954,833.6736,880.0372,929.4069,981.8231,1037.4923,1096.5754,1159.5183,1226.2692,1297.1694,1372.5322,1429.623,1489.1348,1551.218,1616.1339,1683.9786,1754.8405,1828.8296,1906.1019,1986.894,2071.2498,2159.3357,2251.2544,2347.3848,2448.1838,2552.7485,2662.1675,2776.5632,2895.989,3020.8113,3151.0369,3287.2439,3429.3838,3577.9758,3733.1655,3895.2776,4067.0332,4239.4224,4428.2314,4616.6606,4822.876,5028.3389,5250.5811,5480.752,5720.7246,5971.5278,6233.2861,6506.6748,6792.1787,7090.5864,7402.3833
7 Non-metallics nes,753.1263,925.4086,1015.6733,1015.6733,1015.6733,1015.6733,1015.6733,1015.6733,1287.7826,1166.2799,789.9954,833.6736,880.0372,929.4069,981.8231,1037.4923,1096.5754,1159.5183,1226.2692,1297.1694,1372.5322,1429.623,1489.1348,1551.218,1616.1339,1683.9786,1754.8405,1828.8296,1906.1019,1986.894,2071.2498,2159.3357,2251.2544,2347.3848,2448.1838,2552.7485,2662.1675,2776.5632,2895.989,3020.8113,3151.0369,3287.2439,3429.3838,3577.9758,3733.1655,3895.2776,4067.0332,4239.4224,4428.2314,4616.6606,4822.876,5028.3389,5250.5811,5480.752,5720.7246,5971.5278,6233.2861,6506.6748,6792.1787,7090.5864,7402.3833
8 Ore-extra.(non-energy),753.1263,925.4086,1015.6733,1015.6733,1015.6733,1015.6733,1015.6733,1015.6733,1287.7826,1166.2799,789.9954,833.6736,880.0372,929.4069,981.8231,1037.4923,1096.5754,1159.5183,1226.2692,1297.1694,1372.5322,1429.623,1489.1348,1551.218,1616.1339,1683.9786,1754.8405,1828.8296,1906.1019,1986.894,2071.2498,2159.3357,2251.2544,2347.3848,2448.1838,2552.7485,2662.1675,2776.5632,2895.989,3020.8113,3151.0369,3287.2439,3429.3838,3577.9758,3733.1655,3895.2776,4067.0332,4239.4224,4428.2314,4616.6606,4822.876,5028.3389,5250.5811,5480.752,5720.7246,5971.5278,6233.2861,6506.6748,6792.1787,7090.5864,7402.3833
"9 Food, drink & tob.",753.1263,925.4086,1015.6733,1015.6733,1015.6733,1015.6733,1015.6733,1015.6733,1287.7826,1166.2799,789.9954,833.6736,880.0372,929.4069,981.8231,1037.4923,1096.5754,1159.5183,1226.2692,1297.1694,1372.5322,1429.623,1489.1348,1551.218,1616.1339,1683.9786,1754.8405,1828.8296,1906.1019,1986.894,2071.2498,2159.3357,2251.2544,2347.3848,2448.1838,2552.7485,2662.1675,2776.5632,2895.989,3020.8113,3151.0369,3287.2439,3429.3838,3577.9758,3733.1655,3895.2776,4067.0332,4239.4224,4428.2314,4616.6606,4822.876,5028.3389,5250.5811,5480.752,5720.7246,5971.5278,6233.2861,6506.6748,6792.1787,7090.5864,7402.3833
"10 Tex., cloth. & footw.",753.1263,925.4086,1015.6733,1015.6733,1015.6733,1015.6733,1015.6733,1015.6733,1287.7826,1166.2799,789.9954,833.6736,880.0372,929.4069,981.8231,1037.4923,1096.5754,1159.5183,1226.2692,1297.1694,1372.5322,1429.623,1489.1348,1551.218,1616.1339,1683.9786,1754.8405,1828.8296,1906.1019,1986.894,2071.2498,2159.3357,2251.2544,2347.3848,2448.1838,2552.7485,2662.1675,2776.5632,2895.989,3020.8113,3151.0369,3287.2439,3429.3838,3577.9758,3733.1655,3895.2776,4067.0332,4239.4224,4428.2314,4616.6606,4822.876,5028.3389,5250.5811,5480.752,5720.7246,5971.5278,6233.2861,6506.6748,6792.1787,7090.5864,7402.3833
