,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,2016.3458,2600.5645,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,3804.144,3417.8511,2222.0,2360.6399,2508.1125,2672.429,2849.7427,3036.7366,3233.9033,3443.9026,3669.6653,3909.3862,4164.2695,4349.2124,4545.022,4749.1865,4961.6812,5183.5,5415.7983,5657.8491,5910.4932,6173.4062,6450.5195,6740.04,7041.5142,7356.1318,7686.4077,8028.9282,8388.2998,8764.3086,9156.7725,9566.1133,9991.5186,10433.3799,10893.0859,11373.0977,11873.8438,12395.0479,12946.7461,13498.1924,14102.124,14703.8096,15362.3887,16015.9102,16721.2422,17451.2344,18211.9336,19006.7344,19834.209,20698.3848,21598.5156,22539.3086,23522.3066
2 O.energy own use & tra,2016.3458,2600.5645,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,3804.144,3417.8511,2222.0,2360.6399,2508.1125,2672.429,2849.7427,3036.7366,3233.9033,3443.9026,3669.6653,3909.3862,4164.2695,4349.2124,4545.022,4749.1865,4961.6812,5183.5,5415.7983,5657.8491,5910.4932,6173.4062,6450.5195,6740.04,7041.5142,7356.1318,7686.4077,8028.9282,8388.2998,8764.3086,9156.7725,9566.1133,9991.5186,10433.3799,10893.0859,11373.0977,11873.8438,12395.0479,12946.7461,13498.1924,14102.124,14703.8096,15362.3887,16015.9102,16721.2422,17451.2344,18211.9336,19006.7344,19834.209,20698.3848,21598.5156,22539.3086,23522.3066
3 Hydrogen production,2016.3458,2600.5645,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,3804.144,3417.8511,2222.0,2360.6399,2508.1125,2672.429,2849.7427,3036.7366,3233.9033,3443.9026,3669.6653,3909.3862,4164.2695,4349.2124,4545.022,4749.1865,4961.6812,5183.5,5415.7983,5657.8491,5910.4932,6173.4062,6450.5195,6740.04,7041.5142,7356.1318,7686.4077,8028.9282,8388.2998,8764.3086,9156.7725,9566.1133,9991.5186,10433.3799,10893.0859,11373.0977,11873.8438,12395.0479,12946.7461,13498.1924,14102.124,14703.8096,15362.3887,16015.9102,16721.2422,17451.2344,18211.9336,19006.7344,19834.209,20698.3848,21598.5156,22539.3086,23522.3066
4 Iron & steel,2016.3458,2600.5645,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,3804.144,3417.8511,2222.0,2360.6399,2508.1125,2672.429,2849.7427,3036.7366,3233.9033,3443.9026,3669.6653,3909.3862,4164.2695,4349.2124,4545.022,4749.1865,4961.6812,5183.5,5415.7983,5657.8491,5910.4932,6173.4062,6450.5195,6740.04,7041.5142,7356.1318,7686.4077,8028.9282,8388.2998,8764.3086,9156.7725,9566.1133,9991.5186,10433.3799,10893.0859,11373.0977,11873.8438,12395.0479,12946.7461,13498.1924,14102.124,14703.8096,15362.3887,16015.9102,16721.2422,17451.2344,18211.9336,19006.7344,19834.209,20698.3848,21598.5156,22539.3086,23522.3066
5 Non-ferrous metals,2016.3458,2600.5645,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,3804.144,3417.8511,2222.0,2360.6399,2508.1125,2672.429,2849.7427,3036.7366,3233.9033,3443.9026,3669.6653,3909.3862,4164.2695,4349.2124,4545.022,4749.1865,4961.6812,5183.5,5415.7983,5657.8491,5910.4932,6173.4062,6450.5195,6740.04,7041.5142,7356.1318,7686.4077,8028.9282,8388.2998,8764.3086,9156.7725,9566.1133,9991.5186,10433.3799,10893.0859,11373.0977,11873.8438,12395.0479,12946.7461,13498.1924,14102.124,14703.8096,15362.3887,16015.9102,16721.2422,17451.2344,18211.9336,19006.7344,19834.209,20698.3848,21598.5156,22539.3086,23522.3066
6 Chemicals,2016.3458,2600.5645,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,3804.144,3417.8511,2222.0,2360.6399,2508.1125,2672.429,2849.7427,3036.7366,3233.9033,3443.9026,3669.6653,3909.3862,4164.2695,4349.2124,4545.022,4749.1865,4961.6812,5183.5,5415.7983,5657.8491,5910.4932,6173.4062,6450.5195,6740.04,7041.5142,7356.1318,7686.4077,8028.9282,8388.2998,8764.3086,9156.7725,9566.1133,9991.5186,10433.3799,10893.0859,11373.0977,11873.8438,12395.0479,12946.7461,13498.1924,14102.124,14703.8096,15362.3887,16015.9102,16721.2422,17451.2344,18211.9336,19006.7344,19834.209,20698.3848,21598.5156,22539.3086,23522.3066
7 Non-metallics nes,2016.3458,2600.5645,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,3804.144,3417.8511,2222.0,2360.6399,2508.1125,2672.429,2849.7427,3036.7366,3233.9033,3443.9026,3669.6653,3909.3862,4164.2695,4349.2124,4545.022,4749.1865,4961.6812,5183.5,5415.7983,5657.8491,5910.4932,6173.4062,6450.5195,6740.04,7041.5142,7356.1318,7686.4077,8028.9282,8388.2998,8764.3086,9156.7725,9566.1133,9991.5186,10433.3799,10893.0859,11373.0977,11873.8438,12395.0479,12946.7461,13498.1924,14102.124,14703.8096,15362.3887,16015.9102,16721.2422,17451.2344,18211.9336,19006.7344,19834.209,20698.3848,21598.5156,22539.3086,23522.3066
8 Ore-extra.(non-energy),2016.3458,2600.5645,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,3804.144,3417.8511,2222.0,2360.6399,2508.1125,2672.429,2849.7427,3036.7366,3233.9033,3443.9026,3669.6653,3909.3862,4164.2695,4349.2124,4545.022,4749.1865,4961.6812,5183.5,5415.7983,5657.8491,5910.4932,6173.4062,6450.5195,6740.04,7041.5142,7356.1318,7686.4077,8028.9282,8388.2998,8764.3086,9156.7725,9566.1133,9991.5186,10433.3799,10893.0859,11373.0977,11873.8438,12395.0479,12946.7461,13498.1924,14102.124,14703.8096,15362.3887,16015.9102,16721.2422,17451.2344,18211.9336,19006.7344,19834.209,20698.3848,21598.5156,22539.3086,23522.3066
"9 Food, drink & tob.",2016.3458,2600.5645,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,3804.144,3417.8511,2222.0,2360.6399,2508.1125,2672.429,2849.7427,3036.7366,3233.9033,3443.9026,3669.6653,3909.3862,4164.2695,4349.2124,4545.022,4749.1865,4961.6812,5183.5,5415.7983,5657.8491,5910.4932,6173.4062,6450.5195,6740.04,7041.5142,7356.1318,7686.4077,8028.9282,8388.2998,8764.3086,9156.7725,9566.1133,9991.5186,10433.3799,10893.0859,11373.0977,11873.8438,12395.0479,12946.7461,13498.1924,14102.124,14703.8096,15362.3887,16015.9102,16721.2422,17451.2344,18211.9336,19006.7344,19834.209,20698.3848,21598.5156,22539.3086,23522.3066
"10 Tex., cloth. & footw.",2016.3458,2600.5645,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,2937.6897,3804.144,3417.8511,2222.0,2360.6399,2508.1125,2672.429,2849.7427,3036.7366,3233.9033,3443.9026,3669.6653,3909.3862,4164.2695,4349.2124,4545.022,4749.1865,4961.6812,5183.5,5415.7983,5657.8491,5910.4932,6173.4062,6450.5195,6740.04,7041.5142,7356.1318,7686.4077,8028.9282,8388.2998,8764.3086,9156.7725,9566.1133,9991.5186,10433.3799,10893.0859,11373.0977,11873.8438,12395.0479,12946.7461,13498.1924,14102.124,14703.8096,15362.3887,16015.9102,16721.2422,17451.2344,18211.9336,19006.7344,19834.209,20698.3848,21598.5156,22539.3086,23522.3066
