,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,593.5205,858.9791,930.0795,923.6928,927.2224,931.5082,935.6259,941.4244,1214.8644,1105.1549,744.929,791.5648,841.3145,894.2335,950.2853,1010.0442,1073.5704,1141.2325,1213.0367,1289.2061,1370.2169,1434.2786,1501.1943,1571.0293,1644.0303,1720.3823,1798.9082,1880.5656,1965.4799,2053.9028,2145.7756,2243.0337,2344.4807,2450.5132,2561.4875,2676.6274,2796.7517,2922.0723,3053.0408,3189.6836,3332.3799,3468.3953,3610.4028,3758.9292,3914.1328,4076.3376,4248.3657,4421.2002,4610.6606,4799.8438,5006.7563,5213.5,5436.8271,5668.4355,5910.0796,6162.8589,6426.7295,6702.3052,6990.3687,7291.4702,7606.4072
2 O.energy own use & tra,593.5205,833.6877,912.0244,910.689,911.0534,911.9399,912.7823,913.3947,1181.0623,1064.255,695.4556,739.2101,785.8677,835.4838,888.1624,944.1967,1003.7876,1067.2333,1134.5399,1206.0007,1281.9518,1341.7969,1404.2151,1469.3417,1537.4233,1608.5752,1681.6898,1757.6549,1836.5959,1918.7645,2004.1018,2094.4729,2188.6814,2287.1243,2390.228,2497.0754,2608.4153,2724.6704,2845.9412,2972.5347,3104.6194,3240.6348,3382.6423,3531.1687,3686.3723,3848.5771,4020.605,4193.4395,4382.8999,4572.083,4778.9956,4985.7393,5209.0664,5440.6748,5682.3188,5935.0981,6198.9688,6474.5444,6762.6079,7063.7095,7378.6465
3 Hydrogen production,593.5205,827.8858,907.9781,907.9781,907.9781,907.9781,907.9781,907.9781,1174.4431,1056.246,685.7676,728.958,775.0101,823.9794,875.9974,931.3024,990.1227,1052.7427,1119.1686,1189.7074,1264.6677,1323.6871,1385.2246,1449.4292,1516.5476,1586.681,1658.7361,1733.5865,1811.3578,1892.3016,1976.3591,2065.3816,2158.1729,2255.1294,2356.6919,2461.9155,2571.5352,2686.0151,2805.3867,2930.0125,3060.0193,3196.0347,3338.0422,3486.5686,3641.7722,3803.9771,3976.0049,4148.8394,4338.2998,4527.4829,4734.3955,4941.1392,5164.4663,5396.0747,5637.7188,5890.498,6154.3687,6429.9443,6718.0078,7019.1094,7334.0464
4 Iron & steel,593.5205,858.9791,930.0795,923.6928,927.2224,931.5082,935.6259,941.4244,1214.8644,1105.1549,744.929,791.5648,841.3145,894.2335,950.2853,1010.0442,1073.5704,1141.2325,1213.0367,1289.2061,1370.2169,1434.2786,1501.1943,1571.0293,1644.0303,1720.3823,1798.9082,1880.5656,1965.4799,2053.9028,2145.7756,2243.0337,2344.4807,2450.5132,2561.4875,2676.6274,2796.7517,2922.0723,3053.0408,3189.6836,3332.3799,3468.3953,3610.4028,3758.9292,3914.1328,4076.3376,4248.3657,4421.2002,4610.6606,4799.8438,5006.7563,5213.5,5436.8271,5668.4355,5910.0796,6162.8589,6426.7295,6702.3052,6990.3687,7291.4702,7606.4072
5 Non-ferrous metals,593.5205,910.0343,961.5169,943.9419,940.3095,942.6535,941.4379,945.448,1214.4117,1104.6072,744.2664,790.8636,840.5719,893.4467,949.4532,1009.1622,1072.6359,1140.2415,1211.9855,1288.0917,1369.0348,1433.0399,1499.8954,1569.6674,1642.6024,1718.8849,1797.3383,1878.9193,1963.7537,2052.093,2143.8782,2241.0439,2342.394,2448.3247,2559.1938,2674.2227,2794.2292,2919.4285,3050.2671,3186.7754,3329.3296,3465.345,3607.3525,3755.8789,3911.0825,4073.2874,4245.3149,4418.1494,4607.6099,4796.793,5003.7056,5210.4492,5433.7764,5665.3848,5907.0288,6159.8081,6423.6787,6699.2544,6987.3179,7288.4194,7603.3564
6 Chemicals,593.5205,868.9321,927.571,937.6743,949.0698,929.2387,932.1186,931.7684,1191.8525,1077.311,711.2484,755.9228,803.5674,854.2379,907.9932,965.2165,1026.0636,1090.8552,1159.5977,1232.5614,1310.1278,1371.3188,1435.1727,1501.8024,1571.4543,1644.2661,1719.1082,1796.8904,1877.7382,1961.9033,2049.3269,2141.8962,2238.4155,2339.2812,2444.8975,2554.3921,2668.5359,2787.6851,2912.0513,3041.8528,3177.325,3313.3403,3455.3479,3603.8743,3759.0779,3921.2827,4093.3105,4266.145,4455.6055,4644.7886,4851.7012,5058.4448,5281.772,5513.3804,5755.0244,6007.8037,6271.6743,6547.25,6835.3135,7136.415,7451.3521
7 Non-metallics nes,593.5205,864.815,937.5561,936.9365,942.7259,948.7078,959.3796,965.7198,1272.8043,1175.261,829.7308,881.3054,936.3552,994.9358,1056.7694,1122.9126,1193.1844,1268.074,1347.5875,1431.8274,1521.5112,1592.8002,1667.4253,1745.3308,1826.7638,1912.0298,1999.8308,2091.2451,2186.3984,2285.542,2388.6174,2497.6802,2611.5342,2730.5762,2855.0417,2984.3958,3119.5769,3260.4365,3408.0283,3561.8965,3722.7817,3858.7971,4000.8047,4149.3311,4304.5347,4466.7397,4638.7676,4811.6021,5001.0625,5190.2456,5397.1582,5603.9019,5827.229,6058.8374,6300.4814,6553.2607,6817.1313,7092.707,7380.7705,7681.8721,7996.8091
8 Ore-extra.(non-energy),593.5205,827.8858,907.9781,907.9781,907.9781,907.9781,907.9781,907.9781,1174.4431,1056.246,685.7676,728.958,775.0101,823.9794,875.9974,931.3024,990.1227,1052.7427,1119.1686,1189.7074,1264.6677,1323.6871,1385.2246,1449.4292,1516.5476,1586.681,1658.7361,1733.5865,1811.3578,1892.3016,1976.3591,2065.3816,2158.1729,2255.1294,2356.6919,2461.9155,2571.5352,2686.0151,2805.3867,2930.0125,3060.0193,3196.0347,3338.0422,3486.5686,3641.7722,3803.9771,3976.0049,4148.8394,4338.2998,4527.4829,4734.3955,4941.1392,5164.4663,5396.0747,5637.7188,5890.498,6154.3687,6429.9443,6718.0078,7019.1094,7334.0464
"9 Food, drink & tob.",593.5205,827.8858,907.9781,907.9781,907.9781,907.9781,907.9781,907.9781,1174.4431,1056.246,685.7676,728.958,775.0101,823.9794,875.9974,931.3024,990.1227,1052.7427,1119.1686,1189.7074,1264.6677,1323.6871,1385.2246,1449.4292,1516.5476,1586.681,1658.7361,1733.5865,1811.3578,1892.3016,1976.3591,2065.3816,2158.1729,2255.1294,2356.6919,2461.9155,2571.5352,2686.0151,2805.3867,2930.0125,3060.0193,3196.0347,3338.0422,3486.5686,3641.7722,3803.9771,3976.0049,4148.8394,4338.2998,4527.4829,4734.3955,4941.1392,5164.4663,5396.0747,5637.7188,5890.498,6154.3687,6429.9443,6718.0078,7019.1094,7334.0464
"10 Tex., cloth. & footw.",593.5205,827.8858,907.9781,907.9781,907.9781,907.9781,907.9781,907.9781,1174.4431,1056.246,685.7676,728.958,775.0101,823.9794,875.9974,931.3024,990.1227,1052.7427,1119.1686,1189.7074,1264.6677,1323.6871,1385.2246,1449.4292,1516.5476,1586.681,1658.7361,1733.5865,1811.3578,1892.3016,1976.3591,2065.3816,2158.1729,2255.1294,2356.6919,2461.9155,2571.5352,2686.0151,2805.3867,2930.0125,3060.0193,3196.0347,3338.0422,3486.5686,3641.7722,3803.9771,3976.0049,4148.8394,4338.2998,4527.4829,4734.3955,4941.1392,5164.4663,5396.0747,5637.7188,5890.498,6154.3687,6429.9443,6718.0078,7019.1094,7334.0464
