Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Power own use & trans.,1788.3783,1838.6738,2026.2395,2002.6462,1750.9727,1496.6509,1346.9973,1327.9709,1177.5859,1171.3022,884.0816,802.2134,977.3649,1034.3013,1002.8284,972.8467,974.7308,976.5739,978.3593,980.2316,982.0713,998.9136,1016.1384,1033.905,1052.0835,1070.7285,1089.8162,1109.4415,1129.5515,1150.2542,1171.5916,1193.3605,1215.8101,1238.9927,1262.6512,1287.0288,1311.9917,1337.6318,1364.1111,1391.3164,1419.4604
2 O.energy own use & tra,1788.3783,1838.6738,2026.2395,2002.6462,1750.9727,1496.6509,1346.9973,1327.9709,1177.5859,1171.3022,884.0816,802.2134,977.3649,1034.3013,1002.8284,972.8467,974.7308,976.5739,978.3593,980.2316,982.0713,998.9136,1016.1384,1033.905,1052.0835,1070.7285,1089.8162,1109.4415,1129.5515,1150.2542,1171.5916,1193.3605,1215.8101,1238.9927,1262.6512,1287.0288,1311.9917,1337.6318,1364.1111,1391.3164,1419.4604
3 Hydrogen production,1788.3783,1838.6738,2026.2395,2002.6462,1750.9727,1496.6509,1346.9973,1327.9709,1177.5859,1171.3022,884.0816,802.2134,977.3649,1034.3013,1002.8284,972.8467,974.7308,976.5739,978.3593,980.2316,982.0713,998.9136,1016.1384,1033.905,1052.0835,1070.7285,1089.8162,1109.4415,1129.5515,1150.2542,1171.5916,1193.3605,1215.8101,1238.9927,1262.6512,1287.0288,1311.9917,1337.6318,1364.1111,1391.3164,1419.4604
4 Iron & steel,1788.3783,1838.6738,2026.2395,2002.6462,1750.9727,1496.6509,1346.9973,1327.9709,1177.5859,1171.3022,884.0816,802.2134,977.3649,1034.3013,1002.8284,972.8467,974.7308,976.5739,978.3593,980.2316,982.0713,998.9136,1016.1384,1033.905,1052.0835,1070.7285,1089.8162,1109.4415,1129.5515,1150.2542,1171.5916,1193.3605,1215.8101,1238.9927,1262.6512,1287.0288,1311.9917,1337.6318,1364.1111,1391.3164,1419.4604
5 Non-ferrous metals,1788.3783,1838.6738,2026.2395,2002.6462,1750.9727,1496.6509,1346.9973,1327.9709,1177.5859,1171.3022,884.0816,802.2134,977.3649,1034.3013,1002.8284,972.8467,974.7308,976.5739,978.3593,980.2316,982.0713,998.9136,1016.1384,1033.905,1052.0835,1070.7285,1089.8162,1109.4415,1129.5515,1150.2542,1171.5916,1193.3605,1215.8101,1238.9927,1262.6512,1287.0288,1311.9917,1337.6318,1364.1111,1391.3164,1419.4604
6 Chemicals,1788.3783,1838.6738,2026.2395,2002.6462,1750.9727,1496.6509,1346.9973,1327.9709,1177.5859,1171.3022,884.0816,802.2134,977.3649,1034.3013,1002.8284,972.8467,974.7308,976.5739,978.3593,980.2316,982.0713,998.9136,1016.1384,1033.905,1052.0835,1070.7285,1089.8162,1109.4415,1129.5515,1150.2542,1171.5916,1193.3605,1215.8101,1238.9927,1262.6512,1287.0288,1311.9917,1337.6318,1364.1111,1391.3164,1419.4604
7 Non-metallics nes,1788.3783,1838.6738,2026.2395,2002.6462,1750.9727,1496.6509,1346.9973,1327.9709,1177.5859,1171.3022,884.0816,802.2134,977.3649,1034.3013,1002.8284,972.8467,974.7308,976.5739,978.3593,980.2316,982.0713,998.9136,1016.1384,1033.905,1052.0835,1070.7285,1089.8162,1109.4415,1129.5515,1150.2542,1171.5916,1193.3605,1215.8101,1238.9927,1262.6512,1287.0288,1311.9917,1337.6318,1364.1111,1391.3164,1419.4604
8 Ore-extra.(non-energy),1788.3783,1838.6738,2026.2395,2002.6462,1750.9727,1496.6509,1346.9973,1327.9709,1177.5859,1171.3022,884.0816,802.2134,977.3649,1034.3013,1002.8284,972.8467,974.7308,976.5739,978.3593,980.2316,982.0713,998.9136,1016.1384,1033.905,1052.0835,1070.7285,1089.8162,1109.4415,1129.5515,1150.2542,1171.5916,1193.3605,1215.8101,1238.9927,1262.6512,1287.0288,1311.9917,1337.6318,1364.1111,1391.3164,1419.4604
"9 Food, drink & tob.",1788.3783,1838.6738,2026.2395,2002.6462,1750.9727,1496.6509,1346.9973,1327.9709,1177.5859,1171.3022,884.0816,802.2134,977.3649,1034.3013,1002.8284,972.8467,974.7308,976.5739,978.3593,980.2316,982.0713,998.9136,1016.1384,1033.905,1052.0835,1070.7285,1089.8162,1109.4415,1129.5515,1150.2542,1171.5916,1193.3605,1215.8101,1238.9927,1262.6512,1287.0288,1311.9917,1337.6318,1364.1111,1391.3164,1419.4604
"10 Tex., cloth. & footw.",1788.3783,1838.6738,2026.2395,2002.6462,1750.9727,1496.6509,1346.9973,1327.9709,1177.5859,1171.3022,884.0816,802.2134,977.3649,1034.3013,1002.8284,972.8467,974.7308,976.5739,978.3593,980.2316,982.0713,998.9136,1016.1384,1033.905,1052.0835,1070.7285,1089.8162,1109.4415,1129.5515,1150.2542,1171.5916,1193.3605,1215.8101,1238.9927,1262.6512,1287.0288,1311.9917,1337.6318,1364.1111,1391.3164,1419.4604
