Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,722.6765,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,1113.1078,1202.9202,1153.1212,1105.6643,1108.9546,1112.1785,1115.5314,1118.823,1122.2059,1148.8762,1176.3162,1204.5431,1233.4453,1263.1982,1293.7264,1325.24,1357.499,1390.5983,1424.6791,1459.6594,1495.6329,1532.6841,1570.7062,1609.7163,1649.7939,1691.0056,1733.3121,1776.8212,1821.4968,1867.4337,1914.6538,1963.103,2012.9529,2064.1531,2116.7454,2170.8145,2226.3518,2283.3997,2342.0527,2402.2773,2464.1409,2527.793,2593.1116,2660.3083,2729.3022,2800.2,2873.085,2947.9526,3024.8779
2 O.energy own use & tra,722.6765,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,1113.1078,1202.9202,1153.1212,1105.6643,1108.9546,1112.1785,1115.5314,1118.823,1122.2059,1148.8762,1176.3162,1204.5431,1233.4453,1263.1982,1293.7264,1325.24,1357.499,1390.5983,1424.6791,1459.6594,1495.6329,1532.6841,1570.7062,1609.7163,1649.7939,1691.0056,1733.3121,1776.8212,1821.4968,1867.4337,1914.6538,1963.103,2012.9529,2064.1531,2116.7454,2170.8145,2226.3518,2283.3997,2342.0527,2402.2773,2464.1409,2527.793,2593.1116,2660.3083,2729.3022,2800.2,2873.085,2947.9526,3024.8779
3 Hydrogen production,722.6765,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,1113.1078,1202.9202,1153.1212,1105.6643,1108.9546,1112.1785,1115.5314,1118.823,1122.2059,1148.8762,1176.3162,1204.5431,1233.4453,1263.1982,1293.7264,1325.24,1357.499,1390.5983,1424.6791,1459.6594,1495.6329,1532.6841,1570.7062,1609.7163,1649.7939,1691.0056,1733.3121,1776.8212,1821.4968,1867.4337,1914.6538,1963.103,2012.9529,2064.1531,2116.7454,2170.8145,2226.3518,2283.3997,2342.0527,2402.2773,2464.1409,2527.793,2593.1116,2660.3083,2729.3022,2800.2,2873.085,2947.9526,3024.8779
4 Iron & steel,722.6765,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,1113.1078,1202.9202,1153.1212,1105.6643,1108.9546,1112.1785,1115.5314,1118.823,1122.2059,1148.8762,1176.3162,1204.5431,1233.4453,1263.1982,1293.7264,1325.24,1357.499,1390.5983,1424.6791,1459.6594,1495.6329,1532.6841,1570.7062,1609.7163,1649.7939,1691.0056,1733.3121,1776.8212,1821.4968,1867.4337,1914.6538,1963.103,2012.9529,2064.1531,2116.7454,2170.8145,2226.3518,2283.3997,2342.0527,2402.2773,2464.1409,2527.793,2593.1116,2660.3083,2729.3022,2800.2,2873.085,2947.9526,3024.8779
5 Non-ferrous metals,722.6765,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,1113.1078,1202.9202,1153.1212,1105.6643,1108.9546,1112.1785,1115.5314,1118.823,1122.2059,1148.8762,1176.3162,1204.5431,1233.4453,1263.1982,1293.7264,1325.24,1357.499,1390.5983,1424.6791,1459.6594,1495.6329,1532.6841,1570.7062,1609.7163,1649.7939,1691.0056,1733.3121,1776.8212,1821.4968,1867.4337,1914.6538,1963.103,2012.9529,2064.1531,2116.7454,2170.8145,2226.3518,2283.3997,2342.0527,2402.2773,2464.1409,2527.793,2593.1116,2660.3083,2729.3022,2800.2,2873.085,2947.9526,3024.8779
6 Chemicals,722.6765,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,1113.1078,1202.9202,1153.1212,1105.6643,1108.9546,1112.1785,1115.5314,1118.823,1122.2059,1148.8762,1176.3162,1204.5431,1233.4453,1263.1982,1293.7264,1325.24,1357.499,1390.5983,1424.6791,1459.6594,1495.6329,1532.6841,1570.7062,1609.7163,1649.7939,1691.0056,1733.3121,1776.8212,1821.4968,1867.4337,1914.6538,1963.103,2012.9529,2064.1531,2116.7454,2170.8145,2226.3518,2283.3997,2342.0527,2402.2773,2464.1409,2527.793,2593.1116,2660.3083,2729.3022,2800.2,2873.085,2947.9526,3024.8779
7 Non-metallics nes,722.6765,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,1113.1078,1202.9202,1153.1212,1105.6643,1108.9546,1112.1785,1115.5314,1118.823,1122.2059,1148.8762,1176.3162,1204.5431,1233.4453,1263.1982,1293.7264,1325.24,1357.499,1390.5983,1424.6791,1459.6594,1495.6329,1532.6841,1570.7062,1609.7163,1649.7939,1691.0056,1733.3121,1776.8212,1821.4968,1867.4337,1914.6538,1963.103,2012.9529,2064.1531,2116.7454,2170.8145,2226.3518,2283.3997,2342.0527,2402.2773,2464.1409,2527.793,2593.1116,2660.3083,2729.3022,2800.2,2873.085,2947.9526,3024.8779
8 Ore-extra.(non-energy),722.6765,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,1113.1078,1202.9202,1153.1212,1105.6643,1108.9546,1112.1785,1115.5314,1118.823,1122.2059,1148.8762,1176.3162,1204.5431,1233.4453,1263.1982,1293.7264,1325.24,1357.499,1390.5983,1424.6791,1459.6594,1495.6329,1532.6841,1570.7062,1609.7163,1649.7939,1691.0056,1733.3121,1776.8212,1821.4968,1867.4337,1914.6538,1963.103,2012.9529,2064.1531,2116.7454,2170.8145,2226.3518,2283.3997,2342.0527,2402.2773,2464.1409,2527.793,2593.1116,2660.3083,2729.3022,2800.2,2873.085,2947.9526,3024.8779
"9 Food, drink & tob.",722.6765,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,1113.1078,1202.9202,1153.1212,1105.6643,1108.9546,1112.1785,1115.5314,1118.823,1122.2059,1148.8762,1176.3162,1204.5431,1233.4453,1263.1982,1293.7264,1325.24,1357.499,1390.5983,1424.6791,1459.6594,1495.6329,1532.6841,1570.7062,1609.7163,1649.7939,1691.0056,1733.3121,1776.8212,1821.4968,1867.4337,1914.6538,1963.103,2012.9529,2064.1531,2116.7454,2170.8145,2226.3518,2283.3997,2342.0527,2402.2773,2464.1409,2527.793,2593.1116,2660.3083,2729.3022,2800.2,2873.085,2947.9526,3024.8779
"10 Tex., cloth. & footw.",722.6765,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,836.1706,1113.1078,1202.9202,1153.1212,1105.6643,1108.9546,1112.1785,1115.5314,1118.823,1122.2059,1148.8762,1176.3162,1204.5431,1233.4453,1263.1982,1293.7264,1325.24,1357.499,1390.5983,1424.6791,1459.6594,1495.6329,1532.6841,1570.7062,1609.7163,1649.7939,1691.0056,1733.3121,1776.8212,1821.4968,1867.4337,1914.6538,1963.103,2012.9529,2064.1531,2116.7454,2170.8145,2226.3518,2283.3997,2342.0527,2402.2773,2464.1409,2527.793,2593.1116,2660.3083,2729.3022,2800.2,2873.085,2947.9526,3024.8779
