,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,251.2784,326.8339,349.9596,342.9727,346.8339,351.5224,356.0271,362.3704,461.7737,374.935,274.7023,287.4401,300.8782,315.024,329.7006,345.3333,361.6881,378.9691,397.1298,416.1298,436.1505,454.0223,472.7721,492.2441,512.5377,533.8124,555.9395,578.9694,603.0441,628.1526,654.2952,681.6614,710.1277,739.9121,770.8652,803.1104,836.8972,871.964,908.7686,947.0107,986.9531,1014.0906,1042.3905,1071.7297,1102.3528,1134.2002,1167.8389,1201.3125,1237.9896,1274.2552,1313.9565,1353.3041,1395.656,1439.4584,1484.915,1532.0161,1581.1481,1632.2316,1685.5638,1740.8319,1798.3193
2 O.energy own use & tra,251.2784,299.0837,330.9861,329.522,330.6198,332.2404,333.1705,334.5354,427.8454,333.8825,225.0444,234.8901,245.2246,256.0551,267.346,279.2402,291.645,304.6938,318.3401,332.6141,347.5561,361.1957,375.4312,390.1772,405.5332,421.5881,438.284,455.6004,473.6794,492.5102,512.0928,532.5464,553.7474,575.9138,598.9668,622.8885,647.8583,673.8259,700.8964,729.0517,758.343,785.4805,813.7804,843.1196,873.7427,905.5901,939.2289,972.7024,1009.3795,1045.6451,1085.3464,1124.694,1167.0459,1210.8483,1256.3049,1303.406,1352.538,1403.6215,1456.9537,1512.2218,1569.7092
3 Hydrogen production,146.5319,139.5589,151.1998,151.1998,151.1998,151.1998,151.1998,151.1998,191.5867,149.2851,100.2394,104.1862,108.3199,112.6437,117.1606,121.8959,126.8276,132.0051,137.4079,143.0587,148.9565,154.394,160.0561,165.9146,172.0133,178.3819,185.0043,191.8622,199.018,206.467,214.2092,222.2876,230.6478,239.3858,248.4763,257.8927,267.7043,277.9174,288.5311,299.5752,311.0438,322.9863,335.4404,348.3519,361.8283,375.8435,390.6471,405.378,421.5186,437.4782,454.9498,472.2657,490.9037,510.18,530.1844,550.9124,572.5341,595.0147,618.4849,642.807,668.1058
4 Iron & steel,146.5319,173.5737,175.3779,168.3911,172.2522,176.9407,181.4454,187.7887,235.806,202.7895,164.9596,172.6756,180.8543,189.4988,198.4284,208.0362,218.1161,228.8095,240.096,251.9062,264.423,275.3765,286.9222,298.9402,311.4741,324.6458,338.3469,352.6513,367.6213,383.2523,399.5441,416.6318,434.4611,453.1277,472.5146,492.779,514.0821,536.1544,559.4547,583.645,608.9954,620.9379,633.392,646.3035,659.7799,673.7952,688.5988,703.3296,719.4703,735.4299,752.9014,770.2173,788.8553,808.1317,828.136,848.864,870.4857,892.9663,916.4365,940.7586,966.0574
5 Non-ferrous metals,146.5319,186.9553,183.4909,172.3412,176.8787,183.9706,190.3551,199.2996,250.1861,220.1891,186.0066,194.9483,204.4425,214.4921,224.8568,236.049,247.8031,260.2903,273.4901,287.3035,301.9728,314.72,328.1791,342.2001,356.8268,372.2108,388.2139,404.9399,422.4511,440.7428,459.8151,479.8326,500.7411,522.6366,545.3719,569.1639,594.2042,620.1331,647.5591,676.0246,705.8893,717.8318,730.2859,743.1974,756.6738,770.689,785.4927,800.2235,816.3641,832.3237,849.7953,867.1112,885.7493,905.0255,925.0299,945.7579,967.3796,989.8602,1013.3304,1037.6525,1062.9513
6 Chemicals,146.5319,156.703,162.8165,158.6593,159.6315,161.4888,163.1954,169.2747,212.8916,175.0635,131.4216,137.1844,143.267,149.6725,156.3154,163.3983,170.8104,178.6455,186.8831,195.5015,204.5883,212.6834,221.1802,230.0063,239.2055,248.8518,258.8848,269.3304,280.2511,291.6422,303.5036,315.9227,328.8451,342.3667,356.418,371.0609,386.4091,402.336,419.0621,436.4401,454.5969,466.5394,478.9935,491.905,505.3814,519.3966,534.2003,548.9311,565.0718,581.0314,598.5029,615.8188,634.4568,653.7332,673.7375,694.4655,716.0872,738.5678,762.038,786.3601,811.6589
7 Non-metallics nes,146.5319,180.4884,180.2855,169.2338,172.6171,177.816,181.8204,190.167,237.2918,204.5872,167.1342,174.9768,183.2914,192.0811,201.159,210.9305,221.1834,232.0622,243.5463,255.5635,268.3027,279.4415,291.1849,303.4099,316.16,329.5602,343.4993,358.0538,373.2864,389.1923,405.7714,423.1618,441.3092,460.3095,480.0423,500.6711,522.3604,544.8312,568.5577,593.1898,619.0066,630.9491,643.4032,656.3147,669.7911,683.8063,698.6099,713.3408,729.4814,745.441,762.9126,780.2285,798.8665,818.1428,838.1472,858.8752,880.4969,902.9775,926.4477,950.7698,976.0685
8 Ore-extra.(non-energy),146.5319,139.5589,151.1998,151.1998,151.1998,151.1998,151.1998,151.1998,191.5867,149.2851,100.2394,104.1862,108.3199,112.6437,117.1606,121.8959,126.8276,132.0051,137.4079,143.0587,148.9565,154.394,160.0561,165.9146,172.0133,178.3819,185.0043,191.8622,199.018,206.467,214.2092,222.2876,230.6478,239.3858,248.4763,257.8927,267.7043,277.9174,288.5311,299.5752,311.0438,322.9863,335.4404,348.3519,361.8283,375.8435,390.6471,405.378,421.5186,437.4782,454.9498,472.2657,490.9037,510.18,530.1844,550.9124,572.5341,595.0147,618.4849,642.807,668.1058
"9 Food, drink & tob.",146.5319,139.5589,151.1998,151.1998,151.1998,151.1998,151.1998,151.1998,191.5867,149.2851,100.2394,104.1862,108.3199,112.6437,117.1606,121.8959,126.8276,132.0051,137.4079,143.0587,148.9565,154.394,160.0561,165.9146,172.0133,178.3819,185.0043,191.8622,199.018,206.467,214.2092,222.2876,230.6478,239.3858,248.4763,257.8927,267.7043,277.9174,288.5311,299.5752,311.0438,322.9863,335.4404,348.3519,361.8283,375.8435,390.6471,405.378,421.5186,437.4782,454.9498,472.2657,490.9037,510.18,530.1844,550.9124,572.5341,595.0147,618.4849,642.807,668.1058
"10 Tex., cloth. & footw.",146.5319,139.5589,151.1998,151.1998,151.1998,151.1998,151.1998,151.1998,191.5867,149.2851,100.2394,104.1862,108.3199,112.6437,117.1606,121.8959,126.8276,132.0051,137.4079,143.0587,148.9565,154.394,160.0561,165.9146,172.0133,178.3819,185.0043,191.8622,199.018,206.467,214.2092,222.2876,230.6478,239.3858,248.4763,257.8927,267.7043,277.9174,288.5311,299.5752,311.0438,322.9863,335.4404,348.3519,361.8283,375.8435,390.6471,405.378,421.5186,437.4782,454.9498,472.2657,490.9037,510.18,530.1844,550.9124,572.5341,595.0147,618.4849,642.807,668.1058
11 Paper & pulp,146.5319,180.6158,180.0526,170.312,175.812,181.0212,185.7701,188.1363,231.4858,197.5621,158.6364,165.9842,173.7677,181.9901,190.4886,199.6203,209.1972,219.3517,230.0634,241.2718,253.142,263.5565,274.5274,285.9436,297.8488,310.3558,323.3654,336.9422,351.1488,365.9803,381.4369,397.6444,414.5485,432.2452,450.6261,469.8306,490.011,510.9246,532.9855,555.8914,579.8856,591.8281,604.2822,617.1936,630.67,644.6853,659.4889,674.2197,690.3604,706.32,723.7916,741.1074,759.7455,779.0218,799.0261,819.7542,841.3759,863.8564,887.3267,911.6487,936.9475
12 Engineering etc,146.5319,139.5589,151.1998,151.1998,151.1998,151.1998,151.1998,151.1998,191.5867,149.2851,100.2394,104.1862,108.3199,112.6437,117.1606,121.8959,126.8276,132.0051,137.4079,143.0587,148.9565,154.394,160.0561,165.9146,172.0133,178.3819,185.0043,191.8622,199.018,206.467,214.2092,222.2876,230.6478,239.3858,248.4763,257.8927,267.7043,277.9174,288.5311,299.5752,311.0438,322.9863,335.4404,348.3519,361.8283,375.8435,390.6471,405.378,421.5186,437.4782,454.9498,472.2657,490.9037,510.18,530.1844,550.9124,572.5341,595.0147,618.4849,642.807,668.1058
13 Other industry,146.5319,178.1982,175.8445,169.8275,175.3874,184.8795,190.6546,191.9781,242.9784,211.4679,175.4572,183.7846,192.6194,201.9647,211.6101,222.0081,232.9231,244.5112,256.752,269.5613,283.1517,294.9999,307.4999,320.517,334.0947,348.3698,363.2191,378.7313,394.9688,411.9268,429.6055,448.1545,467.5196,487.7967,508.8536,530.8775,554.0446,578.0404,603.3985,629.7212,657.3232,669.2657,681.7198,694.6312,708.1077,722.1229,736.9265,751.6573,767.798,783.7576,801.2292,818.545,837.1831,856.4594,876.4637,897.1918,918.8135,941.2941,964.7643,989.0864,1014.3851
14 Construction,146.5319,139.5589,151.1998,151.1998,151.1998,151.1998,151.1998,151.1998,191.5867,149.2851,100.2394,104.1862,108.3199,112.6437,117.1606,121.8959,126.8276,132.0051,137.4079,143.0587,148.9565,154.394,160.0561,165.9146,172.0133,178.3819,185.0043,191.8622,199.018,206.467,214.2092,222.2876,230.6478,239.3858,248.4763,257.8927,267.7043,277.9174,288.5311,299.5752,311.0438,322.9863,335.4404,348.3519,361.8283,375.8435,390.6471,405.378,421.5186,437.4782,454.9498,472.2657,490.9037,510.18,530.1844,550.9124,572.5341,595.0147,618.4849,642.807,668.1058
15 Rail transport,146.5319,139.5589,151.1998,151.1998,151.1998,151.1998,151.1998,151.1998,191.5867,149.2851,100.2394,104.1862,108.3199,112.6437,117.1606,121.8959,126.8276,132.0051,137.4079,143.0587,148.9565,154.394,160.0561,165.9146,172.0133,178.3819,185.0043,191.8622,199.018,206.467,214.2092,222.2876,230.6478,239.3858,248.4763,257.8927,267.7043,277.9174,288.5311,299.5752,311.0438,322.9863,335.4404,348.3519,361.8283,375.8435,390.6471,405.378,421.5186,437.4782,454.9498,472.2657,490.9037,510.18,530.1844,550.9124,572.5341,595.0147,618.4849,642.807,668.1058
16 Road transport,146.5319,139.5589,151.1998,151.1998,151.1998,151.1998,151.1998,151.1998,191.5867,149.2851,100.2394,104.1862,108.3199,112.6437,117.1606,121.8959,126.8276,132.0051,137.4079,143.0587,148.9565,154.394,160.0561,165.9146,172.0133,178.3819,185.0043,191.8622,199.018,206.467,214.2092,222.2876,230.6478,239.3858,248.4763,257.8927,267.7043,277.9174,288.5311,299.5752,311.0438,322.9863,335.4404,348.3519,361.8283,375.8435,390.6471,405.378,421.5186,437.4782,454.9498,472.2657,490.9037,510.18,530.1844,550.9124,572.5341,595.0147,618.4849,642.807,668.1058
17 Air transport,146.5319,139.5589,151.2789,151.2646,151.2692,151.2799,151.2729,151.2839,191.7503,149.483,100.4789,104.4397,108.5883,112.928,117.4612,122.2146,127.1654,132.3633,137.7879,143.4615,149.3837,154.8416,160.5255,166.4068,172.5293,178.9231,185.5717,192.4571,199.6419,207.1211,214.8949,223.0067,231.4019,240.1767,249.3053,258.7617,268.6159,278.8729,289.5335,300.6262,312.1462,324.0887,336.5428,349.4543,362.9307,376.9459,391.7496,406.4804,422.6211,438.5807,456.0522,473.3681,492.0062,511.2825,531.2868,552.0148,573.6365,596.1171,619.5873,643.9094,669.2082
