,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,294.4008,346.6443,386.1319,386.1319,386.1319,386.1319,386.1319,386.1319,499.785,380.7437,242.7242,253.8129,265.4594,277.6339,290.3471,303.6613,317.5943,332.1274,347.3648,363.3018,379.8961,395.1962,411.1339,427.655,444.8355,462.7729,481.4227,500.7062,520.8736,541.8543,563.6478,586.3823,609.9412,634.5372,659.9957,686.597,714.2719,743.2137,773.014,804.0482,836.3402,870.5119,904.6003,941.8812,978.8812,1019.5028,1059.4,1102.5177,1146.9569,1193.1216,1241.0193,1291.09,1343.0212,1397.274,1453.6959,1512.066,1573.0807,1636.3552,1702.4524,1771.0021,1842.4642
2 O.energy own use & tra,294.4008,346.6443,386.1319,386.1319,386.1319,386.1319,386.1319,386.1319,499.785,380.7437,242.7242,253.8129,265.4594,277.6339,290.3471,303.6613,317.5943,332.1274,347.3648,363.3018,379.8961,395.1962,411.1339,427.655,444.8355,462.7729,481.4227,500.7062,520.8736,541.8543,563.6478,586.3823,609.9412,634.5372,659.9957,686.597,714.2719,743.2137,773.014,804.0482,836.3402,870.5119,904.6003,941.8812,978.8812,1019.5028,1059.4,1102.5177,1146.9569,1193.1216,1241.0193,1291.09,1343.0212,1397.274,1453.6959,1512.066,1573.0807,1636.3552,1702.4524,1771.0021,1842.4642
3 Hydrogen production,176.0263,167.6498,181.6338,181.6338,181.6338,181.6338,181.6338,181.6338,229.0657,179.3851,121.7841,126.4119,131.2724,136.3533,141.6591,147.2156,153.0303,159.0956,165.4547,172.1059,179.0313,185.4167,192.0681,198.963,206.1331,213.6191,221.4023,229.4501,237.8667,246.6228,255.7181,265.2061,275.0381,285.303,295.9278,307.0296,318.5794,330.658,343.0948,356.0466,369.5233,383.7845,398.0109,413.5697,429.0112,445.9642,462.6148,480.6096,499.1558,518.4221,538.4116,559.3081,580.9811,603.6228,627.1699,651.53,676.9938,703.4008,730.9857,759.5942,789.4181
4 Iron & steel,176.0263,167.6498,181.6338,181.6338,181.6338,181.6338,181.6338,181.6338,229.0657,179.3851,121.7841,126.4119,131.2724,136.3533,141.6591,147.2156,153.0303,159.0956,165.4547,172.1059,179.0313,185.4167,192.0681,198.963,206.1331,213.6191,221.4023,229.4501,237.8667,246.6228,255.7181,265.2061,275.0381,285.303,295.9278,307.0296,318.5794,330.658,343.0948,356.0466,369.5233,383.7845,398.0109,413.5697,429.0112,445.9642,462.6148,480.6096,499.1558,518.4221,538.4116,559.3081,580.9811,603.6228,627.1699,651.53,676.9938,703.4008,730.9857,759.5942,789.4181
5 Non-ferrous metals,176.0263,167.6498,181.6338,181.6338,181.6338,181.6338,181.6338,181.6338,229.0657,179.3851,121.7841,126.4119,131.2724,136.3533,141.6591,147.2156,153.0303,159.0956,165.4547,172.1059,179.0313,185.4167,192.0681,198.963,206.1331,213.6191,221.4023,229.4501,237.8667,246.6228,255.7181,265.2061,275.0381,285.303,295.9278,307.0296,318.5794,330.658,343.0948,356.0466,369.5233,383.7845,398.0109,413.5697,429.0112,445.9642,462.6148,480.6096,499.1558,518.4221,538.4116,559.3081,580.9811,603.6228,627.1699,651.53,676.9938,703.4008,730.9857,759.5942,789.4181
6 Chemicals,176.0263,167.6498,181.6338,181.6338,181.6338,181.6338,181.6338,181.6338,229.0657,179.3851,121.7841,126.4119,131.2724,136.3533,141.6591,147.2156,153.0303,159.0956,165.4547,172.1059,179.0313,185.4167,192.0681,198.963,206.1331,213.6191,221.4023,229.4501,237.8667,246.6228,255.7181,265.2061,275.0381,285.303,295.9278,307.0296,318.5794,330.658,343.0948,356.0466,369.5233,383.7845,398.0109,413.5697,429.0112,445.9642,462.6148,480.6096,499.1558,518.4221,538.4116,559.3081,580.9811,603.6228,627.1699,651.53,676.9938,703.4008,730.9857,759.5942,789.4181
7 Non-metallics nes,176.0263,167.6498,181.6338,181.6338,181.6338,181.6338,181.6338,181.6338,229.0657,179.3851,121.7841,126.4119,131.2724,136.3533,141.6591,147.2156,153.0303,159.0956,165.4547,172.1059,179.0313,185.4167,192.0681,198.963,206.1331,213.6191,221.4023,229.4501,237.8667,246.6228,255.7181,265.2061,275.0381,285.303,295.9278,307.0296,318.5794,330.658,343.0948,356.0466,369.5233,383.7845,398.0109,413.5697,429.0112,445.9642,462.6148,480.6096,499.1558,518.4221,538.4116,559.3081,580.9811,603.6228,627.1699,651.53,676.9938,703.4008,730.9857,759.5942,789.4181
8 Ore-extra.(non-energy),176.0263,167.6498,181.6338,181.6338,181.6338,181.6338,181.6338,181.6338,229.0657,179.3851,121.7841,126.4119,131.2724,136.3533,141.6591,147.2156,153.0303,159.0956,165.4547,172.1059,179.0313,185.4167,192.0681,198.963,206.1331,213.6191,221.4023,229.4501,237.8667,246.6228,255.7181,265.2061,275.0381,285.303,295.9278,307.0296,318.5794,330.658,343.0948,356.0466,369.5233,383.7845,398.0109,413.5697,429.0112,445.9642,462.6148,480.6096,499.1558,518.4221,538.4116,559.3081,580.9811,603.6228,627.1699,651.53,676.9938,703.4008,730.9857,759.5942,789.4181
"9 Food, drink & tob.",176.0263,167.6498,181.6338,181.6338,181.6338,181.6338,181.6338,181.6338,229.0657,179.3851,121.7841,126.4119,131.2724,136.3533,141.6591,147.2156,153.0303,159.0956,165.4547,172.1059,179.0313,185.4167,192.0681,198.963,206.1331,213.6191,221.4023,229.4501,237.8667,246.6228,255.7181,265.2061,275.0381,285.303,295.9278,307.0296,318.5794,330.658,343.0948,356.0466,369.5233,383.7845,398.0109,413.5697,429.0112,445.9642,462.6148,480.6096,499.1558,518.4221,538.4116,559.3081,580.9811,603.6228,627.1699,651.53,676.9938,703.4008,730.9857,759.5942,789.4181
"10 Tex., cloth. & footw.",176.0263,167.6498,181.6338,181.6338,181.6338,181.6338,181.6338,181.6338,229.0657,179.3851,121.7841,126.4119,131.2724,136.3533,141.6591,147.2156,153.0303,159.0956,165.4547,172.1059,179.0313,185.4167,192.0681,198.963,206.1331,213.6191,221.4023,229.4501,237.8667,246.6228,255.7181,265.2061,275.0381,285.303,295.9278,307.0296,318.5794,330.658,343.0948,356.0466,369.5233,383.7845,398.0109,413.5697,429.0112,445.9642,462.6148,480.6096,499.1558,518.4221,538.4116,559.3081,580.9811,603.6228,627.1699,651.53,676.9938,703.4008,730.9857,759.5942,789.4181
