,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,838.4976,1157.8113,1429.0728,1429.0728,1429.0728,1429.0728,1429.0728,1429.0728,1852.8057,1408.984,894.4058,935.8151,979.1849,1024.5488,1071.9393,1121.6215,1173.3644,1227.6859,1284.3713,1343.6586,1405.5361,1462.5859,1521.9912,1583.4584,1647.4445,1714.2629,1783.7448,1855.696,1930.7733,2008.927,2090.1562,2174.9136,2262.6277,2354.3054,2449.6816,2548.4761,2651.4182,2758.5715,2869.9287,2985.8013,3106.1277,3231.4268,3362.093,3497.5579,3638.9502,3785.9949,3941.3118,4095.8657,4265.2114,4432.6562,4615.9648,4797.6401,4993.187,5195.4312,5405.313,5622.7871,5849.6387,6085.502,6331.7456,6586.9287,6852.3589
2 O.energy own use & tra,838.4976,1157.8113,1429.0728,1429.0728,1429.0728,1429.0728,1429.0728,1429.0728,1852.8057,1408.984,894.4058,935.8151,979.1849,1024.5488,1071.9393,1121.6215,1173.3644,1227.6859,1284.3713,1343.6586,1405.5361,1462.5859,1521.9912,1583.4584,1647.4445,1714.2629,1783.7448,1855.696,1930.7733,2008.927,2090.1562,2174.9136,2262.6277,2354.3054,2449.6816,2548.4761,2651.4182,2758.5715,2869.9287,2985.8013,3106.1277,3231.4268,3362.093,3497.5579,3638.9502,3785.9949,3941.3118,4095.8657,4265.2114,4432.6562,4615.9648,4797.6401,4993.187,5195.4312,5405.313,5622.7871,5849.6387,6085.502,6331.7456,6586.9287,6852.3589
3 Hydrogen production,927.1716,1226.1859,1442.1823,1442.1823,1442.1823,1442.1823,1442.1823,1442.1823,1866.6632,1422.0581,906.5714,948.0539,991.5002,1036.9442,1084.4183,1134.1882,1186.0226,1240.4399,1297.2255,1356.6173,1418.6041,1475.7546,1535.2648,1596.8405,1660.9396,1727.876,1797.4803,1869.5586,1944.7686,2023.0601,2104.4329,2189.3398,2277.2087,2369.0483,2464.593,2563.5618,2666.6855,2774.0281,2885.5818,3001.6589,3122.1978,3247.718,3378.615,3514.3191,3655.9609,3803.2651,3958.8562,4113.6831,4283.3276,4451.0684,4634.7002,4816.6963,5012.5884,5215.1895,5425.4419,5643.2998,5870.5518,6106.8311,6353.5098,6609.1436,6875.042
4 Iron & steel,927.1716,1226.1859,1442.1823,1442.1823,1442.1823,1442.1823,1442.1823,1442.1823,1866.6632,1422.0581,906.5714,948.0539,991.5002,1036.9442,1084.4183,1134.1882,1186.0226,1240.4399,1297.2255,1356.6173,1418.6041,1475.7546,1535.2648,1596.8405,1660.9396,1727.876,1797.4803,1869.5586,1944.7686,2023.0601,2104.4329,2189.3398,2277.2087,2369.0483,2464.593,2563.5618,2666.6855,2774.0281,2885.5818,3001.6589,3122.1978,3247.718,3378.615,3514.3191,3655.9609,3803.2651,3958.8562,4113.6831,4283.3276,4451.0684,4634.7002,4816.6963,5012.5884,5215.1895,5425.4419,5643.2998,5870.5518,6106.8311,6353.5098,6609.1436,6875.042
5 Non-ferrous metals,927.1716,1226.1859,1442.1823,1442.1823,1442.1823,1442.1823,1442.1823,1442.1823,1866.6632,1422.0581,906.5714,948.0539,991.5002,1036.9442,1084.4183,1134.1882,1186.0226,1240.4399,1297.2255,1356.6173,1418.6041,1475.7546,1535.2648,1596.8405,1660.9396,1727.876,1797.4803,1869.5586,1944.7686,2023.0601,2104.4329,2189.3398,2277.2087,2369.0483,2464.593,2563.5618,2666.6855,2774.0281,2885.5818,3001.6589,3122.1978,3247.718,3378.615,3514.3191,3655.9609,3803.2651,3958.8562,4113.6831,4283.3276,4451.0684,4634.7002,4816.6963,5012.5884,5215.1895,5425.4419,5643.2998,5870.5518,6106.8311,6353.5098,6609.1436,6875.042
6 Chemicals,927.1716,1226.1859,1442.1823,1442.1823,1442.1823,1442.1823,1442.1823,1442.1823,1866.6632,1422.0581,906.5714,948.0539,991.5002,1036.9442,1084.4183,1134.1882,1186.0226,1240.4399,1297.2255,1356.6173,1418.6041,1475.7546,1535.2648,1596.8405,1660.9396,1727.876,1797.4803,1869.5586,1944.7686,2023.0601,2104.4329,2189.3398,2277.2087,2369.0483,2464.593,2563.5618,2666.6855,2774.0281,2885.5818,3001.6589,3122.1978,3247.718,3378.615,3514.3191,3655.9609,3803.2651,3958.8562,4113.6831,4283.3276,4451.0684,4634.7002,4816.6963,5012.5884,5215.1895,5425.4419,5643.2998,5870.5518,6106.8311,6353.5098,6609.1436,6875.042
7 Non-metallics nes,927.1716,1226.1859,1442.1823,1442.1823,1442.1823,1442.1823,1442.1823,1442.1823,1866.6632,1422.0581,906.5714,948.0539,991.5002,1036.9442,1084.4183,1134.1882,1186.0226,1240.4399,1297.2255,1356.6173,1418.6041,1475.7546,1535.2648,1596.8405,1660.9396,1727.876,1797.4803,1869.5586,1944.7686,2023.0601,2104.4329,2189.3398,2277.2087,2369.0483,2464.593,2563.5618,2666.6855,2774.0281,2885.5818,3001.6589,3122.1978,3247.718,3378.615,3514.3191,3655.9609,3803.2651,3958.8562,4113.6831,4283.3276,4451.0684,4634.7002,4816.6963,5012.5884,5215.1895,5425.4419,5643.2998,5870.5518,6106.8311,6353.5098,6609.1436,6875.042
8 Ore-extra.(non-energy),927.1716,1226.1859,1442.1823,1442.1823,1442.1823,1442.1823,1442.1823,1442.1823,1866.6632,1422.0581,906.5714,948.0539,991.5002,1036.9442,1084.4183,1134.1882,1186.0226,1240.4399,1297.2255,1356.6173,1418.6041,1475.7546,1535.2648,1596.8405,1660.9396,1727.876,1797.4803,1869.5586,1944.7686,2023.0601,2104.4329,2189.3398,2277.2087,2369.0483,2464.593,2563.5618,2666.6855,2774.0281,2885.5818,3001.6589,3122.1978,3247.718,3378.615,3514.3191,3655.9609,3803.2651,3958.8562,4113.6831,4283.3276,4451.0684,4634.7002,4816.6963,5012.5884,5215.1895,5425.4419,5643.2998,5870.5518,6106.8311,6353.5098,6609.1436,6875.042
"9 Food, drink & tob.",927.1716,1226.1859,1442.1823,1442.1823,1442.1823,1442.1823,1442.1823,1442.1823,1866.6632,1422.0581,906.5714,948.0539,991.5002,1036.9442,1084.4183,1134.1882,1186.0226,1240.4399,1297.2255,1356.6173,1418.6041,1475.7546,1535.2648,1596.8405,1660.9396,1727.876,1797.4803,1869.5586,1944.7686,2023.0601,2104.4329,2189.3398,2277.2087,2369.0483,2464.593,2563.5618,2666.6855,2774.0281,2885.5818,3001.6589,3122.1978,3247.718,3378.615,3514.3191,3655.9609,3803.2651,3958.8562,4113.6831,4283.3276,4451.0684,4634.7002,4816.6963,5012.5884,5215.1895,5425.4419,5643.2998,5870.5518,6106.8311,6353.5098,6609.1436,6875.042
"10 Tex., cloth. & footw.",927.1716,1226.1859,1442.1823,1442.1823,1442.1823,1442.1823,1442.1823,1442.1823,1866.6632,1422.0581,906.5714,948.0539,991.5002,1036.9442,1084.4183,1134.1882,1186.0226,1240.4399,1297.2255,1356.6173,1418.6041,1475.7546,1535.2648,1596.8405,1660.9396,1727.876,1797.4803,1869.5586,1944.7686,2023.0601,2104.4329,2189.3398,2277.2087,2369.0483,2464.593,2563.5618,2666.6855,2774.0281,2885.5818,3001.6589,3122.1978,3247.718,3378.615,3514.3191,3655.9609,3803.2651,3958.8562,4113.6831,4283.3276,4451.0684,4634.7002,4816.6963,5012.5884,5215.1895,5425.4419,5643.2998,5870.5518,6106.8311,6353.5098,6609.1436,6875.042
