,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,475.7433,594.1822,648.1564,641.1696,645.0307,649.7192,654.2239,660.5672,851.8578,668.7756,456.9554,478.6729,501.5159,525.4989,550.4524,576.8587,604.4341,633.4948,663.9478,695.8043,729.2433,759.4866,791.1184,823.9199,858.0887,893.8533,931.0476,969.6804,1010.0358,1052.092,1095.8494,1141.5955,1189.0826,1238.7474,1290.3833,1344.0521,1400.1624,1458.4656,1519.4181,1582.7874,1648.8228,1703.1316,1759.767,1818.4822,1879.7661,1943.5005,2010.8201,2077.8091,2151.2092,2223.7854,2303.2373,2381.9819,2466.7385,2554.3979,2645.3679,2739.6289,2837.9536,2940.1851,3046.9158,3157.5208,3272.5671
2 O.energy own use & tra,475.7433,570.5104,630.7952,628.3329,629.7051,630.89,631.5967,634.0878,819.7111,629.8788,409.905,428.8824,448.7847,469.6266,491.372,514.2362,538.0689,563.1197,589.2953,616.6741,645.3011,671.5344,698.8889,727.2126,756.7032,787.522,819.5702,852.7896,887.4641,923.5723,961.1141,1000.3105,1040.9139,1083.3607,1127.5114,1173.2939,1221.0499,1270.7317,1322.4614,1376.2734,1432.217,1486.5259,1543.1613,1601.8765,1663.1604,1726.8948,1794.2144,1861.2035,1934.6035,2007.1797,2086.6318,2165.3762,2250.1328,2337.7922,2428.7622,2523.0232,2621.3479,2723.5793,2830.3101,2940.915,3055.9614
3 Hydrogen production,206.7857,196.9454,213.373,213.373,213.373,213.373,213.373,213.373,269.9935,210.6887,141.9292,147.4625,153.2577,159.3193,165.6518,172.2905,179.2045,186.4631,194.0376,201.9597,210.228,217.8512,225.789,234.0025,242.5525,251.481,260.7653,270.3797,280.4118,290.8549,301.709,313.0345,324.7552,337.0054,349.7498,362.951,376.7065,391.0247,405.9045,421.3878,437.4662,454.209,471.669,489.7703,508.6635,528.3121,549.0659,569.718,592.3464,614.7208,639.215,663.4911,689.6206,716.6451,744.6901,773.7497,804.0622,835.579,868.4829,902.5812,938.0488
4 Iron & steel,206.7857,230.9603,237.5511,230.5643,234.4254,239.114,243.6187,249.962,314.2128,264.1931,206.6493,215.9518,225.792,236.1745,246.9197,258.4308,270.493,283.2675,296.7256,310.8072,325.6946,338.8337,352.6552,367.0281,382.0133,397.7448,414.1079,431.1688,449.015,467.6401,487.0439,507.3788,528.5684,550.7473,573.7881,597.8373,623.0843,649.2617,676.8281,705.4576,735.4178,752.1606,769.6207,787.7219,806.6151,826.2637,847.0176,867.6696,890.298,912.6725,937.1667,961.4427,987.5723,1014.5967,1042.6418,1071.7014,1102.0139,1133.5306,1166.4346,1200.533,1236.0005
5 Non-ferrous metals,206.7857,196.9454,213.373,213.373,213.373,213.373,213.373,213.373,269.9935,210.6887,141.9292,147.4625,153.2577,159.3193,165.6518,172.2905,179.2045,186.4631,194.0376,201.9597,210.228,217.8512,225.789,234.0025,242.5525,251.481,260.7653,270.3797,280.4118,290.8549,301.709,313.0345,324.7552,337.0054,349.7498,362.951,376.7065,391.0247,405.9045,421.3878,437.4662,454.209,471.669,489.7703,508.6635,528.3121,549.0659,569.718,592.3464,614.7208,639.215,663.4911,689.6206,716.6451,744.6901,773.7497,804.0622,835.579,868.4829,902.5812,938.0488
6 Chemicals,206.7857,264.2288,258.4194,250.214,265.5057,277.4612,289.7907,306.2138,367.382,328.5269,284.4688,298.3034,313.0073,328.5851,344.6362,362.0058,380.2583,399.6651,420.1977,441.6854,464.5316,484.3031,505.1991,526.9781,549.701,573.6124,598.487,624.5015,651.7437,680.2067,709.8906,741.0583,773.6334,807.7505,843.1718,880.2645,919.3289,959.7657,1002.5867,1047.0232,1093.6748,1110.4176,1127.8777,1145.9789,1164.8721,1184.5208,1205.2747,1225.9266,1248.5551,1270.9294,1295.4237,1319.6997,1345.8293,1372.8538,1400.8988,1429.9584,1460.2709,1491.7876,1524.6917,1558.7899,1594.2574
7 Non-metallics nes,206.7857,237.2169,243.0023,235.0258,239.4238,245.8719,251.9631,259.2592,326.1299,278.6126,224.0914,234.4097,245.34,256.8869,268.8214,281.6456,295.0952,309.3563,324.4001,340.1416,356.8129,371.4385,386.8456,402.8785,419.598,437.1629,455.4337,474.5014,494.4536,515.2838,536.9917,559.7545,583.4961,608.3507,634.1665,661.1392,689.4831,718.8566,749.8421,782.0145,815.7158,832.4586,849.9186,868.0199,886.9131,906.5616,927.3156,947.9676,970.596,992.9705,1017.4647,1041.7407,1067.8702,1094.8948,1122.9397,1151.9993,1182.3118,1213.8286,1246.7325,1280.8308,1316.2983
8 Ore-extra.(non-energy),206.7857,196.9454,213.373,213.373,213.373,213.373,213.373,213.373,269.9935,210.6887,141.9292,147.4625,153.2577,159.3193,165.6518,172.2905,179.2045,186.4631,194.0376,201.9597,210.228,217.8512,225.789,234.0025,242.5525,251.481,260.7653,270.3797,280.4118,290.8549,301.709,313.0345,324.7552,337.0054,349.7498,362.951,376.7065,391.0247,405.9045,421.3878,437.4662,454.209,471.669,489.7703,508.6635,528.3121,549.0659,569.718,592.3464,614.7208,639.215,663.4911,689.6206,716.6451,744.6901,773.7497,804.0622,835.579,868.4829,902.5812,938.0488
"9 Food, drink & tob.",206.7857,196.9454,213.373,213.373,213.373,213.373,213.373,213.373,269.9935,210.6887,141.9292,147.4625,153.2577,159.3193,165.6518,172.2905,179.2045,186.4631,194.0376,201.9597,210.228,217.8512,225.789,234.0025,242.5525,251.481,260.7653,270.3797,280.4118,290.8549,301.709,313.0345,324.7552,337.0054,349.7498,362.951,376.7065,391.0247,405.9045,421.3878,437.4662,454.209,471.669,489.7703,508.6635,528.3121,549.0659,569.718,592.3464,614.7208,639.215,663.4911,689.6206,716.6451,744.6901,773.7497,804.0622,835.579,868.4829,902.5812,938.0488
"10 Tex., cloth. & footw.",206.7857,196.9454,213.373,213.373,213.373,213.373,213.373,213.373,269.9935,210.6887,141.9292,147.4625,153.2577,159.3193,165.6518,172.2905,179.2045,186.4631,194.0376,201.9597,210.228,217.8512,225.789,234.0025,242.5525,251.481,260.7653,270.3797,280.4118,290.8549,301.709,313.0345,324.7552,337.0054,349.7498,362.951,376.7065,391.0247,405.9045,421.3878,437.4662,454.209,471.669,489.7703,508.6635,528.3121,549.0659,569.718,592.3464,614.7208,639.215,663.4911,689.6206,716.6451,744.6901,773.7497,804.0622,835.579,868.4829,902.5812,938.0488
11 Paper & pulp,206.7857,289.8504,270.1175,262.0495,273.4987,276.7812,282.2616,287.5717,379.7059,343.4385,302.5063,317.3914,333.2227,350.0046,367.2856,386.0131,405.7004,426.6445,448.8169,472.0212,496.7122,518.0209,540.5568,564.0524,588.5688,614.3762,641.2236,669.3135,698.7334,729.4768,761.5435,795.222,830.4362,867.3204,905.6113,945.7274,987.9944,1031.7365,1078.0931,1126.1936,1176.7139,1193.4568,1210.9167,1229.0181,1247.9113,1267.5598,1288.3137,1308.9658,1331.5942,1353.9686,1378.4629,1402.7389,1428.8684,1455.8928,1483.938,1512.9976,1543.3101,1574.8268,1607.7307,1641.8291,1677.2966
12 Engineering etc,206.7857,196.9454,213.373,213.373,213.373,213.373,213.373,213.373,269.9935,210.6887,141.9292,147.4625,153.2577,159.3193,165.6518,172.2905,179.2045,186.4631,194.0376,201.9597,210.228,217.8512,225.789,234.0025,242.5525,251.481,260.7653,270.3797,280.4118,290.8549,301.709,313.0345,324.7552,337.0054,349.7498,362.951,376.7065,391.0247,405.9045,421.3878,437.4662,454.209,471.669,489.7703,508.6635,528.3121,549.0659,569.718,592.3464,614.7208,639.215,663.4911,689.6206,716.6451,744.6901,773.7497,804.0622,835.579,868.4829,902.5812,938.0488
13 Other industry,206.7857,243.8818,247.5591,238.052,243.2714,250.2516,256.2674,264.1621,330.4147,283.7972,230.3628,241.0463,252.3686,264.3342,276.6962,289.9926,303.9411,318.7367,334.3505,350.6889,368.0016,383.1617,399.139,415.7687,433.1118,451.3359,470.2926,490.0819,510.7913,532.4142,554.9507,578.5865,603.2456,629.0623,655.8758,683.8997,713.3571,743.8797,776.0946,809.5409,844.5873,861.3301,878.7902,896.8914,915.7846,935.4332,956.1871,976.8391,999.4675,1021.842,1046.3362,1070.6123,1096.7417,1123.7662,1151.8113,1180.8708,1211.1833,1242.7002,1275.604,1309.7024,1345.1699
14 Construction,206.7857,196.9454,213.373,213.373,213.373,213.373,213.373,213.373,269.9935,210.6887,141.9292,147.4625,153.2577,159.3193,165.6518,172.2905,179.2045,186.4631,194.0376,201.9597,210.228,217.8512,225.789,234.0025,242.5525,251.481,260.7653,270.3797,280.4118,290.8549,301.709,313.0345,324.7552,337.0054,349.7498,362.951,376.7065,391.0247,405.9045,421.3878,437.4662,454.209,471.669,489.7703,508.6635,528.3121,549.0659,569.718,592.3464,614.7208,639.215,663.4911,689.6206,716.6451,744.6901,773.7497,804.0622,835.579,868.4829,902.5812,938.0488
15 Rail transport,206.7857,196.9454,213.373,213.373,213.373,213.373,213.373,213.373,269.9935,210.6887,141.9292,147.4625,153.2577,159.3193,165.6518,172.2905,179.2045,186.4631,194.0376,201.9597,210.228,217.8512,225.789,234.0025,242.5525,251.481,260.7653,270.3797,280.4118,290.8549,301.709,313.0345,324.7552,337.0054,349.7498,362.951,376.7065,391.0247,405.9045,421.3878,437.4662,454.209,471.669,489.7703,508.6635,528.3121,549.0659,569.718,592.3464,614.7208,639.215,663.4911,689.6206,716.6451,744.6901,773.7497,804.0622,835.579,868.4829,902.5812,938.0488
16 Road transport,206.7857,196.9454,213.373,213.373,213.373,213.373,213.373,213.373,269.9935,210.6887,141.9292,147.4625,153.2577,159.3193,165.6518,172.2905,179.2045,186.4631,194.0376,201.9597,210.228,217.8512,225.789,234.0025,242.5525,251.481,260.7653,270.3797,280.4118,290.8549,301.709,313.0345,324.7552,337.0054,349.7498,362.951,376.7065,391.0247,405.9045,421.3878,437.4662,454.209,471.669,489.7703,508.6635,528.3121,549.0659,569.718,592.3464,614.7208,639.215,663.4911,689.6206,716.6451,744.6901,773.7497,804.0622,835.579,868.4829,902.5812,938.0488
17 Air transport,206.7857,196.9454,216.1746,215.1443,215.5211,215.9821,216.7786,217.4856,274.6277,216.296,148.7119,154.6401,160.8593,167.3737,174.1687,181.318,188.7715,196.6082,204.7993,213.3669,222.3289,230.5301,239.0846,247.9436,257.168,266.8094,276.8356,287.2304,298.0814,309.382,321.1321,333.4018,346.1148,359.4055,373.2291,387.5671,402.5269,418.0879,434.2973,451.1583,468.6915,485.4343,502.8943,520.9956,539.8888,559.5374,580.2913,600.9433,623.5717,645.9462,670.4404,694.7164,720.8459,747.8704,775.9155,804.975,835.2875,866.8043,899.7083,933.8066,969.2741
18 Other transp. serv.,206.7857,196.9454,213.373,213.373,213.373,213.373,213.373,213.373,269.9935,210.6887,141.9292,147.4625,153.2577,159.3193,165.6518,172.2905,179.2045,186.4631,194.0376,201.9597,210.228,217.8512,225.789,234.0025,242.5525,251.481,260.7653,270.3797,280.4118,290.8549,301.709,313.0345,324.7552,337.0054,349.7498,362.951,376.7065,391.0247,405.9045,421.3878,437.4662,454.209,471.669,489.7703,508.6635,528.3121,549.0659,569.718,592.3464,614.7208,639.215,663.4911,689.6206,716.6451,744.6901,773.7497,804.0622,835.579,868.4829,902.5812,938.0488
19 Households,206.7857,196.9454,213.373,213.373,213.373,213.373,213.373,213.373,269.9935,210.6887,141.9292,147.4625,153.2577,159.3193,165.6518,172.2905,179.2045,186.4631,194.0376,201.9597,210.228,217.8512,225.789,234.0025,242.5525,251.481,260.7653,270.3797,280.4118,290.8549,301.709,313.0345,324.7552,337.0054,349.7498,362.951,376.7065,391.0247,405.9045,421.3878,437.4662,454.209,471.669,489.7703,508.6635,528.3121,549.0659,569.718,592.3464,614.7208,639.215,663.4911,689.6206,716.6451,744.6901,773.7497,804.0622,835.579,868.4829,902.5812,938.0488
"20 Agriculture, forestry",206.7857,196.9454,213.373,213.373,213.373,213.373,213.373,213.373,269.9935,210.6887,141.9292,147.4625,153.2577,159.3193,165.6518,172.2905,179.2045,186.4631,194.0376,201.9597,210.228,217.8512,225.789,234.0025,242.5525,251.481,260.7653,270.3797,280.4118,290.8549,301.709,313.0345,324.7552,337.0054,349.7498,362.951,376.7065,391.0247,405.9045,421.3878,437.4662,454.209,471.669,489.7703,508.6635,528.3121,549.0659,569.718,592.3464,614.7208,639.215,663.4911,689.6206,716.6451,744.6901,773.7497,804.0622,835.579,868.4829,902.5812,938.0488
21 Fishing,206.7857,196.9454,213.373,213.373,213.373,213.373,213.373,213.373,269.9935,210.6887,141.9292,147.4625,153.2577,159.3193,165.6518,172.2905,179.2045,186.4631,194.0376,201.9597,210.228,217.8512,225.789,234.0025,242.5525,251.481,260.7653,270.3797,280.4118,290.8549,301.709,313.0345,324.7552,337.0054,349.7498,362.951,376.7065,391.0247,405.9045,421.3878,437.4662,454.209,471.669,489.7703,508.6635,528.3121,549.0659,569.718,592.3464,614.7208,639.215,663.4911,689.6206,716.6451,744.6901,773.7497,804.0622,835.579,868.4829,902.5812,938.0488
22 Other final use,206.7857,196.9454,213.373,213.373,213.373,213.373,213.373,213.373,269.9935,210.6887,141.9292,147.4625,153.2577,159.3193,165.6518,172.2905,179.2045,186.4631,194.0376,201.9597,210.228,217.8512,225.789,234.0025,242.5525,251.481,260.7653,270.3797,280.4118,290.8549,301.709,313.0345,324.7552,337.0054,349.7498,362.951,376.7065,391.0247,405.9045,421.3878,437.4662,454.209,471.669,489.7703,508.6635,528.3121,549.0659,569.718,592.3464,614.7208,639.215,663.4911,689.6206,716.6451,744.6901,773.7497,804.0622,835.579,868.4829,902.5812,938.0488
23 Non-energy use,206.7857,196.9454,213.373,213.373,213.373,213.373,213.373,213.373,269.9935,210.6887,141.9292,147.4625,153.2577,159.3193,165.6518,172.2905,179.2045,186.4631,194.0376,201.9597,210.228,217.8512,225.789,234.0025,242.5525,251.481,260.7653,270.3797,280.4118,290.8549,301.709,313.0345,324.7552,337.0054,349.7498,362.951,376.7065,391.0247,405.9045,421.3878,437.4662,454.209,471.669,489.7703,508.6635,528.3121,549.0659,569.718,592.3464,614.7208,639.215,663.4911,689.6206,716.6451,744.6901,773.7497,804.0622,835.579,868.4829,902.5812,938.0488
