,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,387.9998,535.7566,661.278,661.278,661.278,661.278,661.278,661.278,847.7225,652.439,426.022,444.2423,463.3252,483.2855,504.1376,525.9979,548.7651,572.6668,597.6086,623.6953,650.9218,676.0239,702.1625,729.2084,757.3625,786.7631,817.3353,848.9942,882.0287,916.4164,952.158,989.4516,1028.0463,1068.3845,1110.3507,1153.8206,1199.1157,1246.2638,1295.2616,1346.2457,1399.1902,1454.3225,1511.8162,1571.4214,1633.6345,1698.3351,1766.6753,1834.6797,1909.1923,1982.8689,2063.5256,2143.4636,2229.5051,2318.4937,2410.8425,2506.5325,2606.3481,2710.1287,2818.4775,2930.7593,3047.5498
2 O.energy own use & tra,387.9998,535.7566,661.278,661.278,661.278,661.278,661.278,661.278,847.7225,652.439,426.022,444.2423,463.3252,483.2855,504.1376,525.9979,548.7651,572.6668,597.6086,623.6953,650.9218,676.0239,702.1625,729.2084,757.3625,786.7631,817.3353,848.9942,882.0287,916.4164,952.158,989.4516,1028.0463,1068.3845,1110.3507,1153.8206,1199.1157,1246.2638,1295.2616,1346.2457,1399.1902,1454.3225,1511.8162,1571.4214,1633.6345,1698.3351,1766.6753,1834.6797,1909.1923,1982.8689,2063.5256,2143.4636,2229.5051,2318.4937,2410.8425,2506.5325,2606.3481,2710.1287,2818.4775,2930.7593,3047.5498
3 Hydrogen production,363.4342,480.6423,565.3089,565.3089,565.3089,565.3089,565.3089,565.3089,723.5445,557.8072,365.647,381.1107,397.3063,414.2466,431.9438,450.4967,469.8192,490.1046,511.2727,533.4125,556.5197,577.8238,600.0076,622.9614,646.8559,671.8082,697.7548,724.6237,752.6601,781.845,812.1788,843.83,876.5853,910.8204,946.4372,983.33,1021.7721,1061.7866,1103.3711,1146.6414,1191.5754,1238.3662,1287.1611,1337.748,1390.5483,1445.4597,1503.46,1561.1755,1624.4143,1686.9436,1755.397,1823.2405,1896.2639,1971.7883,2050.165,2131.377,2216.0906,2304.1692,2396.1248,2491.4185,2590.5386
4 Iron & steel,363.4342,480.6423,565.3089,565.3089,565.3089,565.3089,565.3089,565.3089,723.5445,557.8072,365.647,381.1107,397.3063,414.2466,431.9438,450.4967,469.8192,490.1046,511.2727,533.4125,556.5197,577.8238,600.0076,622.9614,646.8559,671.8082,697.7548,724.6237,752.6601,781.845,812.1788,843.83,876.5853,910.8204,946.4372,983.33,1021.7721,1061.7866,1103.3711,1146.6414,1191.5754,1238.3662,1287.1611,1337.748,1390.5483,1445.4597,1503.46,1561.1755,1624.4143,1686.9436,1755.397,1823.2405,1896.2639,1971.7883,2050.165,2131.377,2216.0906,2304.1692,2396.1248,2491.4185,2590.5386
5 Non-ferrous metals,363.4342,480.6423,565.3089,565.3089,565.3089,565.3089,565.3089,565.3089,723.5445,557.8072,365.647,381.1107,397.3063,414.2466,431.9438,450.4967,469.8192,490.1046,511.2727,533.4125,556.5197,577.8238,600.0076,622.9614,646.8559,671.8082,697.7548,724.6237,752.6601,781.845,812.1788,843.83,876.5853,910.8204,946.4372,983.33,1021.7721,1061.7866,1103.3711,1146.6414,1191.5754,1238.3662,1287.1611,1337.748,1390.5483,1445.4597,1503.46,1561.1755,1624.4143,1686.9436,1755.397,1823.2405,1896.2639,1971.7883,2050.165,2131.377,2216.0906,2304.1692,2396.1248,2491.4185,2590.5386
6 Chemicals,363.4342,480.6423,565.3089,565.3089,565.3089,565.3089,565.3089,565.3089,723.5445,557.8072,365.647,381.1107,397.3063,414.2466,431.9438,450.4967,469.8192,490.1046,511.2727,533.4125,556.5197,577.8238,600.0076,622.9614,646.8559,671.8082,697.7548,724.6237,752.6601,781.845,812.1788,843.83,876.5853,910.8204,946.4372,983.33,1021.7721,1061.7866,1103.3711,1146.6414,1191.5754,1238.3662,1287.1611,1337.748,1390.5483,1445.4597,1503.46,1561.1755,1624.4143,1686.9436,1755.397,1823.2405,1896.2639,1971.7883,2050.165,2131.377,2216.0906,2304.1692,2396.1248,2491.4185,2590.5386
7 Non-metallics nes,363.4342,480.6423,565.3089,565.3089,565.3089,565.3089,565.3089,565.3089,723.5445,557.8072,365.647,381.1107,397.3063,414.2466,431.9438,450.4967,469.8192,490.1046,511.2727,533.4125,556.5197,577.8238,600.0076,622.9614,646.8559,671.8082,697.7548,724.6237,752.6601,781.845,812.1788,843.83,876.5853,910.8204,946.4372,983.33,1021.7721,1061.7866,1103.3711,1146.6414,1191.5754,1238.3662,1287.1611,1337.748,1390.5483,1445.4597,1503.46,1561.1755,1624.4143,1686.9436,1755.397,1823.2405,1896.2639,1971.7883,2050.165,2131.377,2216.0906,2304.1692,2396.1248,2491.4185,2590.5386
8 Ore-extra.(non-energy),363.4342,480.6423,565.3089,565.3089,565.3089,565.3089,565.3089,565.3089,723.5445,557.8072,365.647,381.1107,397.3063,414.2466,431.9438,450.4967,469.8192,490.1046,511.2727,533.4125,556.5197,577.8238,600.0076,622.9614,646.8559,671.8082,697.7548,724.6237,752.6601,781.845,812.1788,843.83,876.5853,910.8204,946.4372,983.33,1021.7721,1061.7866,1103.3711,1146.6414,1191.5754,1238.3662,1287.1611,1337.748,1390.5483,1445.4597,1503.46,1561.1755,1624.4143,1686.9436,1755.397,1823.2405,1896.2639,1971.7883,2050.165,2131.377,2216.0906,2304.1692,2396.1248,2491.4185,2590.5386
"9 Food, drink & tob.",363.4342,480.6423,565.3089,565.3089,565.3089,565.3089,565.3089,565.3089,723.5445,557.8072,365.647,381.1107,397.3063,414.2466,431.9438,450.4967,469.8192,490.1046,511.2727,533.4125,556.5197,577.8238,600.0076,622.9614,646.8559,671.8082,697.7548,724.6237,752.6601,781.845,812.1788,843.83,876.5853,910.8204,946.4372,983.33,1021.7721,1061.7866,1103.3711,1146.6414,1191.5754,1238.3662,1287.1611,1337.748,1390.5483,1445.4597,1503.46,1561.1755,1624.4143,1686.9436,1755.397,1823.2405,1896.2639,1971.7883,2050.165,2131.377,2216.0906,2304.1692,2396.1248,2491.4185,2590.5386
"10 Tex., cloth. & footw.",363.4342,480.6423,565.3089,565.3089,565.3089,565.3089,565.3089,565.3089,723.5445,557.8072,365.647,381.1107,397.3063,414.2466,431.9438,450.4967,469.8192,490.1046,511.2727,533.4125,556.5197,577.8238,600.0076,622.9614,646.8559,671.8082,697.7548,724.6237,752.6601,781.845,812.1788,843.83,876.5853,910.8204,946.4372,983.33,1021.7721,1061.7866,1103.3711,1146.6414,1191.5754,1238.3662,1287.1611,1337.748,1390.5483,1445.4597,1503.46,1561.1755,1624.4143,1686.9436,1755.397,1823.2405,1896.2639,1971.7883,2050.165,2131.377,2216.0906,2304.1692,2396.1248,2491.4185,2590.5386
11 Paper & pulp,363.4342,480.6423,565.3089,565.3089,565.3089,565.3089,565.3089,565.3089,723.5445,557.8072,365.647,381.1107,397.3063,414.2466,431.9438,450.4967,469.8192,490.1046,511.2727,533.4125,556.5197,577.8238,600.0076,622.9614,646.8559,671.8082,697.7548,724.6237,752.6601,781.845,812.1788,843.83,876.5853,910.8204,946.4372,983.33,1021.7721,1061.7866,1103.3711,1146.6414,1191.5754,1238.3662,1287.1611,1337.748,1390.5483,1445.4597,1503.46,1561.1755,1624.4143,1686.9436,1755.397,1823.2405,1896.2639,1971.7883,2050.165,2131.377,2216.0906,2304.1692,2396.1248,2491.4185,2590.5386
12 Engineering etc,363.4342,480.6423,565.3089,565.3089,565.3089,565.3089,565.3089,565.3089,723.5445,557.8072,365.647,381.1107,397.3063,414.2466,431.9438,450.4967,469.8192,490.1046,511.2727,533.4125,556.5197,577.8238,600.0076,622.9614,646.8559,671.8082,697.7548,724.6237,752.6601,781.845,812.1788,843.83,876.5853,910.8204,946.4372,983.33,1021.7721,1061.7866,1103.3711,1146.6414,1191.5754,1238.3662,1287.1611,1337.748,1390.5483,1445.4597,1503.46,1561.1755,1624.4143,1686.9436,1755.397,1823.2405,1896.2639,1971.7883,2050.165,2131.377,2216.0906,2304.1692,2396.1248,2491.4185,2590.5386
13 Other industry,363.4342,480.6423,565.3089,565.3089,565.3089,565.3089,565.3089,565.3089,723.5445,557.8072,365.647,381.1107,397.3063,414.2466,431.9438,450.4967,469.8192,490.1046,511.2727,533.4125,556.5197,577.8238,600.0076,622.9614,646.8559,671.8082,697.7548,724.6237,752.6601,781.845,812.1788,843.83,876.5853,910.8204,946.4372,983.33,1021.7721,1061.7866,1103.3711,1146.6414,1191.5754,1238.3662,1287.1611,1337.748,1390.5483,1445.4597,1503.46,1561.1755,1624.4143,1686.9436,1755.397,1823.2405,1896.2639,1971.7883,2050.165,2131.377,2216.0906,2304.1692,2396.1248,2491.4185,2590.5386
14 Construction,363.4342,480.6423,565.3089,565.3089,565.3089,565.3089,565.3089,565.3089,723.5445,557.8072,365.647,381.1107,397.3063,414.2466,431.9438,450.4967,469.8192,490.1046,511.2727,533.4125,556.5197,577.8238,600.0076,622.9614,646.8559,671.8082,697.7548,724.6237,752.6601,781.845,812.1788,843.83,876.5853,910.8204,946.4372,983.33,1021.7721,1061.7866,1103.3711,1146.6414,1191.5754,1238.3662,1287.1611,1337.748,1390.5483,1445.4597,1503.46,1561.1755,1624.4143,1686.9436,1755.397,1823.2405,1896.2639,1971.7883,2050.165,2131.377,2216.0906,2304.1692,2396.1248,2491.4185,2590.5386
