,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Petrol Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20652519472261982,0.17958570774383886,0.17807832354086015,0.17778891402862276,0.18041932841074443,0.18328346425449063,0.215482030868227,0.22413194109359016,0.22987289186713017,0.22506634119523572,0.2390820877933878,0.24468657540450583,0.25015504709206526,0.2567364983318715,0.2622958805210965,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.26579241434055834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Petrol  Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44519949133683084,0.4422719647940761,0.4319065004808152,0.42205745220335045,0.4110975505077861,0.39937274586540944,0.40612884461943805,0.3896373357009129,0.37351391782315807,0.36517681051638046,0.3450389221563665,0.3307717614786365,0.3182378506674851,0.30647690008658673,0.2990006392353788,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.29652121136443077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Petrol Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22631537116515682,0.22769992989664603,0.22355372399924717,0.21791511384272347,0.2095265746550071,0.20292667497858546,0.1955164641663122,0.18287622319584645,0.17104622169763847,0.17391490001450033,0.14965270836309597,0.14058355968695244,0.13285997906727434,0.1258304735662054,0.12019847062081036,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.11527015220841727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Adv Petrol Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Adv Petrol Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Adv Petrol Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Diesel Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01720712128437424,0.02279542624184759,0.023607630235505973,0.02414117867197101,0.02509598790535576,0.025581102790915033,0.006087063018876469,0.006514060720696377,0.006851298935402646,0.006894324680881726,0.007244911751314782,0.007118154920858351,0.00676449720411728,0.006285044251247127,0.005811230716114542,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.005287816488558567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 Diesel Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059171832776982757,0.07325522345948496,0.08300174897200999,0.09280304868491306,0.10348470073699191,0.11337163887491945,0.11175847702657198,0.12569724575862268,0.1403335023320404,0.14767198671307954,0.1643689353579541,0.17572944960869055,0.18535598002349843,0.19332450547392796,0.19728273688456502,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.1998539798145569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Diesel Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045580988714035646,0.05439174786410644,0.05985207277156157,0.06469315559236635,0.06920392253073701,0.07357023002854444,0.06208804279253999,0.06755322228870317,0.07347427479000769,0.075837571489699,0.08331648514012,0.08786472480434528,0.09060923601243179,0.09222384519871214,0.0915055189599948,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.08997782514868533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 Adv Diesel Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
