,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.0,0.0,0.0,4.6032,4.6032,4.6032,4.6032,4.6032,4.6032,15.9806,11.5107,29.4907,58.3426,55.8571,71.3495,85.8098,100.1862,114.4956,129.3339,144.1992,159.1893,173.5501,185.7661,196.7819,208.214,219.5816,231.002,242.1811,253.3097,265.5659,278.4727,290.9417,302.1353,312.8094,323.6609,334.4998,345.1233,355.3132,364.8362,373.8081,382.3347,390.6144,399.0649,406.9156,414.5298,421.7518,428.7654,435.4478,442.944,449.2773,453.1939,450.6052,427.8536,419.9144,421.4491,436.699,446.8507,456.0627,472.2236,489.9986,502.7452
3 Coal,0.0,0.0,0.0,6.1123,6.1123,6.1123,6.1123,6.1123,6.1123,21.2195,15.2843,39.1586,77.4689,74.1686,94.7399,113.9407,133.0302,152.0305,171.7332,191.4719,211.3761,230.4447,246.6656,261.2927,276.4726,291.5667,306.731,321.5749,336.3519,352.6261,369.764,386.3207,401.1839,415.3573,429.7663,444.1585,458.2646,471.795,484.44,496.3531,507.675,518.669,529.8897,540.3142,550.4244,560.0141,569.327,578.2,588.1537,596.5634,601.7639,598.3265,568.1163,557.5743,559.6122,579.8615,593.3412,605.5731,627.032,650.6343,667.5595
4 Coal + CCS,0.0,0.0,0.0,0.6112,0.6112,0.6112,0.6112,0.6112,0.6112,2.1219,1.5284,3.9159,7.7469,7.4169,9.474,11.3941,13.303,15.2031,17.1733,19.1472,21.1376,23.0445,24.6666,26.1293,27.6473,29.1567,30.6731,32.1575,33.6352,35.2626,36.9764,38.6321,40.1184,41.5357,42.9766,44.4158,45.8265,47.1795,48.444,49.6353,50.7675,51.8669,52.989,54.0314,55.0424,56.0014,56.9327,57.82,58.8154,59.6563,60.1764,59.8327,56.8116,55.7574,55.9612,57.9861,59.3341,60.5573,62.7032,65.0634,66.756
5 IGCC,0.0,0.0,0.0,6.1123,6.1123,6.1123,6.1123,6.1123,6.1123,21.2195,15.2843,39.1586,77.4689,74.1686,94.7399,113.9407,133.0302,152.0305,171.7332,191.4719,211.3761,230.4447,246.6656,261.2927,276.4726,291.5667,306.731,321.5749,336.3519,352.6261,369.764,386.3207,401.1839,415.3573,429.7663,444.1585,458.2646,471.795,484.44,496.3531,507.675,518.669,529.8897,540.3142,550.4244,560.0141,569.327,578.2,588.1537,596.5634,601.7639,598.3265,568.1163,557.5743,559.6122,579.8615,593.3412,605.5731,627.032,650.6343,667.5595
6 IGCC + CCS,0.0,0.0,0.0,0.6112,0.6112,0.6112,0.6112,0.6112,0.6112,2.1219,1.5284,3.9159,7.7469,7.4169,9.474,11.3941,13.303,15.2031,17.1733,19.1472,21.1376,23.0445,24.6666,26.1293,27.6473,29.1567,30.6731,32.1575,33.6352,35.2626,36.9764,38.6321,40.1184,41.5357,42.9766,44.4158,45.8265,47.1795,48.444,49.6353,50.7675,51.8669,52.989,54.0314,55.0424,56.0014,56.9327,57.82,58.8154,59.6563,60.1764,59.8327,56.8116,55.7574,55.9612,57.9861,59.3341,60.5573,62.7032,65.0634,66.756
7 CCGT,0.0,0.0,0.0,3.0874,3.0874,3.0874,3.0874,3.0874,3.0874,10.7184,7.7204,19.7798,39.131,37.464,47.8549,57.5536,67.196,76.7935,86.7457,96.7161,106.7701,116.402,124.5955,131.9839,139.6515,147.2758,154.9356,162.4336,169.8977,178.1181,186.7748,195.1379,202.6456,209.8048,217.083,224.3528,231.4781,238.3126,244.6998,250.7174,256.4362,261.9895,267.6573,272.9229,278.0298,282.8737,287.5778,292.0598,297.0876,301.3354,303.9623,302.226,286.9663,281.6413,282.6707,292.899,299.7079,305.8864,316.7257,328.6476,337.1969
8 CCGT + CCS,0.0,0.0,0.0,0.3087,0.3087,0.3087,0.3087,0.3087,0.3087,1.0718,0.772,1.978,3.9131,3.7464,4.7855,5.7554,6.7196,7.6793,8.6746,9.6716,10.677,11.6402,12.4595,13.1984,13.9652,14.7276,15.4936,16.2434,16.9898,17.8118,18.6775,19.5138,20.2646,20.9805,21.7083,22.4353,23.1478,23.8313,24.47,25.0717,25.6436,26.199,26.7657,27.2923,27.803,28.2874,28.7578,29.206,29.7088,30.1335,30.3962,30.2226,28.6966,28.1641,28.2671,29.2899,29.9708,30.5886,31.6726,32.8648,33.7197
9 Solid Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0.0,0.0,0.0,-6.0047,-6.0047,-6.0047,-6.0047,-6.0047,-6.0047,-20.846,-15.0153,-38.4695,-76.1055,-72.8633,-93.0724,-111.9353,-130.6888,-149.3548,-168.7107,-188.1019,-207.6559,-226.3889,-242.3243,-256.6938,-271.6066,-286.4351,-301.3325,-315.9152,-330.4321,-346.4198,-363.2561,-379.5213,-394.123,-408.047,-422.2023,-436.3412,-450.1991,-463.4913,-475.9138,-487.6172,-498.7398,-509.5403,-520.5636,-530.8046,-540.7369,-550.1578,-559.3068,-568.0236,-577.8021,-586.0637,-591.1727,-587.796,-558.1174,-547.7609,-549.7629,-569.6558,-582.8983,-594.9149,-615.9961,-639.1829,-655.8104
