,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04737912945931855,-0.04737912945931855,-0.04737912945931855,-0.04737912945931855,-0.04737912945931855,-0.04737912945931855,-0.04737912945931855,-0.04737912945931855,-0.04737912945931855,-0.04501017298635262,-0.04264121651338668,-0.04027226004042076,-0.03790330356745483,-0.035534347094488904,-0.03316539062152298,-0.030796434148557053,-0.028427477675591124,-0.0260585212026252,-0.023689564729659274,-0.02132060825669334,-0.018951651783727416,-0.01658269531076149,-0.014213738837795562,-0.011844782364829637,-0.009475825891863708,-0.007106869418897781,-0.004737912945931854,-0.002368956472965927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 Coal + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.10660304128346672,-0.0947582589186371,-0.08291347655380744,-0.07106869418897781,-0.05922391182414818,-0.04737912945931855,-0.035534347094488904,-0.023689564729659274,-0.011844782364829637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 IGCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 IGCC + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.10660304128346672,-0.0947582589186371,-0.08291347655380744,-0.07106869418897781,-0.05922391182414818,-0.04737912945931855,-0.035534347094488904,-0.023689564729659274,-0.011844782364829637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 CCGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 CCGT + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.11844782364829635,-0.10660304128346672,-0.0947582589186371,-0.08291347655380744,-0.07106869418897781,-0.05922391182414818,-0.04737912945931855,-0.035534347094488904,-0.023689564729659274,-0.011844782364829637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Solid Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14213738837795561,-0.14213738837795561,-0.14213738837795561,-0.14213738837795564,-0.14213738837795564,-0.14213738837795564,-0.14213738837795564,-0.14213738837795564,-0.14213738837795564,-0.14213738837795564,-0.14213738837795564,-0.14213738837795564,-0.14213738837795564,-0.1332538016043334,-0.12437021483071115,-0.11548662805708894,-0.10660304128346672,-0.09771945450984448,-0.08883586773622226,-0.07995228096260004,-0.07106869418897781,-0.06218510741535559,-0.05330152064173336,-0.04441793386811113,-0.035534347094488716,-0.02665076032086649,-0.017767173547244296,-0.008883586773622049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 S Biomass CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14213738837795561,-0.14213738837795561,-0.14213738837795561,-0.14213738837795564,-0.14213738837795564,-0.14213738837795564,-0.14213738837795564,-0.14213738837795564,-0.14213738837795564,-0.14213738837795564,-0.14213738837795564,-0.14213738837795564,-0.14213738837795564,-0.1332538016043334,-0.12437021483071115,-0.11548662805708894,-0.10660304128346672,-0.09771945450984448,-0.08883586773622226,-0.07995228096260004,-0.07106869418897781,-0.06218510741535559,-0.05330152064173336,-0.04441793386811113,-0.035534347094488716,-0.02665076032086649,-0.017767173547244296,-0.008883586773622049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
