,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08592763396479079,-0.08592763396479079,-0.08592763396479079,-0.08592763396479079,-0.08592763396479079,-0.08592763396479079,-0.08592763396479079,-0.08592763396479079,-0.08592763396479079,-0.08163125226655124,-0.0773348705683117,-0.07303848887007217,-0.06874210717183263,-0.06444572547359309,-0.06014934377535355,-0.05585296207711401,-0.05155658037887447,-0.047260198680634934,-0.042963816982395396,-0.03866743528415585,-0.034371053585916314,-0.030074671887676777,-0.025778290189437236,-0.021481908491197698,-0.017185526792958157,-0.012889145094718618,-0.008592763396479079,-0.004296381698239539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 Coal + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.19333717642077927,-0.17185526792958158,-0.15037335943838387,-0.12889145094718618,-0.10740954245598848,-0.08592763396479079,-0.06444572547359309,-0.042963816982395396,-0.021481908491197698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 IGCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 IGCC + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.19333717642077927,-0.17185526792958158,-0.15037335943838387,-0.12889145094718618,-0.10740954245598848,-0.08592763396479079,-0.06444572547359309,-0.042963816982395396,-0.021481908491197698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 CCGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 CCGT + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.19333717642077927,-0.17185526792958158,-0.15037335943838387,-0.12889145094718618,-0.10740954245598848,-0.08592763396479079,-0.06444572547359309,-0.042963816982395396,-0.021481908491197698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Solid Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.24167147052597407,-0.22556003915757578,-0.20944860778917754,-0.19333717642077927,-0.17722574505238098,-0.1611143136839827,-0.14500288231558445,-0.12889145094718618,-0.1127800195787879,-0.09666858821038964,-0.08055715684199136,-0.06444572547359274,-0.04833429410519447,-0.032222862736796254,-0.01611143136839795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 S Biomass CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.24167147052597407,-0.22556003915757578,-0.20944860778917754,-0.19333717642077927,-0.17722574505238098,-0.1611143136839827,-0.14500288231558445,-0.12889145094718618,-0.1127800195787879,-0.09666858821038964,-0.08055715684199136,-0.06444572547359274,-0.04833429410519447,-0.032222862736796254,-0.01611143136839795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 BIGCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.24167147052597407,-0.22556003915757578,-0.20944860778917754,-0.19333717642077927,-0.17722574505238098,-0.1611143136839827,-0.14500288231558445,-0.12889145094718618,-0.1127800195787879,-0.09666858821038964,-0.08055715684199136,-0.06444572547359274,-0.04833429410519447,-0.032222862736796254,-0.01611143136839795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 BIGCC + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.25778290189437236,-0.24167147052597407,-0.22556003915757578,-0.20944860778917754,-0.19333717642077927,-0.17722574505238098,-0.1611143136839827,-0.14500288231558445,-0.12889145094718618,-0.1127800195787879,-0.09666858821038964,-0.08055715684199136,-0.06444572547359274,-0.04833429410519447,-0.032222862736796254,-0.01611143136839795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13 Biogas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08592763396479079,-0.08592763396479079,-0.08592763396479079,-0.08592763396479079,-0.08592763396479079,-0.08163125226655124,-0.0773348705683117,-0.07303848887007217,-0.06874210717183263,-0.06444572547359309,-0.06014934377535355,-0.05585296207711401,-0.05155658037887447,-0.047260198680634934,-0.042963816982395396,-0.03866743528415585,-0.034371053585916314,-0.030074671887676777,-0.025778290189437236,-0.021481908491197698,-0.017185526792958157,-0.012889145094718618,-0.008592763396479079,-0.004296381698239539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 Biogas + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08592763396479079,-0.08592763396479079,-0.08592763396479079,-0.08592763396479079,-0.08592763396479079,-0.08163125226655124,-0.0773348705683117,-0.07303848887007217,-0.06874210717183263,-0.06444572547359309,-0.06014934377535355,-0.05585296207711401,-0.05155658037887447,-0.047260198680634934,-0.042963816982395396,-0.03866743528415585,-0.034371053585916314,-0.030074671887676777,-0.025778290189437236,-0.021481908491197698,-0.017185526792958157,-0.012889145094718618,-0.008592763396479079,-0.004296381698239539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 Tidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 Large Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17 Onshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18 Offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19 Solar PV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 CSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21 Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.21481908491197696,-0.20407813066637812,-0.19333717642077927,-0.1825962221751804,-0.17185526792958158,-0.1611143136839827,-0.15037335943838387,-0.13963240519278503,-0.12889145094718618,-0.11815049670158734,-0.10740954245598848,-0.09666858821038964,-0.08592763396479079,-0.07518667971919193,-0.06444572547359309,-0.05370477122799424,-0.042963816982395396,-0.032222862736796545,-0.021481908491197698,-0.010740954245598849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22 Wave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23 Fuel Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24 CHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
