,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11859196637306871,-0.11859196637306871,-0.11859196637306871,-0.11859196637306871,-0.11859196637306871,-0.11859196637306871,-0.11859196637306871,-0.11859196637306871,-0.11859196637306871,-0.11266236805441526,-0.10673276973576183,-0.1008031714171084,-0.09487357309845497,-0.08894397477980152,-0.08301437646114809,-0.07708477814249466,-0.07115517982384122,-0.06522558150518779,-0.059295983186534354,-0.053366384867880916,-0.047436786549227485,-0.041507188230574046,-0.03557758991192061,-0.029647991593267177,-0.023718393274613742,-0.017788794955960304,-0.011859196637306871,-0.005929598318653436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 Coal + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.2668319243394046,-0.23718393274613742,-0.20753594115287022,-0.17788794955960305,-0.14823995796633588,-0.11859196637306871,-0.08894397477980152,-0.059295983186534354,-0.029647991593267177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 IGCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 IGCC + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.2668319243394046,-0.23718393274613742,-0.20753594115287022,-0.17788794955960305,-0.14823995796633588,-0.11859196637306871,-0.08894397477980152,-0.059295983186534354,-0.029647991593267177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 CCGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 CCGT + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.29647991593267176,-0.2668319243394046,-0.23718393274613742,-0.20753594115287022,-0.17788794955960305,-0.14823995796633588,-0.11859196637306871,-0.08894397477980152,-0.059295983186534354,-0.029647991593267177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Solid Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3557758991192061,-0.3557758991192061,-0.3557758991192061,-0.35577589911920615,-0.35577589911920615,-0.35577589911920615,-0.35577589911920615,-0.35577589911920615,-0.35577589911920615,-0.35577589911920615,-0.35577589911920615,-0.35577589911920615,-0.35577589911920615,-0.3335399054242557,-0.31130391172930527,-0.28906791803435494,-0.2668319243394046,-0.24459593064445417,-0.22235993694950382,-0.20012394325455346,-0.17788794955960305,-0.1556519558646527,-0.1334159621697023,-0.11117996847475191,-0.08894397477980105,-0.06670798108485067,-0.044471987389900366,-0.022235993694949937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 S Biomass CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3557758991192061,-0.3557758991192061,-0.3557758991192061,-0.35577589911920615,-0.35577589911920615,-0.35577589911920615,-0.35577589911920615,-0.35577589911920615,-0.35577589911920615,-0.35577589911920615,-0.35577589911920615,-0.35577589911920615,-0.35577589911920615,-0.3335399054242557,-0.31130391172930527,-0.28906791803435494,-0.2668319243394046,-0.24459593064445417,-0.22235993694950382,-0.20012394325455346,-0.17788794955960305,-0.1556519558646527,-0.1334159621697023,-0.11117996847475191,-0.08894397477980105,-0.06670798108485067,-0.044471987389900366,-0.022235993694949937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
