,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00062470096596884,-0.00062470096596884,-0.00062470096596884,-0.00062470096596884,-0.00062470096596884,-0.00062470096596884,-0.00062470096596884,-0.00062470096596884,-0.00062470096596884,-0.000593465917670398,-0.000562230869371956,-0.000530995821073514,-0.000499760772775072,-0.00046852572447662996,-0.00043729067617818805,-0.000406055627879746,-0.00037482057958130395,-0.000343585531282862,-0.00031235048298442,-0.000281115434685978,-0.000249880386387536,-0.00021864533808909402,-0.00018741028979065197,-0.00015617524149221,-0.000124940193193768,-9.370514489532599e-05,-6.2470096596884e-05,-3.1235048298442e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 Coal + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.00140557717342989,-0.00124940193193768,-0.00109322669044547,-0.0009370514489532599,-0.00078087620746105,-0.00062470096596884,-0.00046852572447662996,-0.00031235048298442,-0.00015617524149221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 IGCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 IGCC + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.00140557717342989,-0.00124940193193768,-0.00109322669044547,-0.0009370514489532599,-0.00078087620746105,-0.00062470096596884,-0.00046852572447662996,-0.00031235048298442,-0.00015617524149221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 CCGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 CCGT + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.0015617524149221,-0.00140557717342989,-0.00124940193193768,-0.00109322669044547,-0.0009370514489532599,-0.00078087620746105,-0.00062470096596884,-0.00046852572447662996,-0.00031235048298442,-0.00015617524149221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Solid Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0018741028979065199,-0.0018741028979065199,-0.0018741028979065199,-0.0018741028979065203,-0.0018741028979065203,-0.0018741028979065203,-0.0018741028979065203,-0.0018741028979065203,-0.0018741028979065203,-0.0018741028979065203,-0.0018741028979065203,-0.0018741028979065203,-0.0018741028979065203,-0.0017569714667873624,-0.0016398400356682048,-0.0015227086045490473,-0.00140557717342989,-0.0012884457423107325,-0.001171314311191575,-0.0010541828800724176,-0.0009370514489532599,-0.0008199200178341025,-0.000702788586714945,-0.0005856571555957875,-0.00046852572447662747,-0.00035139429335747,-0.0002342628622383129,-0.00011713143111915515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 S Biomass CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0018741028979065199,-0.0018741028979065199,-0.0018741028979065199,-0.0018741028979065203,-0.0018741028979065203,-0.0018741028979065203,-0.0018741028979065203,-0.0018741028979065203,-0.0018741028979065203,-0.0018741028979065203,-0.0018741028979065203,-0.0018741028979065203,-0.0018741028979065203,-0.0017569714667873624,-0.0016398400356682048,-0.0015227086045490473,-0.00140557717342989,-0.0012884457423107325,-0.001171314311191575,-0.0010541828800724176,-0.0009370514489532599,-0.0008199200178341025,-0.000702788586714945,-0.0005856571555957875,-0.00046852572447662747,-0.00035139429335747,-0.0002342628622383129,-0.00011713143111915515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
