,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008153075499974979,-0.008153075499974979,-0.008153075499974979,-0.008153075499974979,-0.008153075499974979,-0.008153075499974979,-0.008153075499974979,-0.008153075499974979,-0.008153075499974979,-0.007745421724976231,-0.0073377679499774815,-0.006930114174978733,-0.006522460399979984,-0.006114806624981235,-0.005707152849982486,-0.005299499074983737,-0.004891845299984987,-0.004484191524986239,-0.0040765377499874895,-0.0036688839749887407,-0.003261230199989992,-0.002853576424991243,-0.0024459226499924935,-0.0020382688749937448,-0.001630615099994996,-0.0012229613249962468,-0.000815307549997498,-0.000407653774998749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 Coal + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.018344419874943705,-0.016306150999949958,-0.014267882124956213,-0.01222961324996247,-0.010191344374968724,-0.008153075499974979,-0.006114806624981235,-0.0040765377499874895,-0.0020382688749937448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 IGCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 IGCC + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.018344419874943705,-0.016306150999949958,-0.014267882124956213,-0.01222961324996247,-0.010191344374968724,-0.008153075499974979,-0.006114806624981235,-0.0040765377499874895,-0.0020382688749937448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 CCGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 CCGT + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.02038268874993745,-0.018344419874943705,-0.016306150999949958,-0.014267882124956213,-0.01222961324996247,-0.010191344374968724,-0.008153075499974979,-0.006114806624981235,-0.0040765377499874895,-0.0020382688749937448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Solid Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02445922649992494,-0.02445922649992494,-0.02445922649992494,-0.024459226499924942,-0.024459226499924942,-0.024459226499924942,-0.024459226499924942,-0.024459226499924942,-0.024459226499924942,-0.024459226499924942,-0.024459226499924942,-0.024459226499924942,-0.024459226499924942,-0.02293052484367963,-0.02140182318743432,-0.019873121531189013,-0.018344419874943705,-0.016815718218698393,-0.015287016562453086,-0.013758314906207778,-0.01222961324996247,-0.010700911593717161,-0.009172209937471852,-0.007643508281226543,-0.006114806624981202,-0.004586104968735893,-0.00305740331249059,-0.001528701656245278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 S Biomass CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02445922649992494,-0.02445922649992494,-0.02445922649992494,-0.024459226499924942,-0.024459226499924942,-0.024459226499924942,-0.024459226499924942,-0.024459226499924942,-0.024459226499924942,-0.024459226499924942,-0.024459226499924942,-0.024459226499924942,-0.024459226499924942,-0.02293052484367963,-0.02140182318743432,-0.019873121531189013,-0.018344419874943705,-0.016815718218698393,-0.015287016562453086,-0.013758314906207778,-0.01222961324996247,-0.010700911593717161,-0.009172209937471852,-0.007643508281226543,-0.006114806624981202,-0.004586104968735893,-0.00305740331249059,-0.001528701656245278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
