,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16430076522000878,-0.16430076522000878,-0.16430076522000878,-0.16430076522000878,-0.16430076522000878,-0.16430076522000878,-0.16430076522000878,-0.16430076522000878,-0.16430076522000878,-0.15608572695900833,-0.14787068869800787,-0.13965565043700745,-0.131440612176007,-0.12322557391500656,-0.11501053565400614,-0.1067954973930057,-0.09858045913200525,-0.09036542087100481,-0.08215038261000439,-0.07393534434900394,-0.0657203060880035,-0.05750526782700307,-0.049290229566002625,-0.041075191305002194,-0.03286015304400175,-0.024645114783001312,-0.016430076522000875,-0.008215038261000437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 Coal + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.3696767217450197,-0.32860153044001755,-0.2875263391350153,-0.24645114783001312,-0.20537595652501095,-0.16430076522000878,-0.12322557391500656,-0.08215038261000439,-0.041075191305002194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 IGCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 IGCC + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.3696767217450197,-0.32860153044001755,-0.2875263391350153,-0.24645114783001312,-0.20537595652501095,-0.16430076522000878,-0.12322557391500656,-0.08215038261000439,-0.041075191305002194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 CCGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 CCGT + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.4107519130500219,-0.3696767217450197,-0.32860153044001755,-0.2875263391350153,-0.24645114783001312,-0.20537595652501095,-0.16430076522000878,-0.12322557391500656,-0.08215038261000439,-0.041075191305002194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Solid Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.49290229566002625,-0.49290229566002625,-0.49290229566002625,-0.49290229566002636,-0.49290229566002636,-0.49290229566002636,-0.49290229566002636,-0.49290229566002636,-0.49290229566002636,-0.49290229566002636,-0.49290229566002636,-0.49290229566002636,-0.49290229566002636,-0.4620959021812746,-0.4312895087025229,-0.40048311522377134,-0.3696767217450197,-0.33887032826626806,-0.3080639347875164,-0.2772575413087648,-0.24645114783001312,-0.21564475435126151,-0.18483836087250985,-0.1540319673937582,-0.12322557391500591,-0.09241918043625427,-0.06161278695750273,-0.030806393478751026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 S Biomass CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.49290229566002625,-0.49290229566002625,-0.49290229566002625,-0.49290229566002636,-0.49290229566002636,-0.49290229566002636,-0.49290229566002636,-0.49290229566002636,-0.49290229566002636,-0.49290229566002636,-0.49290229566002636,-0.49290229566002636,-0.49290229566002636,-0.4620959021812746,-0.4312895087025229,-0.40048311522377134,-0.3696767217450197,-0.33887032826626806,-0.3080639347875164,-0.2772575413087648,-0.24645114783001312,-0.21564475435126151,-0.18483836087250985,-0.1540319673937582,-0.12322557391500591,-0.09241918043625427,-0.06161278695750273,-0.030806393478751026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
