,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1929948116661317,-0.1929948116661317,-0.1929948116661317,-0.1929948116661317,-0.1929948116661317,-0.1929948116661317,-0.1929948116661317,-0.1929948116661317,-0.1929948116661317,-0.1833450710828251,-0.17369533049951852,-0.16404558991621193,-0.15439584933290534,-0.14474610874959876,-0.1350963681662922,-0.1254466275829856,-0.11579688699967901,-0.10614714641637242,-0.09649740583306585,-0.08684766524975926,-0.07719792466645267,-0.0675481840831461,-0.057898443499839504,-0.04824870291653292,-0.038598962333226336,-0.028949221749919752,-0.019299481166613168,-0.009649740583306584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 Coal + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.43423832624879627,-0.3859896233322634,-0.33774092041573045,-0.2894922174991975,-0.2412435145826646,-0.1929948116661317,-0.14474610874959876,-0.09649740583306585,-0.04824870291653292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 IGCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 IGCC + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.43423832624879627,-0.3859896233322634,-0.33774092041573045,-0.2894922174991975,-0.2412435145826646,-0.1929948116661317,-0.14474610874959876,-0.09649740583306585,-0.04824870291653292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 CCGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 CCGT + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.4824870291653292,-0.43423832624879627,-0.3859896233322634,-0.33774092041573045,-0.2894922174991975,-0.2412435145826646,-0.1929948116661317,-0.14474610874959876,-0.09649740583306585,-0.04824870291653292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Solid Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.578984434998395,-0.578984434998395,-0.578984434998395,-0.5789844349983951,-0.5789844349983951,-0.5789844349983951,-0.5789844349983951,-0.5789844349983951,-0.5789844349983951,-0.5789844349983951,-0.5789844349983951,-0.5789844349983951,-0.5789844349983951,-0.5427979078109954,-0.5066113806235956,-0.47042485343619594,-0.43423832624879627,-0.3980517990613966,-0.3618652718739969,-0.32567874468659724,-0.2894922174991975,-0.25330569031179784,-0.21711916312439813,-0.18093263593699846,-0.14474610874959798,-0.1085595815621983,-0.07237305437479874,-0.03618652718739897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 S Biomass CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.578984434998395,-0.578984434998395,-0.578984434998395,-0.5789844349983951,-0.5789844349983951,-0.5789844349983951,-0.5789844349983951,-0.5789844349983951,-0.5789844349983951,-0.5789844349983951,-0.5789844349983951,-0.5789844349983951,-0.5789844349983951,-0.5427979078109954,-0.5066113806235956,-0.47042485343619594,-0.43423832624879627,-0.3980517990613966,-0.3618652718739969,-0.32567874468659724,-0.2894922174991975,-0.25330569031179784,-0.21711916312439813,-0.18093263593699846,-0.14474610874959798,-0.1085595815621983,-0.07237305437479874,-0.03618652718739897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
