,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06745198452799613,-0.06745198452799613,-0.06745198452799613,-0.06745198452799613,-0.06745198452799613,-0.06745198452799613,-0.06745198452799613,-0.06745198452799613,-0.06745198452799613,-0.06407938530159632,-0.06070678607519651,-0.05733418684879671,-0.053961587622396896,-0.05058898839599709,-0.04721638916959729,-0.04384378994319748,-0.040471190716797674,-0.03709859149039787,-0.03372599226399806,-0.030353393037598254,-0.026980793811198448,-0.023608194584798646,-0.020235595358398837,-0.01686299613199903,-0.013490396905599224,-0.010117797679199418,-0.006745198452799612,-0.003372599226399806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 Coal + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1517669651879913,-0.13490396905599225,-0.11804097292399321,-0.10117797679199418,-0.08431498065999515,-0.06745198452799613,-0.05058898839599709,-0.03372599226399806,-0.01686299613199903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 IGCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 IGCC + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1517669651879913,-0.13490396905599225,-0.11804097292399321,-0.10117797679199418,-0.08431498065999515,-0.06745198452799613,-0.05058898839599709,-0.03372599226399806,-0.01686299613199903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 CCGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 CCGT + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1686299613199903,-0.1517669651879913,-0.13490396905599225,-0.11804097292399321,-0.10117797679199418,-0.08431498065999515,-0.06745198452799613,-0.05058898839599709,-0.03372599226399806,-0.01686299613199903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Solid Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20235595358398836,-0.20235595358398836,-0.20235595358398836,-0.2023559535839884,-0.2023559535839884,-0.2023559535839884,-0.2023559535839884,-0.2023559535839884,-0.2023559535839884,-0.2023559535839884,-0.2023559535839884,-0.2023559535839884,-0.2023559535839884,-0.1897087064849891,-0.1770614593859898,-0.16441421228699055,-0.1517669651879913,-0.13911971808899198,-0.12647247098999273,-0.11382522389099346,-0.10117797679199418,-0.08853072969299491,-0.07588348259399565,-0.06323623549499637,-0.05058898839599682,-0.037941741296997546,-0.02529449419799832,-0.01264724709899902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 S Biomass CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20235595358398836,-0.20235595358398836,-0.20235595358398836,-0.2023559535839884,-0.2023559535839884,-0.2023559535839884,-0.2023559535839884,-0.2023559535839884,-0.2023559535839884,-0.2023559535839884,-0.2023559535839884,-0.2023559535839884,-0.2023559535839884,-0.1897087064849891,-0.1770614593859898,-0.16441421228699055,-0.1517669651879913,-0.13911971808899198,-0.12647247098999273,-0.11382522389099346,-0.10117797679199418,-0.08853072969299491,-0.07588348259399565,-0.06323623549499637,-0.05058898839599682,-0.037941741296997546,-0.02529449419799832,-0.01264724709899902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
