,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BE,1,31.26179514556255,22.221221954818787,15.799880249243774,19.34851645495628,23.657574704750036,27.797650278081292,33.62755261603755,40.64033368923132,49.17395885058758,59.4819021148001,62.94604698228135,66.66366586445636,70.6347587613251,193.4851645495628,207.00377866656282,220.52239278356285,234.88592028287536,250.0943611645004,265.3028020461254,280.51124292775046,305.8586443971255,335.43061277806305,367.53732130593806,403.0236833630631,441.8896989494382,484.9802814473758,531.4505174745633,582.990233795626,639.5994304105635,700.4331939370636,768.0262645220637,841.5337287832514,921.8005001029389,1010.5164052457516,1106.8365308293767,1213.295617000752,1329.0487503775646,1456.6306711067523,1596.8862925706276,1749.8156147691902
DK,1,31.26179514556255,22.221221954818787,15.799880249243774,19.34851645495628,23.657574704750036,27.797650278081292,33.62755261603755,40.64033368923132,49.17395885058758,59.4819021148001,62.94604698228135,66.66366586445636,70.6347587613251,193.4851645495628,207.00377866656282,220.52239278356285,234.88592028287536,250.0943611645004,265.3028020461254,280.51124292775046,305.8586443971255,335.43061277806305,367.53732130593806,403.0236833630631,441.8896989494382,484.9802814473758,531.4505174745633,582.990233795626,639.5994304105635,700.4331939370636,768.0262645220637,841.5337287832514,921.8005001029389,1010.5164052457516,1106.8365308293767,1213.295617000752,1329.0487503775646,1456.6306711067523,1596.8862925706276,1749.8156147691902
DE,1,31.26179514556255,22.221221954818787,15.799880249243774,19.34851645495628,23.657574704750036,27.797650278081292,33.62755261603755,40.64033368923132,49.17395885058758,59.4819021148001,62.94604698228135,66.66366586445636,70.6347587613251,193.4851645495628,207.00377866656282,220.52239278356285,234.88592028287536,250.0943611645004,265.3028020461254,280.51124292775046,305.8586443971255,335.43061277806305,367.53732130593806,403.0236833630631,441.8896989494382,484.9802814473758,531.4505174745633,582.990233795626,639.5994304105635,700.4331939370636,768.0262645220637,841.5337287832514,921.8005001029389,1010.5164052457516,1106.8365308293767,1213.295617000752,1329.0487503775646,1456.6306711067523,1596.8862925706276,1749.8156147691902
EL,1,31.26179514556255,22.221221954818787,15.799880249243774,19.34851645495628,23.657574704750036,27.797650278081292,33.62755261603755,40.64033368923132,49.17395885058758,59.4819021148001,62.94604698228135,66.66366586445636,70.6347587613251,193.4851645495628,207.00377866656282,220.52239278356285,234.88592028287536,250.0943611645004,265.3028020461254,280.51124292775046,305.8586443971255,335.43061277806305,367.53732130593806,403.0236833630631,441.8896989494382,484.9802814473758,531.4505174745633,582.990233795626,639.5994304105635,700.4331939370636,768.0262645220637,841.5337287832514,921.8005001029389,1010.5164052457516,1106.8365308293767,1213.295617000752,1329.0487503775646,1456.6306711067523,1596.8862925706276,1749.8156147691902
ES,1,31.26179514556255,22.221221954818787,15.799880249243774,19.34851645495628,23.657574704750036,27.797650278081292,33.62755261603755,40.64033368923132,49.17395885058758,59.4819021148001,62.94604698228135,66.66366586445636,70.6347587613251,193.4851645495628,207.00377866656282,220.52239278356285,234.88592028287536,250.0943611645004,265.3028020461254,280.51124292775046,305.8586443971255,335.43061277806305,367.53732130593806,403.0236833630631,441.8896989494382,484.9802814473758,531.4505174745633,582.990233795626,639.5994304105635,700.4331939370636,768.0262645220637,841.5337287832514,921.8005001029389,1010.5164052457516,1106.8365308293767,1213.295617000752,1329.0487503775646,1456.6306711067523,1596.8862925706276,1749.8156147691902
FR,1,31.26179514556255,22.221221954818787,15.799880249243774,19.34851645495628,23.657574704750036,27.797650278081292,33.62755261603755,40.64033368923132,49.17395885058758,59.4819021148001,62.94604698228135,66.66366586445636,70.6347587613251,193.4851645495628,207.00377866656282,220.52239278356285,234.88592028287536,250.0943611645004,265.3028020461254,280.51124292775046,305.8586443971255,335.43061277806305,367.53732130593806,403.0236833630631,441.8896989494382,484.9802814473758,531.4505174745633,582.990233795626,639.5994304105635,700.4331939370636,768.0262645220637,841.5337287832514,921.8005001029389,1010.5164052457516,1106.8365308293767,1213.295617000752,1329.0487503775646,1456.6306711067523,1596.8862925706276,1749.8156147691902
IE,1,31.26179514556255,22.221221954818787,15.799880249243774,19.34851645495628,23.657574704750036,27.797650278081292,33.62755261603755,40.64033368923132,49.17395885058758,59.4819021148001,62.94604698228135,66.66366586445636,70.6347587613251,193.4851645495628,207.00377866656282,220.52239278356285,234.88592028287536,250.0943611645004,265.3028020461254,280.51124292775046,305.8586443971255,335.43061277806305,367.53732130593806,403.0236833630631,441.8896989494382,484.9802814473758,531.4505174745633,582.990233795626,639.5994304105635,700.4331939370636,768.0262645220637,841.5337287832514,921.8005001029389,1010.5164052457516,1106.8365308293767,1213.295617000752,1329.0487503775646,1456.6306711067523,1596.8862925706276,1749.8156147691902
IT,1,31.26179514556255,22.221221954818787,15.799880249243774,19.34851645495628,23.657574704750036,27.797650278081292,33.62755261603755,40.64033368923132,49.17395885058758,59.4819021148001,62.94604698228135,66.66366586445636,70.6347587613251,193.4851645495628,207.00377866656282,220.52239278356285,234.88592028287536,250.0943611645004,265.3028020461254,280.51124292775046,305.8586443971255,335.43061277806305,367.53732130593806,403.0236833630631,441.8896989494382,484.9802814473758,531.4505174745633,582.990233795626,639.5994304105635,700.4331939370636,768.0262645220637,841.5337287832514,921.8005001029389,1010.5164052457516,1106.8365308293767,1213.295617000752,1329.0487503775646,1456.6306711067523,1596.8862925706276,1749.8156147691902
LX,1,31.26179514556255,22.221221954818787,15.799880249243774,19.34851645495628,23.657574704750036,27.797650278081292,33.62755261603755,40.64033368923132,49.17395885058758,59.4819021148001,62.94604698228135,66.66366586445636,70.6347587613251,193.4851645495628,207.00377866656282,220.52239278356285,234.88592028287536,250.0943611645004,265.3028020461254,280.51124292775046,305.8586443971255,335.43061277806305,367.53732130593806,403.0236833630631,441.8896989494382,484.9802814473758,531.4505174745633,582.990233795626,639.5994304105635,700.4331939370636,768.0262645220637,841.5337287832514,921.8005001029389,1010.5164052457516,1106.8365308293767,1213.295617000752,1329.0487503775646,1456.6306711067523,1596.8862925706276,1749.8156147691902
NL,1,31.26179514556255,22.221221954818787,15.799880249243774,19.34851645495628,23.657574704750036,27.797650278081292,33.62755261603755,40.64033368923132,49.17395885058758,59.4819021148001,62.94604698228135,66.66366586445636,70.6347587613251,193.4851645495628,207.00377866656282,220.52239278356285,234.88592028287536,250.0943611645004,265.3028020461254,280.51124292775046,305.8586443971255,335.43061277806305,367.53732130593806,403.0236833630631,441.8896989494382,484.9802814473758,531.4505174745633,582.990233795626,639.5994304105635,700.4331939370636,768.0262645220637,841.5337287832514,921.8005001029389,1010.5164052457516,1106.8365308293767,1213.295617000752,1329.0487503775646,1456.6306711067523,1596.8862925706276,1749.8156147691902
