,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12458054460354383,-0.12458054460354383,-0.12458054460354383,-0.12458054460354383,-0.12458054460354383,-0.12458054460354383,-0.12458054460354383,-0.12458054460354383,-0.12458054460354383,-0.11835151737336663,-0.11212249014318944,-0.10589346291301226,-0.09966443568283506,-0.09343540845265787,-0.08720638122248069,-0.08097735399230349,-0.07474832676212628,-0.0685192995319491,-0.062290272301771914,-0.05606124507159472,-0.04983221784141753,-0.04360319061124034,-0.03737416338106314,-0.031145136150885957,-0.024916108920708765,-0.01868708169053157,-0.012458054460354383,-0.006229027230177191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 Coal + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.2803062253579736,-0.24916108920708765,-0.21801595305620167,-0.18687081690531573,-0.15572568075442977,-0.12458054460354383,-0.09343540845265787,-0.062290272301771914,-0.031145136150885957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 IGCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 IGCC + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.2803062253579736,-0.24916108920708765,-0.21801595305620167,-0.18687081690531573,-0.15572568075442977,-0.12458054460354383,-0.09343540845265787,-0.062290272301771914,-0.031145136150885957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 CCGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 CCGT + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.31145136150885955,-0.2803062253579736,-0.24916108920708765,-0.21801595305620167,-0.18687081690531573,-0.15572568075442977,-0.12458054460354383,-0.09343540845265787,-0.062290272301771914,-0.031145136150885957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Solid Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.37374163381063147,-0.37374163381063147,-0.37374163381063147,-0.3737416338106315,-0.3737416338106315,-0.3737416338106315,-0.3737416338106315,-0.3737416338106315,-0.3737416338106315,-0.3737416338106315,-0.3737416338106315,-0.3737416338106315,-0.3737416338106315,-0.350382781697467,-0.3270239295843025,-0.3036650774711381,-0.2803062253579736,-0.2569473732448091,-0.23358852113164466,-0.2102296690184802,-0.18687081690531573,-0.16351196479215127,-0.1401531126789868,-0.11679426056582233,-0.09343540845265735,-0.0700765563394929,-0.04671770422632852,-0.023358852113164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 S Biomass CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.37374163381063147,-0.37374163381063147,-0.37374163381063147,-0.3737416338106315,-0.3737416338106315,-0.3737416338106315,-0.3737416338106315,-0.3737416338106315,-0.3737416338106315,-0.3737416338106315,-0.3737416338106315,-0.3737416338106315,-0.3737416338106315,-0.350382781697467,-0.3270239295843025,-0.3036650774711381,-0.2803062253579736,-0.2569473732448091,-0.23358852113164466,-0.2102296690184802,-0.18687081690531573,-0.16351196479215127,-0.1401531126789868,-0.11679426056582233,-0.09343540845265735,-0.0700765563394929,-0.04671770422632852,-0.023358852113164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
