,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17711162029840555,-0.17711162029840555,-0.17711162029840555,-0.17711162029840555,-0.17711162029840555,-0.17711162029840555,-0.17711162029840555,-0.17711162029840555,-0.17711162029840555,-0.16825603928348526,-0.159400458268565,-0.15054487725364474,-0.14168929623872445,-0.13283371522380416,-0.1239781342088839,-0.11512255319396361,-0.10626697217904332,-0.09741139116412305,-0.08855581014920277,-0.0797002291342825,-0.07084464811936222,-0.06198906710444195,-0.05313348608952166,-0.04427790507460139,-0.03542232405968111,-0.02656674304476083,-0.017711162029840556,-0.008855581014920278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 Coal + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.3985011456714125,-0.3542232405968111,-0.3099453355222097,-0.2656674304476083,-0.22138952537300693,-0.17711162029840555,-0.13283371522380416,-0.08855581014920277,-0.04427790507460139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 IGCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 IGCC + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.3985011456714125,-0.3542232405968111,-0.3099453355222097,-0.2656674304476083,-0.22138952537300693,-0.17711162029840555,-0.13283371522380416,-0.08855581014920277,-0.04427790507460139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 CCGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 CCGT + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.44277905074601387,-0.3985011456714125,-0.3542232405968111,-0.3099453355222097,-0.2656674304476083,-0.22138952537300693,-0.17711162029840555,-0.13283371522380416,-0.08855581014920277,-0.04427790507460139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Solid Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5313348608952166,-0.5313348608952166,-0.5313348608952166,-0.5313348608952168,-0.5313348608952168,-0.5313348608952168,-0.5313348608952168,-0.5313348608952168,-0.5313348608952168,-0.5313348608952168,-0.5313348608952168,-0.5313348608952168,-0.5313348608952168,-0.4981264320892656,-0.4649180032833145,-0.4317095744773635,-0.3985011456714125,-0.36529271686546144,-0.3320842880595104,-0.29887585925355936,-0.2656674304476083,-0.23245900164165728,-0.19925057283570624,-0.1660421440297552,-0.13283371522380344,-0.09962528641785241,-0.06641685761190148,-0.033208428805950374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 S Biomass CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5313348608952166,-0.5313348608952166,-0.5313348608952166,-0.5313348608952168,-0.5313348608952168,-0.5313348608952168,-0.5313348608952168,-0.5313348608952168,-0.5313348608952168,-0.5313348608952168,-0.5313348608952168,-0.5313348608952168,-0.5313348608952168,-0.4981264320892656,-0.4649180032833145,-0.4317095744773635,-0.3985011456714125,-0.36529271686546144,-0.3320842880595104,-0.29887585925355936,-0.2656674304476083,-0.23245900164165728,-0.19925057283570624,-0.1660421440297552,-0.13283371522380344,-0.09962528641785241,-0.06641685761190148,-0.033208428805950374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
