,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Oil,1485.67138671875,1322.88232421875,1322.555908203125,11.59818649291992,672.4898071289062,231.8144836425781,451.8680419921875,347.4453430175781,324.1314697265625,370.244384765625,381.5950317382812,392.9072265625,404.1759338378906,450.0116271972656,461.1448669433594,472.211669921875,494.7081909179688,528.5830078125,504.9212646484375,515.6242065429688,503.3265075683594,513.8119506835938,319.0457763671875,136.4199066162109,147.4102478027344,144.5374450683594,141.7206268310547,138.9586944580078,136.2505950927734,133.5952758789062,130.99169921875,128.4388732910156,125.9357833862305,123.4814834594727,121.0750122070312,118.7154388427734,116.40185546875,114.1333541870117,111.909065246582,109.7281188964844,107.8530044555664,106.0099258422852,104.1983489990234,102.417724609375,100.6675338745117,98.94725036621094,97.25636291503906,95.59436798095703,93.96077728271484,92.3551025390625,91.02278137207031,89.70967864990234,88.41552734375,87.1400375366211,85.88294982910156,84.64399719238281,83.42292022705078,82.21945190429688,81.0333480834961,79.8643569946289,78.90591430664062,77.95896911621094,77.02339172363281,76.09903717041016,75.18577575683594,74.28347778320312,73.39200592041016,72.51123809814453,71.64102935791016,70.7812728881836,69.93183135986328,69.09258270263672,68.26341247558594,67.44418334960938,66.63479614257812,65.83511352539062,65.04502868652344,64.2644271850586,63.49319839477539,62.73122024536133,61.97838592529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil condensing,2.968587875366211,2.937665224075317,3.264072418212891,0.03181356936693192,2.050207853317261,0.7855202555656433,1.701960563659668,1.454667210578918,1.508543729782104,1.915611147880554,2.194971084594727,2.512761354446411,2.874073505401611,3.558376789093018,4.055130481719971,4.618342876434326,5.381808757781982,6.396981716156006,6.79872465133667,7.725823402404785,8.393486976623535,9.538053512573242,6.594210147857666,3.140100002288818,3.779750108718872,3.706088304519653,3.633862018585205,3.563043594360352,3.493605136871338,3.425519943237305,3.358761548995972,3.293304443359375,3.229122638702393,3.166191816329956,3.104487419128418,3.043985605239868,2.984662771224976,2.926496267318726,2.869463205337524,2.813541650772095,2.765461683273315,2.71820330619812,2.671752452850342,2.626095533370972,2.581218719482422,2.537108898162842,2.493752717971802,2.451137542724609,2.409250736236572,2.368079662322998,2.333917379379272,2.300248146057129,2.267064809799194,2.234359979629517,2.202126979827881,2.170358896255493,2.139049291610718,2.108191013336182,2.077778339385986,2.047804117202759,2.023228645324707,1.998947858810425,1.974958658218384,1.951257348060608,1.9278404712677,1.904704570770264,1.881846308708191,1.859262466430664,1.836949586868286,1.814904451370239,1.793123960494995,1.771604776382446,1.750343799591064,1.729338049888611,1.708584427833557,1.688079833984375,1.667821288108826,1.64780592918396,1.62803065776825,1.608492851257324,1.589189410209656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Gas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Gas condensing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Wood stove,0,0.0,2164.1015625,2232.31005859375,2161.589599609375,2160.120849609375,2158.488525390625,2156.675048828125,1682.248046875,1761.072021484375,2092.44873046875,1630.471069335938,1605.207397460938,1785.81298828125,1771.222778320312,1596.66015625,1706.952514648438,1441.6875,1766.07080078125,1963.873657226562,2013.4775390625,1916.240844726562,1997.458374023438,1521.611083984375,1668.323486328125,1723.376220703125,1780.245483398438,1838.991455078125,1899.675903320312,1962.362915039062,2027.118530273438,2094.010986328125,2163.11083984375,2234.490966796875,2308.2265625,2384.39501953125,2463.077392578125,2544.35595703125,2628.316650390625,2715.0478515625,2667.343017578125,2620.47607421875,2574.432861328125,2529.19873046875,2484.75927734375,2441.1005859375,2398.209228515625,2356.0712890625,2314.673828125,2274.003662109375,2257.72802734375,2241.569091796875,2225.525634765625,2209.59716796875,2193.782470703125,2178.081298828125,2162.4921875,2147.014892578125,2131.648193359375,2116.3916015625,2105.900390625,2095.461181640625,2085.07373046875,2074.73779296875,2064.453125,2054.21923828125,2044.036376953125,2033.90380859375,2023.821533203125,2013.789184570312,2003.806640625,1993.87353515625,1983.989624023438,1974.15478515625,1964.36865234375,1954.631103515625,1944.941772460938,1935.300537109375,1925.70703125,1916.161010742188,1906.662475585938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Wood boiler,0,0.0,10.70844841003418,12.28003883361816,13.22030639648438,14.68922901153564,16.32136535644531,18.13485145568848,15.73195648193359,18.31803131103516,24.21119499206543,20.98894882202148,22.99258804321289,28.46701431274414,31.42725944519043,31.53990173339844,37.54750061035156,35.32246398925781,48.20914077758789,59.74636840820312,68.29246520996094,72.48921203613281,84.31168365478516,71.6989517211914,87.80650329589844,90.70401000976562,93.69712829589844,96.78902435302734,99.98294830322266,103.2822647094727,106.6904525756836,110.2111053466797,113.8479385375977,117.6047897338867,121.4856033325195,125.4944839477539,129.6356506347656,133.9134674072266,138.3324432373047,142.8972473144531,140.386474609375,137.9197998046875,135.4964752197266,133.11572265625,130.7768096923828,128.4789886474609,126.2215347290039,124.0037536621094,121.8249359130859,119.6844024658203,118.8277969360352,117.9773178100586,117.1329345703125,116.2945861816406,115.4622421264648,114.635856628418,113.8153839111328,113.0007781982422,112.192008972168,111.389030456543,110.8368606567383,110.2874298095703,109.74072265625,109.1967239379883,108.6554260253906,108.1168060302734,107.5808563232422,107.0475692749023,106.5169219970703,105.9889068603516,105.463508605957,104.9407119750977,104.4205093383789,103.9028854370117,103.387825012207,102.8753204345703,102.3653564453125,101.8579177856445,101.3529968261719,100.8505783081055,100.3506546020508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Coal,34.88999938964844,46.52000045776367,46.52000045776367,23.26000022888184,58.15000152587891,58.15000152587891,58.15000152587891,58.15000152587891,58.15000152587891,46.52000045776367,46.52000045776367,34.88999938964844,34.88999938964844,58.15000152587891,69.77999877929688,69.77999877929688,81.41000366210938,58.15000152587891,34.88999938964844,23.26000022888184,23.26000022888184,11.63000011444092,23.26000022888184,11.63000011444092,11.63000011444092,11.02220821380615,10.44618034362793,9.900256156921387,9.38286304473877,8.892508506774902,8.427780151367188,7.987338542938232,7.569915294647217,7.174306392669678,6.799372673034668,6.444032669067383,6.107263565063477,5.788094043731689,5.485604286193848,5.198923110961914,5.060476779937744,4.925717353820801,4.794546127319336,4.666868686676025,4.542590618133545,4.421622276306152,4.30387544631958,4.189264297485352,4.077704906463623,3.9691162109375,3.797719478607178,3.633723974227905,3.476810216903687,3.326672554016113,3.183018207550049,3.045567035675049,2.914051532745361,2.788215160369873,2.667812824249268,2.55260968208313,2.515288829803467,2.478513956069946,2.442276477813721,2.406569004058838,2.371383428573608,2.33671236038208,2.302548170089722,2.26888370513916,2.235711097717285,2.203023672103882,2.170814275741577,2.139075517654419,2.107800960540771,2.076983690261841,2.046616792678833,2.016694068908691,1.987208843231201,1.958154678344727,1.929525256156921,1.901314377784729,1.873516082763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 District heating,290.75,348.8999938964844,348.8999938964844,418.6799926757812,488.4599914550781,325.6400146484375,325.6400146484375,325.6400146484375,337.2699890136719,430.3099975585938,383.7900085449219,441.9400024414062,465.2000122070312,511.7200012207031,465.2000122070312,500.0899963378906,488.4599914550781,453.5700073242188,407.0499877929688,418.6799926757812,395.4200134277344,430.3099975585938,395.4200134277344,325.6400146484375,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,314.010009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Electric,251.1937408447266,277.3596496582031,293.0584106445312,327.9464416503906,333.1777648925781,357.5983581542969,373.2961730957031,376.7821960449219,383.7568969726562,394.22021484375,397.7051086425781,390.7225646972656,402.9290161132812,434.3244323730469,436.0626831054688,448.2672729492188,456.9820556640625,455.2290344238281,470.9200134277344,495.3324584960938,484.853759765625,502.2857055664062,490.0597534179688,460.3871459960938,456.8802795410156,465.0492248535156,473.3642578125,481.8279418945312,490.4429626464844,499.2120056152344,508.1378479003906,517.2232666015625,526.4711303710938,535.8843994140625,545.4659423828125,555.21875,565.14599609375,575.250732421875,585.5361328125,596.0054321289062,598.896240234375,601.8011474609375,604.7200927734375,607.6531982421875,610.6005249023438,613.5621337890625,616.5381469726562,619.528564453125,622.533447265625,625.552978515625,631.1627807617188,636.8229370117188,642.5338134765625,648.2959594726562,654.1097412109375,659.9756469726562,665.8941650390625,671.8657836914062,677.8909301757812,683.9700927734375,690.9318237304688,697.96435546875,705.0684814453125,712.2449340820312,719.494384765625,726.817626953125,734.2154541015625,741.6885375976562,749.2377319335938,756.8637084960938,764.5673828125,772.349365234375,780.2106323242188,788.1519165039062,796.1739501953125,804.2777099609375,812.4639282226562,820.7334594726562,829.0872192382812,837.5259399414062,846.0505981445312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 Heatpump Ground,0.332626074552536,0.3695845305919647,0.4106494784355164,0.4562771916389465,0.5069746375083923,0.563305139541626,0.6258946061134338,0.6954385042190552,0.7727094292640686,0.8585660457611084,0.9539622664451599,1.059958100318909,1.177731156349182,1.308590173721313,1.453989148139954,1.615543484687805,1.795048236846924,1.994498014450073,2.216109037399292,2.462343215942383,2.735937118530273,3.039930105209351,3.377700090408325,3.753000020980835,4.170000076293945,5.618526458740234,7.570224761962891,10.1998815536499,13.74299907684326,18.51688194274902,24.94906234741211,33.61558151245117,45.29257202148438,61.02577972412109,82.22420501708984,110.7863006591797,149.2699584960938,201.1216278076172,270.9849548339844,365.1165466308594,388.2656860351562,412.8825378417969,439.0601501464844,466.8974609375,496.4997253417969,527.9788208007812,561.4537963867188,597.0510864257812,634.9053955078125,675.15966796875,710.3020629882812,747.2736206054688,786.1695556640625,827.090087890625,870.1405029296875,915.4317016601562,963.0803833007812,1013.209167480469,1065.947143554688,1121.43017578125,1172.848510742188,1226.624389648438,1282.865844726562,1341.68603515625,1403.203125,1467.540893554688,1534.82861328125,1605.201416015625,1678.800903320312,1755.775024414062,1836.2783203125,1920.472900390625,2008.527709960938,2100.619873046875,2196.934814453125,2297.66552734375,2403.014892578125,2513.194580078125,2628.42626953125,2748.941162109375,2874.98193359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
