,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Indirect Heating Coal,0.0016243860179467884,0.002321742843719471,-0.0007962599405787474,-0.0008416313277411769,0.0020742611377065345,-0.0014793422692600255,-0.0011588194489662864,-0.0002998074491088465,0.0013585555354093393,0.0028149243781421807,0.002302742284926107,-0.002779341105458466,-0.0013526269231988466,0.0021850957207088795,0.0033421747583820827,-0.00297363746107307,-1.5764740631030172e-05,0.0035219727577393283,0.0025001963232036684,-0.0019178271928871613,-0.019773067249258675,0.0036226655095242533,0.0005215255413909546,0.008883864961156729,0.0018679509418303157,-0.0005434642795417999,0.004434984531392794,-0.0004784249438563037,0.0063481331260070994,0.014283299533515812,0.14079649191648666,-0.012061733772867568,-0.023669350216120436,-0.14282990472902052,-0.0725542881165892,0.02635711659830237,0.07733583193067894,0.03196545511149845,-0.05009825514686683,0.17636297791469946,-0.09258500201358816,0.0010534771881758886,0.03446650870413609,0.07086584475340713,0.3384593174806463,0.004883958902742736,0.018935754301843688,0.013690227926008158,0.008535297237445838,-0.029175047493782413,0.014285600001652243,0.02785547245637221,0.018482460845078763,0.012852450467719212,0.010645185722468531,0.010678962820166005,0.010729001238600322,0.010912955068795416,0.011079895788505543,0.01115561238739482,0.007938041468408819,0.008076415784943447,0.008130409638054116,0.00811534089453303,0.008115341698156753,0.006845992725258876,0.006762931007933903,0.006850827324001218,0.0067386334525847405,0.0067746715448901975,0.009511134795496591,0.009427130829663288,0.009586474896794872,0.009480370883967026,0.009620502725011916,0.009777711966418523,0.009923807898980395,0.00978920137104333,0.01007141102734388,0.009994124951834491,0.010097340340130769,0.010330579593577085,0.010401398911094262,0.010658809551006287,0.010744445676089455,0.0110700385431306,0.011105323238440823,0.011219336513373479,0.011361352449622995,0.011548069137277572
Indirect Heating Oil,0.0015446241261674876,0.0022077387834811835,-0.000757161352861857,-0.0008003048781536626,0.0019724091206614336,-0.0014067024307723994,-0.001101918176449168,-0.0002850860657391263,0.0012918466630142678,0.002676703726686325,0.002189671205209437,-0.002642867692105838,-0.0012862091622271865,0.002077801415982683,0.003178064640195793,-0.0028276235538241823,-1.4990647821677694e-05,0.003349034055454975,0.002377429698549871,-0.0018236565195863808,-0.018802154404248126,0.003444782511806632,0.0004959171802420836,0.008447642371338188,0.0017762293318033804,-0.0005167786650562001,0.0042172144002001755,-0.0004549329424632376,0.006036422053759982,0.013581949620960154,0.07387572264134834,0.04512907947596096,0.4783882868842003,-0.060720970158966825,0.06008159707226235,-0.015696624250729152,-0.0009949340806041373,0.06905958123389855,-0.016219989971341775,0.004762928424385859,0.004773593174960289,0.031155808428682038,0.0396472391800784,-0.006801800507141631,0.09693177824993593,0.006907490246222614,0.026781252821641236,0.019362389764246982,0.01207165817533018,-0.041262909866669466,0.02020443755524637,0.039396605935456463,0.02614014993899394,0.018177502721404167,0.015055719757570031,0.015103491448023474,0.015174261881222062,0.015434431819817409,0.0156705397429302,0.015777627390210158,0.011226946235430637,0.011422652067692107,0.0114990167589486,0.011477704704329295,0.011477705840911678,0.009682437734863658,0.009564961725403888,0.009689275413951924,0.009530597159705943,0.009581566624447202,0.013451806646757491,0.01333299799455645,0.013558361805232176,0.013408296571620236,0.013606488109361605,0.013828832589169338,0.01403545927241612,0.013845082306244594,0.01424421761575756,0.014134910223253527,0.01428089001180499,0.014610765405988381,0.014710926720761462,0.015074988237222087,0.01519610528806403,0.015656598424496737,0.0157065023433347,0.015867753819898578,0.016068610074829737,0.016332687583358263
Indirect Heating Gas,0.02377279683963973,0.03397857425995365,-0.011653218871491068,-0.012317226538035351,0.03035669359022597,-0.021650089840013376,-0.01695925662357034,-0.004387664939202729,0.019882382870715087,0.04119625792218562,0.03370050216437459,-0.04067549875345566,-0.01979561796873908,0.0319787513987837,0.04891253720222366,-0.04351901484980037,-0.0002307160810981479,0.05154387068063748,0.03659023076661727,-0.02806729171904232,-0.2893777128218193,0.05301750336705791,0.007632496589598414,0.1300148576379212,0.02733735562602213,-0.007953568772697041,0.06490574597841814,-0.007001721799899664,0.09290456667825307,0.2090352750260691,-0.26690074137476616,0.06881813649446933,-0.5635958695814258,0.07911173923881121,0.14209435954480654,-0.7003780888533135,0.3539003699859737,0.2869177565700938,-0.4276963468275976,0.6392717838270394,-0.335769371123845,0.030845694358399456,-0.016064518966728336,-0.05584875447399895,-0.17487029440205948,0.013440921824122931,0.052112230737436434,0.03767625546655573,0.023489604478395883,-0.08029132521135485,0.03931475195769418,0.07665978258945794,0.05086474237049998,0.035370646114163413,0.02929613290124466,0.029389089320133618,0.029526797782422957,0.030033048776775036,0.030492478761256606,0.03070085497955155,0.021845923960091,0.02222673764178884,0.022375331676482983,0.02233386167075846,0.022333863882374683,0.01884054613503228,0.01861195574936625,0.018853851214996283,0.018545087549109333,0.01864426634872807,0.02617516277075316,0.02594397926569947,0.026382502847100756,0.026090498804881342,0.026476149290083132,0.02690879771441512,0.027310861705430508,0.02694041718387385,0.027717073581663417,0.027504378077933826,0.02778843246757168,0.028430319640317506,0.02862521827262432,0.029333626421965686,0.0295693017184786,0.03046535108325576,0.030562456493169687,0.030876227256968924,0.031267062875147016,0.031780917404228504
Indirect Heating Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00498572269264169,0.001864788770045584,0.00796696182166276,-0.0011730220001928988,0.06369079413708853,0.0019544481718702373,-0.009646412769796777,0.07045439896805833,0.006901209887026111,0.018089913517984224,7.096308790252581e-05,0.0031253842970499768,0.025997295244854283,0.001356149348989255,0.005257970302462056,0.0038014229970167726,0.002370031775961956,-0.008101157780669554,0.0039667424579027675,0.0077347458465066845,0.00513210240747472,0.003568793817025462,0.002955893359235434,0.0029652723875943365,0.002979166765072927,0.003030245996497982,0.003076601126191375,0.0030976256717161754,0.002204189262032336,0.0022426122387652907,0.002257604938377317,0.002253420737174133,0.0022534209603199684,0.001900955508108565,0.0018778914127469128,0.0019022979514148888,0.0018711446086632773,0.0018811514568763954,0.002640996682797492,0.002617670949340956,0.0026619166846570397,0.002632454338477197,0.0026713653344109245,0.002715018283715731,0.002755585353951317,0.002718208594877758,0.0027965709335648907,0.0027751105848857205,0.002803770834578889,0.0028685353561521128,0.0028882000530219827,0.00295967634483596,0.002983455286795333,0.003073864023532657,0.0030836616728426853,0.0031153202169983962,0.0031547543775484192,0.003206600783189961
Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Steam Distributed,0.0015359935579332964,0.0021954030702868166,-0.0007529307231512182,-0.0007958331845279997,0.0019613883090522644,-0.0013988424983083505,-0.0010957612222433355,-0.00028349315086673155,0.0012846284857346846,0.0026617476776619464,0.0021774364443853667,-0.002628100701506847,-0.0012790224844135554,0.0020661917262247693,0.003160307243257193,-0.002811824242128891,-1.4906887762067276e-05,0.00333032136901959,0.0023641458394624004,-0.0018134668612992122,-0.018697097598658258,0.003425534832053351,0.0004931462491205574,0.008400441273888505,0.0017663046723424836,-0.0005138911706457083,0.004193650766807638,-0.00045239101026420264,0.006002693620064448,0.013506060645144756,0.003217105656914715,-0.0008813227028095784,0.5430026081656747,-0.020044273810531418,0.16986507735871836,0.7809064047043441,0.017684235176393948,-0.0003698985872144789,0.04872873534047861,-0.1997577244557636,0.3127894331800085,0.1549851025898754,0.03835330483273602,-0.08059226040516765,0.09145930054944064,0.014271244889643597,0.05533150302717793,0.04000373451491779,0.024940692480659443,-0.08525138227860962,0.04174345036043947,0.08139549837701265,0.054006950127126085,0.03755569440885687,0.031105923568636836,0.03120462244029065,0.03135083794652038,0.031888362977211315,0.03237617459489561,0.032597423410962716,0.02319547236078856,0.02359981109439291,0.02375758463745914,0.023713552790908917,0.023713555139148745,0.020004435057799697,0.019761723328954872,0.0200185620690978,0.01969072429527952,0.019796029939917137,0.027792153158519458,0.02754668811837657,0.028012301824190452,0.02770225901240853,0.02811173334669537,0.02857110895318682,0.02899801074996589,0.02860468173917852,0.029429316670695368,0.029203481742080317,0.02950508380550732,0.030186624041636186,0.030393562683691755,0.031145733279831056,0.03139596759522778,0.032347371084158194,0.03245047525388412,0.032783629442858064,0.033198609225613566,0.03374420750511842
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00816858747844262,-0.008168587478442617,-3.896424023394813e-18,0.0,0.0019329938631119238,-0.0019329938631119238,0.0,0.0,1.056846044397126e-18,7.377100226405529e-21,2.860199279499397e-20,2.0678753761786248e-20,1.2892357293883331e-20,-4.406819421656325e-20,2.157804869065317e-20,4.207500846273284e-20,2.791730413787814e-20,1.9413311443311207e-20,1.6079292141310644e-20,1.6130311619572284e-20,1.620589342427475e-20,1.6483751176439e-20,1.673591104217392e-20,1.6850279109132167e-20,1.1990217092311963e-20,1.219922810615666e-20,1.228078449799738e-20,1.2258023530214547e-20,1.2258024744068102e-20,1.0340704229741963e-20,1.0215241541401406e-20,1.0348006772656218e-20,1.0178540679531816e-20,1.023297533473675e-20,1.4366336009467525e-20,1.4239450077847867e-20,1.4480135386041447e-20,1.4319867875065042e-20,1.4531533586609338e-20,1.4768994292864662e-20,1.498966861847715e-20,1.478634875696871e-20,1.5212619526408224e-20,1.5095880803481846e-20,1.525178511789684e-20,1.5604087293995875e-20,1.5711058137461808e-20,1.609987060042366e-20,1.6229221868589307e-20,1.6721021914616835e-20,1.6774318582124222e-20,1.6946532839670225e-20,1.7161044430844404e-20,1.744307541149007e-20
Direct Heating Gas,0.0046354575958635355,0.006625482109335945,-0.0022722611183907393,-0.002401735971616969,0.005919251606671561,-0.0042215509633548596,-0.003306885406299587,-0.0008555507754397508,0.003876865785865047,0.008032858228449125,0.006571260832120007,-0.007931315399450745,-0.0038599474978475157,0.006235536654675466,0.009537455505821637,-0.008485772595912378,-4.4987328072121364e-05,0.010050539214148058,0.007134729004989905,-0.005472841141577645,-0.05642575949401174,0.010337882847960113,0.0014882604907748842,0.02535159676323334,0.005330510904639096,-0.0015508663549487214,0.01265597124479595,-0.0013652657161211668,0.01811546122251062,0.04075978775064881,-0.03901808399581763,0.04476869176176978,0.2741912311365443,-0.12098575300310666,0.09832511892238716,0.0762663296197863,0.3445746695121591,-0.008415797903543076,0.014771725007479697,0.06965975027576099,0.10009177218553633,0.01873030564466593,-0.057100265671411236,-0.04175756987020618,0.12224105770041872,0.010157234131372485,0.03938093946490096,0.028471748662389332,0.017750970912738806,-0.060675733373156675,0.029709951867620713,0.0579313956594687,0.038438219048479993,0.026729411766585942,0.02213893398946265,0.022209180667702718,0.0223132462304414,0.02269581745183347,0.023043006281616932,0.02320047509695189,0.016508850165363187,0.016796629067439058,0.01690892080015516,0.016877582134317892,0.01687758380562521,0.014237701904715959,0.01406495734911406,0.01424775648386589,0.0140144254008705,0.01408937429959778,0.019780433229825256,0.01960572906749869,0.019937119038121683,0.019716453114833055,0.020007887163952187,0.020334837309190057,0.020638674958567197,0.020358731976431788,0.02094564714305269,0.020784914266368748,0.020999572678892083,0.021484643448948848,0.02163192732323349,0.02216726764643484,0.022345366232006558,0.023022506037623455,0.02309588808662344,0.023333003007252717,0.023628355434167855,0.02401667260687512
