,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Indirect Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Oil,1.3026713776347105e-05,1.7573580494352744e-05,3.616855621960616e-05,2.323629576461533e-05,-1.9003385152796345e-05,6.816410856649792e-06,-3.819781212227835e-05,1.215283212938184e-05,-3.848764639612956e-05,1.872188454598e-05,8.474128185366902e-06,2.1640886715193448e-05,1.9221563003810613e-05,-9.353773935443947e-06,4.8891717789078165e-05,3.847762718680253e-05,8.888753444395958e-06,9.146076621917862e-05,5.247926167411919e-05,1.7287135657613776e-07,9.532456312819931e-05,0.00027587353130903203,9.295097450060559e-05,0.00013659902974454976,-0.0005381263058603228,1.3231170497780278e-05,-2.2723097159231228e-05,0.00011332785165490127,-5.925263309875548e-05,7.162090117276737e-05,9.084895994462991e-05,-6.8390393674164e-05,-0.00033521746660403954,-9.119118031672336e-05,1.3302237347142512e-05,-0.00014262303944000682,1.90722973264279e-05,-1.778508343633294e-05,-1.2082034230379464e-05,5.927530976906217e-06,8.27767254758405e-05,-4.207794424906154e-05,2.6756246509399545e-05,-6.599097758136213e-05,0.0005980825491474142,2.4804783792041268e-05,2.2299666732507784e-05,3.397793981001608e-05,1.513756225166073e-05,-3.1900446887730884e-05,-5.910607167648763e-06,4.015920334247904e-05,1.746965487068046e-05,1.7832775496504972e-05,1.819635752083808e-05,1.8388299300180815e-05,1.8817399912655152e-05,1.9350592028541872e-05,1.9860529659623906e-05,2.031722190287829e-05,2.371339176113164e-05,2.4305642886047425e-05,2.4957229859096426e-05,2.557651893658308e-05,2.623216621650264e-05,2.557310458762359e-05,2.6241025067856846e-05,2.6799224982879862e-05,2.7433740211131423e-05,2.807526869670531e-05,2.654527124405651e-05,2.711020757729596e-05,2.7705780771470094e-05,2.8365857477066603e-05,2.8928394538064662e-05,2.617790575195787e-05,2.6625646864156383e-05,2.7119343267755287e-05,2.7637493792280346e-05,2.812463833706531e-05,2.873949798887481e-05,2.9257187114891704e-05,2.9879890541337958e-05,3.051246789585521e-05,3.117835822265377e-05,3.182219370076759e-05,3.2426625746296255e-05,3.309952933041628e-05,3.378258368171277e-05,3.4411100729361084e-05
Indirect Heating Gas,2.570808159278871e-05,3.468127487736577e-05,7.137826241913005e-05,4.585658345511079e-05,-3.750297921908231e-05,1.3452114591701856e-05,-7.538297743891255e-05,2.3983485423076668e-05,-7.595496230696752e-05,3.694744075460822e-05,1.6723602172999733e-05,4.270806060271767e-05,3.793355089601574e-05,-1.8459573739120145e-05,9.648728694841093e-05,7.593518950353489e-05,1.7541860727885708e-05,0.00018049685291856863,0.00010356726678813167,3.411597902753605e-07,0.00018812201517364347,0.0005444334905907559,0.00018343776317014256,0.00026957673765312385,-0.0010619865620600496,2.6111574765897408e-05,-4.484379144578069e-05,0.0002236513142992103,-0.00011693444351684582,0.00014134308949366285,-0.00014010586831981705,8.382588943316063e-05,-0.00033799372265576094,-0.000311223664620361,0.0001961505061658856,-0.000495001147640746,0.0001361286433191554,-6.295680398480142e-05,-0.00012760201420778777,2.0434747017356384e-05,0.0008318516793429215,-0.0006315388852478759,0.00014967306322116302,-0.0003477492838634017,0.001737037087390883,7.261845491904795e-05,6.528447725651955e-05,9.947377534197453e-05,4.431670887247111e-05,-9.339170958456164e-05,-1.7303886369121092e-05,0.00011757003495617598,5.114414039298623e-05,5.22072118963584e-05,5.327163418944242e-05,5.3833562709650236e-05,5.5089797141842044e-05,5.6650769733071656e-05,5.81436625228136e-05,5.9480674179787293e-05,6.94232969341963e-05,7.115717060856773e-05,7.306475583990441e-05,7.487778579139863e-05,7.679725797220087e-05,7.48677899475303e-05,7.682319313467119e-05,7.845737852829474e-05,8.031498454028497e-05,8.219312255589896e-05,7.77139038707895e-05,7.936781079420509e-05,8.11114101545024e-05,8.304384991653957e-05,8.469073273345432e-05,7.663840510206602e-05,7.794921143862562e-05,7.939455643050453e-05,8.091149327712002e-05,8.233765705508746e-05,8.413771942534717e-05,8.565330548225038e-05,8.747633127761424e-05,8.932826397281372e-05,9.127772368522703e-05,9.316261564940204e-05,9.49321501721662e-05,9.690214188820113e-05,9.890185097789772e-05,0.00010074189672363426
Indirect Heating Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016353837435567613,0.0005309522244638803,1.9632110463688877e-05,0.00029630590977963034,-0.00022420815009138164,-0.0002377728637430764,-0.00024581360906528486,0.000240898576309293,-0.0003800898591983077,0.0008499060953744723,0.00017983163256065108,-9.726403748097894e-05,-0.002567761772929348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Oil,8.167007261170478e-05,0.00011017633607851416,0.00022675623825244462,0.00014567833414509343,-0.00011914039656840313,4.2735012004686e-05,-0.00023947851646967885,7.619133263268743e-05,-0.00024129561221594213,0.0001173755481658324,5.312795507002234e-05,0.0001356760284869894,0.00012050824737410305,-5.864283269110045e-05,0.000306523211494457,0.0002412327974825187,5.5727419186062804e-05,0.0005734068888352502,0.000329015067431368,1.0838049017167057e-06,0.0005976306938204746,0.0017295698455097276,0.0005827496456225897,0.000856398080856133,-0.0033737453074066844,8.2951899753382e-05,-0.00014246087131559396,0.0007105010544094179,-0.0003714802467216756,0.0004490222399694036,0.000420856076080548,-0.0004125452125870064,-0.0006659420350226326,0.0006433745202226826,-0.0005331405444278332,-0.0008307119400507238,-2.2829699929552937e-05,-0.0004936593814532217,-0.0010832547261424386,0.0005530720838997917,-0.00015234305238327034,0.0012130966262443653,0.0005259207317391845,-0.000459198112839163,0.00036227519534233043,0.00010162515885722829,9.136169833826468e-05,0.00013920756414503204,6.201856792760214e-05,-0.00013069607902095083,-2.421574795373558e-05,0.00016453219078525714,7.157314759516191e-05,7.306085220863982e-05,7.455044717105761e-05,7.53368323288808e-05,7.709485684036276e-05,7.927934407204627e-05,8.136855771730601e-05,8.323962509522225e-05,9.715372748146569e-05,9.958017937709971e-05,0.00010224973014603912,0.00010478695648938155,0.0001074731423289666,0.00010477296790724692,0.00010750943702855872,0.00010979638117263568,0.00011239598903090269,0.00011502433019301098,0.00010875593311766851,0.000111070476356224,0.00011351053876420236,0.00011621487195358216,0.00011851958537766829,0.0001072508372939665,0.00010908523190250596,0.00011110790526517884,0.00011323076712151709,0.00011522659752927902,0.00011774567652282805,0.00011986664803022641,0.00012241786295570572,0.00012500953134843805,0.00012773768293442705,0.00013037547584122348,0.0001328518329487931,0.00013560871783862595,0.00013840719040507206,0.00014098222372715876
Direct Heating Gas,5.922662711650776e-05,7.989919153139071e-05,0.00016444220924317782,0.00010564501903147444,-8.639987227167409e-05,3.0991164081054586e-05,-0.00017366832603172351,5.525347906571153e-05,-0.00017498607253001072,8.512001522106052e-05,3.852806155022105e-05,9.839140937283724e-05,8.739182914191455e-05,-4.252741639357608e-05,0.0002222887205702665,0.00017494051967723446,4.041317670905602e-05,0.00041583109828427885,0.00023859967416849765,7.85968552840903e-07,0.0004333980505266764,0.001254273261136777,0.0004226064072167788,0.0006210545451491328,-0.0024466190480551373,6.0156200162303844e-05,-0.00010331173506134754,0.0005152509318249478,-0.00026939515724857697,0.00032562812696551287,-0.00031616597381381364,5.016796718992694e-05,0.001635585378746621,0.0008868290068786266,0.0005512103365599699,-0.0005398872972805632,0.00044464445214419286,-0.0011182910677513447,-2.326078901502063e-05,0.0003839892877800979,0.0034946614578044107,0.0008587960136637266,0.002771847227573117,-0.0032253970282743673,-0.0023670097312844954,0.00024375606893091688,0.00021913833826399818,0.00033390047290467786,0.00014875649385203728,-0.0003134849953010995,-5.8083407630557346e-05,0.00039464361472487183,0.00017167391711848942,0.0001752422955829339,0.00017881520820044874,0.00018070141587670126,0.00018491817822985802,0.00019015784551513522,0.0001951689914857918,0.0001996568961924114,0.00023303098326407992,0.00023885102214205034,0.00024525415310455543,0.00025133989335230684,0.000257782924861805,0.0002513063406196034,0.00025786998060070907,0.00026335539898227414,0.0002695907662812608,0.0002758950527068874,0.0002608598011336928,0.0002664114181500417,0.0002722641029301032,0.00027875066230905783,0.0002842787017294547,0.0002572497084610218,0.00026164965059811973,0.00026650119438078977,0.0002715930482760538,0.00027638020708515426,0.00028242241946344933,0.00028750973920564464,0.00029362903218610285,0.0002998453560422148,0.00030638904574981784,0.00031271600294077717,0.0003186557434597462,0.00032526835229398227,0.00033198071249573163,0.0003381571358048209
