,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556
2 Oil,0.0,0.0,0.4077,0.3755,0.0635,0.41,0.1207,0.3386,0.1368,0.1411,0.1467,0.1538,0.1611,0.1682,0.1752,0.1817,0.1891,0.1954,0.2011,0.2057,0.2102,0.2141,0.2167,0.2198,0.2222,0.2237,0.2259,0.2268,0.2274,0.2285,0.229,0.2296,0.2293,0.229,0.229,0.228,0.2267,0.2254,0.2232,0.2205,0.2169,0.2126,0.2076,0.2023,0.1964,0.1903,0.183,0.1767,0.1708,0.164,0.1589
3 Coal,0.0,0.0,0.8137,0.7525,0.7558,0.7526,0.7618,0.7631,0.7613,0.7584,0.7564,0.7544,0.7521,0.7496,0.7468,0.7438,0.7408,0.7375,0.7339,0.73,0.7258,0.7213,0.7166,0.7116,0.7063,0.701,0.6956,0.6901,0.6848,0.6796,0.6747,0.6702,0.6661,0.6624,0.6589,0.6557,0.6528,0.6502,0.6479,0.6457,0.644,0.6425,0.6413,0.6403,0.6394,0.6387,0.638,0.6375,0.6371,0.6367,0.6365
4 Coal + CCS,0.0,0.0,0.7304,0.7304,0.7304,0.5251,0.4646,0.561,0.496,0.4981,0.5025,0.5073,0.5119,0.5162,0.5201,0.5236,0.5274,0.5305,0.5331,0.5355,0.5375,0.5391,0.5404,0.5415,0.5424,0.5431,0.5437,0.5441,0.5443,0.5445,0.5446,0.5446,0.5445,0.5444,0.5442,0.5439,0.5434,0.5428,0.5421,0.5411,0.54,0.5386,0.5369,0.5352,0.5333,0.5313,0.5294,0.5276,0.5259,0.5243,0.523
5 IGCC,0.0,0.0,0.2848,0.2848,0.2848,0.2925,0.1791,0.3002,0.2116,0.2161,0.2208,0.2259,0.2309,0.2359,0.2406,0.2453,0.2506,0.2554,0.26,0.2642,0.2682,0.272,0.2753,0.2786,0.2815,0.2843,0.2869,0.2892,0.2913,0.2933,0.2951,0.2967,0.2982,0.2996,0.3008,0.3018,0.3027,0.3035,0.3041,0.3046,0.3048,0.305,0.305,0.3049,0.3048,0.3047,0.3047,0.3047,0.3048,0.305,0.3053
6 IGCC + CCS,0.0,0.0,0.2848,0.2848,0.2848,0.2774,0.2327,0.2918,0.26,0.2605,0.2644,0.2683,0.2717,0.2743,0.2765,0.2781,0.2798,0.281,0.2819,0.2811,0.2816,0.2819,0.2807,0.2809,0.2809,0.2795,0.2796,0.2781,0.2766,0.2765,0.275,0.2749,0.2733,0.2717,0.2714,0.2697,0.2679,0.2673,0.2652,0.2629,0.2603,0.2573,0.2539,0.2503,0.2462,0.2418,0.2351,0.2301,0.225,0.2175,0.2122
7 CCGT,0.0,0.0,0.6984,0.469,0.3108,0.4647,0.3763,0.4582,0.375,0.3804,0.3878,0.3953,0.4029,0.4106,0.4182,0.4256,0.4325,0.4393,0.4459,0.4522,0.4582,0.4639,0.4692,0.4741,0.4787,0.4828,0.4866,0.49,0.493,0.4958,0.4982,0.5003,0.5022,0.5039,0.5054,0.5068,0.5082,0.5095,0.5107,0.5119,0.5132,0.5145,0.5158,0.5171,0.5185,0.5199,0.5212,0.5225,0.5238,0.525,0.5261
8 CCGT + CCS,0.0,0.0,0.3175,0.3175,0.3175,0.2842,0.1605,0.2896,0.1762,0.1795,0.1835,0.1885,0.193,0.1975,0.2019,0.2061,0.2109,0.2152,0.2191,0.2226,0.226,0.229,0.2315,0.2341,0.2363,0.2383,0.2404,0.242,0.2434,0.2448,0.2461,0.2471,0.2479,0.2487,0.2493,0.2496,0.2498,0.2496,0.2493,0.2487,0.2477,0.2464,0.2447,0.2428,0.2407,0.2385,0.2362,0.234,0.2319,0.2299,0.2281
9 Solid Biomass,0.0,0.0,0.7379,0.5822,0.4221,0.5871,0.4836,0.5862,0.5026,0.5037,0.5084,0.5134,0.518,0.5219,0.5254,0.5286,0.5321,0.5349,0.5373,0.5393,0.541,0.5424,0.5434,0.5443,0.545,0.5455,0.5459,0.5461,0.5461,0.5461,0.5459,0.5456,0.5452,0.5449,0.5444,0.5437,0.5429,0.542,0.5407,0.5392,0.5372,0.5347,0.5318,0.5285,0.5249,0.5211,0.5172,0.5134,0.5096,0.5061,0.5029
10 S Biomass CCS,0.0,0.0,0.726,0.726,0.726,0.5107,0.4588,0.526,0.4878,0.4907,0.4958,0.5008,0.5054,0.5093,0.5126,0.5153,0.5181,0.5203,0.5221,0.5234,0.5246,0.5256,0.5262,0.5268,0.5272,0.5273,0.5275,0.5275,0.5273,0.5272,0.5269,0.5266,0.5261,0.5255,0.5249,0.524,0.5229,0.5215,0.5199,0.5179,0.5154,0.5123,0.5087,0.5046,0.5,0.495,0.4894,0.4838,0.478,0.4719,0.4663
