,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Petrol Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.594707530043841,0.591086266168185,0.581961644596713,0.571003267717658,0.546852475810475,0.541114455548462,0.475245351469776,0.486191243159673,0.522569702349648,0.594707530043841,0.591086266168185,0.581961644596713,0.571003267717658,0.5709977525701001,0.5709920510765197,0.5709861644868414,0.5709800867960194,0.5709738118044524,0.570967333111696,0.5709606441099756,0.5709537379774904,0.5709466076715018,0.5709304158162221,0.5709130680484235,0.5708944819272065,0.5708745691434334,0.570853235103728,0.5708205905512825,0.5707846189138142,0.5707449815855944,0.570701305604283,0.5706531801872552,0.5706143763789917,0.5705726807366096,0.5705278782191366,0.5704797378677909,0.5704280116389999,0.5703724331536131,0.5703127163565661,0.5702485540808969,0.5701796165096533,0.5701055495288516,0.570025972964256,0.5699404786943385,0.569848628631378,0.5697499525622287,0.569643945839868,0.5695300669164062,0.5694077347078279,0.5692763257803117,0.5691351713475914,0.5689835540684377,0.5688207046330157,0.5686457981265591,0.5684579501585815,0.5682562127456677,0.5680395699358164,0.5678069331623345,0.5675571363154556,0.5672889305201804,0.567000978609359,0.5666918492817825,0.5663600109360737,0.5660038251725031,0.565621539956552,0.5652112824401835,0.5647710514394042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Petrol  Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227715872566486,0.242331801919764,0.215854873048534,0.214349511847741,0.222008648119036,0.220898302878047,0.198554528613223,0.189155757515298,0.21396251954981,0.227715872566486,0.242331801919764,0.215854873048534,0.214349511847741,0.21434743579273857,0.21434529550317763,0.21434308573020142,0.2143408042195696,0.21433844864400747,0.21433601660084553,0.21433350560958447,0.2143309131093815,0.21432823645645568,0.2143221581791869,0.21431564598272446,0.21430866891949388,0.21430119383903684,0.21429318523184818,0.21428093075960586,0.2142674273294822,0.21425254783192313,0.2142361522602108,0.2142180864102317,0.2142035198085895,0.21418786763835224,0.21417104917506724,0.21415297771887912,0.21413356015645496,0.2141126964914505,0.21409027934135985,0.2140661933984601,0.21404031485242495,0.2140125107720406,0.2139826384433081,0.21395054466106583,0.21391606497111196,0.21387902285964822,0.2138392288867078,0.21379647976006938,0.21375055734600454,0.2137012276130475,0.2136482395048313,0.21359132373789144,0.21353019152021482,0.21346453318619565,0.21339401674357636,0.21331828632788402,0.21323696055984806,0.21314963080129384,0.2130558593050723,0.21295517725470828,0.21284708268964503,0.212731038312244,0.2126064691730832,0.2124727602315969,0.2123292537897383,0.2121752467971495,0.21200998802730536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Petrol Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208913640113402,0.0227080154296998,0.0205576070457007,0.0202441200253003,0.0192215277257087,0.0186809545607971,0.017433233372418,0.0171377826561861,0.017363866338331,0.0208913640113402,0.0227080154296998,0.0205576070457007,0.0202441200253003,0.020243924491536357,0.02024372235307782,0.02024351365229673,0.020243298176292616,0.0202430757052673,0.020242846012302005,0.02024260886312735,0.020242364015885955,0.02024211122088741,0.020241537161367583,0.020240922120590574,0.020240263175729908,0.020239557195908964,0.020238800827452254,0.02023764346062937,0.020236368136673243,0.020234962850792668,0.02023341438013095,0.020231708160966255,0.020230332426366716,0.020228854165844305,0.020227265755422944,0.020225559006782957,0.020223725125887344,0.02022175466863692,0.02021963749335058,0.02021736270985449,0.020214918624951173,0.020212292684025985,0.020209471408534584,0.020206440329100597,0.020203183913938282,0.02019968549230004,0.020195927172633448,0.020191889755117598,0.020187552638233696,0.020182893719009973,0.020177889286567333,0.02017251390857857,0.020166740310242442,0.020160539245362853,0.020153879359115473,0.020146727042077865,0.02013904627509669,0.020130798464566568,0.020121942267701202,0.02011243340738904,0.02010222447624418,0.02009126472948964,0.020079499866346676,0.020066871799650745,0.020053318413475213,0.0200387733086196,0.020023165535912102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Adv Petrol Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Adv Petrol Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Adv Petrol Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Diesel Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0170612814164074,0.0101397577286054,0.0121125665367989,0.0142899679532214,0.0170077944291731,0.0178463572768087,0.024932043359877,0.0253814589350397,0.0193163076966473,0.0170612814164074,0.0101397577286054,0.0121125665367989,0.0142899679532214,0.014289829052849238,0.014289686366878508,0.014289539048680093,0.014289386947971307,0.014289229909600496,0.0142890677733897,0.014288900373972298,0.014288727540625433,0.014288549097097045,0.014288143878612459,0.014287709732181629,0.014287244594632924,0.014286746255935786,0.014286212348789873,0.01428539538397372,0.014284495155298808,0.014283503188794873,0.014282410150680718,0.01428120576068211,0.014280234653905962,0.014279191175890145,0.014278069945004478,0.014276865181258603,0.014275570677096991,0.014274179766096694,0.014272685289423983,0.01427107955989733,0.014269354323494987,0.01426750071813603,0.014265509229553865,0.01426336964407105,0.014261070998074122,0.01425860152397654,0.01425594859244718,0.014253098650671286,0.014250037156400297,0.014246748507536494,0.014243215966988748,0.014239421582526092,0.014235346101347648,0.014230968879079703,0.014226267782905082,0.014221219088525592,0.014215797370656529,0.014209975386752914,0.01420372395367148,0.014197011816980545,0.014189805512642996,0.01418206922081626,0.014173764611538875,0.014164850682106454,0.014155283585982548,0.014145016453143294,0.014133999201820353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 Diesel Mid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0957520872250621,0.0885538827972148,0.109618733258193,0.117892230026141,0.136062355433385,0.140416683335788,0.208321524415446,0.208445742823391,0.163011114518799,0.0957520872250621,0.0885538827972148,0.109618733258193,0.117892230026141,0.11789108968600642,0.11788991252674791,0.11788869715161099,0.11788744232076348,0.1178861467542043,0.11788480913046522,0.11788342808527165,0.11788200221016,0.11788053005105081,0.11787718699855299,0.11787360529049865,0.11786976790572183,0.11786565661147044,0.11786125187751667,0.1178545119177834,0.11784708503121537,0.11783890130755788,0.11782988374311612,0.11781994752562759,0.1178119358947244,0.11780332720109388,0.11779407704628714,0.11778413774538367,0.11777345808605037,0.11776198307029793,0.11774965363774807,0.11773640636915318,0.11772217316883386,0.11770688092462248,0.1176904511438196,0.11767279956358637,0.11765383573411173,0.11763346257280667,0.11761157588768945,0.11758806386803831,0.11756280654030266,0.11753567518717628,0.11750653172765738,0.11747522805584044,0.1174416053361183,0.11740549325240775,0.11736670920896712,0.11732505748033635,0.11728032830791658,0.11723229694071174,0.11718072261778992,0.11712534749008971,0.11706589547930493,0.11700207107173435,0.11693355804519594,0.11686001812737845,0.11678108958435623,0.1166963857384324,0.11660549341501814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Diesel Lux,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0240250687993058,0.0239974259413964,0.028767346106974,0.0315570128738049,0.0362619016815664,0.0379949477090867,0.0564258018053167,0.0573421344428053,0.0436601478397062,0.0240250687993058,0.0239974259413964,0.028767346106974,0.0315570128738049,0.03155670582504204,0.031556390726856676,0.031556065399168505,0.03155572951010327,0.0315553827170344,0.031555024666235554,0.03155465499252212,0.031554273318881124,0.03155387925608927,0.03155298439860248,0.03155202565856773,0.03155099847981434,0.03154989798185816,0.03154871893691094,0.031546914806275264,0.03154492680128483,0.03154273620858864,0.03154032241608655,0.03153766272150629,0.0315355181940423,0.03153321384675737,0.03153073779521819,0.03152807727527938,0.031525218578589156,0.031522146983463506,0.03151884668081127,0.03151530069477325,0.031511490797718075,0.03150739741921704,0.031502999548598094,0.031498274630656874,0.03149319845408033,0.031487745032114836,0.031481886474987494,0.03147559285356573,0.03146883205371729,0.031461569620809725,0.031453768593766786,0.03144538932807842,0.031436389307142695,0.031426722941300986,0.03141634135391536,0.031405192153827324,0.03139321919353315,0.03138036231241266,0.03136655706435783,0.03135173442916535,0.031335820507086595,0.03131873619596922,0.03130039685048166,0.03128071192298506,0.03125958458571144,0.03123691133402475,0.03121258157068659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 Adv Diesel Econ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
