,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,90.1097,109.6443,107.1149,107.1149,107.1149,107.1149,107.1149,107.1149,129.5065,94.2484,75.3987,76.2563,77.1125,77.9824,78.8657,79.7504,80.6478,81.5616,82.4787,83.4117,84.3594,87.1602,90.0716,93.0691,96.1744,99.3887,102.7039,106.1277,109.6687,113.327,117.1087,121.0074,125.0478,129.2228,133.5311,137.9938,142.599,147.3594,152.2808,157.3593,162.6125,168.042,173.6492,179.446,185.4418,191.6353,198.0288,204.6479,211.4937,218.5564,225.8718,233.4329,241.2406,249.3005,257.6448,266.2793,275.3243,284.4661,294.1498,303.9481,314.2055
2 O.energy own use & tra,90.1097,109.6443,107.1149,107.1149,107.1149,107.1149,107.1149,107.1149,129.5065,94.2484,75.3987,76.2563,77.1125,77.9824,78.8657,79.7504,80.6478,81.5616,82.4787,83.4117,84.3594,87.1602,90.0716,93.0691,96.1744,99.3887,102.7039,106.1277,109.6687,113.327,117.1087,121.0074,125.0478,129.2228,133.5311,137.9938,142.599,147.3594,152.2808,157.3593,162.6125,168.042,173.6492,179.446,185.4418,191.6353,198.0288,204.6479,211.4937,218.5564,225.8718,233.4329,241.2406,249.3005,257.6448,266.2793,275.3243,284.4661,294.1498,303.9481,314.2055
3 Hydrogen production,90.7204,96.5479,107.9895,107.9895,107.9895,107.9895,107.9895,107.9895,130.564,95.0179,76.0144,76.879,77.7421,78.6192,79.5097,80.4016,81.3063,82.2276,83.1521,84.0928,85.0482,87.8718,90.807,93.829,96.9597,100.2002,103.5425,106.9942,110.5641,114.2524,118.0649,121.9954,126.0688,130.2779,134.6214,139.1205,143.7634,148.5627,153.5242,158.6441,163.9402,169.4141,175.0671,180.9113,186.9559,193.2,199.6457,206.3189,213.2206,220.341,227.7161,235.339,243.2104,251.3361,259.7486,268.4535,277.5724,286.7889,296.5516,306.4299,316.7711
4 Iron & steel,90.7204,96.5479,107.9895,107.9895,107.9895,107.9895,107.9895,107.9895,130.564,95.0179,76.0144,76.879,77.7421,78.6192,79.5097,80.4016,81.3063,82.2276,83.1521,84.0928,85.0482,87.8718,90.807,93.829,96.9597,100.2002,103.5425,106.9942,110.5641,114.2524,118.0649,121.9954,126.0688,130.2779,134.6214,139.1205,143.7634,148.5627,153.5242,158.6441,163.9402,169.4141,175.0671,180.9113,186.9559,193.2,199.6457,206.3189,213.2206,220.341,227.7161,235.339,243.2104,251.3361,259.7486,268.4535,277.5724,286.7889,296.5516,306.4299,316.7711
5 Non-ferrous metals,90.7204,96.5479,107.9895,107.9895,107.9895,107.9895,107.9895,107.9895,130.564,95.0179,76.0144,76.879,77.7421,78.6192,79.5097,80.4016,81.3063,82.2276,83.1521,84.0928,85.0482,87.8718,90.807,93.829,96.9597,100.2002,103.5425,106.9942,110.5641,114.2524,118.0649,121.9954,126.0688,130.2779,134.6214,139.1205,143.7634,148.5627,153.5242,158.6441,163.9402,169.4141,175.0671,180.9113,186.9559,193.2,199.6457,206.3189,213.2206,220.341,227.7161,235.339,243.2104,251.3361,259.7486,268.4535,277.5724,286.7889,296.5516,306.4299,316.7711
6 Chemicals,90.7204,96.5479,107.9895,107.9895,107.9895,107.9895,107.9895,107.9895,130.564,95.0179,76.0144,76.879,77.7421,78.6192,79.5097,80.4016,81.3063,82.2276,83.1521,84.0928,85.0482,87.8718,90.807,93.829,96.9597,100.2002,103.5425,106.9942,110.5641,114.2524,118.0649,121.9954,126.0688,130.2779,134.6214,139.1205,143.7634,148.5627,153.5242,158.6441,163.9402,169.4141,175.0671,180.9113,186.9559,193.2,199.6457,206.3189,213.2206,220.341,227.7161,235.339,243.2104,251.3361,259.7486,268.4535,277.5724,286.7889,296.5516,306.4299,316.7711
7 Non-metallics nes,90.7204,96.5479,107.9895,107.9895,107.9895,107.9895,107.9895,107.9895,130.564,95.0179,76.0144,76.879,77.7421,78.6192,79.5097,80.4016,81.3063,82.2276,83.1521,84.0928,85.0482,87.8718,90.807,93.829,96.9597,100.2002,103.5425,106.9942,110.5641,114.2524,118.0649,121.9954,126.0688,130.2779,134.6214,139.1205,143.7634,148.5627,153.5242,158.6441,163.9402,169.4141,175.0671,180.9113,186.9559,193.2,199.6457,206.3189,213.2206,220.341,227.7161,235.339,243.2104,251.3361,259.7486,268.4535,277.5724,286.7889,296.5516,306.4299,316.7711
8 Ore-extra.(non-energy),90.7204,96.5479,107.9895,107.9895,107.9895,107.9895,107.9895,107.9895,130.564,95.0179,76.0144,76.879,77.7421,78.6192,79.5097,80.4016,81.3063,82.2276,83.1521,84.0928,85.0482,87.8718,90.807,93.829,96.9597,100.2002,103.5425,106.9942,110.5641,114.2524,118.0649,121.9954,126.0688,130.2779,134.6214,139.1205,143.7634,148.5627,153.5242,158.6441,163.9402,169.4141,175.0671,180.9113,186.9559,193.2,199.6457,206.3189,213.2206,220.341,227.7161,235.339,243.2104,251.3361,259.7486,268.4535,277.5724,286.7889,296.5516,306.4299,316.7711
"9 Food, drink & tob.",90.7204,96.5479,107.9895,107.9895,107.9895,107.9895,107.9895,107.9895,130.564,95.0179,76.0144,76.879,77.7421,78.6192,79.5097,80.4016,81.3063,82.2276,83.1521,84.0928,85.0482,87.8718,90.807,93.829,96.9597,100.2002,103.5425,106.9942,110.5641,114.2524,118.0649,121.9954,126.0688,130.2779,134.6214,139.1205,143.7634,148.5627,153.5242,158.6441,163.9402,169.4141,175.0671,180.9113,186.9559,193.2,199.6457,206.3189,213.2206,220.341,227.7161,235.339,243.2104,251.3361,259.7486,268.4535,277.5724,286.7889,296.5516,306.4299,316.7711
"10 Tex., cloth. & footw.",90.7204,96.5479,107.9895,107.9895,107.9895,107.9895,107.9895,107.9895,130.564,95.0179,76.0144,76.879,77.7421,78.6192,79.5097,80.4016,81.3063,82.2276,83.1521,84.0928,85.0482,87.8718,90.807,93.829,96.9597,100.2002,103.5425,106.9942,110.5641,114.2524,118.0649,121.9954,126.0688,130.2779,134.6214,139.1205,143.7634,148.5627,153.5242,158.6441,163.9402,169.4141,175.0671,180.9113,186.9559,193.2,199.6457,206.3189,213.2206,220.341,227.7161,235.339,243.2104,251.3361,259.7486,268.4535,277.5724,286.7889,296.5516,306.4299,316.7711
