,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,153.08,154.0908,167.7811,167.7811,167.7811,167.7811,167.7811,167.7811,202.8546,147.6274,118.1019,119.4453,120.7864,122.149,123.5326,124.9183,126.3239,127.7553,129.1918,130.6532,132.1376,136.5247,141.0851,145.7802,150.6444,155.679,160.8719,166.2348,171.7812,177.5116,183.435,189.5418,195.8706,202.4101,209.1586,216.1487,223.3622,230.8187,238.5275,246.4821,254.7106,263.2152,271.9982,281.0781,290.4696,300.171,310.1855,320.5534,331.2764,342.3392,353.7979,365.6413,377.8711,390.4957,403.5659,417.0907,431.2586,445.578,460.7461,476.0938,492.1607
2 O.energy own use & tra,153.08,154.0908,167.7811,167.7811,167.7811,167.7811,167.7811,167.7811,202.8546,147.6274,118.1019,119.4453,120.7864,122.149,123.5326,124.9183,126.3239,127.7553,129.1918,130.6532,132.1376,136.5247,141.0851,145.7802,150.6444,155.679,160.8719,166.2348,171.7812,177.5116,183.435,189.5418,195.8706,202.4101,209.1586,216.1487,223.3622,230.8187,238.5275,246.4821,254.7106,263.2152,271.9982,281.0781,290.4696,300.171,310.1855,320.5534,331.2764,342.3392,353.7979,365.6413,377.8711,390.4957,403.5659,417.0907,431.2586,445.578,460.7461,476.0938,492.1607
3 Hydrogen production,111.7242,118.9008,132.9914,132.9914,132.9914,132.9914,132.9914,132.9914,160.7924,117.0167,93.6133,94.6782,95.7411,96.8212,97.9179,99.0163,100.1305,101.265,102.4037,103.5621,104.7387,108.2161,111.8308,115.5524,119.408,123.3988,127.5148,131.7657,136.1621,140.7043,145.3995,150.24,155.2565,160.4401,165.7892,171.3299,177.0477,182.9581,189.0684,195.3737,201.896,208.6371,215.5989,222.7961,230.2403,237.93,245.868,254.0862,262.5857,271.3546,280.4373,289.825,299.519,309.5258,319.8859,330.6063,341.8365,353.1867,365.2097,377.375,390.1104
4 Iron & steel,111.7242,118.9008,132.9914,132.9914,132.9914,132.9914,132.9914,132.9914,160.7924,117.0167,93.6133,94.6782,95.7411,96.8212,97.9179,99.0163,100.1305,101.265,102.4037,103.5621,104.7387,108.2161,111.8308,115.5524,119.408,123.3988,127.5148,131.7657,136.1621,140.7043,145.3995,150.24,155.2565,160.4401,165.7892,171.3299,177.0477,182.9581,189.0684,195.3737,201.896,208.6371,215.5989,222.7961,230.2403,237.93,245.868,254.0862,262.5857,271.3546,280.4373,289.825,299.519,309.5258,319.8859,330.6063,341.8365,353.1867,365.2097,377.375,390.1104
5 Non-ferrous metals,111.7242,118.9008,132.9914,132.9914,132.9914,132.9914,132.9914,132.9914,160.7924,117.0167,93.6133,94.6782,95.7411,96.8212,97.9179,99.0163,100.1305,101.265,102.4037,103.5621,104.7387,108.2161,111.8308,115.5524,119.408,123.3988,127.5148,131.7657,136.1621,140.7043,145.3995,150.24,155.2565,160.4401,165.7892,171.3299,177.0477,182.9581,189.0684,195.3737,201.896,208.6371,215.5989,222.7961,230.2403,237.93,245.868,254.0862,262.5857,271.3546,280.4373,289.825,299.519,309.5258,319.8859,330.6063,341.8365,353.1867,365.2097,377.375,390.1104
6 Chemicals,111.7242,118.9008,132.9914,132.9914,132.9914,132.9914,132.9914,132.9914,160.7924,117.0167,93.6133,94.6782,95.7411,96.8212,97.9179,99.0163,100.1305,101.265,102.4037,103.5621,104.7387,108.2161,111.8308,115.5524,119.408,123.3988,127.5148,131.7657,136.1621,140.7043,145.3995,150.24,155.2565,160.4401,165.7892,171.3299,177.0477,182.9581,189.0684,195.3737,201.896,208.6371,215.5989,222.7961,230.2403,237.93,245.868,254.0862,262.5857,271.3546,280.4373,289.825,299.519,309.5258,319.8859,330.6063,341.8365,353.1867,365.2097,377.375,390.1104
7 Non-metallics nes,111.7242,118.9008,132.9914,132.9914,132.9914,132.9914,132.9914,132.9914,160.7924,117.0167,93.6133,94.6782,95.7411,96.8212,97.9179,99.0163,100.1305,101.265,102.4037,103.5621,104.7387,108.2161,111.8308,115.5524,119.408,123.3988,127.5148,131.7657,136.1621,140.7043,145.3995,150.24,155.2565,160.4401,165.7892,171.3299,177.0477,182.9581,189.0684,195.3737,201.896,208.6371,215.5989,222.7961,230.2403,237.93,245.868,254.0862,262.5857,271.3546,280.4373,289.825,299.519,309.5258,319.8859,330.6063,341.8365,353.1867,365.2097,377.375,390.1104
8 Ore-extra.(non-energy),111.7242,118.9008,132.9914,132.9914,132.9914,132.9914,132.9914,132.9914,160.7924,117.0167,93.6133,94.6782,95.7411,96.8212,97.9179,99.0163,100.1305,101.265,102.4037,103.5621,104.7387,108.2161,111.8308,115.5524,119.408,123.3988,127.5148,131.7657,136.1621,140.7043,145.3995,150.24,155.2565,160.4401,165.7892,171.3299,177.0477,182.9581,189.0684,195.3737,201.896,208.6371,215.5989,222.7961,230.2403,237.93,245.868,254.0862,262.5857,271.3546,280.4373,289.825,299.519,309.5258,319.8859,330.6063,341.8365,353.1867,365.2097,377.375,390.1104
"9 Food, drink & tob.",111.7242,118.9008,132.9914,132.9914,132.9914,132.9914,132.9914,132.9914,160.7924,117.0167,93.6133,94.6782,95.7411,96.8212,97.9179,99.0163,100.1305,101.265,102.4037,103.5621,104.7387,108.2161,111.8308,115.5524,119.408,123.3988,127.5148,131.7657,136.1621,140.7043,145.3995,150.24,155.2565,160.4401,165.7892,171.3299,177.0477,182.9581,189.0684,195.3737,201.896,208.6371,215.5989,222.7961,230.2403,237.93,245.868,254.0862,262.5857,271.3546,280.4373,289.825,299.519,309.5258,319.8859,330.6063,341.8365,353.1867,365.2097,377.375,390.1104
"10 Tex., cloth. & footw.",111.7242,118.9008,132.9914,132.9914,132.9914,132.9914,132.9914,132.9914,160.7924,117.0167,93.6133,94.6782,95.7411,96.8212,97.9179,99.0163,100.1305,101.265,102.4037,103.5621,104.7387,108.2161,111.8308,115.5524,119.408,123.3988,127.5148,131.7657,136.1621,140.7043,145.3995,150.24,155.2565,160.4401,165.7892,171.3299,177.0477,182.9581,189.0684,195.3737,201.896,208.6371,215.5989,222.7961,230.2403,237.93,245.868,254.0862,262.5857,271.3546,280.4373,289.825,299.519,309.5258,319.8859,330.6063,341.8365,353.1867,365.2097,377.375,390.1104
