,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,151.0965,209.6868,219.5727,212.5859,216.447,221.1355,225.6402,231.9835,299.0153,246.0829,185.1618,194.7361,204.8609,215.5411,226.5974,238.4345,250.8363,263.9674,277.7975,292.2682,307.5617,321.0752,335.2866,350.0629,365.4681,381.6381,398.4572,415.9902,434.3293,453.4673,473.4042,494.2953,516.0607,538.8412,562.5081,587.2056,613.1282,640.0088,668.3062,697.6961,728.4459,746.0111,764.3287,783.3191,803.1401,823.7539,845.5272,867.1935,890.9332,914.4067,940.104,965.5723,992.9853,1021.337,1050.7596,1081.2466,1113.0479,1146.1125,1180.6327,1216.4056,1253.6155
2 O.energy own use & tra,151.0965,181.1552,199.2791,199.6148,201.6446,203.2289,203.5243,198.0985,258.9217,197.5704,126.4801,132.6368,139.094,145.8565,152.9118,160.3311,168.065,176.1948,184.6902,193.5762,202.8681,211.3803,220.257,229.4486,239.0189,249.0207,259.4214,270.2028,281.4567,293.1761,305.361,318.0834,331.2632,345.0414,359.3725,374.2342,389.7374,405.8653,422.6597,440.1299,458.2932,475.8584,494.176,513.1664,532.9874,553.6012,575.3745,597.0408,620.7805,644.254,669.9513,695.4196,722.8326,751.1844,780.6069,811.0939,842.8952,875.9599,910.48,946.2529,983.4627
3 Hydrogen production,175.4372,167.0887,181.0259,181.0259,181.0259,181.0259,181.0259,181.0259,229.1609,178.7439,120.2891,124.9931,129.9198,135.073,140.4565,146.1002,151.9781,158.1489,164.5882,171.3231,178.3522,184.8329,191.5812,198.5637,205.8323,213.4228,221.3157,229.4892,238.0178,246.8958,256.1233,265.7515,275.7157,286.1299,296.9645,308.1873,319.8812,332.0536,344.7035,357.8663,371.5351,385.7688,400.6122,416.0006,432.0623,448.7664,466.4099,483.9669,503.204,522.2254,543.0487,563.6866,585.9002,608.8746,632.7167,657.4213,683.191,709.9844,737.9572,766.9453,797.0975
4 Iron & steel,175.4372,201.1035,205.204,198.2172,202.0783,206.7668,211.2715,217.6148,273.3802,232.2483,185.0092,193.4824,202.4541,211.9281,221.7243,232.2405,243.2665,254.9533,267.2762,280.1706,293.8188,305.8154,318.4473,331.5893,345.2932,359.6866,374.6583,390.2783,406.6211,423.6811,441.4583,460.0958,479.5289,499.8719,521.0028,543.0735,566.259,590.2906,615.6271,641.9362,669.4868,683.7204,698.5638,713.9523,730.0139,746.718,764.3616,781.9185,801.1556,820.177,841.0004,861.6382,883.8518,906.8263,930.6683,955.3729,981.1427,1007.936,1035.9088,1064.8969,1095.0492
5 Non-ferrous metals,175.4372,200.2194,204.3032,198.6164,197.7588,214.9786,205.8124,201.7316,254.8744,209.8567,157.9238,164.8196,172.0985,179.7643,187.7137,196.1908,205.0623,214.4406,224.3013,234.6179,245.496,255.1842,265.3539,275.9181,286.9288,298.4752,310.4844,322.988,336.0606,349.6965,363.8956,378.7627,394.2331,410.4209,427.2428,444.7736,463.1499,482.2184,502.2456,523.053,544.794,559.0276,573.871,589.2595,605.3212,622.0252,639.6688,657.2258,676.4629,695.4843,716.3076,736.9454,759.1591,782.1335,805.9756,830.6801,856.4499,883.2433,911.2161,940.2041,970.3564
6 Chemicals,175.4372,191.8345,199.8131,195.7728,199.1961,201.5213,206.2833,212.1887,269.2457,227.2456,178.9579,187.0786,195.6722,204.7422,214.1258,224.1864,234.7311,245.9021,257.6749,269.9933,283.0227,294.5035,306.5854,319.1514,332.2536,346.0109,360.3207,375.2444,390.8567,407.1517,424.1294,441.9246,460.4724,479.887,500.0552,521.1116,543.2227,566.1454,590.2958,615.3757,641.6283,655.8619,670.7053,686.0938,702.1555,718.8595,736.5031,754.0601,773.2971,792.3185,813.1418,833.7797,855.9933,878.9678,902.8099,927.5144,953.2842,980.0776,1008.0504,1037.0383,1067.1907
7 Non-metallics nes,175.4372,203.9552,207.7684,203.0134,209.8222,217.2363,221.132,231.5296,291.6074,254.3028,211.6868,221.7137,232.3528,243.6078,255.223,267.7475,280.8957,294.856,309.6042,325.0375,341.4141,355.6844,370.7416,386.4225,402.7789,419.9766,437.8661,456.5555,476.1194,496.552,517.8533,540.2045,563.5408,587.9763,613.3514,639.8937,667.8159,696.7359,727.3019,759.0298,792.3024,806.5361,821.3795,836.7679,852.8296,869.5337,887.1772,904.7342,923.9713,942.9927,963.816,984.4539,1006.6675,1029.642,1053.484,1078.1886,1103.9584,1130.7517,1158.7245,1187.7125,1217.8649
8 Ore-extra.(non-energy),175.4372,167.0887,181.0259,181.0259,181.0259,181.0259,181.0259,181.0259,229.1609,178.7439,120.2891,124.9931,129.9198,135.073,140.4565,146.1002,151.9781,158.1489,164.5882,171.3231,178.3522,184.8329,191.5812,198.5637,205.8323,213.4228,221.3157,229.4892,238.0178,246.8958,256.1233,265.7515,275.7157,286.1299,296.9645,308.1873,319.8812,332.0536,344.7035,357.8663,371.5351,385.7688,400.6122,416.0006,432.0623,448.7664,466.4099,483.9669,503.204,522.2254,543.0487,563.6866,585.9002,608.8746,632.7167,657.4213,683.191,709.9844,737.9572,766.9453,797.0975
"9 Food, drink & tob.",175.4372,167.0887,181.0259,181.0259,181.0259,181.0259,181.0259,181.0259,229.1609,178.7439,120.2891,124.9931,129.9198,135.073,140.4565,146.1002,151.9781,158.1489,164.5882,171.3231,178.3522,184.8329,191.5812,198.5637,205.8323,213.4228,221.3157,229.4892,238.0178,246.8958,256.1233,265.7515,275.7157,286.1299,296.9645,308.1873,319.8812,332.0536,344.7035,357.8663,371.5351,385.7688,400.6122,416.0006,432.0623,448.7664,466.4099,483.9669,503.204,522.2254,543.0487,563.6866,585.9002,608.8746,632.7167,657.4213,683.191,709.9844,737.9572,766.9453,797.0975
"10 Tex., cloth. & footw.",175.4372,167.0887,181.0259,181.0259,181.0259,181.0259,181.0259,181.0259,229.1609,178.7439,120.2891,124.9931,129.9198,135.073,140.4565,146.1002,151.9781,158.1489,164.5882,171.3231,178.3522,184.8329,191.5812,198.5637,205.8323,213.4228,221.3157,229.4892,238.0178,246.8958,256.1233,265.7515,275.7157,286.1299,296.9645,308.1873,319.8812,332.0536,344.7035,357.8663,371.5351,385.7688,400.6122,416.0006,432.0623,448.7664,466.4099,483.9669,503.204,522.2254,543.0487,563.6866,585.9002,608.8746,632.7167,657.4213,683.191,709.9844,737.9572,766.9453,797.0975
