,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Indirect Heating Coal,0.03428033885233514,0.03500492228841803,0.03537049074809002,0.03500738451670785,0.03529881387679256,0.033463521724868495,0.03466835090326538,0.033603111868526166,0.034094986371161234,0.034310638005301264,0.03424635308617742,0.03487475395117269,0.035012891253639954,0.0350932764848464,0.03507607819899411,0.0346385069944028,0.034105238796020884,0.03499026013171005,0.03578364225158626,0.03597859689391729,0.03599323914204305,0.03621899812404436,0.03649126810160664,0.03375327316596996,0.034787584494443184,0.03535498596185824,0.034813007980064536,0.03452646079584884,0.035557314118947976,0.03945292976276649,0.042435847277468325,0.03785782714259443,0.027953880013100136,0.032800453831185815,0.03725138855863668,0.031841863952266944,0.032575842752464015,0.03561285618897444,0.032717153483413516,0.03209861212422794,0.0296656580093956,0.0313044587885223,0.027775459992060155,0.027122471249996647,0.02605088570642681,0.027213816698564475,0.02715819059092967,0.02663160977865631,0.02596325937121499,0.026342043665393902,0.02373352538398657,0.0233714067053644,0.02472956132081109,0.02505500584282805,0.02536144090703297,0.025619936575924044,0.025851569737069625,0.02609547255756661,0.0263508393562355,0.02662315370978871,0.027069429207606424,0.02760447425674624,0.028123791205164814,0.028615321754905824,0.029107446077288136,0.029664354518821857,0.030259448988502094,0.030818660325844155,0.03139024748919941,0.031970373904088675,0.03254321293085025,0.03303803976601307,0.03344124842052541,0.03376481336702188,0.03409392041689545,0.03447401227194565,0.03483424647002715,0.03524269474422291,0.03569428313712647,0.036181776759441474,0.03670329729681908,0.03726143813562188,0.037860445874673736,0.038492876061545,0.03916255831113933,0.03987369179178263,0.04062450253542145,0.041462891602196315,0.04240038322020437,0.04340817529804415,0.04435476354292742
Indirect Heating Oil,0.0928052743441306,0.0954288853342647,0.09802382596323073,0.10008374231285032,0.10214847223933188,0.09766732224480668,0.10202950884932953,0.1011920456719455,0.1031737175928059,0.10526119888424032,0.10670672997472104,0.10755885599777593,0.1079653581380017,0.10815970222740044,0.10943658439631444,0.10943169149119417,0.10933936807939244,0.11146420901545344,0.11535226882825166,0.11746236105119702,0.11959028323556198,0.12112168101827338,0.1221761140750379,0.11712081663269674,0.12047556360669227,0.1231264161609108,0.12337682737838768,0.12669421474981968,0.13089989428700322,0.13958747101742972,0.14543875258769393,0.2335457718129691,0.12159487391865542,0.09206380235020024,0.050165905573885006,0.05985997332211359,0.08608337194812306,0.08283290972170264,0.08193988074276064,0.04551414807566385,0.06925994609401671,0.020640532012440836,0.05304529956214385,0.043572731547313184,0.03184204424588261,0.032242315240096506,0.03303032818877308,0.032776566331688704,0.032134489343844636,0.03252712309999521,0.029311346335582883,0.02891062523397708,0.03036185229500105,0.03065845056899995,0.03094408473258805,0.031166596291022745,0.03139422719102924,0.03164000029389369,0.03190204031581256,0.03218723719019534,0.032606650018201185,0.033170081101555365,0.0337308246666101,0.03427667432337221,0.03483440995523139,0.03545200727390917,0.036106374539571134,0.036734529298276114,0.03737926656461072,0.0380346791947058,0.03868782173496288,0.039286365340167176,0.039819048494341376,0.0402997564571491,0.04078421121055149,0.04130676761237099,0.041793096095988996,0.04232001389796329,0.042880258895729134,0.04346847101793501,0.044083092569358405,0.04472726928496106,0.045403774603614264,0.04610744671614552,0.0468392389936808,0.047605415559107515,0.04840190007333544,0.04926377661966378,0.05020018846387008,0.05118789765801295,0.05213470297250457
Indirect Heating Gas,0.2118170296585124,0.21678035279026286,0.22088171983727545,0.2228070028890688,0.2259044346523137,0.21605805994239047,0.22412896208203875,0.2207472461851301,0.22424788549625949,0.2273556045228805,0.2291128637838688,0.2313457695892571,0.2323050485068955,0.2323812706589657,0.23374724860309395,0.2324716827605457,0.2308299289153213,0.2352585381702752,0.24218537870025306,0.2452717123989929,0.24785726864969845,0.250080702179454,0.25169382946148794,0.2389129600882257,0.2452828863876897,0.2494652553801555,0.24964389809131576,0.2547784164955878,0.26354060246857197,0.2818109784907136,0.2933642126263561,0.2913037110287928,0.3476419653494562,0.20658642951075007,0.21353511180143608,0.14113957855028655,0.2484227960256383,0.4033235895473237,0.22631573206385244,0.2000224558559654,0.2251620994312325,0.15624662773644196,0.16737001815267516,0.18384919229177507,0.1974292305334033,0.22853351961438584,0.22289752637014565,0.217501461472346,0.21219487029917425,0.21462271439189312,0.19335925116365602,0.19029794216394852,0.20038618464723468,0.20256769686613496,0.2045385428416692,0.2061589293659789,0.2074310680418024,0.2088155440927004,0.2102930931812176,0.2119055042035084,0.21492324051073225,0.21847209769649248,0.22189886759761104,0.22510510529045508,0.22830280205241016,0.2320051609014856,0.23599180766949546,0.2396895126779409,0.24347710792581065,0.24731866126557994,0.2511029327644516,0.2542529400845655,0.2566666006164704,0.2584300234827051,0.2602496777047313,0.2624825993256616,0.26460250715499395,0.2671149734769951,0.2699740747608101,0.2731230669315845,0.27654557445401085,0.2802635267462333,0.28430695432318204,0.2886175277181373,0.2932219436528277,0.2981523269755161,0.3033953542269235,0.30934037812854875,0.3160768352011395,0.32337917877283834,0.3301947356196259
Indirect Heating Biomass,0.0842502483487979,0.0859272206893058,0.0869479884569532,0.08635497173664737,0.0866711197274661,0.08215530515975811,0.08601851621159368,0.08354982229977022,0.08435743101759086,0.08485106581692559,0.0855453319288939,0.08670735543318017,0.08775953574338836,0.087240050818401,0.08721534198114939,0.08638005410237035,0.08527331543418393,0.08710233537451753,0.08764647222558211,0.08861199151509583,0.0878949957075206,0.08776767897187249,0.08740194125900254,0.08021493040264499,0.08239886726181453,0.08273723388620016,0.07894385924527719,0.07726373683506257,0.07967337610698279,0.09048189491900532,0.10045540227467713,0.10516442962318603,0.10768044659728976,0.14157140482377892,0.1633852266844917,0.19907652052388852,0.20766303720541252,0.20934897004052105,0.2183601398371964,0.2609417878611146,0.303896632094914,0.299587408722809,0.19891132074405485,0.22343580403482147,0.2322722817776949,0.22557926612619314,0.2288775312330818,0.22609235045731504,0.22116404680147628,0.2240995924600684,0.20193029718458927,0.19904734363587606,0.20969943733333554,0.21204815494350515,0.2142894404776384,0.2161049601321848,0.21785649998977424,0.21972439550444792,0.2216986242900381,0.2238264450426052,0.2270990292494284,0.23127763976416016,0.2353919010655039,0.2393504124560601,0.2433609499619235,0.24783968158892186,0.2526010869201848,0.257132456116475,0.26177495758076874,0.2664912641296155,0.2711735150550974,0.2753658404494911,0.2789752152759796,0.2821002079090876,0.2852590171911544,0.28874813908344943,0.2920176503185005,0.2956184393187335,0.2995033688401123,0.3036256863301107,0.3079726266164909,0.3125659853830907,0.3174317808909176,0.322523376434364,0.3278578045341152,0.33347536457163945,0.3393530662832977,0.3457982316404447,0.352887889878128,0.36042799418604937,0.3675913499941009
Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Steam Distributed,0.04818817632003725,0.05011891238334932,0.05272178431655546,0.05604596844875197,0.05814689336754526,0.05602820004256704,0.05927184881531941,0.06027972728776551,0.0618698586072157,0.06412064315517954,0.06608313008640515,0.06598663316579714,0.06621047456670183,0.06636613944074991,0.06807288948027801,0.06897928489389181,0.06996931911412363,0.07099559303193255,0.07437039432471773,0.07669141811065186,0.07941138800373765,0.08096845234719076,0.08184445752717708,0.08079780213973496,0.0830953389755914,0.08545537428238015,0.08664049620052731,0.09115534489529267,0.094303300016514,0.09803990841568892,0.10013998130851287,0.09886142312461753,0.0970592727311229,0.11110099868052914,0.09335590738926378,0.08693314223476357,0.05617788984823412,0.04705837338927578,0.049800720846685576,0.059369762073943726,0.051918671701692516,0.06677169853710364,0.04277538477274551,0.04292866875485638,0.022702135991843057,0.0354723490964874,0.034462471420123236,0.03339573836464377,0.03238499582604471,0.03291797117820359,0.02965297648017105,0.029152983886979438,0.031050054903808192,0.03154961039970222,0.032012088010395824,0.032419304757927286,0.032753019151460235,0.0330994064357604,0.03345805698004687,0.033835648390271755,0.0345088565740827,0.03525555659628229,0.03596643214033266,0.03662379790293144,0.03727077167458495,0.03801783248623716,0.038822171814172884,0.0395641194708761,0.040320041580139535,0.04108618712474213,0.04183671723865293,0.042449153266085934,0.04290127865664657,0.043208699698586574,0.043526288528337766,0.04393174786633562,0.044324791768553314,0.04479652817610365,0.04534149324216364,0.04594721136749071,0.04661057173962755,0.04733488661846108,0.048127774520886735,0.04897605543903223,0.049888099021600435,0.05086805926773931,0.05191557883883785,0.05311392998254202,0.054482375762697,0.05597310765474153,0.05735384001419345
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Coal,0.0007770988479653818,0.0007904298018117578,0.0007903679535935546,0.0007654497603449381,0.0007656343511037139,0.0007203057220572218,0.0007427052403816889,0.0007068302561081557,0.0007149621438096577,0.0007119674942781418,0.0007017107309071699,0.0007212317752123593,0.0007241069484062762,0.0007265514944221638,0.0007193380372294914,0.0007031887812079954,0.0006839416813193357,0.0007063419008424607,0.0007152418286992437,0.0007113483172074206,0.0007006942346518761,0.0007013158671874963,0.0007063892696094979,0.0006302401880594687,0.0006516395352657166,0.0006594718312741591,0.0006362715587422634,0.0006056782416183375,0.0006207094041037912,0.0007233542718373368,0.0008080475202438259,0.0008997184807985954,0.000771276517414605,0.0017220248206529154,0.002600108794790937,0.004254451602551296,0.0005693667534019419,0.0008541393425343778,0.0008161478625259706,0.001047763723165925,0.0007318297942124037,0.0006952972178704103,0.000630099475498396,0.0006663822137378683,0.0006122494911832393,0.0005967865626063599,0.0005801891642944218,0.0005622011848366494,0.000545062819195221,0.0005541863090293279,0.0004992178403218885,0.0004907937670141426,0.0005230170678984682,0.0005315627264922456,0.0005394867414337375,0.0005464758279093416,0.0005522284407464114,0.0005581907221326965,0.0005643583753236522,0.0005708442393031277,0.0005823524493270347,0.0005951114794419763,0.0006072573425366535,0.0006184908845138366,0.000629545689109129,0.0006423002426994181,0.0006560291954779789,0.0006686974186611228,0.0006816020347063143,0.0006946813071249794,0.0007074937049645379,0.0007179584802392737,0.0007256971508799607,0.000730974856587677,0.0007364235601436987,0.0007433653734402968,0.0007500963316389756,0.0007581623818536146,0.0007674728429984906,0.0007778153857788117,0.0007891374065354133,0.0008014945651892701,0.0008150172202956122,0.0008294809163914633,0.0008450293517159555,0.0008617322270163827,0.0008795843556366718,0.0009000008047731631,0.0009233093674940537,0.0009486969882676587,0.0009722120194518696
Direct Heating Oil,0.02887490761989339,0.03000481956620805,0.03150072674798455,0.03337350472761188,0.03458129160712824,0.03329481534613147,0.035193079753124135,0.03571794087078421,0.03664420396173895,0.03793330023498248,0.0390456818358101,0.03901983082312047,0.03915284492122754,0.039246021352028516,0.0402160343957133,0.04071248919305565,0.04125231642400351,0.041876145396030066,0.04382931280219949,0.04515741564318704,0.04670455800323518,0.04760042387259016,0.0481116035874971,0.047394531100279656,0.04874750042806747,0.050115811502814384,0.050761769022504726,0.05331027327746512,0.055142361013391546,0.05744567464073873,0.05878115924943785,0.09924724524420786,0.04826648853396251,0.06609303051460885,0.050418384665053634,0.05966623248555085,0.04138366613884139,0.06219158286185394,0.019017756709430816,0.04055898219053456,0.03631442083532618,0.024895614707297384,0.03127346526482753,0.03248055475873934,0.02910936398748822,0.03270420529881124,0.034930555262937965,0.03525815635061158,0.034825060326387776,0.035158439472057636,0.031690333249426675,0.031327181643730134,0.032595536444123,0.032776548712082534,0.03296525372464267,0.03307899512759989,0.0332569976594459,0.033458603288235134,0.03368084974571885,0.03393143244669538,0.03421100906898158,0.034701034987997516,0.0352121638731827,0.035735082504439464,0.036287310975675696,0.036875778105581014,0.037489705411691485,0.038101345298125616,0.038733077759219234,0.039376952081309084,0.04002803508207175,0.040680338244886524,0.041329456935973063,0.04198940195309677,0.042648631091935486,0.04331320339039632,0.043920415820867836,0.04454414526518096,0.045175223807415406,0.045812960756966094,0.04645680084234163,0.047110041385609966,0.04777223337350152,0.04844355727637308,0.04911971001844877,0.04980907616048477,0.050504495940252817,0.05120916014040405,0.051925722778674265,0.05264662827183268,0.053373081343222266
Direct Heating Gas,0.06484775212590185,0.06737785662472998,0.07071975188126506,0.074892719666434,0.07759104932414031,0.07469717592945949,0.07894778058731126,0.0801046498966522,0.08217751958762005,0.08505610724547992,0.08753672976484868,0.08748751692467224,0.08778593399994647,0.08799516360031746,0.09015905980385347,0.0912610971423456,0.09245867525347506,0.09386213551072388,0.0982294904995258,0.10119482733598348,0.10464655066994376,0.10664822628151982,0.1077924435582668,0.10615716082079647,0.1091891148105101,0.11224940804643148,0.11368235657101282,0.11936244394254406,0.12346198373392392,0.12865258936113613,0.13167316956063124,0.12814891577314874,0.14093580835575467,0.06914678740129547,0.055789444699940745,0.04859283570820192,0.09592411373765687,0.0995203877714837,0.1026955182494206,0.08159978882703649,0.06979385232702022,0.0762266392409191,0.07196333058339133,0.07368406092690165,0.0652104488456419,0.07118224297127015,0.07335863743117074,0.07343155678012545,0.07251564547683853,0.07297068509479747,0.06576636158356983,0.0649490875671916,0.0672756034338604,0.06750281668216876,0.06771837009689309,0.0677961807765833,0.06793957841407336,0.06813578233809697,0.06837384716575201,0.06866852571444335,0.0690507550404938,0.06977809346526595,0.07054499043338203,0.07133096183634198,0.07216787720567576,0.07307866814464661,0.0740355754055596,0.07498187893851352,0.0759649267967609,0.07696679053137959,0.07798177152226896,0.0789831291955835,0.07996306221647638,0.0809463661538813,0.08193391497606069,0.0829416350498739,0.083854769250227,0.08480965760417324,0.08578581276188034,0.08678126413402679,0.08779411982505167,0.08883157027322851,0.0898918195891418,0.0909745718422124,0.0920705802188501,0.09319596826287134,0.09433708891851272,0.09550982069835648,0.096719900251622,0.09795041069804282,0.09918337462411599
