,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Male Children,4020.477,4017.072,4015.706,4036.626,4055.491,4068.863,4070.8010000000004,4058.687,4027.4500000000003,3997.383,3967.014,3937.118,3910.2880000000005,3904.882,3898.3149999999996,3894.228,3896.5690000000004,3906.1179999999995,3924.9480000000003,3947.71,3972.7220000000007,3996.143,4015.223,4030.7160000000003,4042.674,4049.401,4049.576,4042.757,4033.046,4016.43,3993.3599999999997,3965.1710000000003,3933.001,3901.8700000000003,3867.018,3829.386,3790.223,3750.68,3715.301,3680.603,3646.915,3614.337,3583.196,3559.7239999999997,3537.53,3517.1249999999995,3499.005,3483.379,3467.8227832315183,3452.336038053739,3436.918454217583,3421.569722859496,3406.2895364952574,3391.0775890138234,3375.933575671193,3360.8571930843036,3345.8481392249532,3330.90611341375,3316.030816314088,3301.221949926151,3286.4792175809425,3271.802323934343,3257.1909749611923,3242.644877949401,3228.1637414940833,3213.7472754917235,3199.3951911343606,3185.107200903805,3170.8830185658762,3156.722359164672,3142.6249390168564,3128.590475705979,3114.6186880768155,3100.709296229737,3086.8620215151013,3073.076586527671,3059.352715101057,3045.6901323021852,3032.0885644257883,3018.547738988924,3005.067384725515,2991.6472315809156,2978.287010706501,2964.986454454281,2951.74529637154,2938.563271195497,2925.4401148479924,2912.375564430198,2899.3693582173505,2886.4212356535063,2873.530937346324,2860.698205061868,2847.9227817194333,2835.2044113863967,2822.5428392730896,2809.9378117276933,2797.389076231158,2784.8963813921437
2 Male 15-19,1260.562,1289.298,1311.311,1350.935,1382.629,1408.979,1432.11,1451.432,1455.541,1458.692,1460.207,1458.323,1451.833,1443.421,1432.105,1417.311,1398.69,1376.593,1354.946,1330.164,1305.087,1284.288,1270.68,1267.557,1271.678,1281.166,1292.874,1304.63,1320.284,1336.322,1351.355,1363.83,1372.731,1381.421,1386.142,1386.993,1384.646,1379.626,1375.397,1368.506,1359.074,1347.463,1334.015,1322.367,1309.535,1295.485,1280.328,1264.298,1248.4686992739362,1232.8375850209002,1217.402175900827,1202.160021640598,1187.1087026450757,1172.2458296130083,1157.569043157743,1143.0760134326888,1128.7644397614683,1114.6320502726994,1100.6766015393503,1086.8958782226096,1073.2876927202158,1059.8498848191894,1046.580321352912,1033.4768958625007,1020.53752826242,1007.7601645102824,995.1427762807817,982.6833606437096,970.3799397460031,958.2305604977724,946.2332942622614,934.3862365496876,922.6875067149175,911.1352476589254,899.7276255339913,888.4628294525887,877.3390711999182,866.3545849500393,855.5076269855573,844.7964754208186,834.2194299285729,823.7748114700566,813.4609620284564,803.2762443457092,793.2190416625983,783.2877574621031,773.4808152159617,763.7966581344075,754.2337489190387,744.7905695187817,735.4656208889102,726.2574227530814,717.1645133683519,708.1854492931346,699.3188051580622,690.5631734397183,681.9171642372024,673.3794050514919
3 Male 20-24,1178.398,1213.338,1244.141,1298.745,1357.238,1408.76,1449.218,1480.812,1484.968,1483.449,1479.019,1474.73,1472.148,1471.508,1474.327,1478.046,1478.673,1473.764,1465.772,1454.225,1439.089,1420.624,1399.212,1376.476,1350.785,1325.381,1304.927,1292.144,1288.081,1291.948,1301.881,1314.528,1327.394,1342.029,1357.526,1372.617,1385.709,1395.556,1403.231,1407.408,1408.371,1406.746,1402.788,1397.496,1390.153,1380.948,1370.103,1357.678,1345.365678116171,1333.1650125088456,1321.0749906050746,1309.0946090145899,1297.2228734465295,1285.458798626919,1273.801408216899,1262.2497347316976,1250.802819460334,1239.4597123860524,1228.2194721074773,1217.0811657604834,1206.0438689407742,1195.1066656271628,1184.2686481055478,1173.5289168935797,1162.8865806660096,1152.3407561807157,1141.8905682053994,1131.5351494449474,1121.2736404694522,1111.1051896428849,1101.028953052415,1091.0440944383722,1081.1497851248414,1071.3452039508888,1061.629537202411,1052.0019785446023,1042.4617289550338,1033.0079966573408,1023.6399970555099,1014.3569526687634,1005.1580930670333,996.0426548070209,987.0098813688362,978.0590230932119,969.1893371192865,960.4000873229522,951.6905442557613,943.0599850843869,934.5076935306327,926.0329598119868,917.6350805827144,909.313358875485,901.0671040435288,892.8956317033175,884.7982636777649,876.7743279399435,868.8231585573103,860.9440956364389
4 Male 25-29,1080.95,1135.123,1190.793,1202.891,1229.32,1279.283,1348.7,1423.34,1463.883,1485.913,1494.381,1497.538,1500.496,1500.213,1498.587,1496.392,1494.496,1493.496,1493.667,1496.358,1499.511,1499.88,1495.415,1486.842,1474.583,1458.952,1440.428,1419.547,1396.342,1370.688,1345.713,1325.958,1314.167,1309.69,1313.317,1323.192,1336.042,1349.526,1363.668,1378.848,1393.873,1407.229,1417.779,1424.928,1428.901,1429.925,1428.603,1425.3,1422.004636697529,1418.7168924361686,1415.4367496003233,1412.1641906151258,1408.8991979463424,1405.6417541002795,1402.39184162369,1399.149443103679,1395.9145411676118,1392.6871184830195,1389.467157757507,1386.25464173866,1383.0495532139525,1379.851875010655,1376.661589995742,1373.4786810758,1370.3031311969373,1367.1349233446906,1363.9740405439354,1360.8204658587945,1357.674182392547,1354.5351732875386,1351.4034217250903,1348.2789109254088,1345.1616241474962,1342.051544689061,1338.9486558864282,1335.85294111445,1332.7643837864166,1329.6829673539676,1326.608675307003,1323.5414911735954,1320.481398519901,1317.4283809500716,1314.3824221061677,1311.3435056680696,1308.3116153533906,1305.2867349173898,1302.268848152885,1299.2579388901656,1296.2539909969062,1293.2569883780802,1290.2669149758735,1287.2837547695985,1284.3074917756082,1281.3381100472104,1278.3755936745824,1275.4199267846861,1272.4710935411824,1269.5290781443466
5 Male 30-34,960.15,987.358,1020.223,1045.177,1066.851,1080.116,1089.694,1108.772,1166.644,1237.502,1313.457,1381.808,1434.559,1470.754,1492.578,1503.189,1508.571,1512.767,1513.803,1512.286,1509.538,1507.191,1506.209,1506.364,1508.613,1511.304,1511.441,1507.103,1498.37,1486.252,1471.02,1453.03,1432.797,1409.724,1384.165,1359.291,1339.713,1328.253,1323.84,1327.417,1337.238,1350.142,1363.866,1377.897,1393.041,1408.093,1421.52,1432.243,1443.0468871693681,1453.9322716670306,1464.8997682545466,1475.9499963308267,1487.0835799671142,1498.3011479422307,1509.6033337780857,1520.9907757754565,1532.464117050036,1544.0240055687539,1555.67109418637,1567.4060406823467,1579.2295077979954,1591.1421632739073,1603.1446798876632,1615.2377354918303,1627.422013052244,1639.6982006865787,1652.0669917032105,1664.529084640372,1677.0851833056029,1689.735996815498,1702.4822396357558,1715.3246316215277,1728.263898058073,1741.30076970172,1754.4359828211354,1767.6702792389074,1781.0044063734388,1794.439117281159,1807.975170699054,1821.6133310875157,1835.3543686735163,1849.1990594941071,1863.1481854402462,1877.2025343009557,1891.362899807814,1905.6300816797816,1920.0048856683661,1934.4881236031276,1949.0806134375277,1963.7831792951245,1978.5966515161144,1993.5218667042282,2008.5596677739773,2023.7109039982588,2038.976431056319,2054.357111082078,2069.853812712821,2085.467411138253
6 Male 35-39,880.25,898.489,924.106,935.038,945.728,960.291,977.829,992.899,1013.765,1028.672,1044.113,1070.017,1111.85,1166.278,1236.495,1313.362,1382.611,1435.436,1472.912,1495.014,1505.126,1509.844,1513.578,1515.076,1513.612,1510.651,1508.007,1506.839,1507.159,1509.812,1512.879,1513.224,1508.997,1500.692,1489.001,1474.029,1456.141,1435.966,1413.377,1388.251,1363.669,1344.245,1332.864,1328.742,1332.608,1342.545,1355.357,1368.885,1382.5480247824007,1396.3474220476648,1410.2845529478343,1424.3607922207923,1438.577528325865,1452.9361635807775,1467.4381142999762,1482.0848109343317,1496.877698212237,1511.8182352821125,1526.907895856335,1542.1481683566021,1557.5405560607483,1573.0865772510251,1588.7877653638634,1604.6456691411283,1620.6618527828857,1636.8378961016917,1653.1753946784238,1669.6759600196658,1686.3412197166654,1703.1728176058762,1720.1724139311045,1737.3416855072724,1754.6823258858167,1772.1960455217381,1789.8845719423182,1807.7496499175202,1825.79304163209,1844.0165268593764,1862.421903136884,1881.0109859435809,1899.7856088789736,1918.7476238439717,1937.898901223556,1957.241330071271,1976.7768182955576,1996.5072928479467,2016.4346999131312,2036.5610051009342,2056.888193640194,2077.4182705745848,2098.1532609603896,2119.0952100662507,2140.2461835749104,2161.608267786968,2183.1835698266686,2204.974217849747,2226.982361253346,2249.210170888029
7 Male 40-44,796.436,803.772,809.882,833.421,853.635,866.767,873.233,877.191,895.506,917.923,942.803,966.951,988.683,1006.176,1020.687,1037.371,1064.509,1106.638,1161.384,1230.959,1306.595,1374.709,1426.805,1463.706,1485.287,1495.252,1500.206,1504.355,1505.567,1504.24,1501.739,1499.706,1499.115,1499.443,1502.186,1505.43,1506.091,1502.272,1494.024,1482.524,1467.93,1450.595,1431.021,1408.585,1383.83,1359.744,1340.822,1329.833,1318.9340627532963,1308.1244501308931,1297.4034300532928,1286.7702764409153,1276.2242691649242,1265.7646939984568,1255.390842568253,1245.1020123066803,1234.8975064041533,1224.7766337619419,1214.7387089453666,1204.783052137378,1194.908989092516,1185.1158510912467,1175.402974894673,1165.769702699618,1156.2153820940741,1146.7393660130194,1137.3410126945944,1128.0196856366395,1118.774753553588,1109.605590333712,1100.511574996719,1091.4920916516967,1082.5465294554015,1073.6742825708889,1064.8747501264838,1056.1473361750864,1047.4914496538115,1038.9065043439593,1030.3919188313137,1021.9471164667655,1013.5715253272599,1005.2645781770624,997.025712429343,988.8543701080753,980.7499978102471,972.7120466683822,964.7399723133674,956.8332348375858,948.9912987583515,941.2136329816441,933.4997107661404,925.849009687541,918.2610116031889,910.7352026169788,903.2710730445532,895.8681173787845,888.5258342555392,881.243726419723
8 Male 44-49,682.297,701.106,719.024,736.593,756.074,778.256,801.284,821.119,833.978,841.052,845.737,852.919,865.474,880.482,902.0,927.384,952.225,974.175,992.121,1006.447,1022.572,1049.128,1090.744,1144.724,1213.016,1287.223,1354.185,1405.686,1441.508,1462.806,1473.17,1478.829,1483.7,1485.014,1483.875,1481.68,1480.123,1480.172,1480.637,1483.505,1486.987,1488.099,1484.938,1476.812,1465.694,1451.704,1435.094,1416.292,1397.7363359222459,1379.4237803767483,1361.351148257428,1343.5152961881304,1325.9131219758979,1308.5415640714045,1291.3976010364602,1274.4782510184912,1257.7805712319062,1241.3016574462572,1225.0386434811062,1208.9887007075097,1193.149037556035,1177.5168990312216,1162.0895662324049,1146.864355880817,1131.8386198528833,1117.009744719635,1102.375151292153,1087.9322941729713,1073.6786613133536,1059.6117735763735,1045.7291843057174,1032.0284789001369,1018.507274393477,1005.1632190402066,991.9939919063785,978.9973024659489,966.1708902023865,953.5125242154998,941.0200028334161,928.6911532296452,916.5238310451584,904.5159200154201,892.6653316023055,880.970004630841,869.4279049307033,858.037024982416,846.7953835681814,835.7010254272866,824.7520209160252,813.9464656720737,803.2824802832653,792.7582099607037,782.3718242161591,772.1215165436913,762.0055041054435,752.0220274215533,742.1693500641256,732.4457583552161
9 Male 50-54,545.952,569.005,590.734,611.205,631.003,650.745,670.829,691.666,716.427,740.489,763.058,782.741,798.824,808.577,814.94,820.228,828.01,840.52,856.197,877.464,901.982,925.886,947.157,964.933,978.918,994.668,1020.757,1061.746,1114.605,1181.476,1254.074,1319.515,1369.879,1405.032,1426.195,1436.84,1442.938,1448.26,1450.114,1449.464,1447.769,1446.764,1447.423,1448.372,1451.714,1455.65,1457.192,1454.514,1451.8409215779386,1449.172755689033,1446.5094933051223,1443.8511254146374,1441.1976430225704,1438.5490371504445,1435.9052988362832,1433.2664191345802,1430.6323891162692,1428.0031998686934,1425.3788424955753,1422.7593081169873,1420.144587869321,1417.5346729052571,1414.9295543937362,1412.329223519928,1409.7336714852022,1407.1428895070983,1404.5568688192961,1401.975600671586,1399.3990763298395,1396.8272870759793,1394.26022420795,1391.6978790396888,1389.1402429010961,1386.5873071380058,1384.0390631121566,1381.495502201162,1378.9566157984818,1376.4223953133926,1373.892832170959,1371.3679178120046,1368.8476436930825,1366.3320012864472,1363.820982080025,1361.3145775773858,1358.8127792977136,1356.315578775779,1353.8229675619093,1351.3349372219607,1348.8514793372892,1346.3725855047228,1343.8982473365324,1341.428456460404,1338.9632045194098,1336.5024831719804,1334.0462840918765,1331.5945989681604,1329.147419505168,1326.704737422481
10 Male 55-59,407.797,426.395,444.334,465.768,489.105,510.701,529.326,546.384,568.375,590.766,613.622,636.957,660.72,682.46,705.315,727.634,747.036,762.367,772.838,779.46,784.597,792.027,804.083,819.801,840.69,864.496,887.588,908.171,925.497,939.396,955.085,980.718,1020.665,1072.307,1137.411,1207.755,1270.951,1319.572,1353.997,1375.164,1386.256,1392.884,1398.634,1401.209,1401.497,1400.63,1400.216,1401.307,1402.398850069561,1403.4915508710274,1404.5851030672602,1405.6795073216372,1406.7747642980523,1407.8708746609173,1408.9678390751615,1410.0656582062322,1411.1643327200952,1412.2638632832354,1413.3642505626567,1414.465495225883,1415.5675979409582,1416.6705593764466,1417.7743802014336,1418.8790610855258,1419.9846026988516,1421.0910057120616,1422.1982707963286,1423.306398623349,1424.415389865342,1425.5252451950505,1426.6359652857423,1427.747550811209,1428.8600024457678,1429.9733208642608,1431.0875067420561,1432.2025607550484,1433.3184835796583,1434.435275892834,1435.552938372051,1436.6714716953124,1437.7908765411503,1438.9111535886248,1440.0323035173253,1441.154327007371,1442.2772247394103,1443.4009973946227,1444.5256456547181,1445.6511702019377,1446.777571719054,1447.9048508893718,1449.0330083967283,1450.162044925493,1451.2919611605696,1452.4227577873946,1453.554435491939,1454.6869949607083,1455.8204368807424,1456.954761939617
