,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Male Children,2325.086,2291.3599999999997,2246.939,2188.0370000000003,2123.612,2054.119,1983.8339999999998,1916.9879999999998,1855.5220000000002,1802.281,1755.5729999999999,1712.0949999999998,1670.4650000000001,1649.1979999999999,1621.7820000000002,1594.937,1577.258,1571.6860000000001,1561.0140000000001,1565.535,1578.676,1590.15,1594.945,1598.444,1595.959,1588.911,1581.5659999999998,1576.0659999999998,1570.315,1565.3229999999999,1560.366,1553.8090000000002,1544.719,1533.8159999999998,1520.841,1505.857,1489.376,1471.754,1451.66,1431.706,1411.629,1391.338,1371.09,1351.231,1333.022,1316.3229999999999,1301.076,1287.3,1273.6698624830524,1260.1840430339453,1246.8410135899808,1233.6392622678325,1220.5772931922354,1207.6536263264904,1194.8667973047627,1182.2153572661562,1169.6978726905447,1157.3129252361418,1145.05911157879,1132.9350432529511,1120.9393464943819,1109.0706620844733,1097.3276451962397,1085.708965241938,1074.2133057222998,1062.839364077361,1051.5858515388702,1040.451492984259,1029.4350267921602,1018.5352046994549,1007.7507916598327,997.0805657038503,986.5233178004718,976.0778517200744,965.7429838989051,955.5175433049727,945.4003713053592,935.3903215349364,925.4862597664732,915.6870637821165,905.9916232462352,896.3988395796085,886.9076258349476,877.5169065737346,868.225617744366,859.0327065615863,849.9371313871982,840.9378616120352,832.0338775391854,823.2241702684497,814.5077415820255,805.8836038313991,797.3507798254369,788.9083027196605,780.5552159066948,772.2905729078763,764.1134372660082,756.0228824392519
2 Male 15-19,869.009,840.518,822.44,814.199,816.35,824.99,833.067,835.785,834.692,828.726,817.853,802.528,783.01,757.978,729.177,697.62,664.864,632.322,601.222,569.812,541.212,519.656,507.351,504.038,510.494,522.851,534.633,541.609,544.828,543.365,538.877,534.417,531.761,530.722,530.585,531.034,531.32,530.849,530.441,529.4,527.821,525.727,522.974,520.093,516.599,512.386,507.165,500.637,494.193025482831,487.8319949102325,481.5528406650184,475.35450887189137,469.2359592205635,463.19616479115325,457.23411188183053,451.34879983867967,445.5392408877526,439.80445996928376,434.14349457403864,428.5553945817692,423.0392221017483,417.59405131535686,412.218968320697,406.9130709792055,401.6754687642414,396.5052826116224,391.4016447720856,386.3636986656465,381.3905987378334,376.4815103177717,371.63560947809543,366.85208289666133,362.1301277200434,357.4689514287842,352.86777170438063,348.3258162979819,343.84232290077733,339.41653901605287,335.04772183289396,330.7351381015144,326.4780640101897,322.2757850637748,318.127595963785,314.03280049002086,309.99071138371653,306.0006502321921,302.0619473549909,298.17394169148224,294.3359806899108,290.5474201978742,286.8076243542105,283.11596548227675,279.4718239846018,275.87458823889483,272.3236544953922,268.818426775526,265.3583167718967,261.9427437495332
3 Male 20-24,1006.177,988.5,966.296,939.621,905.548,869.772,840.003,820.733,812.835,815.045,823.476,831.343,834.084,832.019,826.457,816.565,801.649,781.583,758.436,729.743,697.383,663.976,631.345,599.902,568.717,540.58,519.234,506.805,503.988,510.628,522.884,534.401,541.104,544.574,543.254,538.81,534.238,531.367,530.612,530.566,530.983,531.149,530.526,530.268,529.333,527.793,525.626,522.722,519.8340441378471,516.962043772233,514.1059107515784,511.26555741132785,508.4408965712582,505.63184153280326,502.8383060763927,500.06020445880563,497.2974514105387,494.54996213318907,491.8176522968515,489.1004380375302,486.3982359545644,483.71096310806894,481.03853701638815,478.38087565356443,475.7378974468206,473.1095212740561,470.49566646135685,467.8962527805196,465.311200446589,462.7404301154089,460.183862881187,457.6414202740729,455.1130242577497,452.59859722703874,450.09806200551753,447.61134184315114,445.13836041393625,442.6790418135587,440.2333105570635,437.801091576538,435.3823102188079,432.97689224314576,430.5847638189923,428.20585152369046,425.84008234023156,423.48738365501436,421.1476832556161,418.8209093285762,416.5069904571921,414.20585561932705,411.91743418523043,409.64165591536965,407.37845095827436,405.1277498483925,402.8894835039581,400.663583224871,398.44998069058806,396.2486079580264
4 Male 25-29,957.675,989.063,1007.997,1020.261,1020.168,1009.06,990.071,965.877,939.135,905.651,870.056,840.02,820.515,811.655,814.596,823.994,831.894,833.607,833.381,828.133,817.35,801.468,781.046,757.525,729.457,697.817,664.54,631.523,600.854,570.33,542.266,520.505,507.516,505.128,512.282,524.631,535.751,541.846,545.731,544.882,540.513,535.602,532.229,531.785,532.227,532.773,532.612,531.471,530.3324443328352,529.1963277620787,528.0626450625216,526.9313910201488,525.8025604321149,524.6761481067205,523.5521488633882,522.4305575326389,521.3113689560678,520.194577986321,519.0801794870714,517.9681683329956,516.8585394097497,515.7512876139464,514.646407853131,513.5438950457584,512.4437441211696,511.34595001956825,510.25050769199737,509.1574121003163,508.0666582171775,506.97824102600333,505.892155520963,504.8083967069496,503.7269595995572,502.6478392250576,501.57103062037794,500.4965288330774,499.42432892132473,498.3544259538754,497.28681501004905,496.2214911797066,495.158449563228,494.0976852714893,493.0391934258406,491.9829691580833,490.9290076104478,489.87730393557115,488.82785329647487,487.7806508665425,486.7356918294975,485.6929713793812,484.6524847205306,483.6142270675562,482.57819364532025,481.5443796889145,480.5127804436385,479.4833911649778,478.4562071185817,477.43122358024203
5 Male 30-34,875.877,869.832,875.043,895.389,928.55,967.334,1000.429,1020.502,1026.952,1022.932,1010.541,992.748,971.047,941.094,906.327,871.539,843.287,825.166,816.436,817.797,825.755,833.708,836.748,834.354,828.111,817.986,803.712,784.816,760.527,731.653,700.041,667.834,636.247,604.507,573.101,545.177,524.553,512.933,509.378,515.459,527.729,539.848,547.278,549.809,547.916,543.604,539.81,537.817,535.8313582353051,533.8530475390176,531.8820408445413,529.9183111852109,527.961831693923,526.0125756027688,524.0705162426675,522.1356270430017,520.2078815312537,518.2872533326436,516.3737161697679,514.4672438622407,512.5678103263348,510.6753895746252,508.7899557156338,506.91148295347455,505.03994558750094,503.1753180119543,501.31757471561343,499.46669028144555,497.62263938625864,495.7853968003548,493.9549373871853,492.1312361030064,490.31426799653707,488.50400820861717,486.7004319718677,484.90351461035186,483.1132315392373,481.3295582644598,479.5524703823883,477.7819435794909,476.0179536320023,474.26047640559204,472.5094878550348,470.76496402388125,469.02688104413,467.2952151359014,465.569942607112,463.8510398531506,462.138483356555,460.4322496866905,458.7323154994292,457.03865753683067,455.35125262682374,453.67007768288937,451.99510970374496,450.3263257730295,448.66370305899017,447.00721881416973
6 Male 35-39,953.523,944.29,933.978,919.252,901.85,887.002,881.894,890.052,907.203,935.675,968.591,996.121,1012.652,1019.129,1016.977,1006.034,987.746,964.222,937.791,904.386,868.874,839.056,819.882,811.647,814.108,822.609,829.968,831.96,831.225,826.237,816.128,800.842,780.909,758.06,730.48,699.155,666.182,633.659,603.402,573.203,545.418,523.919,511.304,508.946,516.054,528.308,539.382,545.657,552.0050013700867,558.4268533851657,564.9234152003394,571.4955559658491,578.1441549433563,584.8701016235748,591.6742958452729,598.5576479156593,605.5210787321694,612.5655199056687,619.6919138850899,626.9012140835189,634.1943850057487,641.5724023773168,649.0362532750438,656.5869362590903,664.225461506551,671.9528509466022,679.7701383972217,687.6783697034994,695.678602877557,703.7719082400955,711.9593685635892,720.2420792171457,728.6211483130512,737.0976968550204,745.672858888172,754.3477816507473,763.1236257275955,772.0015652054437,780.9827878299737,790.0684951647257,799.2599027518509,808.5582402747344,817.96475172251,827.4806955564882,837.1073448785216,846.8459876013281,856.6979266207957,866.6644799902919,876.7469810970014,886.9467788403147,897.265237812292,907.7037384802272,918.2636773713351,928.9464672595873,939.7535373547221,950.686333493453,961.7463183329018,972.9349715462813
7 Male 40-44,958.705,966.528,969.068,966.506,960.77,952.604,942.527,931.227,916.964,899.822,884.767,878.653,884.727,899.015,926.169,959.599,988.459,1005.619,1012.918,1009.677,997.596,979.632,957.569,929.599,895.935,861.618,833.621,815.842,807.298,809.202,817.629,825.696,828.6,827.024,821.431,811.626,797.467,778.697,755.207,727.107,696.132,664.402,633.217,602.195,571.472,544.023,523.665,512.197,500.98014342948267,490.00893037371367,479.277981363324,468.7820347366169,458.51594405963925,448.4746756027519,438.6533058724619,429.04701919730627,419.65110536660404,410.460957320918,401.47206889309433,392.6800325987726,384.0805374752819,375.66936696786485,367.4423968621914,359.3955932621501,351.52501061192453,343.8267897613854,336.2971560738493,328.9324175752769,321.7289631440025,314.6832607401079,307.79185567357194,301.05136891034635,294.4584954155284,288.01000253281654,281.7027283994558,275.5335803958944,269.4995336293926,263.5976294508397,257.8249740040516,252.17873680683869,246.65614936314688,241.2545038055927,235.97115156772577,230.8035020853683,225.74902152639444,220.8052315483269,215.9697080831416,211.24008014868443,206.6140286861174,202.08928542282416,197.66363176021733,193.3348976859022,189.1009607096636,184.9597448227541,180.9092194799731,176.9473986040383,173.07233961176047,169.2821424615447
8 Male 44-49,865.157,887.423,908.116,923.441,935.473,944.275,949.372,950.557,948.798,943.545,935.319,924.928,913.374,899.232,883.654,870.126,864.215,869.277,886.193,913.695,945.677,972.79,989.186,996.099,993.635,982.703,965.327,943.359,917.104,884.715,850.913,822.855,804.949,797.423,799.995,808.477,816.057,818.461,817.718,812.763,803.16,788.828,769.926,747.325,720.112,689.63,657.929,626.709,596.9704492141249,568.6430500198882,541.6598405525734,515.9570364170947,491.47387991093416,468.15249640174187,445.937757520096,424.7771508440301,404.62065576728077,385.4206252578269,367.13167322721364,349.71056724441974,333.1161263406584,317.3091236635377,302.2521937504686,287.9097442021289,274.24787154719127,261.23428109943274,248.8382106177785,237.0303575888239,225.78280995994132,215.0689801592343,204.86354224637242,195.14237204574022,185.88249012038352,177.06200745195218,168.66007369823416,160.65682790596955,153.03335156243648,145.77162387482997,138.85447917172039,132.26556632589492,125.9893101026635,120.01087434226208,114.316126889322,108.89160618650358,103.72448945332624,98.80256237497457,94.11419022942893,89.64829038466945,85.39430610094071,81.3421815761495,77.4823381754066,73.80565178852262,70.30343126193439,66.96739785407794,63.789665665643774,60.762722998454166,57.87941459889778,55.1329247439475
9 Male 50-54,692.227,731.152,766.868,800.08,827.78,850.269,868.954,885.033,899.337,911.132,919.945,925.216,926.754,923.915,919.488,912.989,903.887,892.481,880.645,865.565,851.607,845.481,850.792,866.779,894.074,926.338,953.66,969.885,977.379,975.485,965.048,948.199,926.712,901.25,869.788,836.932,809.647,792.146,785.097,787.876,796.395,804.012,806.42,805.715,801.054,791.906,778.055,759.481,741.3504049983613,723.6526298765004,706.3773422074719,689.5144562236256,673.0541269282705,656.9867443479059,641.3029279216662,625.9935210247027,611.0495856223047,596.4623970516399,582.2234389280662,568.3243981730427,554.7571601607351,541.5138039804839,528.586597812368,515.9679944131651,503.65062671007206,491.6273034996142,479.89100524923117,468.4348799990893,457.2522393617269,446.3365546171977,435.6814529014324,425.28071348559274,415.12826414424626,405.21817761024136,395.5446681142127,386.10208800669676,376.8849244608854,367.88779625409234,359.10545062605394,350.5327602122294,342.1647200503104,333.99644465819233,326.0231651817013,318.2402266104115,310.6430850599276,303.22730511904547,295.98855726024226,288.92261531198443,282.02535399137753,275.2927464957174,268.7208621515367,262.3058641197746,256.04400715572865,249.93163542248286,243.96518035653347,238.14115858436787,232.45616988877939,226.90689522373097
10 Male 55-59,468.717,507.723,547.101,587.467,629.421,671.852,712.478,749.089,778.932,803.347,823.473,841.295,857.82,870.054,881.702,891.633,898.093,900.189,899.017,894.622,887.585,878.68,868.527,856.066,841.573,829.023,824.254,830.372,846.405,873.349,905.072,932.119,948.504,955.667,953.99,944.352,928.642,908.348,883.393,852.627,820.75,794.647,778.272,771.162,773.92,782.551,790.49,793.386,796.2926096421207,799.2098677953214,802.1378134709597,805.0764858233132,808.0259241501033,810.9861678930206,813.9572566382523,816.9392301170114,819.9321282060687,822.935990928285,825.9508584531472,828.9767710973051,832.0137693251104,835.0618937491582,838.1211851308299,841.191684380838,844.2734325597737,847.3664708786558,850.4708406994816,853.5865835357803,856.7137410531677,859.8523550699042,863.002467557453,866.1641206410421,869.3373566002275,872.5222178694584,875.7187470386446,878.9269868537262,882.1469802172456,885.3787701889204,888.6223999862196,891.8779129849421,895.1453527197957,898.42476288498,901.7161873347706,905.0196700841052,908.3352553091727,911.6629873480035,915.0029107010628,918.3550700318453,921.7195101674729,925.0962760992937,928.485412983484,931.886966141652,935.3009810614438,938.7275033971521,942.1665789703259,945.6182537703842,949.0825739552304,952.5595858518697
11 Male 60-64,341.447,347.859,362.801,383.837,411.921,445.355,481.911,520.291,559.532,600.522,641.468,679.999,714.571,741.971,765.762,786.359,804.572,820.905,834.599,846.102,855.082,861.126,863.981,862.303,858.663,853.18,845.85,837.029,825.788,812.389,800.689,796.62,803.354,819.281,845.849,877.046,903.675,920.049,927.065,925.706,916.867,902.312,883.394,859.15,829.501,798.933,774.118,758.917,744.0144950627682,729.4046237777068,715.0816398320486,701.0399097507341,687.2739106806686,673.7782282184897,660.5475542809901,647.5766850173567,634.8605187624074,622.3940540300187,610.1723875459552,598.1907123193283,586.4443157519239,574.9285777846568,563.6389690804225,552.5710492426311,541.7204650687235,531.0829488379815,520.654316632961,510.4304666938852,500.40737780535187,490.58110771472093,480.9477915815586,471.5036404575295,462.24493979613834,453.16804799173514,444.26939494720926,435.5454806698091,426.9928738945349,418.6082107345635,410.3881933581738,402.32958869165327,394.4292271476745,386.6840013786422,379.09086505452024,371.6468316646576,364.34897334314286,357.19441971722404,350.18035677834206,343.30402577533283,336.5627221293632,329.95379437017357,323.47464309320947,317.12271993723095,310.89552658199864,304.7906137656414,298.8055803213198,292.93807223280584,287.1857817086083,281.54644627427865
