Model,Policy,Region,Crossover year,Crossover year_Baseline,Crossover year difference
FTT:H,Coal phase-out,1,2027.8681770736464,2028.0264785809995,0.1583015073531442
FTT:H,Coal phase-out,2,2021.0,2021.0,-0.0
FTT:H,Coal phase-out,3,2034.2101679102148,2035.2508217992556,1.0406538890408683
FTT:H,Coal phase-out,4,2021.0,2021.0,-0.0
FTT:H,Coal phase-out,6,2021.8565761407112,2021.8565761407112,-0.0
FTT:H,Coal phase-out,7,2023.8165848818705,2023.8165848818705,-0.0
FTT:H,Coal phase-out,8,2023.1061326153242,2023.1061326153242,-0.0
FTT:H,Coal phase-out,9,2024.9790252060675,2024.9790252060675,-0.0
FTT:H,Coal phase-out,11,2023.8587148658874,2023.8587148658874,-0.0
FTT:H,Coal phase-out,12,2021.8085194811965,2021.8085194811965,-0.0
FTT:H,Coal phase-out,13,2021.0,2021.0,-0.0
FTT:H,Coal phase-out,16,2022.4771203762543,2022.4771203762543,-0.0
FTT:H,Coal phase-out,17,2023.3295271091913,2023.3295271091913,-0.0
FTT:H,Coal phase-out,18,2021.0,2021.0,-0.0
FTT:H,Coal phase-out,19,2021.9335160818298,2021.9335160818298,-0.0
FTT:H,Coal phase-out,20,2025.5574978028808,2025.5812057857972,0.0237079829164486
FTT:H,Coal phase-out,21,2040.3297807342547,2040.8535701002402,0.5237893659855217
FTT:H,Coal phase-out,22,2021.0,2021.0,-0.0
FTT:H,Coal phase-out,23,2028.837224175127,2029.3825851779118,0.5453610027848299
FTT:H,Coal phase-out,24,2021.0,2021.0,-0.0
FTT:H,Coal phase-out,25,2034.2116603623815,2035.2360051800752,1.0243448176936454
FTT:H,Coal phase-out,26,2021.0,2021.0,-0.0
FTT:H,Coal phase-out,27,2028.6290086492884,2028.749514903929,0.12050625464053155
FTT:H,Coal phase-out,29,2021.0,2021.0,-0.0
FTT:H,Coal phase-out,31,2023.8946980844337,2023.8946980844337,-0.0
FTT:H,Coal phase-out,34,2028.513853458092,2028.822792274671,0.30893881657902966
FTT:H,Coal phase-out,37,2021.0,2021.0,-0.0
FTT:H,Coal phase-out,41,2021.0,2021.0,-0.0
FTT:H,Coal phase-out,42,2024.9353840731235,2024.9353840731235,-0.0
FTT:H,Coal phase-out,43,2023.6633985501967,2023.6633985501967,-0.0
FTT:H,Coal phase-out,44,2021.0,2021.0,-0.0
FTT:H,Coal phase-out,46,2045.3317183357494,2046.2950640541717,0.9633457184222607
FTT:H,Coal phase-out,47,2021.0,2021.0,-0.0
FTT:H,Coal phase-out,48,2021.0,2021.0,-0.0
FTT:H,Coal phase-out,50,2028.4252100125243,2026.931099053164,-1.4941109593603414
FTT:H,Coal phase-out,51,2021.0,2021.0,-0.0
FTT:H,Coal phase-out,52,2021.0,2021.0,-0.0
FTT:H,Coal phase-out,54,2025.8558944213028,2025.8299381063766,-0.025956314926133928
FTT:H,Coal phase-out,57,2025.8149150437214,2026.018520480841,0.20360543711967694
FTT:H,Coal phase-out,60,2031.0659775147492,2028.7890452525044,-2.276932262244827
FTT:H,Coal phase-out,63,2034.54305294676,2034.6140152533214,0.07096230656134139
FTT:H,Coal phase-out,64,2039.985817768764,2040.2416093770182,0.2557916082541851
FTT:H,Coal phase-out,65,2026.0438305375346,2026.0310585128311,-0.012772024703508578
FTT:H,Coal phase-out,66,2038.782076508391,2040.8770936379663,2.0950171295753535
FTT:H,Coal phase-out,67,2021.0,2021.0,-0.0
FTT:H,Coal phase-out,68,2024.366163627142,2024.366163627142,-0.0
FTT:H,Coal phase-out,69,2029.6488023278343,2029.7627846308494,0.11398230301506374
FTT:H,Heat pump mandates,1,2027.608385791849,2028.0264785809995,0.418092789150478
FTT:H,Heat pump mandates,2,2021.0,2021.0,-0.0
FTT:H,Heat pump mandates,3,2033.4147177880109,2035.2508217992556,1.8361040112447427
FTT:H,Heat pump mandates,4,2021.0,2021.0,-0.0
FTT:H,Heat pump mandates,6,2021.8565761407112,2021.8565761407112,-0.0
FTT:H,Heat pump mandates,7,2023.8165848818705,2023.8165848818705,-0.0
FTT:H,Heat pump mandates,8,2023.1061326153242,2023.1061326153242,-0.0
FTT:H,Heat pump mandates,9,2024.9472089710955,2024.9790252060675,0.03181623497198416
FTT:H,Heat pump mandates,11,2023.8587148658874,2023.8587148658874,-0.0
FTT:H,Heat pump mandates,12,2021.8085194811965,2021.8085194811965,-0.0
FTT:H,Heat pump mandates,13,2021.0,2021.0,-0.0
FTT:H,Heat pump mandates,16,2022.4771203762543,2022.4771203762543,-0.0
FTT:H,Heat pump mandates,17,2023.3295271091913,2023.3295271091913,-0.0
FTT:H,Heat pump mandates,18,2021.0,2021.0,-0.0
FTT:H,Heat pump mandates,19,2021.9335160818298,2021.9335160818298,-0.0
FTT:H,Heat pump mandates,20,2025.4613044881428,2025.5812057857972,0.1199012976544509
FTT:H,Heat pump mandates,21,2036.945142023309,2040.8535701002402,3.908428076931159
FTT:H,Heat pump mandates,22,2021.0,2021.0,-0.0
FTT:H,Heat pump mandates,23,2028.6841493300815,2029.3825851779118,0.6984358478302966
FTT:H,Heat pump mandates,24,2021.0,2021.0,-0.0
FTT:H,Heat pump mandates,25,2033.1291729368902,2035.2360051800752,2.1068322431849538
FTT:H,Heat pump mandates,26,2021.0,2021.0,-0.0
FTT:H,Heat pump mandates,27,2028.2328138565967,2028.749514903929,0.5167010473321625
FTT:H,Heat pump mandates,29,2021.0,2021.0,-0.0
FTT:H,Heat pump mandates,31,2023.8946980844337,2023.8946980844337,-0.0
FTT:H,Heat pump mandates,34,2027.8992034958058,2028.822792274671,0.9235887788652235
FTT:H,Heat pump mandates,37,2021.0,2021.0,-0.0
FTT:H,Heat pump mandates,41,2021.0,2021.0,-0.0
FTT:H,Heat pump mandates,42,2024.860669334462,2024.9353840731235,0.07471473866144152
FTT:H,Heat pump mandates,43,2023.6633985501967,2023.6633985501967,-0.0
FTT:H,Heat pump mandates,44,2021.0,2021.0,-0.0
FTT:H,Heat pump mandates,46,2040.8199018830999,2046.2950640541717,5.4751621710718155
FTT:H,Heat pump mandates,47,2021.0,2021.0,-0.0
FTT:H,Heat pump mandates,48,2021.0,2021.0,-0.0
