Model,Policy,Region,Crossover year,Crossover year_Baseline,Crossover year difference
FTT:P,Coal phase-out,2,2022.1675751168173,2022.1675751168173,-0.0
FTT:P,Coal phase-out,7,2029.1068676442574,2030.2783994355568,1.1715317912994578
FTT:P,Coal phase-out,9,2022.8310723229715,2022.8310723229715,-0.0
FTT:P,Coal phase-out,13,2027.0766615403836,2027.9784835524074,0.9018220120237856
FTT:P,Coal phase-out,16,2022.8564715538857,2022.8564715538857,-0.0
FTT:P,Coal phase-out,17,2026.687982939092,2027.3961058160944,0.7081228770023245
FTT:P,Coal phase-out,19,2028.6315724846118,2029.7812399240752,1.1496674394634283
FTT:P,Coal phase-out,20,2031.3453842091528,2033.1054625680038,1.760078358850933
FTT:P,Coal phase-out,21,2022.4165660390695,2022.4165660390695,-0.0
FTT:P,Coal phase-out,26,2026.715935609831,2027.6404458714692,0.924510261638261
FTT:P,Coal phase-out,27,2026.1946957576663,2026.9652022004411,0.7705064427748312
FTT:P,Coal phase-out,28,2028.2008390068927,2029.296248011973,1.0954090050802279
FTT:P,Coal phase-out,31,2022.5742730075585,2022.5742730075585,-0.0
FTT:P,Coal phase-out,35,2022.3934488000755,2022.3934488000755,-0.0
FTT:P,Coal phase-out,36,2023.4649589624269,2023.4649589624269,-0.0
FTT:P,Coal phase-out,38,2021.5739814239325,2021.5739814239325,-0.0
FTT:P,Coal phase-out,40,2036.0885631575914,2037.847769174653,1.759206017061615
FTT:P,Coal phase-out,45,2027.8008844466372,2028.9042646812597,1.1033802346225912
FTT:P,Coal phase-out,47,2022.1639724539807,2022.1639724539807,-0.0
FTT:P,Coal phase-out,48,2030.7340182544897,2032.7276697706425,1.993651516152795
FTT:P,Coal phase-out,50,2027.0934277831632,2027.9642368078485,0.8708090246852862
FTT:P,Coal phase-out,52,2025.7198508255412,2026.2846398280756,0.5647890025343258
FTT:P,Coal phase-out,54,2026.6151246882614,2027.8077488709482,1.1926241826868136
FTT:P,Coal phase-out,58,2025.5023321007664,2025.9448258123439,0.4424937115775265
FTT:P,Coal phase-out,61,2024.6690283982068,2024.8594545394808,0.19042614127397428
FTT:P,Coal phase-out,65,2029.877956546625,2031.460188529088,1.5822319824630995
FTT:P,Coal phase-out,67,2024.3085301096348,2024.3938159025315,0.08528579289668414
FTT:P,Coal phase-out,69,2031.6972064405109,2033.0670856958168,1.369879255305932
FTT:P,Heat pump mandates,2,2022.1675751168173,2022.1675751168173,-0.0
FTT:P,Heat pump mandates,7,2030.2764436735783,2030.2783994355568,0.0019557619784791314
FTT:P,Heat pump mandates,9,2022.8310723229715,2022.8310723229715,-0.0
FTT:P,Heat pump mandates,13,2027.9778793847524,2027.9784835524074,0.0006041676549557451
FTT:P,Heat pump mandates,16,2022.8564715538857,2022.8564715538857,-0.0
FTT:P,Heat pump mandates,17,2027.395351172028,2027.3961058160944,0.0007546440663190879
FTT:P,Heat pump mandates,19,2029.7789341830523,2029.7812399240752,0.0023057410228375375
FTT:P,Heat pump mandates,20,2033.1016721222345,2033.1054625680038,0.003790445769254802
FTT:P,Heat pump mandates,21,2022.4165660390695,2022.4165660390695,-0.0
FTT:P,Heat pump mandates,26,2027.6396926638572,2027.6404458714692,0.0007532076119787234
FTT:P,Heat pump mandates,27,2026.9648479952352,2026.9652022004411,0.0003542052058946865
FTT:P,Heat pump mandates,28,2029.2945253595494,2029.296248011973,0.0017226524234956742
FTT:P,Heat pump mandates,31,2022.5742730075585,2022.5742730075585,-0.0
FTT:P,Heat pump mandates,35,2022.3934488000755,2022.3934488000755,-0.0
FTT:P,Heat pump mandates,36,2023.4649589624269,2023.4649589624269,-0.0
FTT:P,Heat pump mandates,38,2021.5739814239325,2021.5739814239325,-0.0
FTT:P,Heat pump mandates,40,2037.8373758684982,2037.847769174653,0.010393306154810489
FTT:P,Heat pump mandates,45,2028.902668723309,2028.9042646812597,0.0015959579507125454
FTT:P,Heat pump mandates,47,2022.1639724539807,2022.1639724539807,-0.0
FTT:P,Heat pump mandates,48,2032.7241501670094,2032.7276697706425,0.003519603633094448
FTT:P,Heat pump mandates,50,2027.9631380190497,2027.9642368078485,0.0010987887987994327
FTT:P,Heat pump mandates,52,2026.284248387213,2026.2846398280756,0.0003914408625860233
FTT:P,Heat pump mandates,54,2027.8068032549224,2027.8077488709482,0.000945616025774143
FTT:P,Heat pump mandates,58,2025.944578789391,2025.9448258123439,0.0002470229528626078
FTT:P,Heat pump mandates,61,2024.8593979067655,2024.8594545394808,5.663271531375358e-05
FTT:P,Heat pump mandates,65,2031.457629291262,2031.460188529088,0.002559237826062599
FTT:P,Heat pump mandates,67,2024.3937884811698,2024.3938159025315,2.7421361664892174e-05
FTT:P,Heat pump mandates,69,2033.0638927590567,2033.0670856958168,0.003192936760115117
FTT:P,EV mandates,2,2022.1675751168173,2022.1675751168173,-0.0
FTT:P,EV mandates,7,2030.116340059056,2030.2783994355568,0.1620593765007925
FTT:P,EV mandates,9,2022.8310723229715,2022.8310723229715,-0.0
FTT:P,EV mandates,13,2027.9440589189073,2027.9784835524074,0.03442463350006619
