Region,Sector,Clean technology,Clean tech name,Clean price (2030),Fossil technology,Fossil tech name,Fossil price (2030),Cross-over,Cross-over carbon tax,Cross-over subsidies,Cross-over mandates
India,Power,18,19 Solar PV,30.86412368856816,2,3 Coal,57.22269477745722,-inf,-inf,-inf,-inf
China,Power,18,19 Solar PV,21.843545573115662,2,3 Coal,55.66834296219402,-inf,-inf,-inf,-inf
Brazil,Power,18,19 Solar PV,29.404630609365057,6,7 CCGT,71.91575078347374,-inf,-inf,-inf,-inf
United States,Power,16,17 Onshore,36.49465859966755,6,7 CCGT,25.634488017667703,-inf,-inf,-inf,-inf
Canada,Power,16,17 Onshore,25.4805626754143,6,7 CCGT,25.067641920322174,-inf,-inf,-inf,-inf
Germany,Power,18,19 Solar PV,42.617749110613815,6,7 CCGT,69.89972488913939,-inf,-inf,-inf,-inf
UK,Power,18,19 Solar PV,45.776438850636545,6,7 CCGT,54.58744315980916,2022.1179320837023,2022.131439296205,2022.1179320837023,2022.1179320837023
South Africa,Power,18,19 Solar PV,42.73431814346693,2,3 Coal,32.315469020615325,-inf,-inf,-inf,-inf
Japan,Power,18,19 Solar PV,72.16623502681252,6,7 CCGT,81.79491380233561,2022.8014382405709,2022.7963082325048,2022.8014382405709,2022.8014382405709
India,Heat,11,12 Heatpump AirAir,0.048199754931204146,2,3 Gas,0.07827826158791718,-inf,-inf,-inf,-inf
China,Heat,11,12 Heatpump AirAir,0.021080457034663744,2,3 Gas,0.0323278616056379,-inf,-inf,-inf,-inf
Brazil,Heat,11,12 Heatpump AirAir,0.06167953377588368,2,3 Gas,0.18147347483633638,2021.0,2021.0,2021.0,2021.0
United States,Heat,11,12 Heatpump AirAir,0.043708772798228844,2,3 Gas,0.06608591371437136,-inf,-inf,-inf,-inf
Canada,Heat,11,12 Heatpump AirAir,0.04019696795861371,3,4 Gas condensing,0.04326023895843318,2025.215171630176,2025.144458959951,2025.1403803242583,2025.1280931582262
Germany,Heat,10,11 Heatpump AirWater,0.1565589820560215,3,4 Gas condensing,0.12230277614709639,inf,2048.582730264447,2048.8595834855573,2041.9583208212166
UK,Heat,10,11 Heatpump AirWater,0.1389450297189609,3,4 Gas condensing,0.08707470740278808,inf,inf,inf,inf
South Africa,Heat,11,12 Heatpump AirAir,0.048561549212372004,3,4 Gas condensing,0.0656903853893256,2021.0,2021.0,2021.0,2021.0
Japan,Heat,11,12 Heatpump AirAir,0.06365300098841822,2,3 Gas,0.1613283842075556,-inf,-inf,-inf,-inf
India,Cars,19,20 Electric Mid,0.12401181622462908,7,8 Diesel Mid,0.15496601835303891,-inf,-inf,-inf,-inf
China,Cars,19,20 Electric Mid,0.40488621558983817,1,2 Petrol Mid,0.4387807247158178,2026.7220457748583,2026.6688568403586,2026.503294489961,2026.1733661941048
Brazil,Cars,19,20 Electric Mid,0.43196206945893656,1,2 Petrol Mid,0.2560911410731607,inf,inf,inf,inf
United States,Cars,20,21 Electric Lux,1.0946291567160853,2,3 Petrol Lux,1.0382977299788845,2032.1333466582814,2031.9904194684752,2031.5231891720734,2029.9190210031877
Canada,Cars,20,21 Electric Lux,1.2184889933164478,2,3 Petrol Lux,0.6665920285486014,inf,inf,inf,inf
Germany,Cars,20,21 Electric Lux,1.290434141019114,8,9 Diesel Lux,0.950505211128229,inf,2049.709638200187,2047.6978488593163,2042.2255954734258
UK,Cars,19,20 Electric Mid,0.726802283750062,7,8 Diesel Mid,0.9415867320156531,-inf,-inf,-inf,-inf
South Africa,Cars,20,21 Electric Lux,1.0753268175279462,2,3 Petrol Lux,1.530415185632972,-inf,-inf,-inf,-inf
Japan,Cars,19,20 Electric Mid,0.9258396075759131,1,2 Petrol Mid,0.9266459875538812,2029.9614440365876,2029.84988180216,2029.4667560389446,2028.2403883926168
India,Large trucks,33,BEV HDT,0.02190814703216914,13,Diesel HDT,0.027189814430917007,2023.1979853935618,2023.1946040290989,2023.1945129274345,2023.1979853935618
China,Large trucks,33,BEV HDT,0.01336699835745237,13,Diesel HDT,0.02629410117851353,-inf,-inf,-inf,-inf
Brazil,Large trucks,33,BEV HDT,0.03064369396119239,13,Diesel HDT,0.0304622346877658,2030.280354038941,2030.0965158885951,2030.1179242394676,2027.5150810668292
United States,Large trucks,33,BEV HDT,0.03879653709391238,13,Diesel HDT,0.03747439962437957,2031.4755793803045,2031.2912581977048,2031.310579499307,2028.1253177921192
Canada,Large trucks,33,BEV HDT,0.044608554166112445,13,Diesel HDT,0.03563802134761678,2039.676733376121,2039.2826995455446,2039.3218528816242,2032.5888109788825
Germany,Large trucks,33,BEV HDT,0.05037936633839712,13,Diesel HDT,0.05038378530727986,2029.9967339659925,2029.8555566572131,2029.873015232064,2027.4550912036586
UK,Large trucks,33,BEV HDT,0.067244084439566,13,Diesel HDT,0.06302711952694395,2032.7541067367656,2032.561423404339,2032.5803678694467,2028.8734913015346
South Africa,Large trucks,33,BEV HDT,0.042829784139577165,13,Diesel HDT,0.038792188303913,2033.9622562706718,2033.7138121218773,2033.7366946698899,2029.231178413766
Japan,Large trucks,33,BEV HDT,0.04219813092017831,13,Diesel HDT,0.036650664042425625,2035.8164515636527,2035.5614542865726,2035.5857292759442,2030.6234936118728
