,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Nuclear,0.25840965749044803,0.2697284749492879,0.2570513322451801,0.21494263366507294,0.19118402499415624,0.206478561778369,0.1966753133537585,0.2248912936169929,0.19885737146727117,0.19633052749809995,0.19899435207724528,0.1963045845775231,0.19498589884391176,0.1930445275311048,0.19041299149366606,0.1870386235953529,0.1828393806179361,0.17787318910541028,0.17217582928057143,0.16581192816562465,0.1588782421823216,0.1514999757628336,0.1438080985386626,0.13594250228271665,0.1280488035614811,0.1202566472456581,0.11267305917729031,0.10539661956078197,0.09849113495024826,0.0919966833690714,0.08593422825986907,0.08031034198901915,0.0751164740514973,0.07033632915371239,0.06594865615044573,0.06192793804907359,0.058246967437982404,0.05487858500304425,0.05179610242692921,0.04897394222021113,0.04638801432903308
2 Oil,0.01760836386234302,0.005988885136903796,0.009472334613714323,0.010330846065856315,0.045602812803117496,0.009067867396024882,0.0682487120970515,0.018277169574497307,0.07131610659920765,0.06862486248408556,0.06770499095156556,0.06505946563632803,0.06274819248109315,0.06041341004427743,0.05805783193543898,0.0556879612975808,0.053299878548400285,0.0509260856590243,0.04858528551614592,0.04629600598604627,0.04407550396372922,0.04194021444872676,0.039899633171941194,0.03796051504466037,0.03612974045780881,0.034531611989833684,0.03321023367097163,0.03209469044719653,0.03113330931091722,0.030289407015259076,0.029534997813388572,0.02884959737133054,0.028219137387293525,0.02763412039197648,0.02708775581835645,0.026574604497530754,0.026091138122432814,0.025634140832897834,0.025201616954465912,0.024791515452699395,0.024403202623139986
3 Coal,0.41589843103917634,0.4942869519533758,0.40443761760982877,0.3701360636634213,0.34265025845981884,0.3788550866519695,0.3214107016488949,0.3759725948331451,0.29867447605508357,0.29281236886274103,0.29395688276731524,0.2871184458560539,0.2783771012206559,0.26822573758760737,0.25676126192616716,0.24415191268026176,0.23061393612219705,0.21658192969007087,0.20249283611796617,0.18882945186698807,0.1760535835795608,0.16455297862421053,0.15452776097115467,0.14599140342666686,0.1388134082203728,0.13276850458358008,0.12762469997635204,0.12315529527332064,0.11919457520649704,0.11562314957936666,0.11234422755764306,0.10929098273374563,0.10642068891596326,0.10370481025653061,0.10112384747460496,0.09866138807437054,0.09630761082919938,0.09405315325883354,0.09189240727579609,0.08981933204800134,0.08783274648063874
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,0.0005951986098632958,0.0009567674539962668,0.001752895640841214,0.0018209520745239981,0.0018219333531063803,0.0018707202492491326,0.001870663424076768,0.0019070355617510078,0.0019425480786286395,0.0019768113987236138,0.0020094077091040866,0.002039340257713356,0.002066846416758282,0.0020916907839136495,0.002113673856044759,0.0021326875056404578,0.002148744200666421,0.0021617506559449737,0.0021717241476953983,0.002178929952521504,0.0021836072917094,0.002185993513461249,0.0021866947840154067,0.0021860564346588775,0.002184326271554018,0.0021816969071958,0.002178366864557049,0.0021744197849756374,0.002169931293245359,0.0021649818813820024,0.0021596255718738105,0.0021538971768226157,0.002147851338290523,0.0021415315920163196,0.0021349714279569787,0.0021281910372086417
5 IGCC,0.0,0.0,0.0,0.0,0.0,0.0027214805124389087,0.007392518180698427,0.006887219623255512,0.01106696673960285,0.01093146290575121,0.01107352168571999,0.010920719280457477,0.010942465627025298,0.01095097265199963,0.010944892148156776,0.01092289486178761,0.010880955267435757,0.01082209440841361,0.01074685799143677,0.010656186298333951,0.010551460448368254,0.010434792732327423,0.010307267726097224,0.010169961985075231,0.010025068764228477,0.00987419323906903,0.009718478668967795,0.009560549717102927,0.009401827289064489,0.009243326985897075,0.009085844668272069,0.008930152976200062,0.008776550691317124,0.008625305806089504,0.00847669886852873,0.008330885297281182,0.00818793727816851,0.00804799502362383,0.007911139428677504,0.007777407203217241,0.007646787170040876
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,6.08708723677941e-06,0.00010214936287984018,3.386973267364765e-05,0.00019545925345309856,0.00019344010146901753,0.00019641948625334722,0.00019421379079801878,0.00019588125241867116,0.00019748445591700738,0.0001990063065786041,0.00020042774065995878,0.00020167560888811756,0.00020280170991957876,0.0002038102442787158,0.0002047080866688347,0.00020550561901961235,0.00020622118812359082,0.0002068516080899676,0.00020739259814062417,0.0002078635908161759,0.00020827100119685896,0.00020860746245883447,0.0002089002727684082,0.00020915941683913409,0.00020939117397872215,0.0002096010825940874,0.00020979694135593124,0.00020997831171736312,0.00021014571494044706,0.00021030142310231477,0.00021044603577184052,0.00021057914939886398,0.00021070273434859601,0.00021081823027704644,0.00021092641914690892,0.00021102737691540215
7 CCGT,0.0584641510683231,0.06024432451795118,0.06730756244325245,0.08362120866364325,0.15967055729724328,0.06664583952607898,0.11781914126170014,0.07227623549491675,0.1037464587546402,0.10058205747254527,0.09978905190432785,0.09633519701256307,0.09196643546607235,0.08739477644095978,0.08266968338718615,0.07784956100299753,0.07298193158359685,0.06816268863812507,0.06346222130188427,0.05894203899525994,0.054652234432223536,0.05063150802116729,0.04689743574014495,0.04345329504089389,0.04047254066447394,0.03802564903886744,0.03599113364458616,0.03426182099536821,0.03276076964278812,0.03143353202490049,0.030239056431270842,0.029147370874552186,0.028138545973801436,0.02719894202399376,0.026318900038576922,0.02549054458658703,0.02470878314944883,0.02396889206342687,0.0232677426559907,0.022602223430794714,0.02197104194539649
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,9.855775207022653e-05,0.001054836937716121,0.0003127739174682754,0.0017024846015535329,0.0017011152305085174,0.0017422454875521064,0.0017375517339191582,0.0017649106182190866,0.001790764032026907,0.001814844447040481,0.0018368777923213706,0.0018561144633359268,0.0018729556771289234,0.001887406398443429,0.0018995189986808865,0.0019094063761970056,0.0019172664314749226,0.001923048416935341,0.0019266231715653421,0.0019282455602160208,0.001928014371296732,0.0019260361598207344,0.0019228265035666687,0.0019186596290516312,0.0019137260343346195,0.0019081663950971136,0.001902134322696038,0.0018956887002675243,0.0018888832741813385,0.001881777604580271,0.0018744097490311301,0.0018668020214323423,0.0018589956086454565,0.001851022345782088,0.001842906192883614,0.0018346604856877564
9 Solid Biomass,0.00040140081494788484,0.0007456953502266156,0.0012902741650964405,0.002243249271820023,0.002612335811994727,0.0031898736927384952,0.0031745854018552975,0.0039687869595910535,0.02586199581575633,0.025683852541545555,0.026031255930930672,0.025759523548475972,0.025772777075581947,0.02574790108250877,0.02567625753152708,0.025549869584992807,0.02535474660203089,0.025091816978534652,0.024759900182775386,0.024359436436782036,0.023893901115136444,0.02336960079179515,0.022794838791540654,0.022181441563409444,0.021544824122554474,0.02089859664062163,0.020253501585544346,0.01962148946386506,0.019008828348701205,0.01842073132357388,0.017884894635389576,0.017399542227515368,0.01695446566539178,0.016542690815385938,0.016159296669653402,0.015800301122490458,0.015463150774865797,0.015145486451469821,0.014845806932419145,0.014562597969738177,0.014295282015234344
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,4.046769049476124e-06,8.080715149665187e-06,1.5398880348285824e-05,0.00013546006747864594,0.00013524547312742128,0.00013864925981754676,0.00013841906407551023,0.00014114929429745145,0.0001438937767961685,0.00014663688539388723,0.00014936063546630996,0.00015200300549964208,0.0001545930895810617,0.00015712183560521892,0.00015958038953141425,0.00016196385097776056,0.0001642708514184201,0.00016648690916511256,0.00016860230384524482,0.00017062624070976863,0.00017256329457989827,0.00017441612352129358,0.00017622019132191232,0.00017799236973365672,0.00017974468742721096,0.0001814865233388116,0.00018322994663175023,0.0001849794303947221,0.00018673969333407895,0.00018851638756962012,0.00019031376991997126,0.00019213534312650108,0.00019398594036604833,0.00019587057830699586,0.00019779319810074724,0.0001997572995867996
