,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.15601334501270314,0.15210067972149738,0.14386390153205952,0.11829991296255692,0.13165960856294978,0.12337844036817079,0.11727138765372111,0.11527628782533948,0.11460507543294471,0.09351286592949479,0.0884946659557877,0.08140306029960159,0.07488291352256239,0.06890128687845513,0.06345981502681677,0.058552742165831055,0.05415845780386435,0.05024134514674283,0.04675343110276858,0.04364418015870789,0.04086566642905804,0.038431190267825564,0.036354999142421816,0.03457548296648671,0.03304257944129239,0.031712896418803364,0.03055017260904027,0.029526517440999288,0.028617588214813423,0.027806884874908563,0.027078785406987056,0.026416160544665005,0.025814788168370018,0.02526640944470954,0.02476428272244335,0.02430247004951929,0.02386921864997435,0.02346637803095745,0.02309104121111039,0.02274024710338272,0.02241109610722537
3 Coal,0.39582320448815567,0.4006792623472149,0.36936092600445597,0.30372583255578073,0.3200450614691692,0.27226766366180705,0.2230014437774581,0.21630672282404706,0.20307697750755016,0.1698123254596687,0.1639715893794598,0.1535989538590176,0.14065484489152522,0.1280078003912049,0.11633750355394212,0.10604398019106565,0.09731913594260841,0.08991721315579147,0.08354111523679228,0.07796478867256741,0.0730638880572599,0.06875146969317392,0.06494979910998401,0.0615827071267551,0.05858811198621309,0.0559097949774238,0.05349991436616326,0.05131999938078701,0.04933547371984297,0.04752265713460267,0.04585833167755691,0.04431492706603466,0.042886771756039756,0.041559959602865085,0.04032366691930219,0.03916733526417294,0.03807093524902424,0.037037510482548934,0.03606169224601463,0.035138146708592645,0.03426162112820049
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,0.00043553704991126577,0.000695053980920815,0.0010127095275992805,0.001249711172149711,0.0010526359648025923,0.0010251099995927842,0.0009685850589772805,0.0009794026641115029,0.0009892291362220698,0.0009980691555490021,0.0010060803286312241,0.0010135264533898474,0.0010204594789011163,0.0010267184643495786,0.0010321488364428615,0.0010368007855023238,0.0010407381178292614,0.0010439979946995043,0.0010466385821560934,0.0010487238769094573,0.0010503209552223142,0.0010514965009409806,0.0010523075173943844,0.001052804054632789,0.001053028581772887,0.0010530178831683716,0.001052818481021261,0.0010524445471085098,0.0010519178075650774,0.0010512566137281312,0.0010504768811524703,0.0010496074297832985,0.0010486473935882722,0.001047604758400987,0.0010464869891753542,0.0010453011515413374
5 IGCC,0.0,0.0,0.0,0.0,0.0,0.0014177305730249418,0.002299937304730325,0.0033276429751686984,0.004115763479921296,0.003441087383953102,0.003326139385291408,0.003119731015678589,0.003120742703822606,0.0031192746430664183,0.003115519977896135,0.0031097910908783805,0.003102465168557984,0.0030937625548356933,0.0030837803913264595,0.0030725908314584447,0.003060330593869957,0.0030471136736938582,0.0030330331807282476,0.0030182144808640816,0.0030027724588629007,0.002986812660457039,0.0029704338828627683,0.0029537177531593285,0.0029367340615509318,0.0029195418792514255,0.0029021922897097953,0.0028847421621962395,0.00286721461305855,0.0028496399612995852,0.002832045478597023,0.002814453088801571,0.0027968945635378044,0.0027793744646422407,0.0027619030660233686,0.00274449186770035,0.0027271504949542905
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,7.669635001835811e-06,1.7060464172894995e-05,2.7445615956532272e-05,3.836881866518787e-05,3.1999279755924735e-05,3.086587692721406e-05,2.889457697981561e-05,2.896300512965207e-05,2.9026716504177644e-05,2.9085990237584358e-05,2.914135791715553e-05,2.9193468631026227e-05,2.92427284237824e-05,2.9289374060328e-05,2.9333559341521195e-05,2.9375534029509516e-05,2.9415209551492886e-05,2.945249993339512e-05,2.948769488637547e-05,2.952106102374213e-05,2.955284717807742e-05,2.958328077947307e-05,2.9612542801791393e-05,2.964079326786745e-05,2.9668157777591578e-05,2.9694749541568014e-05,2.9720728165369856e-05,2.9746122095153e-05,2.9770996835248665e-05,2.9795409611724888e-05,2.9819409194300338e-05,2.984311087442221e-05,2.9866491406293168e-05,2.988957098968362e-05,2.991237052337177e-05,2.9934910109555324e-05
7 CCGT,0.14623433610218373,0.20809274140673595,0.18355545019829217,0.18589409382363206,0.14747169552230874,0.16486265638466135,0.23285653450006893,0.26361263009588015,0.22968520479886648,0.19238062912185783,0.18627782644804564,0.17498673161893197,0.15432848774470226,0.13531586355100925,0.11854875618573339,0.10434205192533963,0.09274154404171439,0.08324838438886031,0.07534000658799057,0.06862947739626178,0.06289872184241242,0.05798540807214329,0.053755162561264766,0.05009034626231465,0.04689748295380348,0.044096108099406686,0.04161982751512617,0.039416871207083606,0.03744231286271512,0.03566468387951893,0.03405478423498612,0.032580942235971785,0.031233869280234666,0.02999689121184454,0.02885691919546364,0.027801744691734447,0.026811057054455127,0.025886109200496655,0.025020642860353,0.024208593923327158,0.023444208095938366
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,0.0002995544520331373,0.0009245014955390003,0.001542547684335167,0.0017417757186130932,0.001462437945272038,0.0014190444082884026,0.0013357807792778592,0.001341575307220849,0.00134602508052986,0.0013492207088458394,0.0013512965812198978,0.0013524169955909922,0.0013527018724240282,0.0013522139387648008,0.0013509894866389994,0.0013491293073337842,0.0013466828797180257,0.0013436932322505523,0.0013402563235115695,0.001336453698977553,0.0013323563345972618,0.0013280237419764488,0.0013235031768733297,0.001318833877262116,0.001314044592956225,0.0013091606077157234,0.0013042082707572353,0.0012991976104544706,0.0012941422776764082,0.0012890532135240776,0.0012839401205949853,0.0012788185307937017,0.001273688577095946,0.0012685552762820124,0.0012634233219556495,0.0012582971859435635
9 Solid Biomass,0.0017598763294089752,0.0015471467689627404,0.0007559205821218012,0.0012621445496911713,0.0016072049874400948,0.0017450537316527862,0.0030456164432898945,0.0001429937318272211,0.004205158107511352,0.0035805636603520644,0.0035242138336670156,0.0033643717029313864,0.0034410308194746803,0.0035117335968669256,0.003575216056127317,0.003631495374990208,0.00368122509543751,0.0037253757726007975,0.003764641199396634,0.0037995116984971132,0.0038304723674264483,0.003857726869065757,0.003881460894394116,0.0039020042309570076,0.003919700071162953,0.003934887912812882,0.003947890939123633,0.003958981667792284,0.003968397492297019,0.003976339950545546,0.003982986150139712,0.003988594224515209,0.003993214430424022,0.0039969589685786636,0.003999924275464997,0.004002196928040794,0.004003965072599838,0.00400519797763588,0.0040059383874795065,0.0040062267080500725,0.004006102064411324
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,2.2733545444783953e-06,8.030921101907449e-06,5.473967530112213e-07,2.2597896401542093e-05,1.901056690283551e-05,1.8492402382298863e-05,1.745310938251475e-05,1.7756375221199893e-05,1.805913823927841e-05,1.8361213379221616e-05,1.8664350110184845e-05,1.8971028744053567e-05,1.928219999427707e-05,1.959786485354452e-05,1.991760089759512e-05,2.0241759897909586e-05,2.056863897115609e-05,2.089668701405416e-05,2.122570926486277e-05,2.155596205419735e-05,2.1887927072497826e-05,2.222218544164126e-05,2.2559329499570253e-05,2.2899944797914243e-05,2.324466862635965e-05,2.3594076065274157e-05,2.3949406646589778e-05,2.4310927905487255e-05,2.4679220132765683e-05,2.5054807645735596e-05,2.5438279243330664e-05,2.583100707441534e-05,2.6232988210897778e-05,2.6644839212871153e-05,2.7067054380483173e-05,2.7500222811873035e-05
