,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.14522113986910815,-0.03596241520617613,-0.025190254389541616,0.0,-0.005960029854292864,-0.0024035524176869577,-0.0033349011901230435,-0.014067100266700713,-0.00804581684097197,-0.0007900834382016074,-0.0014507633573956798,-0.00014356964552893724,-0.00012603687411608805,-0.00014096888834178034,-0.00015611014406687052,-0.0001705630202685996,-0.0001844869884047983,-0.0001971967591446206,-0.00020924275240203835,-0.00022144504363556979,-0.00023459082839463567,-0.00025105576795164154,-0.00026506934457757973,-0.0002756062975176419,-0.0002825015479095364,-0.0002855991700866107,-0.00028630595991353813,-0.00028363889071511376,-0.0002790013587775711,-0.0002722270170665269,-0.00026427246426184194,-0.0002554895354124915,-0.00024644473643433383,-0.00023717725863645414,-0.00022807922903732465,-0.00021910425821152976,-0.00021038100600351967,-0.00020194862374006695,-0.00019383403825736292,-0.00018603719268958305,-0.00017862118882586153
3 Coal,0.1568980919931286,0.0145395253722026,-0.003291463928650956,0.0,0.0063553925363252495,0.02806479427973782,0.015984872325292804,-0.0025093492591776456,0.049673045310252045,-0.005709728229799316,-0.01804942592505626,0.002944873956473304,-0.002296961709036982,-0.0043241870086003775,-0.006630868146548785,-0.008952427547316094,-0.011142846406581391,-0.013050893321506274,-0.014549076807026773,-0.01556037105396188,-0.016057965318917622,-0.016047528638782838,-0.015259015063222192,-0.013828264065974122,-0.012058107689267406,-0.01024209029738056,-0.008605482514895832,-0.007200051397684523,-0.006042236073813156,-0.005113291706389411,-0.004366219566821455,-0.0037630726655377006,-0.0032718886226015542,-0.002868445961724267,-0.0025391915429431103,-0.002265005165515928,-0.00203411139072502,-0.001837199770559468,-0.0016675929128183442,-0.001520840387542903,-0.0013929158118269266
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,0.000296727967208143,0.0004453167022145115,0.00039509289279465395,0.0007603859269955592,-6.668118051090057e-05,-0.00014320284912587686,-1.893298978204597e-06,1.0214074046208544e-05,9.650901312831597e-06,9.148977413125318e-06,8.751259769233018e-06,8.423788807066348e-06,8.17443964607075e-06,7.916092208504893e-06,7.475300823071157e-06,6.672042441184132e-06,5.091958262229152e-06,3.399718467280311e-06,1.720898536424929e-06,1.1920457222008851e-07,-1.29135428969941e-06,-2.61240223990559e-06,-3.6268093212413807e-06,-4.458527617009914e-06,-5.04874902056379e-06,-5.475788707457211e-06,-5.777839031558853e-06,-6.002824816629887e-06,-6.153282252688947e-06,-6.268800912016424e-06,-6.347802919234001e-06,-6.3977224247014405e-06,-6.425686380927146e-06,-6.436705014783604e-06,-6.430527755282812e-06,-6.421385320668329e-06
5 IGCC,0.0,0.0,0.0,0.0,0.0,0.0011799915482705785,0.0017305007048055905,0.0014413198618521542,0.002640744693455095,-0.00023696664250155187,-0.0004817990950905116,-2.1418625423708093e-05,6.629259856855835e-06,3.070775008654457e-06,-4.356333394199899e-07,-3.7367823657761742e-06,-6.902534577072315e-06,-9.856741751040725e-06,-1.282141128838149e-05,-1.626243093663226e-05,-2.063833516255907e-05,-2.7085833833236442e-05,-3.344231890180845e-05,-3.92951077012307e-05,-4.4466904921511806e-05,-4.86712197728216e-05,-5.226565370604515e-05,-5.4699806712711456e-05,-5.640552616968577e-05,-5.7266794332084744e-05,-5.7556473577277494e-05,-5.741863138943905e-05,-5.7014079843206895e-05,-5.637096631231145e-05,-5.5614712054166335e-05,-5.475218597971506e-05,-5.381286862303318e-05,-5.2822686650097136e-05,-5.1800635874632746e-05,-5.075023143149334e-05,-4.971172360841453e-05
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,2.8521282498495695e-06,2.4680356268909344e-06,6.1133677473707054e-06,2.934991032228734e-05,-1.4538020053236783e-06,-3.100206334021938e-06,-5.8935821651018305e-08,2.3101130998894764e-07,2.2513514868385522e-07,2.2168243813997808e-07,2.2148771802123262e-07,2.238411666530225e-07,2.288996582672142e-07,2.345805481980613e-07,2.36914931845844e-07,2.3172843903193163e-07,2.09629978119622e-07,1.847975951535012e-07,1.5944034369401986e-07,1.345274699194972e-07,1.1238034897624724e-07,9.083515530871364e-08,7.450918602950804e-08,6.07339932531833e-08,5.105352544554028e-08,4.400692438568125e-08,3.897921028508391e-08,3.507944972583289e-08,3.2380527123810894e-08,3.007846859745571e-08,2.829173048580439e-08,2.691221531759549e-08,2.5825475322767844e-08,2.4952163137850357e-08,2.4327987148249305e-08,2.364482401612586e-08
7 CCGT,0.4901042441123534,-0.05258257744390238,0.0009958957830725201,0.0,-0.007982188416933378,-0.010617496610710708,-0.049823961402355066,-0.03494793197003271,-0.03349018877280968,-0.0144690429314428,-0.02907454188283476,-0.0025582905146199764,-0.016001837270881725,-0.01827672769343991,-0.020309793676030974,-0.021839585213505097,-0.022758600590764982,-0.02299548711699176,-0.022555058092950997,-0.021505081258963665,-0.0199557257560172,-0.01805963336258004,-0.015931767874020106,-0.013745001922401648,-0.011653950846067282,-0.00971036463609655,-0.00786977041613112,-0.006325129252089855,-0.005114026075906435,-0.0041825792157004285,-0.0034630423891275977,-0.0029030924257952007,-0.0024620459645828888,-0.002110676752464645,-0.001830774614687683,-0.0016030180192341953,-0.0014152257903463604,-0.001258264857581251,-0.001125561003262606,-0.001012658556162966,-0.0009157450580289973
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,0.0008402316501231387,0.0011777269872785933,0.000979990534632858,0.0008370738227672838,-0.0001282582279381649,-0.00030193317546745686,9.060377023455829e-06,2.7847641391417523e-05,2.4136067234305485e-05,2.0416086238461348e-05,1.6780368310079577e-05,1.3178630925293755e-05,9.669693233957562e-06,6.100026855323723e-06,2.155279176738363e-06,-2.457878719670792e-06,-8.50024828149415e-06,-1.4373988108427362e-05,-1.976617189611155e-05,-2.4540603476216893e-05,-2.8484474604048397e-05,-3.18499459396244e-05,-3.4331482113330886e-05,-3.6329373674216445e-05,-3.756549647138986e-05,-3.827059735303029e-05,-3.8578112430387966e-05,-3.862610774040985e-05,-3.8449772824969246e-05,-3.8150035183362116e-05,-3.7740806550518296e-05,-3.724957656845969e-05,-3.669989946007094e-05,-3.610903525018069e-05,-3.548191698389677e-05,-3.485027610799704e-05
9 Solid Biomass,0.01012377043256367,0.0017154023836244512,9.832568535975833e-05,0.0,0.0001286076334411461,-0.000673162284995369,0.019334297536913476,-0.0061025334046169895,-0.0033711747596935834,-0.0020880242828578213,-0.0027772056028180572,-0.0007878587774345115,-0.0007793249632911808,-0.0007412582910358359,-0.0007047325616640343,-0.0006689241518364128,-0.0006341638378702733,-0.0006003238644497165,-0.000568219981466337,-0.0005392861083653687,-0.0005146598389495702,-0.0004971334330138594,-0.0004811454626468172,-0.0004656952294020394,-0.00045015891568137706,-0.00043382502533070855,-0.00041763318532008625,-0.0004001732048370746,-0.0003824643276167678,-0.00036417310743518116,-0.0003459965119575973,-0.00032826896987523356,-0.00031131291648650236,-0.00029512454178162555,-0.0002798837803538838,-0.0002655315021273287,-0.0002520489684712697,-0.00023940685663706787,-0.00022756843877206473,-0.000216465174516298,-0.00020610839416060518
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,1.9552008860845727e-05,7.953868560926154e-05,2.549248815159695e-05,2.5015231416732487e-05,-4.957029710532605e-06,-1.1054013942090978e-05,8.01779662132037e-08,1.1814768551635113e-06,1.1585859506774013e-06,1.1415661165437474e-06,1.1343643453473693e-06,1.134503474290924e-06,1.1428193184330417e-06,1.1520383906034727e-06,1.1477722300024722e-06,1.1148102988855287e-06,1.0183879471640405e-06,9.117599453390302e-07,8.044164745797861e-07,7.00634552130286e-07,6.082458983269333e-07,5.174212433981635e-07,4.4600115868271683e-07,3.845233026083877e-07,3.3942595713495915e-07,3.053284108106222e-07,2.7988157738357807e-07,2.59615648749088e-07,2.4470518609717197e-07,2.3205897395312891e-07,2.2193163688857603e-07,2.137914310894665e-07,2.0713460489884834e-07,2.0156577570495243e-07,1.9718182846727942e-07,1.9276835117222483e-07
