,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.07343614577368232,-0.044984223294838754,0.0006336689716820373,0.0,0.0047961603885011365,0.006522400186955293,-0.006845001189307176,-0.009810455397221383,-0.0006039236611400812,-0.00046767000802728186,3.816545683217598e-06,-0.0002572200213203993,-0.00012969369479370364,-0.00013396551061942326,-0.0001374453250992079,-0.00013958372324603813,-0.00014071562003581915,-0.00014065592477449824,-0.0001396326601227956,-0.00013816320735485568,-0.0001363390231800491,-0.00013607434959998777,-0.000134605984951984,-0.00013290843969183778,-0.00013119500726267025,-0.00012911711896691335,-0.00012687788476156182,-0.00012438140179306736,-0.00012164142849129412,-0.00011872133817234301,-0.00011584258963362373,-0.00011295460269008985,-0.00011023380797527647,-0.00010751142522207307,-0.00010479955630232109,-0.00010212008217974286,-9.934864497143647e-05,-9.681503200126198e-05,-9.430349429480171e-05,-9.185373197256267e-05,-8.948923053438834e-05
3 Coal,0.1578623877273857,0.009395014004991598,0.040888520093369934,0.0,-0.007723510356785396,0.0034589029364097135,-0.01745851834111814,-0.032026686696665224,-0.03537570606087005,-0.0024151226445111307,0.0011656853749812957,-0.0011095316779976688,-0.003962077197199182,-0.004272810968067253,-0.004441734234893371,-0.004446065246781011,-0.004279670982076406,-0.003971416774855831,-0.0034664318643985864,-0.002689575464050041,-0.0021674455974136572,-0.0018576654062674655,-0.0017257594045537936,-0.0016647480255823563,-0.0016313977311280814,-0.0016160582347477456,-0.0016104489807299421,-0.0016023949663624346,-0.0015864094084496391,-0.0015417460584151166,-0.001455466971856778,-0.001337512947703734,-0.0012012593375146305,-0.001069718745437341,-0.0009519845550580337,-0.0008490294566807256,-0.0007635559605746571,-0.0006868758641321096,-0.0006199169842214872,-0.0005625638740805565,-0.0005133186255869282
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,0.0001991499363297117,0.00020112002210950574,8.652055289002573e-05,-3.498807083715755e-05,-1.9500803341016308e-05,3.8020944845756693e-06,-9.19349823657803e-06,1.8818675088722644e-06,1.7539421725247398e-06,1.6146480185898942e-06,1.485412541329023e-06,1.3643515889881302e-06,1.2816588449142841e-06,1.2727066187003173e-06,1.3119110035151801e-06,1.3464159982930473e-06,1.1817824005704936e-06,9.986482841277617e-07,8.066920738809564e-07,6.298140015102227e-07,4.941857971972607e-07,3.756848005014024e-07,2.602438050852522e-07,1.416660540052954e-07,2.7860889221013006e-08,-6.464769043614677e-08,-1.3108565546893994e-07,-1.8984151026592375e-07,-2.379807688288266e-07,-2.7581396295464806e-07,-3.085303830213269e-07,-3.2436502467650657e-07,-3.5067080409595386e-07,-3.7024289378611e-07,-3.8657754744672243e-07,-4.0198447057474777e-07
5 IGCC,0.0,0.0,0.0,0.0,0.0,0.0010224442475821156,0.0007538770121953877,0.0003170323497834124,-0.00012639297196190215,-7.915880118983644e-05,6.110937320966212e-06,-4.183144379400999e-05,-5.070334690525542e-06,-5.374690303614664e-06,-5.6229556626228704e-06,-5.778253910164281e-06,-5.919838018734113e-06,-6.063673657271404e-06,-6.193864863067488e-06,-6.325695789306113e-06,-6.372717195847781e-06,-6.661856555637219e-06,-6.675064530719784e-06,-6.643778651256073e-06,-6.644381373850129e-06,-6.616149235505551e-06,-6.6126340687387274e-06,-6.6176678345456885e-06,-6.635827016415697e-06,-6.698064454205722e-06,-6.8020053601517555e-06,-6.886495409858971e-06,-6.9495319491507616e-06,-6.977727609118814e-06,-6.9770993765406585e-06,-6.966650286030279e-06,-6.913670214965875e-06,-6.896588380157038e-06,-6.863378269226887e-06,-6.824590560999518e-06,-6.7866983502922525e-06
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,1.4166878166484884e-05,1.303208332045358e-05,1.2325964594730494e-05,8.578004094620101e-06,-2.4382193865292673e-06,2.1923536613169427e-07,-1.2756141570287175e-06,-2.2221376148119816e-09,-1.2159218647813915e-09,9.49721435466956e-10,5.102483203927384e-09,8.34049353261074e-09,9.792168826262707e-09,9.93826066291592e-09,8.70562693077771e-09,9.611259160298609e-09,2.6418793867981935e-09,4.419220960668517e-09,7.4119972944298464e-09,9.01050152373584e-09,1.1195480128073614e-08,1.226502873434332e-08,1.282775326386039e-08,1.273477639691863e-08,1.0855147114742687e-08,7.1733166605178695e-09,3.823682931248357e-09,1.0081222947633337e-09,-7.92321255744285e-10,-1.7609409609401438e-09,-2.517980495976731e-09,-1.9152463124225637e-09,-2.6238774655961057e-09,-2.8460354825610417e-09,-2.9311764748737932e-09,-3.093945782386943e-09
7 CCGT,0.5236545207499701,-0.07742206917227307,-0.03204777740725551,0.0,-0.031073240306328576,-0.05519796110472941,0.06817744003665072,-0.011087084702327998,-0.009286794333071557,-0.018641301312450398,0.0010941647295532042,-0.009825770057133698,-0.047244896349912024,-0.04456169047852321,-0.04039221378629371,-0.034907039791991584,-0.028629083280716172,-0.022404651762582578,-0.01691463131346474,-0.012632576595101502,-0.009798021707210697,-0.008048400541528389,-0.007180221067512954,-0.0066840698740278925,-0.0063508924367918634,-0.0061228370841471536,-0.0059559451150359155,-0.005797344929074064,-0.005625867083456873,-0.005367121992995813,-0.00497990999005668,-0.004503188381208861,-0.003984911582940898,-0.0035007936678375096,-0.0030772595257963775,-0.0027136408186626826,-0.002415167822811419,-0.002151871969199401,-0.0019249981724931906,-0.0017326938666042263,-0.0015686861497200277
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,0.0007315112744276004,0.0011180105835898236,0.00092783532324686,0.0008727430793746375,-0.0001587800510062889,9.302256398619011e-06,-8.471349028965278e-05,-2.6842682524087173e-05,-2.8146326691723747e-05,-2.9212363889003813e-05,-2.9962324605012705e-05,-3.05493979466903e-05,-3.10119812801323e-05,-3.131397184492554e-05,-3.148248306948263e-05,-3.136511761229815e-05,-3.1604375691240884e-05,-3.1276085233324525e-05,-3.084510150886668e-05,-3.0465241629138492e-05,-3.003246139960487e-05,-2.964827082312148e-05,-2.9283267406542395e-05,-2.8947188209949015e-05,-2.869636945635086e-05,-2.852349742516651e-05,-2.8312958982167936e-05,-2.805776309800249e-05,-2.7736368737363553e-05,-2.7363297716695347e-05,-2.6973924224868526e-05,-2.651535350368852e-05,-2.612292191297126e-05,-2.5709365367880977e-05,-2.5295839046000045e-05,-2.4891644788410574e-05
9 Solid Biomass,0.003107941724154301,0.0007527264836055558,0.004618089298799411,0.0,0.0009521728802753451,-0.00298754844168813,0.004395972299623,0.0029064424193608693,0.005398470470340144,-0.0012251644009634369,-0.00021216538098617344,-0.0007260636833042906,-0.0006827058195690155,-0.0006555026454661134,-0.0006279050416366644,-0.00059907898894343,-0.0005694656113094873,-0.0005393571508144103,-0.0005092734904248112,-0.0004819895014807306,-0.00045700580555273033,-0.0004385240203233932,-0.0004205268823292054,-0.0004032878949595895,-0.0003864489892477785,-0.00036937859475269855,-0.00035257145703108256,-0.00033622908967542026,-0.00032026018902950315,-0.0003045282122819421,-0.00028912560937620346,-0.00027453216133160874,-0.000261342542894831,-0.00024917479027363257,-0.00023776510641750938,-0.0002270766096131617,-0.00021676240094348036,-0.00020732475593584522,-0.00019837474668230742,-0.0001899290378754321,-0.00017883429760918307
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,9.3695891807024e-06,2.3537155309124555e-05,2.9828663550740904e-05,5.113543981756432e-05,-4.416601254315046e-06,9.483572394505645e-07,-2.03718092192098e-06,8.098603674009655e-07,8.123847123349512e-07,8.13274754623235e-07,8.187888206095446e-07,8.287871141685749e-07,8.483904212547224e-07,8.816295450823994e-07,9.160672724184871e-07,9.388909623693628e-07,9.071964289650362e-07,8.654377154720082e-07,8.143467886436416e-07,7.599240973481735e-07,7.116212133739141e-07,6.680416479158842e-07,6.299640994429222e-07,6.022659047194318e-07,5.920267442446469e-07,6.009650365469178e-07,6.193140807033283e-07,6.332904010327757e-07,6.450074676553374e-07,6.571681833794857e-07,6.701208754397085e-07,6.893447599440696e-07,7.061056489132591e-07,7.261211099526528e-07,7.48203780959189e-07,7.724078718295035e-07
