,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Nuclear,0.021722937798410585,0.0028086927234215707,-0.00037343204580415207,0.0,-0.0005808934324109949,0.00017644397729580513,-0.001694542355166851,-0.0006983198669737838,-0.0015408894391004298,-0.001152370149185079,7.341681004096462e-05,-0.00027002439159543555,8.41398049144463e-05,7.020430757037621e-05,5.5234972760618076e-05,3.919743494204368e-05,2.2264279539937343e-05,4.6287202280347745e-06,-1.3364608928119817e-05,-3.134384755666686e-05,-4.876682681414883e-05,-6.571908688403176e-05,-8.115374419089688e-05,-9.470464653465148e-05,-0.00010619837311369625,-0.00011563073370723757,-0.00012409111391787665,-0.00013130471305162345,-0.00013778563031612706,-0.00014365314083048322,-0.00014887382643403307,-0.0001534350137212294,-0.0001571593633188685,-0.0001600045322538192,-0.00016202760981040391,-0.00016341584723564978,-0.00016400214157961251,-0.00016390362114505896,-0.00016325952923499677,-0.00016210739628208688,-0.00016060712470555329
2 Oil,0.03260144396519577,-0.01605034869111019,0.0006006415249990849,0.0,5.6888165138740954e-05,-0.029975854547429973,-0.0024872518558723793,-0.01309927794892203,-0.0010707293917024087,-0.005499470899664766,-0.0009320297844198147,-0.0020255301829535804,-0.001822996293629392,-0.001778185518475306,-0.0017339955176256805,-0.0016889514631577077,-0.0016430847740836474,-0.0015946425424695834,-0.0015440516894810116,-0.0014906579606753234,-0.0014340555843695355,-0.0013755658950989902,-0.0013143481259547396,-0.0012512631655430852,-0.0011874481763694301,-0.001123924198515723,-0.001062849214149255,-0.0010032563702108352,-0.0009460408258255629,-0.0008910676355102023,-0.0008388646676049695,-0.000789333165419296,-0.0007427600386151791,-0.0006988487449606298,-0.000657794486644353,-0.0006193271191942996,-0.0005832724064612597,-0.0005495446655500828,-0.000518068701022386,-0.0004886935531688529,-0.00046086301663676374
3 Coal,0.5546009875599901,0.0009139051077451388,0.04719515171476718,0.0,0.020230009446016606,0.020086457494705168,-0.03147357978171905,-0.0067202202060459015,-0.02638628134159826,-0.03822223424464477,0.001977671910004808,-0.009418887718886215,-0.012795280791008501,-0.014896397437415276,-0.016905339643773776,-0.018791173919346482,-0.020467085168283772,-0.021873218696841668,-0.022929642333295697,-0.023567299767883743,-0.023724309328792437,-0.023352367954254327,-0.022430028763474802,-0.020974462861150428,-0.01909002420500111,-0.01695825406308621,-0.014792425830703754,-0.01277514996613216,-0.010988837575425348,-0.009459941084933726,-0.008174429122009635,-0.007097472590513104,-0.006192652123094389,-0.005428785061401611,-0.00477367693598009,-0.0041990163105005834,-0.0037130923523715637,-0.003301146167189503,-0.0029486434526025257,-0.0026463302289153473,-0.002384016078456813
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,0.0007315023651469308,0.001021526989161835,0.0009488398537897847,0.000826531135138365,-0.00028590075839187747,3.208323231194618e-06,-7.657625889021099e-05,7.53280303237517e-06,5.708269659565612e-06,3.882942684166595e-06,2.0581685190161104e-06,2.374317299462178e-07,-1.5520125202510456e-06,-3.2862615227430454e-06,-4.935241648383777e-06,-6.451522431328866e-06,-7.952853847581053e-06,-9.309168086144709e-06,-1.0527468302882776e-05,-1.1647885450218401e-05,-1.2691581120204912e-05,-1.382777154582994e-05,-1.486978210989403e-05,-1.5825025559359444e-05,-1.6671599194383567e-05,-1.7399231831349664e-05,-1.8029015435271686e-05,-1.8553669542054323e-05,-1.8980309092024583e-05,-1.9320092098137464e-05,-1.9602683765918092e-05,-1.9793462502970538e-05,-1.9906035964162294e-05,-1.9958471050518078e-05,-1.9950708298483583e-05,-1.9912661846777004e-05
5 IGCC,0.0,0.0,0.0,0.0,0.0,0.0027793782404452335,0.0033325455203815223,0.004619637913693703,0.002661162052922956,-0.001155062335588675,8.215704854146189e-05,-0.0002675401024704472,2.3091351474168603e-05,-2.464921346270743e-07,-2.3925645847380078e-05,-4.78506027604339e-05,-7.167921410826221e-05,-9.513326377652218e-05,-0.0001177548847726799,-0.000139108570531829,-0.00015867346519876646,-0.00017659760837578087,-0.0001920202529091218,-0.00020463666008005074,-0.00021444001099647086,-0.0002215171990786087,-0.00022686797376550612,-0.00023023990386384328,-0.00023210504550370305,-0.00023270485181241252,-0.00023218112652676273,-0.0002307135320915657,-0.00022833748104248049,-0.00022515952159094833,-0.00022134093215000344,-0.0002170912821253864,-0.00021232954235783814,-0.0002071927627921282,-0.0002018186167812644,-0.00019626674544438727,-0.0001906761785999845
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,1.3923000193885685e-06,1.8640593005161927e-06,1.005125543417984e-05,1.4770331476856923e-06,-3.004423427583564e-06,-5.424550228548265e-08,-8.567066562890875e-07,7.461835478554045e-08,7.195525620815307e-08,6.934982663863365e-08,6.680788868704257e-08,6.428674836221517e-08,6.210587492642083e-08,6.030877761853485e-08,5.91556142060445e-08,5.9135492759929576e-08,5.908969684191421e-08,6.016391399442741e-08,6.19452440260416e-08,6.376072861920647e-08,6.505722914533241e-08,6.383617538977551e-08,6.184104157788494e-08,5.9248864390670666e-08,5.6464290643286016e-08,5.3769281094054615e-08,5.109174482463818e-08,4.8626120745436997e-08,4.6413844024945886e-08,4.452089770114767e-08,4.283748894734989e-08,4.162019722312886e-08,4.0748482682679535e-08,4.010431069410836e-08,3.975864682503904e-08,3.9436523380360596e-08
7 CCGT,0.12716780767271826,-0.009406389759952088,-0.030533019916229517,0.0,-0.007786233756106903,0.007302714221241208,-0.0026493594776673124,-0.00041541142001230713,-0.006147661966296215,-0.009928972956095683,-0.002028047276927916,-0.003899682406908578,-0.005919887189001355,-0.005605470279034255,-0.00527283792218898,-0.004930799668930279,-0.00458565372909716,-0.004243460974403819,-0.003909276074907611,-0.003587406393567333,-0.0032805956571035425,-0.0029924131542237026,-0.002722943104436895,-0.0024722621512396972,-0.002241028601974948,-0.002029403286593609,-0.0018386903532955426,-0.0016667259119603796,-0.001512747303186266,-0.0013752678060241427,-0.0012525976113121895,-0.0011432006303085177,-0.0010453869852853903,-0.0009578235504583976,-0.0008794275496367687,-0.0008093568334892887,-0.0007461906874894932,-0.0006891452885242726,-0.0006376364295809477,-0.0005910310692819349,-0.0005488918173344251
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,0.00010298935261829184,0.00012372354203582622,0.000505046223660078,7.793975635303957e-05,-0.00011620679943055582,1.122098038849927e-06,-3.1333735544299005e-05,3.7717471498056356e-06,3.229630956185078e-06,2.7013016093021223e-06,2.1859264686435904e-06,1.6834017111714249e-06,1.205082730143265e-06,7.59184797538082e-07,3.5720585328849995e-07,1.771923428860525e-08,-3.0797878005522396e-07,-6.095848687202345e-07,-8.738755982258452e-07,-1.1294734379159281e-06,-1.3983597470534383e-06,-1.7495483209282667e-06,-2.1099971159212194e-06,-2.4639835889961326e-06,-2.7951160288034165e-06,-3.093587959101347e-06,-3.3645384307947994e-06,-3.6034357853401318e-06,-3.8117619664303215e-06,-3.99421369472186e-06,-4.167362489572663e-06,-4.3070514998406854e-06,-4.4148324753598076e-06,-4.498790156108861e-06,-4.55903580899651e-06,-4.608228259248221e-06
9 Solid Biomass,0.013127643464164482,0.001393391103910029,0.001902594833849679,0.0,0.00028621711920298956,0.0005596405341113594,0.009920120397130142,-0.00157676739622864,-0.000931090504107477,-0.0024396320402588247,-0.0002503081006017885,-0.0007766254832325473,-0.000374024107354886,-0.00037311872324695405,-0.0003734269306834813,-0.00037501017618942617,-0.0003777491594283283,-0.0003813520785825933,-0.00038556066419764487,-0.00039029307643316524,-0.0003953732346268328,-0.0004018294676248653,-0.0004089702338353138,-0.00041647884670684837,-0.00042363740405930786,-0.0004292395869959602,-0.0004331797493141651,-0.00043364226111773305,-0.00043084020449144986,-0.00042501713095648846,-0.00041663144296789564,-0.000406341293061753,-0.0003945806146359726,-0.0003818185134889483,-0.000368568223930674,-0.00035541150339243877,-0.0003420489611295017,-0.000328731672920763,-0.0003157150440644234,-0.0003031461842563903,-0.0002912011145378528
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,1.8539782939373032e-05,5.948139511792873e-05,3.332941393038853e-05,3.540625473002786e-05,-1.0255457389275844e-05,1.1000274333418934e-06,-2.1260252369411715e-06,1.948559068655725e-06,1.939544887730242e-06,1.929294981908435e-06,1.917150431314258e-06,1.903053465790943e-06,1.8880117485999698e-06,1.8727203314467108e-06,1.858340697779594e-06,1.8471196377235538e-06,1.833865603175015e-06,1.8245906648511109e-06,1.819111308446012e-06,1.8161495460493153e-06,1.8145113432166502e-06,1.8044350856333724e-06,1.7930611518349399e-06,1.778875110521966e-06,1.7628876976351132e-06,1.7462933064128013e-06,1.7291486319203665e-06,1.7131468082268186e-06,1.698981142217367e-06,1.6867679507007085e-06,1.6745091625565563e-06,1.6654763800802452e-06,1.6594901212431163e-06,1.6558764349976663e-06,1.6549215111895073e-06,1.6552059200046097e-06
11 BIGCC,0.0,0.0,0.0,0.0,0.0,7.697840453504969e-05,0.00020189166049798337,0.0005703033050310925,0.00012167872312633616,-0.0001441156690260533,1.3979550820910486e-05,-3.082477882727962e-05,2.3480466586665123e-05,2.3002902182326724e-05,2.248447934360162e-05,2.191532468369048e-05,2.1295671520692085e-05,2.0640754090331132e-05,1.9963599117599727e-05,1.9283545003855127e-05,1.863565751585635e-05,1.795543398345036e-05,1.732962194519582e-05,1.676266664717022e-05,1.624283716647511e-05,1.5757608904007e-05,1.5178502875306307e-05,1.4600403735501657e-05,1.4002444609942117e-05,1.3397138200357903e-05,1.2799650661372841e-05,1.2210374464191338e-05,1.1651181792403723e-05,1.1130460984442713e-05,1.064865815958915e-05,1.0179732518322826e-05,9.764958929335023e-06,9.400384794464207e-06,9.076011891625928e-06,8.794026131962382e-06,8.535574335796423e-06
12 BIGCC + CCS,0.0,0.0,0.0,0.0,0.0,3.848920226752484e-05,0.0001011311086159216,0.00033267692793480393,6.164615237352956e-05,-8.952788889416753e-05,7.290876240546125e-06,-2.0021862536388508e-05,1.3156902532777308e-05,1.2919490440258192e-05,1.2667327892290853e-05,1.2395459291819535e-05,1.2103233520045602e-05,1.1799770752008278e-05,1.1492095961647365e-05,1.1190795277752187e-05,1.091553445358405e-05,1.0624373836260869e-05,1.0367133428482297e-05,1.014438091504746e-05,9.945844083581812e-06,9.76185972997889e-06,9.514383367505456e-06,9.262169085575084e-06,8.994692799567513e-06,8.720286548129013e-06,8.448164279359956e-06,8.17810622790664e-06,7.922635420345298e-06,7.68643783637655e-06,7.4700053239596786e-06,7.258454260687447e-06,7.075739002243998e-06,6.9195893159408606e-06,6.784200029735527e-06,6.671294069133388e-06,6.569506855100965e-06
13 Biogas,0.0014845329596660905,5.887450164122985e-06,6.356263297740863e-05,0.0,-4.9673292008783334e-05,5.0715046940318174e-05,-6.799302598901077e-05,-0.00011725270425183391,-6.978577995023758e-05,-0.0003021618999717625,-0.00013485192311397162,-0.00012082205080442623,-0.00013739658012727903,-0.00013434643386910452,-0.0001305932088244146,-0.00012558080585542658,-0.00011654860989809964,-0.00011124348054859074,-0.00010561127338291746,-9.935084563300915e-05,-9.264195771414917e-05,-7.110369590725032e-05,-6.544860403726103e-05,-5.982010549638445e-05,-5.389593927251728e-05,-4.859904768432315e-05,-4.092410154506816e-05,-3.69204261310267e-05,-3.342423089131778e-05,-3.056253878532401e-05,-2.825028438474715e-05,-2.601047111570648e-05,-2.4108455775682935e-05,-2.2459880512579037e-05,-2.1145430122459596e-05,-1.974957390506166e-05,-1.8714066034236263e-05,-1.7706508986020414e-05,-1.6721678599905033e-05,-1.5952706648477972e-05,-1.5072084379116088e-05
14 Biogas + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Large Hydro,0.20636160572299342,0.009471787904517193,-0.030396257528453624,0.0,-0.01708291156163047,-0.009027384948715467,-0.010565850117571551,-0.0025222217295785554,-0.0005604596761233926,-0.010178271292119082,-0.001707546830575224,-0.0038013695189583335,-0.0034206665203972003,-0.0034044782980200833,-0.0033799911982081293,-0.0033461506413757364,-0.003302286355460468,-0.0032484871482857114,-0.003188266110587798,-0.003127260344432753,-0.003075915387521451,-0.0030145965276471287,-0.00295356756429882,-0.002894056742792722,-0.0028223090516097116,-0.0027290945271757003,-0.002571374524010364,-0.002402658996499399,-0.0022271420649028206,-0.002056485383165628,-0.0018975088890012468,-0.0017476348824101914,-0.0016111588162806487,-0.0014881840758836917,-0.0013715971413462216,-0.0012411559064357224,-0.0011267638618710774,-0.0010345466684324942,-0.0009588831498782216,-0.0008998465686288065,-0.0008484339652836854
17 Onshore,0.03759758925527373,0.005507854109390385,0.008088514208758273,0.0,0.000845851511907636,-0.003000128809541258,0.013822569154075377,0.004611381323958871,0.00609218683662624,0.04316194286537699,-0.003289702466802852,-0.0016769850918325335,0.005156255469514037,0.004378158474217506,0.0033955936126334463,0.002230337699533347,0.0009277015200530175,-0.00041429332855676126,-0.001728676856614722,-0.0029268845782048497,-0.0039300775307276326,-0.004679013933124906,-0.005124456796445603,-0.005302732935321339,-0.005233514883039636,-0.004978464899788787,-0.004606301906215152,-0.004194593130160351,-0.0038214825695290777,-0.003508076536059737,-0.0032562489126410077,-0.0030472064092821605,-0.0028616169116288392,-0.0026802597687014956,-0.002492699007373679,-0.002404804260228044,-0.002326588136141783,-0.0022287824619546814,-0.0021155755444774507,-0.001998159963659908,-0.0018752879708129541
18 Offshore,0.004866203866459326,0.0007128739234058684,0.001046885183231522,0.0,0.00010944282827539658,1.7537107407761265e-05,0.00216527037718917,0.0010857833770638748,0.0015689407793430341,-0.006819102069340019,-3.289702466802852e-05,-1.6769850918325196e-05,5.041430483097419e-05,5.102521630200225e-05,5.1154978501473294e-05,5.085709330611161e-05,5.0173159820254614e-05,4.9132806146912804e-05,4.7737972123978924e-05,4.611782550773902e-05,4.42511023134441e-05,4.211818133684057e-05,3.976599242612043e-05,3.7303434132370276e-05,3.4730335407862035e-05,3.216418372231633e-05,2.954425527923075e-05,2.7028403460576268e-05,2.464178642569816e-05,2.2366882083309182e-05,2.0147986318430015e-05,1.8021916602885832e-05,1.605762749651513e-05,1.4251034991388106e-05,1.2587378581638145e-05,1.0773688151525075e-05,9.031415489040148e-06,7.492029112972452e-06,6.121650799341275e-06,4.879624886508808e-06,3.7774331552848078e-06
19 Solar PV,0.00046924773512826024,0.004642346128507861,0.0024053593919042826,0.0,0.003971302971615699,0.01006059027601307,0.01818845241047995,0.012432421677516237,0.025259929375117243,0.03212289225652376,0.006153951493326537,0.022213837788368246,0.019103944465019618,0.02164393571950099,0.024272735635570974,0.026943320037324497,0.02952578639433323,0.03187353494942341,0.03384347678923566,0.035285877596075044,0.0360716219874499,0.03606565543019452,0.0352345750383215,0.03361706228340783,0.031324081551864946,0.02859055405199218,0.025658454891858695,0.022841388912618,0.020302256721648426,0.01809932865461017,0.016226587196953246,0.014626540334089388,0.013246765045687559,0.012035781099816178,0.010943804537996926,0.010028002502386446,0.009234505071380905,0.008524605127338991,0.007882287802182919,0.0073092549358230174,0.006784295099905413
