,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.0740526257669741,-0.0012524549044832523,-0.002708510372925965,0.0,-0.010041315183797472,-0.0014825690013379397,-0.005046974854514098,-0.0003301618669271991,-0.005006858595304083,0.003154089308157977,0.0003517128078010037,-0.002899671977052244,-0.0010966714634053076,-0.0010764032198643664,-0.0010574322741619888,-0.0010386895418227904,-0.001019862977710076,-0.0009990369085580188,-0.0009757331437676153,-0.0009492404366957946,-0.0009195498973509908,-0.0008857337140270247,-0.000848206476767803,-0.0008087706602463302,-0.0007690606024237448,-0.000729956118847238,-0.0006918844760200361,-0.0006550155616957265,-0.0006199588278823359,-0.0005864907185920872,-0.0005548937436349287,-0.0005248978333427419,-0.0004967847703812311,-0.00047026693609896267,-0.0004454790483990334,-0.000422145466976033,-0.0004003925503261903,-0.000380022703335094,-0.00036098328634516855,-0.0003431856965288773,-0.00032490334094269734
3 Coal,0.06636289361167358,0.035052122054855486,0.057610448279543605,0.0,-0.002072316922369588,0.029326590350411463,-0.0412703439749456,0.019931068782430256,-0.030525864321217344,0.01251872258582637,0.0029481128671294543,-0.008615782685552728,-0.00454378466560193,-0.005139417729659673,-0.005649158873978696,-0.00606126025278729,-0.006327633573730812,-0.006452424170204821,-0.006425034111255612,-0.006278996027756223,-0.00602448746300796,-0.005643492664126781,-0.0051807183439462196,-0.004693617926066693,-0.004154252950964846,-0.0035841148528036465,-0.0031079108533248467,-0.0027120166366433884,-0.0023822456533669836,-0.0021069888829194985,-0.0018716042014531864,-0.0016763216684163584,-0.0015062709567991613,-0.0013605126141518938,-0.0012345035210669653,-0.0011239102191834965,-0.0010245555211528465,-0.0009398917069852707,-0.0008651306690733475,-0.0007985133625185332,-0.0007398115708988316
4 Coal + CCS,0.0,0.0,0.0,0.0,0.0,0.00017736478532521938,0.00011636175251678504,0.0002752204394910808,3.1237134478157166e-05,7.964623276360261e-05,2.471491128180252e-05,-4.602360156404745e-05,1.517902908648543e-05,1.4848576122634982e-05,1.4378060162302335e-05,1.374373877263582e-05,1.2949021146742832e-05,1.1971875550728867e-05,1.08851311391774e-05,9.616498645123508e-06,8.203652339800155e-06,6.851057584676169e-06,5.660301463285213e-06,4.647945954257835e-06,3.783334369681832e-06,3.0433541921547633e-06,2.427283955302789e-06,1.914385647081647e-06,1.4850767737518153e-06,1.124383112635608e-06,8.207736641376463e-07,5.666454206926068e-07,3.4987202681573994e-07,1.6437357041839459e-07,5.379882645492953e-09,-1.322388391609237e-07,-2.5503073493771036e-07,-3.613831141699919e-07,-4.55425614065484e-07,-5.392789525554206e-07,-6.142163700917835e-07
5 IGCC,0.0,0.0,0.0,0.0,0.0,0.0009138711215773074,0.0005019666985493312,0.0012328899494171187,0.0001250808052428113,0.0002977497782818304,6.74761347973494e-05,-0.00021493303539134355,7.318032512487575e-06,5.77203627340336e-06,4.103349566416704e-06,2.2821900783629237e-06,3.323550972884025e-07,-1.7034309305065908e-06,-3.729348451356803e-06,-5.736128541649656e-06,-7.67524054622222e-06,-9.359254025184584e-06,-1.0745582441888495e-05,-1.1879478488360275e-05,-1.281380281520578e-05,-1.3585049365451383e-05,-1.4212879377693485e-05,-1.472176172513228e-05,-1.5132225100450598e-05,-1.54599989990456e-05,-1.5714104503931122e-05,-1.5907035878516204e-05,-1.6049474887027022e-05,-1.614925463219643e-05,-1.6210610641742042e-05,-1.6241396514966432e-05,-1.6250116695652045e-05,-1.6234832030569395e-05,-1.6202664081864035e-05,-1.6154643944736504e-05,-1.6094540578064868e-05
6 IGCC + CCS,0.0,0.0,0.0,0.0,0.0,9.121956601606855e-06,6.444748182217432e-06,1.0584352745731983e-05,5.8501467416298e-06,4.164771304728863e-06,8.589753831184549e-07,-3.1678224933284283e-06,8.414707608393827e-08,8.261912256708726e-08,8.060204733570376e-08,7.791401112602816e-08,7.425690147502763e-08,7.007972014926213e-08,6.577839932394729e-08,6.140674617594364e-08,5.709206371661143e-08,5.3196971350879055e-08,4.985309444299361e-08,4.703702454374452e-08,4.4606392687075714e-08,4.247107441017646e-08,4.060710735557144e-08,3.897482764665314e-08,3.754266108969541e-08,3.6280151567740426e-08,3.518586121604121e-08,3.423443409286594e-08,3.3403966218465634e-08,3.2670826258029495e-08,3.2029335733484024e-08,3.1460084229137744e-08,3.093693578393983e-08,3.0470424222489546e-08,3.004409401559366e-08,2.9651206996586922e-08,2.927593184995597e-08
7 CCGT,0.1508808449706254,0.015532239551943855,-0.025946875402943936,0.0,-0.009929358694355739,0.0725576250396738,0.004573269461583429,0.09543213645490525,-0.05209015802921041,0.022578454935207243,0.004783279529279261,-0.01699605438232854,-0.016426905259568192,-0.017204439089285983,-0.017620250536843324,-0.017653003128124095,-0.01724074426699973,-0.016415423888201275,-0.01520225636135819,-0.01376539614773939,-0.012140317111991289,-0.010376486290708281,-0.008718094937882892,-0.007268967582339497,-0.006065646725759391,-0.005083470726538024,-0.0042919917399977525,-0.0036536634009336558,-0.003136449548419573,-0.0027152514425095794,-0.0023643021274673062,-0.002078278345226083,-0.0018348217944261815,-0.0016299640170852094,-0.0014560214709879657,-0.0013060879068569203,-0.0011740364049330522,-0.0010627862715760113,-0.0009659223106174668,-0.0008808655890166876,-0.0008067963379908248
8 CCGT + CCS,0.0,0.0,0.0,0.0,0.0,0.00029730842176879907,0.0003789948202956924,0.0011420043647807033,0.00010327288930759367,0.00022218766162393445,5.436875340656755e-05,-0.00015395516157149566,9.095579871539437e-06,7.714568017472712e-06,6.227989983938285e-06,4.62078072095435e-06,2.9097775804953763e-06,1.0867759823386842e-06,-7.287129884462479e-07,-2.6167576714281916e-06,-4.539759421290628e-06,-6.271410941409775e-06,-7.732236370585309e-06,-8.930759104949348e-06,-9.904383670857487e-06,-1.0688211891764568e-05,-1.1301938742438837e-05,-1.1776371687876892e-05,-1.2140643909522384e-05,-1.241596169302599e-05,-1.2621373816201504e-05,-1.276617075965207e-05,-1.2864704604130701e-05,-1.2924542602022436e-05,-1.2952197144489638e-05,-1.2953690549010778e-05,-1.2934516651379267e-05,-1.2895078819724366e-05,-1.2839792770329584e-05,-1.277154739605553e-05,-1.2693404024804317e-05
9 Solid Biomass,0.02730085067023812,0.005339418527456955,0.004762911549737486,0.0,-0.001980258619412527,0.0010720693658669914,-0.0053272421394124705,0.001252962447908762,-0.0022976261279512578,0.003013985900551762,0.0003196622206666985,-0.00280253105998389,-0.0009676416829384263,-0.0009499982367470461,-0.0009377958040108145,-0.0009303299739679659,-0.0009260041529287298,-0.0009239724716533261,-0.0009192127721806796,-0.0009107093567431307,-0.0008969441901690786,-0.0008763591178652351,-0.0008486775435576945,-0.0008157884274767081,-0.0007814648207088194,-0.0007470846667551809,-0.0007115965946116812,-0.0006759848450920633,-0.0006410158388955173,-0.0006071292257040714,-0.000574487913562724,-0.000543253638580557,-0.0005136251801523897,-0.00048563215661977244,-0.00045923073326545674,-0.0004344202941795206,-0.0004112579353854444,-0.0003895182122666072,-0.0003691775807862282,-0.000350170897789279,-0.0003324025488559302
10 S Biomass CCS,0.0,0.0,0.0,0.0,0.0,3.741959376391823e-05,3.7582434314724417e-05,5.1146901087993136e-05,3.599874174537099e-05,2.057305377704439e-05,5.9648574319875385e-06,-1.2659922438621325e-05,3.91252913804001e-06,3.960689343391108e-06,3.9895013264609e-06,3.994794233010363e-06,3.973011990608129e-06,3.923422263195462e-06,3.85545376075481e-06,3.770263420317839e-06,3.675120239293424e-06,3.580604146886289e-06,3.5024941347376658e-06,3.4465948931092954e-06,3.4061716463689806e-06,3.3774886372765745e-06,3.359630866810214e-06,3.352350131590148e-06,3.354569697769762e-06,3.365623831556527e-06,3.3868801704801444e-06,3.417538411015829e-06,3.4569821485891166e-06,3.5040149599286806e-06,3.5582350786601195e-06,3.6195334896266685e-06,3.686460626191898e-06,3.7589954422467256e-06,3.838178605748775e-06,3.922305768765946e-06,4.0119254179252326e-06
11 BIGCC,0.0,0.0,0.0,0.0,0.0,0.00018561838366569508,0.00014810402049248868,0.0002477913219449979,0.0001535799418302898,9.498653901437223e-05,2.3608105722912136e-05,-6.512512565650676e-05,9.310783862878798e-06,9.170079177809242e-06,8.972296876279522e-06,8.70266676874338e-06,8.356550742441614e-06,7.94164935552814e-06,7.487809590076217e-06,7.000547621015436e-06,6.497492521860809e-06,6.030120206797825e-06,5.629465081308368e-06,5.29385486036562e-06,5.003767353911701e-06,4.748176609595169e-06,4.524478013236306e-06,4.329397160638543e-06,4.158690099014158e-06,4.0094976182848165e-06,3.882843953287871e-06,3.7750277376655955e-06,3.683304153446771e-06,3.604712341598185e-06,3.538592937863934e-06,3.482519990684156e-06,3.431971394514009e-06,3.3888157266374983e-06,3.3510693532817597e-06,3.3175622798945967e-06,3.2873989540300064e-06
12 BIGCC + CCS,0.0,0.0,0.0,0.0,0.0,9.284056748931571e-05,7.283080165621857e-05,0.00012196398327868785,7.623584655229345e-05,4.742287680925051e-05,1.1482474443295248e-05,-3.313694593396182e-05,4.216939293511218e-06,4.214477502310313e-06,4.188387051119204e-06,4.1343357215201755e-06,4.046679584779735e-06,3.927753681351193e-06,3.7912160030866785e-06,3.636810660515499e-06,3.4727705603030887e-06,3.311995004023384e-06,3.1724519626623532e-06,3.0613481986597416e-06,2.971117085560698e-06,2.8971238070402182e-06,2.8375527973944483e-06,2.7913484994222804e-06,2.756968313931559e-06,2.7331568655294524e-06,2.7207264203611475e-06,2.7185552247720526e-06,2.725553957995874e-06,2.7402686941532892e-06,2.7620644365693734e-06,2.7905728998810914e-06,2.824129626052851e-06,2.862592966513416e-06,2.9067523932466664e-06,2.954821126072843e-06,3.0070767968160515e-06
13 Biogas,0.0021346284252493604,0.0016518494275367642,0.002013524607049487,0.0,0.0006117377111240444,0.0005078293681793945,-0.0012068566596943027,8.380008603463013e-05,-0.0005771406995533305,0.0008512482033491125,0.00037586543289185124,-0.00028784859536679433,0.0002961105855969152,0.00028780451846505475,0.0002754425473107747,0.00025886183370773044,0.00023822314455609027,0.00021393659451405742,0.0001873034469426372,0.00015946072429291053,0.0001312875829031744,0.00010459693258522106,8.141949225640328e-05,6.19863066636181e-05,4.5689032271454405e-05,3.198031137595196e-05,2.0569881094828837e-05,1.1121690176311289e-05,3.307302060653536e-06,-3.1186429148271494e-06,-8.280101786347846e-06,-1.235688827518587e-05,-1.5569111285999512e-05,-1.806556473253791e-05,-1.9931632084121964e-05,-2.1295085706791658e-05,-2.2336044883899953e-05,-2.300587196627825e-05,-2.3409992756396464e-05,-2.3606370862771717e-05,-2.3632289202315734e-05
14 Biogas + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.626597375515265e-07,-1.485877072115825e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Large Hydro,0.40677429190887454,-0.086515564356481,-0.13612082100357412,0.0,0.02381385944739653,-0.09099175163784476,0.08373493688831032,-0.11546867602705622,0.09942901548045714,0.014401281282157674,0.0020721330969045992,-0.012657743855258086,-0.0055519794151478175,-0.005760928674395149,-0.005947985804143907,-0.0061077256364319155,-0.006222884503848725,-0.006281240483517206,-0.006273172103531718,-0.0061379120106241775,-0.00573149320770483,-0.005231643171763056,-0.004694963353120113,-0.004169098979540181,-0.003690438844261637,-0.0032676898210835525,-0.0029038880020574864,-0.0025931319762455135,-0.002327763257742088,-0.002101685451034299,-0.0019037667059208785,-0.0017369856737625977,-0.0015887090151945893,-0.0014592194359492466,-0.0013454528621987816,-0.001243579644517559,-0.001149752157655004,-0.0010688872832484639,-0.0009962808305037305,-0.0009305133703414806,-0.0008718435831004817
17 Onshore,0.2426203381819573,0.024088557062627775,0.08571887869811379,0.0,-0.005878693615325337,-0.0190183543620856,-0.03301805010287012,-0.00914583587334139,-0.008808323860522937,-0.05490825749340478,-0.02022314962983085,0.004608049716759877,0.0035948026144622114,0.0002686002157809564,-0.003675291586288376,-0.008038079221598105,-0.012510511121777868,-0.01659805444155299,-0.019948481736125484,-0.021847991809890582,-0.022254096216721864,-0.021637709204827743,-0.020243789783011723,-0.01836704934595712,-0.016298458711033123,-0.014228028554438985,-0.012274468454309781,-0.010511136533662674,-0.008960137128343648,-0.007628405042009054,-0.006488216344960232,-0.005532054194780797,-0.004733635039822916,-0.004065745755814372,-0.0035050399682873407,-0.0030396363487591935,-0.002649095152621954,-0.0023211220718753686,-0.002043525406208224,-0.0018073102864026927,-0.001606696405014714
18 Offshore,0.019929561659152214,0.001978706265340399,0.007041205577276256,0.0,-0.0004829138331679597,-0.00046115776500488953,-0.0013985179650600789,0.00021112703554115875,0.00022903135447988401,-0.02179758714745237,-0.00020223149629830907,4.608049716759918e-05,0.0006460495868626055,0.0007638661398393482,0.0008853905956660683,0.001000456662823855,0.00109576273688954,0.0011551325357693643,0.0011672750626009493,0.001136169038919322,0.0010721572508284524,0.000981835169402723,0.0008804342293232247,0.0007768798031484968,0.0006709195409530574,0.0005667458915065062,0.00046527358734328034,0.0003686417786074557,0.0002779618294644001,0.00019424562309470345,0.00012209462424013148,5.9132120476011046e-05,6.026730132197011e-06,-3.837092973701592e-05,-7.431873372168787e-05,-0.00010284017649253227,-0.0001264507591427176,-0.00014440614401332874,-0.00015814350927080556,-0.00016833433475443166,-0.0001756855764668587
19 Solar PV,0.008311401723922345,0.003840300166158113,0.007973672695012111,0.0,0.005930668123883584,0.006775970192580038,-0.001825495352123875,0.0046047665753213875,-0.0009195115454112557,0.01870390893036837,0.009266108647406408,0.039878391004415856,0.02400192452254532,0.02876655096269387,0.033687014919174196,0.03853467662824195,0.042884204461851566,0.0462778801842606,0.048372558028325185,0.04858465439791165,0.046760427864542764,0.04356829245989213,0.03958126567209952,0.03529752239338846,0.031059470866411587,0.027061400271543024,0.023518130096602086,0.020445387552664118,0.017812084321384036,0.015581865093643787,0.013671478749972654,0.01207378147743543,0.010712708022192707,0.009557490355628473,0.00856994477284534,0.00772402044573639,0.006988036096313932,0.006359762968840332,0.005812587509135159,0.005332345826468354,0.004911399791241888
20 CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005480432845278073,9.266108647407016e-05,0.00039878391004415873,4.865688955424342e-06,4.6152063832816895e-06,4.276873701357462e-06,3.837819045465155e-06,3.2864481486725994e-06,2.6398546780946e-06,1.9461412967189656e-06,1.1959153325196911e-06,4.164151621438572e-07,-3.0388239435300696e-07,-9.342920877252782e-07,-1.4524285724211352e-06,-1.8774584857330582e-06,-2.2220659979185764e-06,-2.5015858909703103e-06,-2.7231534517808444e-06,-2.90449010839286e-06,-3.051868593428094e-06,-3.173589386374102e-06,-3.2731192760968465e-06,-3.3561701409925895e-06,-3.4251541373298954e-06,-3.4815079454130014e-06,-3.5276501959449584e-06,-3.5660739014507e-06,-3.5943532179199666e-06,-3.6154856266144408e-06,-3.631145635668489e-06,-3.6423175301923422e-06
