"energy_technologies","year","value"
"Nuclear","2019",373.906201362259
"Oil","2019",254.81691805127
"Coal","2019",1558.22541473096
"Coal + CCS","2019",11.472947522321
"IGCC","2019",45.6162456161494
"IGCC + CCS","2019",0.264067069545017
"CCGT","2019",1652.46876381086
"CCGT + CCS","2019",15.3783523977681
"Solid Biomass","2019",111.818903162467
"Biogas","2019",38.1788658416303
"Large Hydro","2019",1028.16226239874
"Onshore","2019",542.618537455673
"Offshore","2019",67.6970570830029
"Solar PV","2019",383.52611100004
"CSP","2019",3.60707350160539
"Geothermal","2019",12.0930216630635
"Fuel Cells","2019",4.06022711463644
"Nuclear","2020",407.968489732166
"Oil","2020",250.812896595635
"Coal","2020",1631.85372510297
"Coal + CCS","2020",12.45336113908
"IGCC","2020",48.8173713506573
"IGCC + CCS","2020",0.293892756551414
"CCGT","2020",1798.64512108044
"CCGT + CCS","2020",16.6154279925431
"Solid Biomass","2020",119.064502761513
"Biogas","2020",40.8242238078662
"Large Hydro","2020",1022.42674233849
"Onshore","2020",620.971454599128
"Offshore","2020",82.7750562001925
"Solar PV","2020",461.972824455516
"CSP","2020",4.14520366732793
"Geothermal","2020",12.3374703628047
"Fuel Cells","2020",4.20841717138989
"Nuclear","2021",405.3395182679
"Oil","2021",230.461571916694
"Coal","2021",1610.26925481116
"Coal + CCS","2021",12.6525991964186
"IGCC","2021",48.7853437308125
"IGCC + CCS","2021",0.286494361082846
"CCGT","2021",1805.22294141768
"CCGT + CCS","2021",16.6392607017082
"Solid Biomass","2021",116.281521188731
"Biogas","2021",39.670157650545
"Large Hydro","2021",966.136541150279
"Onshore","2021",635.935791190027
"Offshore","2021",91.3974721461067
"Solar PV","2021",516.071981660497
"CSP","2021",4.26889908735546
"Geothermal","2021",11.8813387839902
"Fuel Cells","2021",3.93368226482292
"Nuclear","2022",411.265888503543
"Oil","2022",220.316431428411
"Coal","2022",1636.14866391376
"Coal + CCS","2022",13.2432618807141
"IGCC","2022",50.2461102236512
"IGCC + CCS","2022",0.30616001886664
"CCGT","2022",1865.69497972986
"CCGT + CCS","2022",17.2005406205473
"Solid Biomass","2022",118.551744380127
"Biogas","2022",41.7804084299553
"Large Hydro","2022",938.275030767363
"Onshore","2022",685.140803043983
"Offshore","2022",106.798849788421
"Solar PV","2022",610.096822914698
"CSP","2022",4.63820129953166
"Geothermal","2022",11.7110718771749
"Fuel Cells","2022",3.86970476496667
"Nuclear","2023",423.783291415688
"Oil","2023",212.565501861701
"Coal","2023",1611.65699041813
"Coal + CCS","2023",14.2449220275804
"IGCC","2023",53.0466239011918
"IGCC + CCS","2023",0.327982646010284
"CCGT","2023",1846.59306024555
"CCGT + CCS","2023",17.9253870468629
"Solid Biomass","2023",130.189275308984
"Biogas","2023",46.1155635974313
"Large Hydro","2023",941.76766291223
"Onshore","2023",844.376733262539
"Offshore","2023",135.241437200978
"Solar PV","2023",838.052355953681
"CSP","2023",5.71136786313413
"Geothermal","2023",11.6536353245694
"Fuel Cells","2023",3.85875188407863
"Nuclear","2024",439.859998551827
"Oil","2024",208.133112305495
"Coal","2024",1573.91008514907
"Coal + CCS","2024",15.6979431310711
"IGCC","2024",57.2638491756121
"IGCC + CCS","2024",0.35862321594891
"CCGT","2024",1808.05338094945
"CCGT + CCS","2024",18.9558082352374
"Solid Biomass","2024",146.044278883087
"Biogas","2024",51.8779146635101
"Large Hydro","2024",960.960367987558
"Onshore","2024",1059.90072059879
"Offshore","2024",171.447572547837
"Solar PV","2024",1221.38068526027
"CSP","2024",7.18294878735135
"Geothermal","2024",11.8049012055405
"Fuel Cells","2024",3.91908660824519
"Nuclear","2025",458.38345381427
"Oil","2025",205.025959066601
"Coal","2025",1531.70218779334
"Coal + CCS","2025",17.4066221751541
"IGCC","2025",62.1321079808157
"IGCC + CCS","2025",0.390257758156772
"CCGT","2025",1764.68745766431
"CCGT + CCS","2025",20.0741930023509
"Solid Biomass","2025",160.937313448604
"Biogas","2025",57.3421748004087
"Large Hydro","2025",976.210552774115
"Onshore","2025",1250.92188630573
"Offshore","2025",208.071221616381
"Solar PV","2025",1752.46950927098
"CSP","2025",9.00375580448808
"Geothermal","2025",11.9767007474965
"Fuel Cells","2025",3.98692422296907
"Nuclear","2026",480.249976988664
"Oil","2026",203.732036832142
"Coal","2026",1480.56314806706
"Coal + CCS","2026",19.2275256055096
"IGCC","2026",67.1716124816521
"IGCC + CCS","2026",0.420802744464907
"CCGT","2026",1730.18401375191
"CCGT + CCS","2026",21.2843868350422
"Solid Biomass","2026",173.860542768784
"Biogas","2026",62.1247055577697
"Large Hydro","2026",983.481739748351
"Onshore","2026",1384.0138910901
"Offshore","2026",243.850415149951
"Solar PV","2026",2431.41452915875
"CSP","2026",10.9475750367597
"Geothermal","2026",12.1602740407865
"Fuel Cells","2026",4.06855992608483
"Nuclear","2027",506.298407300133
"Oil","2027",202.924156035948
"Coal","2027",1435.11640708423
"Coal + CCS","2027",21.1371572909791
"IGCC","2027",72.2853113034706
"IGCC + CCS","2027",0.450038079782731
"CCGT","2027",1707.19819312387
"CCGT + CCS","2027",22.5066075927055
"Solid Biomass","2027",184.473902126073
"Biogas","2027",66.146165434236
"Large Hydro","2027",980.148949447776
"Onshore","2027",1453.57556368519
"Offshore","2027",276.924824285148
"Solar PV","2027",3237.63659835748
"CSP","2027",13.2780380613666
"Geothermal","2027",12.3240980451297
"Fuel Cells","2027",4.13634608875847
"Nuclear","2028",536.66252037007
"Oil","2028",201.899213336741
"Coal","2028",1405.95713012463
"Coal + CCS","2028",22.9481102868309
"IGCC","2028",76.9010435929919
"IGCC + CCS","2028",0.47590229779032
"CCGT","2028",1700.49330944508
"CCGT + CCS","2028",23.6557074460002
"Solid Biomass","2028",191.815065871349
"Biogas","2028",69.2855792943349
"Large Hydro","2028",962.89855667904
"Onshore","2028",1463.46136516085
"Offshore","2028",303.888146565064
"Solar PV","2028",4086.1831383995
"CSP","2028",16.1523767461879
"Geothermal","2028",12.4343658401598
"Fuel Cells","2028",4.17969606356677
"Nuclear","2029",569.668619917022
"Oil","2029",200.204575908113
"Coal","2029",1404.97147735712
"Coal + CCS","2029",24.4674273615646
"IGCC","2029",80.4643748361438
"IGCC + CCS","2029",0.498935682312514
"CCGT","2029",1711.51853483262
"CCGT + CCS","2029",24.6046505151189
"Solid Biomass","2029",195.337629514364
"Biogas","2029",71.5783752515553
"Large Hydro","2029",932.015538940123
"Onshore","2029",1427.07627841644
"Offshore","2029",321.982835826906
"Solar PV","2029",4861.60769072395
"CSP","2029",19.3396999464426
"Geothermal","2029",12.4319091248282
"Fuel Cells","2029",4.18370727517631
"Nuclear","2030",604.126834742401
"Oil","2030",197.779620232349
"Coal","2030",1436.61282104108
"Coal + CCS","2030",25.5927245883592
"IGCC","2030",82.7202391641493
"IGCC + CCS","2030",0.518474680614015
"CCGT","2030",1743.43928959928
"CCGT + CCS","2030",25.2983083854714
"Solid Biomass","2030",195.184141913207
"Biogas","2030",73.1221989695733
"Large Hydro","2030",890.75302793575
"Onshore","2030",1357.68240260291
"Offshore","2030",330.387019268043
"Solar PV","2030",5468.23453846563
"CSP","2030",22.7699912710856
"Geothermal","2030",12.3001676631612
"Fuel Cells","2030",4.14967511903499
"Nuclear","2031",638.076227442301
